English,Other
the,the
of,s
of,z
of,zo
of,pred
of,od
to,s
to,pred
to,od
to,za
to,k
to,v
to,u
to,na
to,do
to,podľa
to,pre
to,po
in front,pred
in front,vpredu
with,s
with,z
with,od
with,so
with,za
with,u
with,pri
with,na
with,po
with,napriek
with,i pri
before,pred
before,predtým
before,už
before,skôr než
before,skôr ako
before,než by
before,inak
before,ináč
before,skôr
before,dopredu
under,s
under,za
under,v
under,u
under,pri
under,pod
under,podľa
under,medzi
under,na úpätí
under,naspodku
under,dospodu
under,dole
under,mladší ako
under,nižšie
under,pod hladinou
under,kratší
under,dolný
under,menší
under,podriadený
under,potlačený
under,spodný
under,stlmený
by,od
by,za
by,pri
by,na
by,pozdĺž
by,podľa
by,popri
by,vedľa
by,okolo
by,okolo
by,pomocou
by,prostredníctvom
by,o
by,počas
by,cez
by,bokom
by,blízko
since,od
since,čo
since,ako
since,keďže
since,pretože
since,odvtedy
from,z
from,zo
from,pred
from,od
from,u
from,podľa
out of,z
out of,zo
out of,mimo
out of,bez
out of,von
out of,pre
out of,kvôli
in front of,pred
off,z
off,od
off,preč
off,preč
off,odrovnať
off,zlikvidovať
off,ďalej
off,pokazený
off,nepoužiteľný
off,vypredaný
down,z
down,pozdĺž
down,po
down,popri
down,dolu
down,dolu
down,dole
down,nižšie
down,dolný
down,zhltnúť
down,zraziť na zem
down,poraziť
down,páperie
down,zloženie
down,pahorkatina
down,v hotovosti
down,na drevo
down,smutný
down,hotový
down,skončený
down,urobený
down,vypnutý
down,prehrávajúci
down,zaplatený v hotovosti
forth,z
forth,preč
forth,dopredu
forth,ďalej
forth,vpred
outside,pred
outside,pri
outside,mimo
outside,von
outside,vonku
outside,maximálne
outside,najviac
outside,vonkajšok
outside,viditeľná stránka
outside,zovňajšok
outside,zjav
outside,kraj
outside,krídlo
outside,nosič kufrov
outside,vonkajší
outside,vedľajší
outside,malý
outside,minimálny
outside,najvyšší
previous to,pred
back up of,pred
back up of,za
prior,pred
prior,prior
prior,predchádzajúci
prior,vopred dohodnutý
prior,dôležitejší
prior,prednostný
ago,pred
ago,predtým
back up,pred
back up,už
back up,pozadu
back up,znovu
back up,zálohovať
back up,podporovať
back up,povzbudzovať
back up,ustúpiť
back up,vypnúť
back up,podložiť
back up,podpísať
back up,hromadiť
pursuant to,podľa
thru,pre
thru,po
thru,prostredníctvom
thru,cez
thru,hotový
thru,až do
thru,úplne
thru,priamo
thru,včítane
thru,do konca
thru,priamy
thru,výpadový
for,za
for,k
for,na
for,do
for,pre
for,po
for,o
for,ako
for,pretože
for,proti
for,veď
for,namiesto
towards,k
towards,na
towards,do
towards,okolo
towards,smerom k
towards,voči
towards,v ústrety
through,pre
through,po
through,pomocou
through,prostredníctvom
through,cez
through,hotový
through,až do
through,úplne
through,skrz
through,vďaka
through,priamo
through,do konca
through,priamy
through,výpadový
through,prejazdný
after,za
after,podľa
after,po
after,potom
after,potom čo
after,keď
after,neskôr
toward,k
toward,na
toward,do
toward,okolo
toward,smerom k
toward,voči
among,u
among,medzi
on,v
on,na
on,pod
on,podľa
on,po
on,prostredníctvom
on,o
on,počas
on,cez
on,ďalej
on,stále
on,neprestajne
on,na sebe
on,fungujúci
onto,k
onto,na
onto,do
according to,podľa
at,k
at,pri
at,na
at,po
at,o
at,zavináč
into,v
into,na
into,do
into,dovnútra
into,proti
behind,za
behind,pozadu
behind,spoza
behind,vzadu
in,za
in,v
in,u
in,na
in,do
in,vnútri
in,dnu
up,na
up,do
up,pozdĺž
up,po
up,proti
up,hore
up,hore
up,dozadu po
up,na nohách
up,nahor
up,v prevádzke
up,dohora
up,zdvihnúť
up,zvýšiť
up,zväčšiť
up,hore na
up,výš
up,vysoko
up,idúci smerom hore
up,opravovaný
up,vytiahnutý nahor
per,za
per,na
per,počas
in behalf of,pre
within,za
within,v
within,počas
within,vo
within,vnútri
within,v rozsahu
within,v oblasti
within,v rámci
within,v rozpätí
within,plus-mínus
in accordance with,podľa
in accordance with,v zhode s
upon,v
upon,na
upon,podľa
upon,po
upon,o
upon,počas
upon,cez
forward,vpredu
forward,dopredu
forward,vpred
forward,podporovať
forward,poslať
forward,odoslať
forward,dopraviť
forward,urýchliť
forward,prepraviť
forward,útočník pri futbale
forward,vopred stanovený
forward,perspektívny
forward,predný
forward,pokročilý
forward,pokrokový
forward,trúfalý
forward,vykŕmený
forward,vyspelý
forward,arogantný
forward,predsunutý
forward,pripravený
forward,progresívny
forward,ochotný
forward,drzý
forward,dovolený
ahead,vpredu
ahead,dopredu
ahead,vpred
ahead,vopred
fore,vpredu
fore,predný
fore,prova
fore,predná časť
forwards,vpredu
forwards,vpred
next,pri
next,na
next,mimo
next,vedľa
next,blízko
next,ďalej
next,potom
next,hneď po
next,nabudúce
next,takmer
next,vedľajší
next,ešte
next,ďalší
next,po druhý krát
next,budúci
next,nasledujúci
next,druhý
next,najbližší
next,susedný
near,pri
near,vedľa
near,vedľa
near,blízko
near,takmer
near,neďaleko
near,skoro
near,priamy
near,blížiť sa
near,priblížiť sa
near,približovať sa
near,neďaleký
near,blízky
near,dôverný
near,krátky
near,tesný
near,bližší
near,ľavý
near,lakomý
near,skúpy
in spite of,napriek
in spite of,napriek
in spite of,jednako
despite,napriek
despite,cez
or else,inak
or else,ináč
more,znovu
more,skôr
more,ďalej
more,ďalší
more,viac
more,viac ako
more,viacej
more,opäť
more,väčšie množstvo
more,viacerí
more,väčší
more,iný
rather,skôr
rather,skoro
rather,dosť
rather,akosi
rather,trocha
rather,vcelku
rather,radšej
rather,predovšetkým
rather,väčšmi
rather,vlastne
rather,presnejšie
rather,správnejšie
rather,lepšie povedané
rather,veľmi
rather,trochu
rather,pomerne
in advance,dopredu
in advance,vopred
sooner,skôr
sooner,radšej
sooner,skoršie
just,už
just,len
just,práve keď
just,práve tak
just,práve
just,presne tak
just,nedávno
just,skoro
just,približne
just,asi
just,priamo
just,vlastne
just,iba
just,pred chvíľkou
just,tesne
just,len tak-tak
just,sotva
just,skrátka
just,jednoducho
just,akurát
just,presne
just,určite
just,celkom
just,plne
just,rovnako
just,vyložene
just,rovno
just,tak ako
just,spravodlivý
just,oprávnený
just,opodstatnený
just,správny
just,pravdivý
just,verný
just,dôvodný
just,zdôvodnený
just,práve taký
just,zaslúžený
just,príslušný
just,patričný
just,správanie
once,predtým
once,akonáhle
once,kedykoľvek
once,iba jeden raz
once,voľakedy
once,ihneď
once,raz
once,len čo
once,kedysi
once,vôbec
once,jedenkrát
as early as,už
or,inak
or,ináč
or,alebo
or,ani
already,už
already,práve
earlier,skôr
earlier,skorší
beforehand,dopredu
