Other,English
-al,space below something
ONZ,descend
Ojl'E,no
Ond'E,male
OnmE,mind
Onme:de:,larch tree (young)
Or,shout
SOZ,numb
SOg,enter
SOjl,stone (small)
SOjl'bul,mouse
SOrilE,ornament
SOrilE,pattern
Sa:l,firewood
Sa:l,wood
Sa:r,something
SaSa,tear
SaSqul,paw
SaSqul,thumb
Saj,aside
Saqal'E,gather
SaqalE,fox
SaqalE,yellow
Sar,cover
Sar,dig
Sebis'E,eglantine
Seg,escape
Seril,plane (wood)
Seril,shave
Sil'l'E,snow crust
SinSaj,fit in
SinSaj,put in
SoGo,lose
SoboGEra:,bowl
SobodENil',door
SobodENil',entrance
SoromE,man
SoromE,person
Su:kE,pike
SuGa:,ice (first ice floating
SubeZE,run
Subed'E,heart
Sure,body
a:,under
"a:, u:",do
"a:, u:",make
a:bE,disk on a ski stick
a:rqa:,by
"a:rqa:, al'",at
"a:rqi:, laN, laNi",to
"a:rqi:, laN, laNi",towards
a:s'E,reindeer (domestic)
aGi,hide
aGurpE,suffer
aNGEjE,snowstorm
aNa,mouth
aNd'E,eye
aNil',opening
aNil',rivermouth
aNnumE,first
aNs'i:,look for
aNs'i:,search
aZu:,word
"aZu:, kal-",language
"abala:q, qa:re:n",bad (too bad)
abor,temple
abud,lie down
abudu,pull out
abut,case
abut,container
abut,den
adO:,son
adil,fellow
adil,youth
aja:,rejoice
ajbi:,shadow
"ajbi:, jül, lül, niNe:",soul
ajda:n,business
"ajda:n, qol, qolil",noise
aje:,scratch
aje:,wash
aji:,again
aji:,too
"aji:, jaqaj",also
"aji:, kOudE, qo:G",shoot
"aji:, pejZi:, peSSEj",throw
al',melt
al'bE,pour
al'o:jE,ice-hole
"alIs, del'bE, naGa:",very
alaa-,to melt
"albE, arimEl",bottom
"almE, antEd'a:jE",shaman
am,die
amdEt,lay under
amdEt,prepare
amlE,sink
amlE,swallow
amli:,embrace
ammEl,spend a night
amun,bone
amund'a:,Amur ide
an',speak
an'd'E,chief
an'd'E,princeling
anabuska:,small hollowed boat
anil,fish
anna:qE,however
"anurE, jOul'E",love
"anurE, tite",like
arnu:ja:,wolverine
aro:jE,lenok
arp,ascend
arp,climp up
arpE,cautious
arpE,watch out
"ataq, ataql, kiji-",two
baraNEtta:,peled
be:rE,believe
bejd'e:,everywhere
"bojs'E, bollEqEnE, bukatIn, c'istE",completely
c'O:,already
c'O:l'E,ancient
"c'O:tE, iSkom, na:r",always
"c'a:SEt, id'i:",now
c'a:c'a:,brother (elder)
c'a:qa:,frozen fish eaten
c'a:qi:,cut frozen fish
c'aGirn'a:,capricious
c'aGirn'a:,flirt
c'aN,touch
c'aj,small (in quantity)
c'aj,tea
"c'aj, juk, juku",little
c'amd'E,oar
c'andE,upstream
c'anma:q,back (on one's back)
c'aqadE,backwards
c'as,hour
c'e:d'E,winter
"c'eNdu:, n'ajdEli",beautiful
"c'eginmo:, toGo:",deep
"c'ejlu:, jaql, ju:kE",far
c'el,cold
"c'eme, Sobol'E, ul",finish
c'en'i:,mock
c'ereuro:,silver
c'ine,cut down
c'iqaG,squeak
"c'irc'E, menmE",jump
c'irc'umut,completely all
c'ird'E,slide
c'ire,drown
"c'it, i:s'",long
"c'oG, c'oln",cut
"c'oGojE, kire",knife
c'oGos'a:l,riverbank
c'obinE,spear
c'olGE,hollow
c'olGE,push
c'olGErE,hare
c'omo,big
c'omo,large
c'omo:l,will
c'omo:lbEn,elk
c'omparna:,raven
c'u:di:,ghost
c'u:l,meat
c'u:l'd'i:,tale
c'uN,count
c'uN,read
c'uNZ,whistle
c'uNZE,thought
c'ugO,path
c'ugO,road
c'ugO,way
c'uge:,on the way
c'ugo:,fast
c'ugo:,quick
"c'umu, c'umut",all
"c'umu, c'umut",everything
"c'umu, c'umut",whole
c'umus'E,fishing rod
c'umus'i:,fish with a fishing rod
c'uru:d'E,quietly
"chacha, t'at'a",uncle
"chang, cheng",to help
"chogunn'e-, chohu",shallow
chohocho qoll'e,Where is the beach?
cong-,taste
culgo-,tree trunk
"d'e:tEGE, daGanI, s'in",still
d'i:bE,miracle
dinna:q,indeed
doro:bE,hello
du,if
"du, ti, ting, tung",this
"echie, es'e:",father
"ed, n'e:",call
eg,walk
"eg, qon, qorqil'E",move
ege,stand
egedE,look out
eje,bow
"ejie, ijie",oneself
"ejl, kenbunE",wide
ejmE,other side
ejmE,price
ejmundE,half
eks'il',boat canoe
el'ed'o:,disappear
el'l'o:dEj,unbelievable
el'l'o:dEj,wonderful
"el, ele, oi-le",negative particle
eleji:,carry
em,dark
embE,black
emd'E,sibling (younger)
"eme:qsin, terikE",woman (old)
emes'kE,suddenly
emil,night
emis'E,darkness
"emme:, enn'e:",mum (address)
emtE,cure
"eméi, emej",mother
en,live
epe:,grandmother
er,bad
erbE,saw
erd'i,wish
"ere, medin, moldE",only
erpEjE,Even
"gOn, n'EmolGil",year
gornEta:,hermine
"i:lE, je:n",another
"i:lE, je:n",other
i:legul,flour
i:lu:l,darling
i:s',late
i:s'E,point
i:s'E,top
iN,scared
"iN, iNlE",afraid
iNd'i:,sinew
"iNer, jurgu:, qonZE",hole
iNlE,frightened
"iZulbE, tinnEj",rest
ib,suck
ibiSi:,milk
ibiSi:,woman's breasts
ibil'E,cry
id'e,juice
id'e:,alone
id'e:,directly
idek,don't
ig,catch
"ik, iNd'E",sew
il'l'E,new
il'l'a:,undo
ilejE,wind
im,load
iril,stomach
"irk, irke:",one
irkE,shake
irkE,tremble
"irkinl'E, n'aGa:",together
is'i:,penis
ispi:r,spirit
"istElba:, sal",pole
isto:,hundred
jO:jE,spirit (evil)
jOmg,go around
"ja:, jal, jalmE",three
jaGid'E,staff
jaGid'E,stick
"jaGil, O:l'",edge
jajs'E,egg
jal,last
jalGi,tambourine
jalGil,lake
jan,send
jangže,swan
"janmEG, n'is'a",pierce
jaqa,arrive
"jaqa, jomul",reach
jaqal,Yakut
jaqalE,jerked
jaqtE,song
jarqE,dangle
jarqE,ice
"java-, joba-, jobe-, jöbe-, jobo-",to be sick
je:,float
je:,get
"je:, n'oGo",fall
je:r,fork
je:r,furkation
jed-,to appear
jekl'e:,behind
"jekl'e:, jola:",after
"jel'o:d'E, jelože",sun
jelek,four
jen,appear
jen,seen
"jeremE, SepinkE",log
jo:,head
jo:,see
jo:bi:,forest
jo:dE,play
jo:l'E,illness
jo:s'E,piece
joG,hurt
joGo,angry
"joGo, jotn'",open
joGor,wound
joGorc'E,pile
joGul,nose
joNZE,dream
joNZE,forget
joNZE,sleep
joNZo:d'E,blanket
joNno:,holed
joNs'E,bell
"jobeleng, jobok",disease
"joboGE, jolo",back
jodo,twist
"jodo, jodu:, jOmg",turn
jodo-,to bind
jodod'ubE,squirrel
jollE,wood (rotten)
"jollE, Sa:l",tree
jomu,neck
joujE,net (fishing net)
joulE,evening
joulE,informed
"joulE, nind'e:",ask
"ju:l, o:ZE",smoke
ju:s'E,breathing
ju:s'i:,breath
ju:tE,pull in
jug,kiss
jugul,tree (tall)
"juk, juku",small
jukun'me:jE,mouse (small)
jumm,drunk
jumm,intoxicated
juo,girdle
jurgu:,split
jämbon tot,dead
kO:kE,head (animal's head)
kONd'E,forge
kOde:,wolf
"kOdin, mila:",right
kOj,man (young)
kOjl'e:,rags
kOrOl'ki:,beads
kOudE,take away
"kOudE, pungE, tol'c'i:",beat
kande-,to carry
"kapkan, SaSil",trap
ke:,friend (address to a male)
ke:jE,before
ke:l'E,dry
keb,go away
"keb, pOn'",leave
"kej, tadi:",give
kejlE,red
kel,come
kel-,intestinal worm
kelid'E,worm
kelil,husband of the wife's sister
"kene, kenmE",friend
kerekE,Koriak
kerpe:,sweep
kes'i:,bring
kiSSE,show
"kich, kichil, kókä",tip
kigi:,prick
kijen,no way
kilbE,moss
kile,wade
kim,hard
kimd'E,fight
kimd'ES,please
kimda:n'E,deceive
kin,who
kind'E,Moon
kingze,month
kis'e:,learn
"kis'il, kit",end
ku,thin snow
kuS,any
kuZu:,sky
kude,become
kude,kill
kuded'E,liver
"kun'il', kune, kunn'i",ten
"kunn'ukte:, ta:s'ilE, ta:tl'Et, taNde:t, taNn'igE",then
kure:,fence
kureqEti:,bird: white crane
"kuropa:, momuSa:",a kind of small fish
kurul,barn
"l'E, o:",be
l'ejkE,lamp
l'i:,have
lOkil,arrow without a head
lamunZa:,snag
"larqul, larxu, ojuu",root
lebe:,earth
lebe:,land
lebejdi:,berry
led,downstream
lede,farther down
leg,eat
legul,food
lej,know
leluke,lower
"leme, qa",what
lenmunnE,shaggy
leppul,blood
lige,old (of people)
liipe,shovel
loNdE,dance
loSkEra:,spoon
loda:q,face down
lolGE,boil
lon,take off
"lon, lOudE",take down
long,to split
lor,unable
los'id'i:,kindling steel
los'il,fire
lostubi:,bless
lu:s'i:,Russian
ludul,iron
lunbugE,cauldron
läbiä,flat
"läg-, leg-, leu-",to eat
"läg-, leg-, leu-, sewe-",to gnaw
läp,soup
mOd,feel
mOd,hear
mOd,understand
ma:lE,both
maGil,coat
majlE,hair
mal,asleep
marqil',girl
me:,wait
"me:kE, me:klE, melGEl, migi, tOb, toG",close
me:mE,basis
me:mE,character
"me:me:, qa:qa:",bear
"me:stE, poni-",place
"mej, min",take
melut,chest
mend'E,fathom
mend'E,news
mere,fly
met,I
met nume qoll'e,Where is my room?
metul tät elqodaalek!,Don't touch me there!
mi:dE,along
mided'E,needle
mido,roam
midolE,march
minnE,apparently
