Other,English
1000年,1000
100年,100
101年,101
105年,105
10年,10
10月,October
10月12日,October 12
10月24日,October 24
110年,110
115年,115
11年,11
11月,November
11月11日,November 11
11月1日,November 1
11月2日,November 2
11月5日,November 5
120年,120
125年,125
12年,12
12月,December
12月31日,December 31
12月8日,December 8
130年,130
135年,135
13年,13
140年,140
144年,144
145年,145
14年,14
150年,150
1530年代,1530s
155年,155
15年,15
160年,160
165年,165
16年,16
170年,170
1728年,1728
1750年代,1750s
175年,175
1760年代,1760s
1770年代,1770s
1780年代,1780s
1790年代,1790s
17年,17
180年,180
1820年代,1820s
1830年代,1830s
1840年代,1840s
1850年代,1850s
1860年代,1860s
1870年代,1870s
1880年代,1880s
1890年代,1890s
18年,18
1900年代,1900s
190年,190
1917年俄国革命,Russian Revolution
1920年代,1920s
1930年代,1930s
1940年代,1940s
1950年代,1950s
1960年代,1960s
1970年代,1970s
1980年代,1980s
1990年代,1990s
19年,19
1年,1
1月,January
1月19日,January 19
1月1日,January 1
1月20日,January 20
1月6日,January 6
200年,200
20年,20
21年,21
22年,22
23年,23
24年,24
25年,25
26年,26
27年,27
28年,28
29年,29
2年,2
2月,February
2月12日,February 12
2月14日,February 14
2月22日,February 22
2月29日,February 29
2月2日,February 2
300年,300
30年,30
31年,31
32年,32
33年,33
34年,34
35年,35
36年,36
37年,37
38年,38
39年,39
3年,3
3月,March
3月17日,March 17
3月19日,March 19
3月25日,March 25
3月2日,March 2
400年,400
40年,40
41年,41
42年,42
43年,43
44年,44
45年,45
46年,46
47年,47
48年,48
49年,49
4年,4
4月,April
4月14日,April 14
500年,500
50年,50
51年,51
52年,52
53年,53
54年,54
55年,55
56年,56
57年,57
58年,58
59年,59
5年,5
5月,May
5月1日,May 1
5月24日,May 24
60年,60
61年,61
62年,62
63年,63
64年,64
65年,65
66年,66
67年,67
68年,68
69年,69
6年,6
6月,June
6月14日,June 14
6月21日,June 21
6月23日,June 23
6月24日,June 24
6月29日,June 29
6月3日,June 3
70年,70
71年,71
72年,72
73年,73
74年,74
75年,75
76年,76
77年,77
78年,78
79年,79
7年,7
7月,July
7月1日,July 1
7月4日,July 4
80年,80
81年,81
82年,82
83年,83
84年,84
85年,85
86年,86
87年,87
88年,88
89年,89
8年,8
8月,August
8月15日,August 15
8月1日,August 1
8月6日,August 6
90年,90
91年,91
92年,92
93年,93
94年,94
95年,95
96年,96
97年,97
98年,98
99年,99
9年,9
9月,September
9月11日,September 11
9月17日,September 17
9月29日,September 29
A,A
ABC,ABC
AJAX,Ajax
ALGOL,ALGOL
ASCII,American Standard Code for Information Interchange
ATP,ATP
AZ阿爾克馬爾,AZ
Ada,Ada
Ajax,Ajax
Au,Au
B,B
BASIC,BASIC
Bash,Bash
Blender,Blender
Bot,Bot
C,C
CD,CD
CD,Compact Disc
CHAOS,CHAOS
COBOL,COBOL
C·S·路易斯,C. S. Lewis
C语言,C
D,D
DOS,DOS
DSL,Digital subscriber line
DVD,DVD
De facto,De facto
E,E
Eclipse,Eclipse
F,F
FAT,File Allocation Table
Fact,Fact
Fedora Core,Fedora
Fortran,Fortran
G,G
GIMP,GIMP
GNOME,GNOME
GNU,GNU
Gay,Gay
Gigabyte,Gigabyte
Google,Google
Google公司,Google
H,H
HTML,HTML
I,I
IPod,IPod
Internet Explorer,Internet Explorer
J,J
Java,Java
K,K
Kilobyte,Kilobyte
Konqueror,Konqueror
L,L
LAMP,LAMP
LISP,Lisp
LSD,Lysergic acid diethylamide
LaTeX,LaTeX
Linux,Linux
Lynx,Lynx
M,M
MARS,Mars
MIDI,Musical Instrument Digital Interface
MIME,MIME
MRNA,Messenger RNA
MS-DOS,MS-DOS
Main,Main
Megabyte,Megabyte
M理论,M-theory
N,N
Nike,Nike
O,O
Opera,Opera
P,P
PAL制式,PAL
PH值,PH
Pascal,Pascal
Pidgin,Pidgin
Ping,Ping
Prolog,Prolog
Python,Python
Q,Q
R,R
RAID,RAID
Ruby,Ruby
S,S
SGML,Standard Generalized Markup Language
SOAP,SOAP
SOS,SOS
Safari,Safari
Scheme,Scheme
Scrabble,Scrabble
Stub,Stub
Subversion,Subversion
T,T
Tux,Tux
U,U
UNIX,Unix
Unix,Unix
Uub,Ununbium
Uuh,Ununhexium
Uup,Ununpentium
Uuq,Ununquadium
Uut,Ununtrium
V,V
W,W
X,X
X射线,X-ray
X射线断层成像,Computed tomography
Y,Y
Z,Z
chinese,english
Α,Alpha
Α粒子,Alpha particle
Β,Beta
Β衰变,Beta decay
Γ,Gamma
Δ,Delta
Ε,Epsilon
Ζ,Zeta
Η,Eta
Θ,Theta
Ι,Iota
Κ,Kappa
Λ,Lambda
Μ,Mu
Μ子,Muon
Ν,Nu
Ξ,Xi
Ο,Omicron
Π,Pi
Ρ,Rho
Σ,Sigma
Τ,Tau
Υ,Upsilon
Φ,Phi
Χ,Chi
Ψ,Psi
Ω,Omega
А,A
䥑,Meitnerium
一元二次方程,Quadratic equation
一元论,Monism
一次方程,Linear equation
一氧化碳,Carbon monoxide
一神教,Monotheism
丁烷,Butane
七十士譯本,Septuagint
七年战争,Seven Years' War
万有引力,Gravitation
万有引力常数,Gravitational constant
万神庙,Pantheon
万维网,World Wide Web
三K党,Ku Klux Klan
三位一體,Trinity
三十年戰爭,Thirty Years' War
三叠纪,Triassic
三叶草属,Clover
三明治,Sandwich
三曲腿图,Triskelion
三硝基甲苯,Trinitrotoluene
三磷酸腺苷,Adenosine triphosphate
三羧酸循环,Citric acid cycle
三葉蟲,Trilobite
三角函数,Trigonometric function
三角学,Trigonometry
三角座,Triangulum
三角形,Triangle
三角龙,Triceratops
三部曲,Trilogy
上帝,God
上座部佛教,Theravada
上新世,Pliocene
上校,Colonel
上海市,Shanghai
上癮,Addiction
上皮組織,Epithelium
上諾曼地,Haute-Normandie
下丘脑,Hypothalamus
下加利福尼亞州,Baja California
下萨克森,Lower Saxony
下诺曼底,Basse-Normandie
不丹,Bhutan
不伦瑞克,Braunschweig
不來梅州,Bremen
不列顛群島,British Isles
不列颠哥伦比亚,British Columbia
不列颠空战,Battle of Britain
不可知论,Agnosticism
不明飞行物,Unidentified flying object
不来梅,Bremen
不来梅港,Bremerhaven
不死鳥,Phoenix
不确定性原理,Uncertainty principle
不等,Inequality
不鏽鋼,Stainless steel
与格,Dative case
专利,Patent
专政,Dictatorship
丕平,Pepin the Short
世界,World
世界之树,Yggdrasil
世界博覽會,Expo
世界卫生组织,World Health Organization
世界大战,World war
世界气象组织,World Meteorological Organization
世界语,Esperanto
世界贸易中心,World Trade Center
世界贸易组织,World Trade Organization
世界银行,World Bank
世纪,Century
丙三醇,Glycerol
丙氨酸,Alanine
丙烷,Propane
丙酮,Acetone
东京,Tokyo
东南亚,Southeast Asia
东南亚国家联盟,Association of Southeast Asian Nations
东帝汶,East Timor
东海,East China Sea
东部非洲,East Africa
丝绸,Silk
丝绸之路,Silk Road
两伊战争,Iran-Iraq War
两栖动物,Amphibian
两河流域,Mesopotamia
个人数码助理,Personal digital assistant
中世紀,Middle Ages
中世纪,Middle Ages
中东,Middle East
中东地区,Middle East
中位數,Median
中华人民共和国,People's Republic of China
中南半島,Indochina
中国,China
中國國民黨,Kuomintang
中央,Centre
中央公園,Central Park
中央处理器,Central processing unit
中央情报局,Central Intelligence Agency
中央银行,Central bank
中子,Neutron
中子星,Neutron star
中尉,Lieutenant
中微子,Neutrino
中心粒,Centriole
中提琴,Viola
中新世,Miocene
中樞神經系統,Central nervous system
中生代,Mesozoic
中石器時代,Mesolithic
中美洲,Central America
中華民國,Republic of China
中途岛海战,Battle of Midway
中部非洲,Central Africa
中间层,Mesosphere
中非共和國,Central African Republic
中風,Stroke
丰田,Toyota
丹佛,Denver
丹吉尔,Tangier
丹增·诺盖,Tenzing Norgay
丹尼尔·伯努利,Daniel Bernoulli
丹尼尔·奥尔特加,Daniel Ortega
丹尼尔·笛福,Daniel Defoe
丹尼斯·伽柏,Dennis Gabor
丹麥,Denmark
丹麥克朗,Danish krone
丹麦,Denmark
主動脈,Aorta
主教,Bishop
主格,Nominative case
