Other,English
abbandunà,abandon
abbandunamentu,abandonment
abbazia,abbey
addominale,abdominal
rapire,abduct
rapimentu,abduction
rimane,abide
abbitendu,abiding
capacità,ability
abbughjà,abject
abbassassi,ablaze
capace,able
anormale,abnormal
anormalità,abnormality
allughjassi,abode
abulisce,abolish
abominabile,abominable
abominazione,abomination
abortà,abort
abortu,abortion
abrasivu,abrasive
aperta,abreast
bruscu,abrupt
abscessu,abscess
assenza,absence
assenti,absent
assuluta,absolute
assoluzione,absolution
assolve,absolve
assorbe,absorb
astenelu,abstain
abstinenza,abstinence
astratto,abstract
assurdu,absurd
assurdu,absurdity
abbundanza,abundance
abbundante,abundant
abusu,abuse
abusu,abusive
abismale,abysmal
abissu,abyss
accademicu,academic
accademia,academy
accelerante,accelerant
accelerà,accelerate
acceleratu,accelerated
accelerazione,acceleration
acceleratore,accelerator
accentu,accent
accettà,accept
accettabili,acceptable
accettazione,acceptance
accessu,access
accessibile,accessible
accessori,accessory
accidente,accident
accidentale,accidental
acclamazione,acclaim
accodà,accommodate
alloghju,accommodation
accumpagnà,accompany
cumplicatore,accomplice
rializà,accomplish
rializazione,accomplishment
accordu,accord
accordeone,accordion
contu,account
responsabilità,accountability
contabile,accountant
cuntabilità,accounting
accumulà,accumulate
accuratezza,accuracy
precisa,accurate
maldittu,accursed
accusa,accusation
accusa,accuse
asci,ace
acetilene,acetylene
dolore,ache
uttene,achieve
rializazione,achievement
àcitu,acid
ricunnosce,acknowledge
ricunniscenza,acknowledgement
landra,acorn
acustico,acoustic
acustica,acoustics
cunniscenza,acquaintance
acquistà,acquire
acquistu,acquisition
acquittà,acquit
acquitazione,acquittal
acrobata,acrobat
acrilico,acrylic
attu,act
azzione,action
attivà,activate
attivazione,activation
attivu,active
attivista,activist
attività,activity
attore,actor
attrice,actress
attuali,actual
attualità,actuality
acupuntura,acupuncture
agutu,acute
annunci,ad
adamante,adamant
adattate,adapt
adattazione,adaptation
aghjunghje,add
dipendenza,addicted
dipendenza,addiction
addiziale,additional
indirizzu,address
adeptu,adept
adatta,adequate
