Other,English
'ie,he
'ie,him
'k,i
'm,he
'm,him
'm,tohim
'm smeren,disappear
'n,a
'n,an
'r,atthatplace
'r,her
'r,she
'r,there
'r,toher
's avonds,intheevening
's morgens,inthemorning
's morgens vroeg,earlyinthemorning
's nachts,atnight
's nachts,bynight
's nachts,duringthenight
's ochtends,inthemorning
's‐gravenhage,thehague
's‐hertogenbosch,bois‐le‐duc
't,it
't,the
... aanvoelen,feel...
... evenmin,neither...
... geleden,...ago
... niet,don't...
... terug,...ago
... à,...to
... à,from...to
... à,of...to
a prima vista,atfirstglance
a prima vista,atfirstsight
a.u.b.,please
aai,ai
aai,sloth
aai,three‐toedsloth
aak,barge
aak,maple
aak,rhinebarge
aak,sycamore
aakschipper,bargemaster
aal,eel
aal,elver
aal,liquidmanure
aal,muck‐water
aal,stale
aalachtig,eel‐like
aalbes,currant
aalbes,currantbush
aalbes,redcurrant
aalbesseblad,currant‐leaf
aalbesseboom,currant
aalbesseboom,currantbush
aalbesseboompje,currant
aalbesseboompje,currantbush
aalbessengelei,currantjelly
aalbessenjam,currant‐jam
aalbessenjenever,blackcurrantgin
aalbessenvla,currantcustard
aalbessesap,currantjuice
aalbessestruik,currant
aalbessestruik,currantbush
aalduiker,grebe
aalfuik,eel‐pot
aalfuik,eel‐trap
aalgeer,eelspear
aalglad,slipperyasaneel
aalmoes,alms
aalmoes,charity
aalmoezenier,armychaplain
aalmoezenier,chaplain
aalmoezenier,padre
aalmoezeniershuis,almonry
aalmoezeniershuis,almshouse
aalmoezeniershuis,workhouse
aalpastei,eel‐pie
aalschaar,eelspear
aalscholver,cormorant
aalspeer,eelspear
aalst,alost
aalsvel,eelskin
aalt,liquidmanure
aalt,muck‐water
aalt,stale
aaltje,nematode
aalvork,eelspear
aalvormig,anguilliform
aalvormig,eel‐shaped
aalwaardig,fretful
aalwaardig,morose
aalwaardig,peevish
aalwaardig,simple
aalwaardig,straightforward
aalwaardig,sullen
aalwarig,fretful
aalwarig,morose
aalwarig,peevish
aalwarig,simple
aalwarig,straightforward
aalwarig,sullen
aam,aum
aambei,haemorrhoid
aambei,hemorrhoid
aambei,pile
aambeien,haemorhoids
aambeienpoeder,pilepowder
aambeienzalf,pileointment
aamborstig,asthmatic
aamborstig,wheezy
aamborstigheid,asthma
aamborstigheid,shortnessofbreath
aamborstigheid,wheeziness
aan,a
aan,about
aan,above
aan,after
aan,at
aan,behind
aan,beside
aan,by
aan,bymeansof
aan,concerning
aan,in
aan,inside
aan,into
aan,near
aan,nearby
aan,nearto
aan,nextto
aan,on
aan,over
aan,per
aan,through
aan,to
aan,toward
aan,towards
aan,upon
aan,with
aan,within
aan 'm,him
aan 'm,tohim
aan 'r,her
aan 'r,toher
aan alle kanten,oneveryside
aan boord,aboard
aan boord,onboard
aan boord gaan,embark
aan boord van,aboard
aan d'r,her
aan d'r,toher
aan de,the
aan de,tothe
aan de achterkant,attheback
aan de achterkant,behind
aan de andere kant,ontheotherhand
aan de grond lopen,strand
aan de grond raken,sink
aan de hand zĳn,comeabout
aan de hand zĳn,happen
aan de hand zĳn,occur
aan de overkant,across
aan de overkant,opposite
aan de overkant van,across
aan de overkant van,beyond
aan de overkant van,ontheothersideof
aan de overkant van,opposite
aan de praat krĳgen,puton
aan de praat krĳgen,start
aan de praat krĳgen,switchon
aan de praat krĳgen,turnon
aan de rechterkant,ontheright
aan de rechterzĳde,ontheright
aan de rol zĳn,debauch
aan de scharrel zĳn,flirt
aan de scharrel zĳn,flit
aan de scharrel zĳn,flutter
aan de schouder brengen,level
aan de slag,awaywego
aan de slag,let'sstart
aan de wandel zĳn,goforawalk
aan de wandel zĳn,stroll
aan elkaar lĳmen,agglutinate
aan elkaar vastmaken,connect
aan elkaar vastmaken,join
aan flarden gescheurd,tattered
aan haar,her
aan haar,toher
aan hem,him
aan hem,tohim
aan het,the
aan het,tothe
aan het einde,attheback
aan het einde,behind
aan het einde,intherear
aan hun,them
aan hun,tothem
aan je,thee
aan je,tothee
aan je,toyou
aan je,you
aan jou,thee
aan jou,tothee
aan jou,toyou
aan jou,you
aan jullie,toyou
aan jullie,you
aan komen lopen,approach
aan komen lopen,dealwith
aan komen lopen,tackle
aan land gaan,land
aan me,me
aan me,tome
aan mĳ,me
aan mĳ,tome
aan ons,tous
aan ons,us
aan u,toyou
aan u,you
aan wal gaan,bewashedashore
aan wal komen,land
aan wie,whom
aan ze,them
aan ze,tothem
aan zĳn,burn
aan zĳn,shine
aan één stuk door,atastrech
aan één stuk door,for...together
aan één stuk door,onend
aanaarden,earth
aanaarden,earthup
aanaarden,hill
aanaarden,hillup
aanbakken,fur
aanbeeldbeentje,anvil
aanbeeldbeentje,incus
aanbeeldbeitel,hardy
aanbeeldsbeentje,anvil
aanbeeldsbeentje,incus
aanbeeldvogel,smallwoodpecker
aanbehorend,accessory
aanbelanden,endup
aanbelang,concern
aanbelangen,concern
aanbelangen,relate
aanbesteden,invitetendersfor
aanbesteden,putouttotender
aanbesteding,publictender
aanbesteding,tender
aanbetaling,downpayment
aanbetaling,firstinstalment
aanbetaling,initialdeposit
aanbetaling,instalment
aanbevelen,commend
aanbevelen,recommend
aanbevelenswaard,recommendable
aanbevelenswaardig,recommendable
aanbeveling,recommendation
aanbevelingsbrief,letterofintroduction
aanbevelingsbrief,letterofrecommendation
aanbevolen,recommended
aanbiddelĳk,adorable
aanbidden,adore
aanbidden,worship
aanbiddenswaardig,adorable
aanbidding,adoration
aanbidding,worship
aanbidster,adorer
aanbidster,femaleadorer
aanbidster,femaleworshipper
aanbidster,worshipper
aanbieden,bid
aanbieden,makeanofferof
aanbieden,offer
aanbieden,presentwith
aanbieding,offer
aanbieding,presentation
aanbieding,tender
aanbinden,begin
aanbinden,commence
aanbinden,start
aanblaffen,barkat
aanblaffen,bayat
aanblazen,blow
aanblazen,fan
aanblik,appearance
aanblik,aspect
aanblik,exterior
aanblik,look
aanblik,sight
aanblik,view
aanblĳven,continueinoffice
aanblĳven,remaininoffice
aanblĳven,stayon
aanbod,offer
aanbod,tender
aanboren,bore
aanboren,broach
aanboren,sink
aanboren,strike
aanboren,tap
aanbouw,building
aanbouwen,add
aanbranden,stick to the pan
aanbreken,begin
aanbreken,breakinto
aanbreken,broach
aanbreken,commence
aanbreken,cutinto
aanbreken,start
aanbreken van de dag,dawn
aanbreken van de dag,daybreak
aanbrengen,accuse
aanbrengen,bring
aanbrengen,denounce
aanbrengen,fetch
aanbrengen,fit
aanbrengen,fix
aanbrengen,giveanaccount
aanbrengen,mount
aanbrengen,place
aanbrengen,putup
aanbrengen,recruit
aanbrengen,report
aandacht,acuity
aandacht,advertence
aandacht,advertency
aandacht,attention
aandacht schenken aan,payattentionto
aandacht schenken aan,takeaccountof
aandacht schenken aan,takeintoaccount
aandachtig,attentive
aandachtig,attentively
aandeel,share
aandeel aan toonder,bearer share
aandeel aan toonder,share to bearer
aandeel op naam,registered share
aandeelhouder,shareholder
aandeelhouderschap,shareholdership
aandelenkapitaal,share‐capital
aandenken,keepsake
aandenken,memento
aandenken,memory
aandenken,recollection
aandenken,souvenir
aandienen,advertise
aandienen,announce
aandienen,givenotice
aandikken,blow up
aandikken,heighten
aandikken,thicken
aandoen,activate
aandoen,affect
aandoen,agitate
aandoen,callat
aandoen,cause
aandoen,giveriseto
aandoen,move
aandoen,puton
aandoen,switch
aandoen,turnon
aandoening,affection
aandoening,ailment
aandoening,disease
aandoening,emotion
aandoenlĳk,affecting
aandoenlĳk,moving
aandoenlĳk,seized with emotion
aandoenlĳk,touching
aandraaien,fasten
aandraaien,switch
aandraaien,tighten
aandraaien,turn
aandraaien,turnon
aandragen,bring
aandragen,fetch
aandrang,access
aandrang,congestion
aandrang,crush
aandrang,impetus
aandrang,impulse
aandrang,insistence
aandrang,pressure
aandrang,rush
aandrang,urgency
aandrift,access
aandrift,impetus
aandrift,impulse
aandrift,instinct
aandringen,insist
aandrukken,press
aandrukken,pressfirmly
aandrĳfas,driveshaft
aandrĳfas,drivingaxle
aandrĳven,actuate
aandrĳven,be washed ashore
aandrĳven,chase
aandrĳven,drive
aandrĳven,driveon
aandrĳven,impel
aandrĳven,shoo
aandrĳving,drive
aanduiden,indicate
aanduiden,pointout
aanduiden,show
aanduiden,suggest
aanduiding,index
aanduiding,indication
aandurven,dare
aandurven,daretofight
aandurven,standupto
aandurven,venture
aanduwen,push
aaneen,atastrech
aaneen,co‐
aaneen,fellow
aaneen,for...together
aaneen,onend
aaneen,together
aaneennaaien,sewtogether
aaneenschakelen,linktogether
aaneenschakelen,linkup
aaneenschakeling,order
aaneenvoegen,join
aaneenvoegen,unite
aaneen‐,co‐
aaneen‐,fellow
aanflitsen,burn
aanflitsen,catch
aanflitsen,flashon
aanflitsen,strike
aanflitsen,takefire
aanfloepen,burn
aanfloepen,catch
aanfloepen,flashon
aanfloepen,strike
aanfloepen,takefire
aanfluiting,mockery
aangaan,burn
aangaan,catch
aangaan,concern
aangaan,flashon
aangaan,form
aangaan,makeacontract
aangaan,makeanoise
aangaan,relate
aangaan,shape
aangaan,strike
aangaan,takefire
aangaan bĳ,callat...'shouse
aangaan bĳ,callon
aangaande,about
aangaande,asregards
aangaande,asto
aangaande,concerning
aangaande,on
aangaande,upon
aangapen,gape
aangapen,gapeat
aangapen,gawk
aangebedene,adoredone
aangeboren,congenital
aangeboren,congentital
aangeboren,inborn
aangeboren,inbred
aangeboren,innate
aangeboren,native
aangebrand,burnt
aangedaan,affected
aangedaan,seizedwithemotion
aangegrepen,affected
aangegrepen,seizedwithemotion
aangeklaagde,accused
aangeklaagde,defendant
aangeleerd,acquired
aangeleerd,learnt
aangelegenheid,affair
aangelegenheid,business
aangelegenheid,businessdeal
aangelegenheid,case
aangelegenheid,interest
aangelegenheid,matter
aangenaam,agreeable
aangenaam,agreeably
aangenaam,comfortably
aangenaam,enjoyable
aangenaam,lovely
aangenaam,nice
aangenaam,pleasant
aangenaam,pleasantly
aangenaamheid,pleasantness
aangenomen,adopted
aangenomen,adoptive
aangenomen,job‐
aangenomen dat,supposingthat
aangenomen kind,adoptivechild
aangenomen worden,affiliate
aangepast,adapted
aangeschoten,tipsy
aangeschoten,winged
aangeschoten,wounded
aangespen,gird
aangestoken,unsound
aangestoken,worm‐eaten
aangetekend,registered
aangetekende brief,registeredletter
aangetrouwd,bymarriage
aangetrouwd,relatedbymarriage
aangetrouwd,‐in‐law
aangeven,accuse
aangeven,convey
aangeven,declare
aangeven,denounce
aangeven,give
aangeven,hand
aangeven,handover
aangeven,indicate
aangeven,pass
aangeven,pointout
aangeven,register
aangeven,show
aangeven,spend
aangeven,state
aangeven,suggest
aangevuld worden,becomecomplete
aangezicht,face
aangezichtspĳn,face‐ache
aangezichtspĳn,ticdouloureux
aangezien,as
aangezien,because
aangezien,for
aangezien,forthereasonthat
aangezien,since
aangifte,accusation
aangifte,declaration
aangifte,proclamation
aangifte,statement
aangiftebiljet,taxform
aangorden,gird
aangrenzend,adjacent
aangrenzend,adjoining
aangrenzend,nearby
aangrenzend,neighbouring
aangroei,accretion
aangroei,growth
aangroei,increase
aangroeien,accrue
aangroeien,augment
aangroeien,grow
aangroeien,increase
aangroeiend,accumulative
aangrĳpen,affect
aangrĳpen,agitate
aangrĳpen,assault
aangrĳpen,attack
aangrĳpen,clutch
aangrĳpen,grab
aangrĳpen,grasp
aangrĳpen,grip
aangrĳpen,move
aangrĳpen,seize
aangrĳpen,stir
aangrĳpend,affecting
aangrĳpend,moving
aangrĳpend,touching
aanhaken,hitchon
aanhaken,hookon
aanhalen,attract
aanhalen,cite
aanhalen,quote
aanhalig,affectionate
aanhalig,caressing
aanhalig,cuddlesome
aanhalig,cuddly
aanhaling,citation
aanhaling,quotation
aanhalingsteken,invertedcomma
aanhalingsteken,quotationmark
aanhalingsteken,quote
aanhalingstekens,invertedcommas
aanhalingstekens,quotationmarks
aanhalingstekens,quotes
aanhang,adherents
aanhang,disciples
aanhang,followers
aanhang,following
aanhang,party
aanhang,partymembers
aanhang,supporters
aanhangen,adhereto
aanhangen,stick
aanhanger,acolyte
aanhanger,adherent
aanhanger,member
aanhanger,supporter
aanhanger van een rechtse partĳ,right‐hander
aanhangig,pending
aanhangig maken,bringbefore
aanhangig maken,laybefore
aanhangig maken,takeup
aanhangsel,accessorie
aanhangsel,accessory
aanhangsel,addition
aanhangsel,adjunct
aanhangsel,appendix
aanhangsel,side‐issue
aanhangwagen,trailer
aanhankelĳk,affectionate
aanhankelĳk,devoted
aanhankelĳk,selfless
aanhankelĳkheid,adherence
aanhankelĳkheid,affection
aanhankelĳkheid,attachement
aanhankelĳkheid,attachment
aanharken,rake
aanhebben,wear
aanhechten,affix
aanhechten,attach
aanhechting,attachment
aanhechtsel,affix
aanhef,beginning
aanhef,commencement
aanhef,start
aanhoren,listen
aanhouden,adjourn
aanhouden,arrest
aanhouden,continue
aanhouden,delay
aanhouden,endure
aanhouden,halt
aanhouden,hold
aanhouden,keep...burning
aanhouden,keepon
aanhouden,last
aanhouden,persevere
aanhouden,persist
aanhouden,postpone
aanhouden,pursue one's point
aanhouden,stop
aanhoudend,abiding
aanhoudend,constant
aanhoudend,lasting
aanhoudend,sustained
aanhouding,apprehension
aanhouding,arrest
aanhouding,detention
aankaarten,bringup
aankaarten,serve
aanklacht,accusal
aanklacht,accusation
aanklacht,charge
aanklacht,complaint
aanklacht,indictment
aanklagen,accusation
aanklagen,accuse
aanklager,accuser
aanklampen,accost
aanklampen,address
aanklampen,board
aankleden,clothe
aankleden,dress
aankleden,furnish
aanklevend,adhesive
aankloppen,knockatthedoor
aankloppen,rapatthedoor
aankloppen bĳ,applyto
aanknopen,tieon
aanknopingspunt,startingpoint
aankomen,gain
aankomen,putonweight
aankomen,touch
aankomend,future
aankomend,junior
aankomend,next
aankomend,young
aankomst,arrival
aankondigen,acquaint
aankondigen,advertise
aankondigen,advise
aankondigen,announce
aankondigen,counsel
aankondigen,givenotice
aankondigen,inform
aankondigen,letknow
aankondigen,notify
aankondiging,ad
aankondiging,advertisement
aankondiging,announcement
aankondiging,notice
aankondiging,notification
aankoop,acquisition
aankoop,purchase
aankopen,acquire
aankopen,buy
aankopen,purchase
aankruisen,checkoff
aankruisen,markwithacross
aankruisen,putacrossagainst
aankruisen,tickoff
aankunnen,be able to cope with
aankunnen,be able to do
aankunnen,be able to match with
aankunnen,be stronger than
aankweken,cultivate
aankweken,grow
aanlanden,endup
aanlanden,land
aanleg,aptitude
aanleg,design
aanleg,disposition
aanleg,outline
aanleg,predisposition
aanleg,sketch
aanleg,talent
aanleg,tendency
aanleg,turn
aanleggen,aim
aanleggen,build
aanleggen,construct
aanleggen,install
aanleggen,level
aanleggen,takeaim
aanleghaven,portofcall
aanlegplaats,landing‐stage
aanlegplaats,pier
aanlegplaats,platform
aanlegplaats,quay
aanlegplaats,wharf
aanlegsteiger,landing‐stage
aanlegsteiger,pier
aanleiding,inducement
aanleiding,motive
aanleiding,occasion
aanlengen,dilute
aanlengen,weaken
aanleren,learn
aanleunen tegen,leanagainst
aanliggend,adjacent
aanliggend,adjoining
aanliggend,nearby
aanliggend,neighbouring
aanlokkelĳk,alluring
