Other,English
உருக்கு,the
உருக்கு,melt
அந்த,the
அந்த,yon
அந்த,that
அந்த,those
இந்த,the
இந்த,these
இந்த,this
காரண இடுகுறிப்பெயர்,reasoning itukurippeyar
சாதி பன்மை சுட்டுச்சொல்,if the plural of caste cuttucce
பெண்பால் சுட்டு,the
ஆண்பால் சுட்டு,the
அவ்விடத்தில்,yon
அவ்விடத்தில்,in place of
அவ்விடத்தில்,yonder
அவ்விடத்தில்,there
அவ்விடத்தில்,there in
அவ்விடத்தில்,therein
அதோ,yon
இவை,these
இவை,thespian
இவர்கள்,these
பல குறித்த,these
அது,that
அது,it
அது,thatch
அவர்,that
அவன்,that
அவன்,he
அவள்,that
அவள்,she
அதோ வருவது,that
அவர்கள்,those
அவர்கள்,they
அவை,those
அவை,they
அவை,audience
அதோ அங்கிருக்கிற,yonder
அங்கு,therein
அங்கு,thither
இது,this
அங்கே,there
அங்கே,thereat
தொலைவிடத்தில்,there
துன்பியல் நாடகத்தோடு இணைக்கப்பட்ட துன்பியல் நாட்கம் சார்ந்த,thespian
காரண itukurippeyar,reasoning itukurippeyar
என்றால் சாதி cuttucce பன்மை,if the plural of caste cuttucce
கூறைபோடும் விழல்,thatch
வைக்கோல்,thatch
வைக்கோல்,hay
வைக்கோல்,straw
அவைகள்,they
அவர்(கள்),they
சபை,audience
சபை,association
சபை,assembly
சபை,house
கவனிப்போர்,audience
கேட்போர்,audience
கேட்போர்,auditor
அவ்விடத்திற்கு,thither
அவ்விடத்திற்கு,there to
அவ்விடத்திற்கு,thereto
அதில்,thereat
அதில்,theremometer
அதில்,wherein
உறிஞ்சு குழாய்,straw
பெண்,she
பெண்,woman
பெண்,girl
கேட்போர் கூட்டம்,audience
கழகம்,association
கழகம்,company
கழகம்,club
சங்கம்,assembly
சங்கம்,society
சங்கம்,club
சங்கம்,guild
சங்கம்,corporation
சங்கம்,institution
சங்கம்,organization
சங்கம்,academy
மன்றம்,house
மன்றம்,guild-hall
மன்றம்,auditorium
மன்றம்,council
மன்றம்,board
மன்றம்,hall
அதற்கு,thereto
எதில்,wherein
ஒருவர் உடலின் தட்ப வெப்பம் காணும் கருவி,theremometer
வெப்பமானி,theremometer
வெப்பமானி,thermometer
துரும்பு,straw
படை,straw
படை,ringworm
படை,army
படை,military
படை,vent
படை,create
மனுஷி,woman
மகளிர்,woman
மகளிர்,ladies
கூடுதல்,association
கூடுதல்,increments
ஒருங்கு கூடுதல்,assembly
வீடு,house
வீடு,home
வீடு,tenement
சகவாசம்,company
கூட்டம்,company
கூட்டம்,concourse
கூட்டம்,boodle
கூட்டம்,batch
கூட்டம்,gathering
கூட்டம்,assemblage
கூட்டம்,crowd
கூட்டம்,group
கூட்டம்,confederacy
கூட்டம்,congress
கூட்டம்,convention
கூட்டம்,troop
கூட்டம்,shoal
கூட்டம்,throng
தாடி,club
தாடி,beard
தாடி,barba
கல்விச்சாலை,academy
கூட்டுறவுக் குழு,guild
கூடிப் பழகும் இயல்புள்ள,club
சமூகம்,company
சமூகம்,society
குழு,organization
குழு,squad
நகராட்சிக் கழகம்,corporation
நகரசபை,corporation
மண்டபம்,auditorium
மண்டபம்,mahal
மண்டபம்,grotto
நீண்ட பொது அறை,hall
நகர மண்டபம்,guild-hall
பலகை,board
பலகை,slab
பலகை,board or plank
கீறல்,vent
கீறல்,scratch
கீறல்,tear
கீறல்,scrape
எச்சிற்றேமல்,ringworm
பெண் குழந்தை,girl
பெண் குழந்தை,infant
வாணிகச்சங்கம்,company
படை பிரிவு,company
சமுதாயம்,society
சமுதாயம்,community
