English,Other
an,
the,
annealer,#name?
coffret,#name?
dilettantes,#name?
eelworm,#name?
exemplifies,#name?
fated,#name?
implements,#name?
lents,#name?
raiser,#name?
stenographers,#name?
toisen,#name?
tribespeople,#name?
naturam,'luonteensa
rachis,+ ruoti +
treas,aa
alphabetic,aakkosellinen
alphabetical,aakkosellinen
alphabet,aakkoset
alphabets,aakkoset
alphabetically,aakkosjärjestyksessä
alphanumeric,aakkosnumeerinen
wavelets,aallokkeita
surf,aallokko
breakwater,aallonmurtaja
jetty,aallonmurtaja
breakwaters,aallonmurtajat
wavelengths,aallonpituudet
wavelength,aallonpituus
nadir,aallonpohja
flushes,aallot
waves,aallot
corrugated,aallotettu
rippled,aallotettu
corrugations,aallotuksia
aloe,aaloe
surge,aalto
wave,aalto
waveband,aaltoalue
undulates,aaltoilee
undulating,aaltoileva
wavy,aaltoileva
undulated,aaltoilevan
undulation,aaltoilevuus
undulate,aaltoilla
undulations,aaltoja
waveguides,aaltojohdot
wavebands,aaltokaistat
wavelike,aaltomainen
waveforms,aaltomuodot
waveform,aaltomuoto
waveguide,aaltoputken
wavefront,aaltorintama
amen,aamen
breakfast,aamiainen
breakfasts,aamiaiset
breakfasted,aamiaista
morn,aamu
morning,aamu
matins,aamuhartaus
mornings,aamuisin
daybreak,aamunkoite
forenoon,aamupäivä
aurora,aamurusko
negligee,aamutakki
levee,aamuvastaanotto
speller,aapinen
aria,aaria
griffins,aarnikotkat
treasure,aarre
treasures,aarteita
donkey,aasi
asia,aasia
asien,aasia
asian,aasialainen
asiatic,aasialainen
asians,aasialaiset
asiatics,aasialaiset
asses,aasit
donkeys,aasit
adam,aatami
antediluvian,aataminaikainen
aristocrats,aateliset
nobles,aateliset
noblemen,aatelisia
peerage,aateliskalenteri
coronet,aateliskruunu
nobleman,aatelismies
nobility,aatelisto
commoner,aateliton
commonalty,aatelittomat
knighted,aateloitiin
vigil,aatto
eves,aattoina
ghost,aave
phantom,aave
wraith,aave
eerie,aavemainen
ghostly,aavemainen
spooky,aavemainen
desertification,aavikoituminen
deserts,aavikot
foresee,aavistaa
foresees,aavistaa
foreshadowing,aavistaa
undreamed,aavistamaton
unsuspected,aavistamaton
fractionally,aavistuksen
foreboding,aavistus
hunch,aavistus
inkling,aavistus
intimation,aavistus
