Other,English
тухайлах ялгац гишүүн,the
олон тоо,the
олон тоо,plural
-ын/-ийн,of
-аар/-ээр,of
-аар/-ээр,per
-оор/-өөр,of
-тай/-тухай,of
түүгээр,per
түүгээр,thereby
ба,and
бас,and
бас,too
бас,yet
бас,else
атал,yet
мөн,too
мөн,also
мон,else
мон,yes
дэндүү,too
хэтэрхий,too
гадна,else
гадна,besides
гадна,besides
гадна,outside
гадна,except
гадна,without
за,yes
тийм,yes
тийм,such
тийм,so
тийм,thus
үгүй,without
үгүй,never
-гүй,without
ул барам,besides
ул барам,besides
тэгээд,so
тэгээд,thus
тэгээд,therefore
ийн,thus
төдий,so
тэгж,so
гадна тал,outside
гаднахө,outside
нээлттэй,outside
хэзээ ч,never
хэзээ ч,anytime
ер,never
ер,ninety
өөд,to
өөд,toward
өөд,up
өөд,upwards
зүг,to
зүг,toward
хүртэл,to
хүртэл,until
хүртэл,even
луу,up
луу,dragon
дээшээ,up
дээшээ,upwards
руу,up
тийш,toward
рүү,toward
ч гэсэн,even
тэр байтүгай,even
болтол,until
дээр,up
дээр,over
дээр,upon
тэгш,even
тэгш,smooth
адил,even
адил,identical
адил,equal
адил,same
тайван,even
тайван,cool
тайван,quiet
тайван,sedation
тайван,gently
-ээр/-оор,over
цаана,over
цаана,beyond
цаана,across
цаана,farther
-аар/-өөр,over
дээгүүр,over
хүйтэн,cool
хүйтэн,cold
хүйтэн,distant
хорох,cool
тэнцүү,equal
тэнцүү,equally
ижил,equal
дөлгөөн,quiet
дөлгөөн,mild
нууц,quiet
нууц,illegal
нууц,mysterious
нууц,confidential
нууц,close
нууц,secret
нууц,mystery
нууц,inside
цааш,farther
цааш,further
цааш,away
ногөө талд,beyond
гүйцээх,over
холын,distant
хондий,distant
алсын,distant
алсын,far
даарсан,cold
ханиад,cold
ханиад,cough
ханиад,flu
зөөлөн,mild
зөөлөн,soft
халуун,close
халуун,heat
халуун,fever
ухаан,inside
ухаан,intellect
ухаан,consciousness
хуулө бус,illegal
хуулө бус,lawless
