Other,English
"""carry-over"" virkning",carry-over effect
"""ikke i min baghave""-holdning",NIMBY aptitude
"""ikke i min baghave""-holdning",NIMBY attitude
(faglig) uddannelse,training
(kanal)sluse,canal lock
(op)rensning af slam,clearing sludge
(politisk) retningslinje,policy guideline
(skadedyrs)angreb på afgrøde,infestation of crops
(skadedyrs)angreb på fødevarer,infestation of food
(udstedelse af) certifikat,certification
AOX-værdi (adsorberbart organisk halogen),AOX value
ASEAN,ASEAN
ASEAN,Association of Southeast Asian Nations
Abidjan,Abidjan
Abkhasien,Abkhazia
Abraham Lincoln,Abraham Lincoln
Abuja,Abuja
Adelaide,Adelaide
Adriaterhavet,Adriatic Sea
Afghanistan,Afghanistan
Afghanistan,Transitional Islamic State of Afghanistan
Afrika,Africa
Albanien,Albania
Albanien,Republic of Albania
Algeriet,Algeria
Algeriet,People's Democratic Republic of Algeria
Alperne,Alps
Amerikansk Samoa,American Samoa
Amerikas Forenede Stater,America
Amerikas Forenede Stater,States
Amerikas Forenede Stater,U.S.
Amerikas Forenede Stater,U.S. of A.
Amerikas Forenede Stater,U.S.A.
Amerikas Forenede Stater,US
Amerikas Forenede Stater,United States
Amerikas Forenede Stater,United States of America
Ames' test,Ames test
Amsterdam,Amsterdam
Andorra,Andorra
Andorra,Principality of Andorra
Angola,Angola
Angola,Republic of Angola
Anguilla,Anguilla
Antarktis,Antarctica
Antigua og Barbuda,Antigua and Barbuda
Argentina,Argentina
Argentina,Argentine Republic
Arizona,Arizona
Armenien,Armenia
Aruba,Aruba
Aserbajdsjan,Azerbaijan
Aserbajdsjan,Republic of Azerbaijan
Asien,Asia
Australien,Australia
Australien,Commonwealth of Australia
Azorerne,Azores
Bahamas,Bahama Islands
Bahamas,Bahamas
Bahamas,Commonwealth of the Bahamas
Bahrain,Bahrain
Baleariske Øer,Balearic Islands
Bangladesh,Bangladesh
Bangladesh,People's Republic of Bangladesh
Barbados,Barbados
Bayern,Bavaria
Beijing,Beijing
Belarus,Belarus
Belarus,Republic of Belarus
Belgien,Belgium
Belgien,Kingdom of Belgium
Belize,Belize
Belmopan,Belmopan
Benin,Benin
Benin,Republic of Benin
Beograd,Belgrade
Berlin,Berlin
Bermuda,Bermuda
Betlehem,Bethlehem
Bhutan,Bhutan
Bhutan,Kingdom of Bhutan
Bibelen,Bible
Birmingham,Birmingham
Bjørnevogteren,Boötes
Bolivia,Bolivia
Bolivia,Republic of Bolivia
Bonn,Bonn
Borgmester,mayor
Borneo,Borneo
Borneo,Kalimantan
Bosnien-Hercegovina,Bosnia and Herzegovina
Bosnien-Hercegovina,Republic of Bosnia and Herzegovina
Botswana,Botswana
Botswana,Republic of Botswana
Bourgogne,Bourgogne
Bouvetøen,Bouvet Island
Brasilien,Brazil
Brunei,Brunei
Brunei,Negara Brunei Darussalam
Bulgarer,Bulgarian
Bulgarien,Bulgaria
Bulgarien,Republic of Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Burundi,Republic of Burundi
CFC,CFC
CFC,chlorofluorocarbon
CO2-afgift,carbon dioxide tax
Cambodja,Cambodia
Cambodja,Kingdom of Cambodia
Cameroun,Cameroon
Cameroun,Republic of Cameroon
Canada,Canada
Caribien,Caribbean
Caribien,Caribbean Area
Cassiopeia,Cassiopeia
Cayman-øerne,Cayman Islands
Centralafrika,Central Africa
Centralafrikanske Republik,Central African Republic
Centralamerika,Central America
Centralasien,Central Asia
Charente,Charente
Chihuahua,Chihuahua
Chile,Chile
Chile,Republic of Chile
Christmas Island,Christmas Island
Colombia,Colombia
Colombia,Republic of Colombia
Comorerne,Comoros
Comorerne,Union of the Comoros
Cookøerne,Cook Islands
Costa Rica,Costa Rica
Costa Rica,Republic of Costa Rica
Cuba,Cuba
Cuba,Republic of Cuba
Cypern,Cyprus
Cypern,Republic of Cyprus
DDR,GDR
DDR,German Democratic Republic
DDT,DDT
DDT,dichloro-diphenyl-trichloroethane
DNA,DNA
DNA,deoxyribonucleic acid
Dakar,Dakar
Danmark,Denmark
Danmark,Kingdom of Denmark
De Europæiske Fællesskaber,European Communities
De Europæiske Fællesskabers Domstol,Court of Justice of the European Communities
De Forenede Nationer,UN
De Forenede Nationer,United Nations
Demokratiske Republik Congo,Congo-Kinshasa
Demokratiske Republik Congo,Democratic Republic of the Congo
Den Europæiske Monetære Fond,European Monetary Fund
Den Europæiske Union,EU
Den Europæiske Union,European Union
Den Globale Miljøfacilitet,GEF
Den Globale Miljøfacilitet,Global Environment Facility
Den Internationale Domstol,International Court of Justice
Den Internationale Valutafond,IMF
Den Internationale Valutafond,International Monetary Fund
Den Kirgisiske Republik,Kyrgyz Republic
Den Kirgisiske Republik,Kyrgyzstan
Den Tjekkiske Republik,Czech Republic
Den Tjekkiske Republik,Czechia
Det Europæiske Miljøagentur,European Environment Agency
Det Europæiske Miljøråd,European Environmental Council
Det Forenede Kongerige Storbritannien og Nordirland,UK
Det Forenede Kongerige Storbritannien og Nordirland,United Kingdom
Det Forenede Kongerige Storbritannien og Nordirland,United Kingdom of Great Britain and Northern Ireland
Det Indiske Ocean,Indian Ocean
Det Kaspiske Hav,Caspian Sea
Djibouti,Djibouti
Djibouti,Republic of Djibouti
Dominica,Commonwealth of Dominica
Dominica,Dominica
Dominikanske Republik,Dominican Republic
Downs syndrom,Down syndrome
Downs syndrom,Down’s syndrome
EEA,European Environment Agency
EF,European Communities
EF's Ministerråd,EC Council of Ministers
EF's miljømærke,EC ecolabel
EF-Domstolen,European Court of Justice
EF-direktiv,EC directive
EF-direktiv om beskyttelse af vandmiljøet,EC directive on water protection
EF-direktiv om biocider,EC directive on biocides
EF-direktiv om bortskaffelse af affald,EC directive on waste disposal
EF-forordning,EC regulation
EF-forordning om eksisterende stoffer,EC regulation on existing chemicals
EF-forordning om miljøstyring og miljørevision,EC regulation on eco-management and audit
EF-traktaten,EC Treaty
EMS,EMS
EMS,European Monetary System
EU,EU
EU,European Union
Ecuador,Ecuador
Ecuador,Republic of Ecuador
Egypten,Arab Republic of Egypt
Egypten,Egypt
Eiffeltårnet,Eiffel Tower
El Salvador,El Salvador
El Salvador,Republic of El Salvador
Elfenbenskysten,Cote d'Ivoire
Elfenbenskysten,Ivory Coast
Elfenbenskysten,Republic of Cote d'Ivoire
England,England
Eritrea,Eritrea
Estland,Estonia
Estland,Republic of Estonia
Etiopien,Ethiopia
Etiopien,Federal Democratic Republic of Ethiopia
Euratom,Euratom
Europa,Europe
Europa-Parlamentet,European Parliament
FN,UN
FN,United Nations
Falklandsøerne,Falkland Islands
Felidae (katte),felid
Fiji,Fiji
Fiji,Republic of the Fiji Islands
Filippinerne,Philippines
Finland,Finland
Finland,Republic of Finland
Flandern,Flanders
Flandern,Flemish region
Fløjte,flute
Forenede Arabiske Emirater,United Arab Emirates
Forenede Kongerige,UK
Forenede Kongerige,United Kingdom
Forenede Kongerige,United Kingdom of Great Britain and Northern Ireland
Frankrig,France
Fransk Guyana,French Guiana
Fransk Polynesien,French Polynesia
Fuji,Mount Fuji
Fællesskabernes retssystem,Community legal system
Færøerne,Faroe Islands
GIS-digitalformat,GIS digital format
GIS-digitalsystem,GIS digital system
GIS-digitalteknik,GIS digital technique
