Other,English
aids,aids
aarão,aaron
abissínia,abyssinia
abraão,abraham
acaia,achaea
acaia,achaia
adriano,adrian
adriático,adriatic
adriático,adriatic sea
advento,advent
adônis,adonis
adão,adam
afeganistão,afghanistan
afrodite,aphrodite
agamemnon,agamemnon
agosto,august
agripa,agrippa
ajax,ajax
alasca,alaska
alberto,albert
albânia,albania
alcorão,koran
alemanha,germany
aleutas,aleutian islands
alex,alex
alexandre,alexander
alexandria,alexandria
alfredo,alfred
algéria,algeria
alpes,alps
alá,allah
amadeu,amadeus
amazonas,amazon
amon,ammon
amor,cupid
amsterdão,amsterdam
amur,amur
américa,america
américa,united states of america
américa,usa
américa central,central america
américa latina,latin america
américa do norte,north america
américa do sul,south america
amã,amman
ana,ann
anastácia,anastasia
anatólia,anatolia
anatólia,asia minor
ancara,angora
ancara,ankara
andaluzia,andalusia
andes,andes
andorra,andorra
andrômeda,andromeda
angola,angola
angorá,angora
angorá,ankara
antares,antares
anticristo,antichrist
antilhas,antilles
antioquia,antioch
antuérpia,antwerp
antônia,antony
anunciação,annunciation
anunciação,lady day
anúbis,anubis
apeninos,apennines
apocalipse,apocalypse
apolo,apollo
aqueronte,acheron
aquiles,achilles
aquitânia,aquitaine
aracne,arachne
aral,lake aral
ararat,ararat
arcturo,arcturis
ardenas,ardennes
ares,ares
areópago,areopagus
argel,algiers
argentina,argentina
argo,argus
argos,argus
argélia,algeria
argólida,argus
ariadne,ariadne
aristóteles,aristotle
arizona,arizona
armórica,armorica
armênia,armenia
artur,arthur
arábia,arabia
arábia saudita,saudi arabia
ascensão,ascension
assíria,assyria
atalanta,atalanta
atena,athena
atena,athene
atenas,athens
atlas,atlas
auclanda,auckland
augias,augeas
augusto,augustus
aurora,aurora
austrália,australia
aventino,aventine
ave maria,hail mary
azerbaijão,azerbaijan
baal,baal
babel,babel
babel,babylon
babilônia,babylonia
babilônia,babel
babilônia,babylon
baco,bacchus
bagdá,baghdad
bahamas,bahama islands
bahamas,bahamas
baical,baikal
balcãs,balkans
baleares,balearic islands
bali,bali
bancoc,bangkok
barba azul,bluebeard
barcelona,barcelona
barnabé,barnabas
bartolomeu,bartolomew
barém,bahrein
batávia,batavia
baviera,bavaria
baía de bafim,baffin bay
