English,Other
the,the
of,از
of,از مبدا
of,از منشا
of,از طرف
of,از لحاظ
of,در جهت
of,در سوی
of,بوسیله
of,ز
of,در باره
with,در جهت
with,بوسیله
with,با
with,در ازاء
with,برخلاف
with,بعوض
with,بطرف
with,پیش
via,بوسیله
via,توسط
via,از طریق
via,از راه
for,از طرف
for,بواسطه
for,برای
for,بجهت
for,بخاطر
for,مربوط به
for,بجای
for,به بهای
for,در مدت
for,بقدر
for,در برابر
for,در مقابل
for,برله
for,بطرفداری از
for,برای اینکه
for,بمنظور
for,زیرا که
for,چون که
about,در باره
about,با
about,در باب
about,راجع به
about,پیرامون
about,پیرامون
about,در حدود
about,در
about,در شرف
about,نزد
about,در صدد
about,قریب
about,نزدیک
about,نزدیک
about,در اطراف
about,دور تا دور
about,تقریبا
about,گرداگرد
about,بهر سو
about,بالاتر
by,از
by,بوسیله
by,توسط
by,بدست
by,با
by,بواسطه
by,پیرامون
by,نزدیک
by,بتوسط
by,پهلوی
by,از پهلوی
by,از کنار
by,کنار
by,از نزدیک
by,در کنار
by,از پهلو
by,درجه دوم
by,فرعی
from,از
from,از پیش
from,در نتیجه
from,از روی
from,بواسطه
re,در باره
re,با توجه به
re,عطف به
in,از
in,به
in,توی
in,اندر
in,در ظرف
in,با
in,بطرف
in,روی
in,نزدیک
in,هنگام
in,بالای
in,در توی
in,نزدیک ساحل
in,بر حسب
on behalf of,از طرف
per,بوسیله
per,توسط
per,با
per,برای هر
per,در هر
per,از میان
per,از وسط
per,برطبق
in re,در باره
on,در باره
on,به
on,برای
on,بطرف
on,بر روی
on,راجع به
on,روی
on,بر
on,بالای
on,وصل
on,در روی
on,بعلت
on,در بر
on,بخرج
on,بنا بر
on,سر
on,روشن
on,برقرار
on,باعتبار
on,در مسیر
on,به پیش
on,همواره
concerning,در باره
concerning,در باب
greed,از
greed,حرص
greed,طمع
avarice,از
avarice,حرص
avarice,خست
avarice,زیادهجویی
avarice,طمع
avidity,از
avidity,حرص
avidity,پر خوری
avidity,ازمندی
avidity,اشتیاق
avidity,طمع
esurience,از
esurience,حرص
esurience,پر خوری
esurience,ولع
esurience,جوع
esurience,گرسنگی
rapacity,از
rapacity,یغماگری
rapacity,درنده خویی
ab-,از
ab-,دور از
ab-,جدایی
ab-,غیر
abs-,از
abs-,دور از
abs-,غیر از
toward,در باره
toward,برای
toward,بطرف
toward,نسبت به
toward,بسوی
toward,نزدیک به
toward,روی
toward,در راه
toward,اینده
to,به
to,برای
to,بطرف
to,بسوی
to,در
to,پیش
to,در برابر
to,نزد
to,بر حسب
to,سوی
to,طرف
to,روبطرف
to,تا نسبت به
to,علامت مصدر انگلیسی است
cum,با
cum,باضافه
before,پیش
before,پیش از
before,جلو
before,پیش ازانکه
before,پیش ازانکه
before,قبل از
before,قبل
before,در حضور
before,پیشتر
before,سابق
before,سابقا
at,به
at,در نتیجه
at,بطرف
at,بسوی
at,در
at,بر
at,نزدیک
at,پهلوی
at,بر حسب
at,بنا بر
at,سر
at,از قرار
at,بقرار
at,ات
into,به
into,توی
into,اندر
into,در ظرف
into,بطرف
into,نسبت به
into,بسوی
into,در میان
unto,بطرف
unto,بسوی
unto,در
unto,پیش
unto,در برابر
unto,سوی
unto,روبطرف
unto,تا نسبت به
unlike,غیر
unlike,برخلاف
unlike,بی شباهت
unlike,برعکس
unlike,برعکس
instead of,بعوض
instead of,بجای
instead of,مقابل
against,به
against,با
against,بسوی
against,بر
against,در برابر
against,در مقابل
against,ضد
against,علیه
against,برضد
against,مخالف
against,برعلیه
against,مجاور
through,در ظرف
through,بواسطه
through,بخاطر
through,از میان
through,از میان
through,از طریق
through,از وسط
through,از اغاز تا انتها
through,از توی
through,سرتاسر
through,مستقیم
through,تمام شده
through,تمام
versus,در برابر
versus,در مقابل
versus,برضد
as to,مربوط به
as to,راجع به
as to,عطف به
as to,دربارهء
because,برای اینکه
because,زیرا که
because,چون که
because,زیرا
because,چه
because,علت
during,در مدت
during,هنگام
during,سر
during,طی
during,در طی
during,فاصله
during,ظرف
pending,در مدت
pending,در طی
pending,تا زمانی که
in order that,برای
in order that,برای اینکه
anent,مربوط به
anent,در اطراف
anent,در مشارکت با
because of,بواسطه
because of,بنا بر
because of,بسبب
because of,بدین دلیل
vis-a-vis,در مقابل
vis-a-vis,مقابل
vis-a-vis,شخص روبرو
vis-a-vis,روبرو
vis-a-vis,با هم
out of,بواسطه
out of,بیرون از
out of,در خارج
as for,مربوط به
as for,با توجه به
as for,عطف به
as for,دربارهء
pro,برای
pro,بخاطر
pro,بنفع
pro,له
pro,جنبه مثبت
for the sake,برای
within,توی
within,در ظرف
within,در حدود
within,در مدت
within,در توی
within,در داخل
within,باندازه
within,در حصار
nigh,قریب
nigh,نزدیک
nigh,نزدیک
nigh,تقریبا
nigh,مجاور
nigh,نزدیک شدن
hand-to-hand,نزدیک
hand-to-hand,نزدیک
hand-to-hand,مجاور
hand-to-hand,دست به یقه
hand-to-hand,دست بدست یکدیگر
hand-to-hand,در دسترس
close,نزدیک
close,نزدیک
close,محوطه
close,تنگ
close,خودمانی
close,بستن
close,مسدود کردن
close,محصور کردن
close,خاتمه دادن
close,پایان
close,خاتمه
close,جای محصور
close,انتها
close,ایست
close,توقف
close,بن بست
after,در صدد
after,عقب
after,در عقب
after,پشت سر
after,در پی
after,مابعد
after,در جستجوی
after,پس از
after,بعد از
after,بتقلید
after,بیادبود
almost,تقریبا
almost,قریبا
almost,بطور نزدیک
