Other,English
'a,bombax malabarica
'a,kapok tree
'a,silk tree
'a,simul tree
'a,vegetable silk tree
'nai khadsaw synnia,full moon
'nier bah,large intestine
'niuhmat,eyelash
'niuhthmain,moustache
'niuhtmoh,beard
'persoh,orchard
'riewalhia,idler
'riewalhia,u riewalhia niar eh ba u long u briew u basuk.
'riewbyrtia,miser
'riewdonburom,gentleman
'riewkynthei,widow
'riewmadan,common man
'riewnang 'riewtip,expert
'riewraid,dwarf
'riewsaid,his lawyer too did not seem to agree with me.
'riewsaid,lawyer
'riewsaid,u 'riewsaid jong u ruh um imat ïadei jingmut bad nga. ; his lawyer too did not seem to agree with me.
'riewshlur,hero
'riewspah,he is one of the richest men in this town.
'riewspah,rich
'riewspah,u long uwei na ki bariewspah tam ha kane ka nongbah. ; he is one of the richest men in this town.
'riewstad,scientist
'riewtbit,expert
'riewtip,scientist
'saikhwai,line
'saisharak,wick
'saiwul,wool
'tiewkulap,rose
'tiewlili,lily
'tikmie,thumb
a!,a!
a!,ah!
a!,oh!
a-khia,earnest man
abi,alphabet
abike,alphabet
abiki,alphabet
abra,confusedly
abra,in confusion
abri,confusedly
abri,in confusion
ai,afford
ai,give
ai,i cannot afford much.
ai,let
ai,ngam lah ban ai shibun. ; i cannot afford much.
ai baitrai,give at cost price
ai baitrai,"haba nga die ia u san tynka nga shu ai baitrai ia phi. ; when i sell it for five rupees, i am practically giving it to you at cost price."
ai baitrai,"when i sell it for five rupees, i am practically giving it to you at cost price."
ai ding,set fire
ai isynei,give alms
ai isynei,ka ai isynei ïa ki baduk. ; she gives alms to the poor.
ai isynei,she gives alms to the poor.
ai jingbam,feed
ai kylliang,lend
ai noh,give back
ai rong,paint
ai um,ai um ïa u jingthung ; water the plant
ai um,water
ai um,water the plant
aibam,feed
aibor,give permission
ain,ka ain ka ri ; the law of the country
ain,law
ain,the law of the country
aiom,don saw aiom shisnem. ; there are four seasons in a year.
aiom,season
aiom,there are four seasons in a year.
aiom,time
aiti,make over
aiti,the father made over his property to his son.
aiti,u kpa u la aiti ïa la ka spah ha la u khun. ; the father made over his property to his son.
aiu,what
aiwai,ka la aiwai ïa ka ïing. ; she let the house.
aiwai,let
aiwai,she let the house.
ak!,ah!
akher-ka-sngi,doomsday
akher-ka-sngi,judgement day
akher-ka-sngi,the last day
akjakor,a big snake
akjakor,an awful dragon
akjakor,the devil
akjakor,the ogre
akku,ah!
akor,it is easy to learn good manners.
akor,ka long ka bajem ban nang ïa ki akor babha. ; it is easy to learn good manners.
akor,manner
aku,ah!
ale,ale hangne! ; come here!
ale,come
ale,come here!
alhia,be idle
almari,cupboard
ang,ang shyntur!
ang,open
ap,guard
ap,look after
ap,the boy is looking after the cattle.
ap,u khynnah u dang ap ïa ki masi. ; the boy is looking after the cattle.
ap,wait
ap pahara,guard
ar,two
arshah,twice
arsien,twice
arsngi,a couple of days
artaiew,fortnight
article,article
at,swell
ata,flour
ba,i know that god loves us.
ba,nga tip ba u blei u ieit ia ngi. ; i know that god loves us.
ba,that
ba angnud,eager
ba don pat,be back
ba haïing,relations
ba iathuh,predicate
ba la,ba la leit ; gone
ba la,gone
ba la biang nadong shadong,complete
ba la biang nadong shadong,perfect
ba la kloi,ready
ba la lah,past
ba long 'riewmadan,common
ba ïoh baibam,scholar
ba-,baleit ; going
ba-,going
ba-i suba,neat
baanna,foolish
baar,second
babang,sweet
babeit,dull
babeit,straight
babha,good
