Other,English
yıldız kümesi,yıldız kümesi
biçim,biçim
gruplaşma,gruplaşma
konum,konum
gezegenlerin konumu,gezegenlerin konumu
os,the
os,them
os,you
os,ye
o,the
o,you
o,ye
o,it
o,him
o,such
as,the
as,them
as,ye
a,the
a,you
a,ye
a,it
a,to
a,at
a,with
a,in
asterismo,asterism
posição,position
posição,location
posição,status
posição,situation
posição,set
posição,stance
posição,emplacement
posição,ranking
posição,contradictory
posição,station
posição,footing
posição,level
posição,lie
posição,billet
posição,plant
posição,flag station
posição,see
situação,position
situação,location
situação,state
situação,situation
situação,site
situação,condition
situação,emplacement
situação,degree
situação,posture
situação,grade
situação,lie
situação,lay
situação,proposition
situação,fettle
situação,laity
situação,peonage
situação,portability
lugar,position
lugar,spot
lugar,seat
lugar,place
lugar,site
lugar,emplacement
lugar,room
lugar,where
lugar,stead
lugar,lieu
lugar,accommodation
lugar,thorp
lugar,pound
localização,position
localização,location
localização,placement
localização,locus
localização,localization
localização,locality
localização,allocation
localização,occurrence
postura,position
postura,attitude
postura,pose
postura,stance
postura,emplacement
postura,laying
postura,posture
postura,lay
atitude,position
atitude,set
atitude,behavior
atitude,attitude
atitude,move
atitude,gesture
atitude,emplacement
atitude,bearing
atitude,plant
atitude,poise
atitude,expression
atitude,gait
atitude,mien
atitude,presence
atitude,garb
atitude,behaviour
circunstâncias,position
circunstâncias,situation
circunstâncias,circumstances
circunstâncias,emplacement
circunstâncias,circs
alinhamento,alignment
alinhamento,line
posicionar,position
localizar,position
localizar,locate
localizar,localize
localizar,track
localizar,allocate
localizar,situate
localizar,refer
localizar,orientate
localizar,localise
forma,form
forma,shape
forma,mode
forma,cutout
forma,means
forma,make
forma,mold
forma,former
forma,guest card
forma,mould
forma,species
forma,scheme
forma,guise
forma,build
forma,kilter
forma,energy
forma,intensity
forma,fig
forma,stretcher
forma,hardiness
forma,highness
forma,posse
forma,main
forma,stalking-horse
formulário,form
formulário,guest card
modelo,form
modelo,style
modelo,type
modelo,template
modelo,model
modelo,mold
modelo,guest card
modelo,mould
modelo,pattern
modelo,design
modelo,specimen
modelo,sample
modelo,example
modelo,exemplar
modelo,dummy
modelo,mockup
modelo,norm
modelo,gauge
modelo,jig
modelo,sampler
modelo,light
modelo,mirror
modelo,gage
modelo,lay figure
impresso,form
impresso,printed matter
impresso,copy
impresso,book post
impresso,prospectus
impresso,print
impresso,printed
impresso,paginal
figura,form
figura,face card
figura,image
figura,picture
figura,guest card
figura,figure
configuração,form
configuração,shape
configuração,configuration
configuração,set
configuração,cutout
configuração,guest card
configuração,conformation
configuração,figuration
molde,form
molde,swage
molde,cast
molde,mold
molde,former
molde,mould
molde,die
molde,example
conformação,form
conformação,frame
conformação,resignation
conformação,patience
feitio,form
feitio,shape
feitio,cutout
feitio,temperament
feitio,make
feitio,character
feitio,cut
feitio,fit
feitio,fabric
feitio,confection
feitio,fabrication
flexão,form
flexão,bend
flexão,inflection
flexão,flexing
flexão,pushup
flexão,flexion
flexão,twist
flexão,inflexion
aspecto exterior,form
aspecto exterior,surface
aspecto exterior,shew
aspecto exterior,outside
aspecto exterior,guest card
aspecto exterior,semblance
aspecto exterior,trappings
aspecto exterior,show
aspecto exterior,shell
perfil,form
perfil,shape
perfil,cutout
perfil,contour
perfil,side view
perfil,guest card
perfil,outline
perfil,profile
perfil,skyline
imagem,form
imagem,image
imagem,portrait
imagem,model
imagem,guest card
imagem,figure
imagem,semblance
imagem,likeness
imagem,print
imagem,mirror
imagem,idol
imagem,resemblance
imagem,niche
imagem,simulacrum
imagem,representation
