Other,English
'Láa hl kyáanang,Ask him/her
'Láa uu dluudáang,He is lying down
'Láa uu gatáagang,She is eating
'Láa uu gin sk'at'áang,He is learning
'Láa uu gut'gúnggang,He is thinking
'Láa uu gyúujuugang,He is listening
'Láa uu hlgáygang,He is digging
'Láa uu k'ahgán,She is laughing
"'Láa uu káa'unggang, Hal káagang",She is walking
'Láa uu kúugaagang,she is the one cooking
'Láa uu sablíi gaaláangsaang,She will fry some bread
'Láa uu sgáyhlaang,She is crying
'Láa uu st'igáng,He is sick
'Láa uu tahlgáygang,He is harvesting
'Láa uu táwk'aang,She is planting
'Láa uu xukáagang,He is sailing
'Láa uu xwíigang,she is the one who feels cold
"'Láa uu xáawgang, Hal xáwgang",He is fishing
'Láa uu án dánggiidang,He is smiling
'Wáadluu xíl hal tlaahláayaan,Then he made some medicine
'Wáajii isdáa,Do that
'Wáayaat,Now
'lagáalaan,got well
'láa áwyaagang,it's very good
"'láa'anggang, 'láagang",is good
"'láa, hal",he
"'láa, hal",she
'wáadluu,then
Aatgyáa uu íijang,It is a fishnet
Adáahl dláng hl kíngsaang,I'll see all of you tomorrow
Adáahl dáng hl kíngsaang,I'll see you tomorrow
Albert k'ajúugang,Albert is singing
Awáa an uu hl isdáasaang,I will get it for Mother
Awáa kúugaagang,Mother is cooking
Awáa sgíiwaay xiláadaasaang,Mother will dry the seaweed
Awáa xagwáay kúugaasaang,Mother will cook the halibut
Awáa-k hl tláaytsaang,I will help Mother
Charlie uu aadáang,Charlie is the one seining
Chánxaa an sk'áamaay 'láagang,The starfish is good for fertilizer
Chíin dáng xiláadaa us?,Are you drying fish?
Chíin hl tangdáasaang,I will salt some fish
Chíin hl xiláadaasaang,I will dry fish
Chíin kwáan hl xiláadaasaang,I will dry a lot of fish
Chíin kwáan uu hal táagang,He eats a lot of fish
Chíin uu aat eihl tl' isdáang,People catch fish with a net
Chíin uu táaw 'láa íijang,Fish is good food
Chíin xiláa uu táaw'láa íijang,Dried fish is good food
Chíin-gyaa hl ts'aslángsaang,I will boil some fish
Chíin-gyaa uu íijang,This is a fish
Chíinaay hl ts'aslángsaang,I will boil the fish
Dal,Inside of stomach
