Other,English
'c,thick fluid
'c-,catch with claws
'c-,complete
'c-,conceal
'c-,decay
'c-,flour
'ce,urine
'ces,urine
'cet,to split
'cup,gather
'cä',child
'cì,thick fluid
'gìm,house
'i,one
'im,sleep
'imi-,small
'inã,thou
'ip,squeeze
'ips,sleep
'it,one
'jä,eat
'k,cheek
'k-,scoop
'ka,speech
'kar,star
'kek,twist
'kem,feel
'kham,fruit with kernel
'khung,crooked
'ki,birth
'kik,birth
'kng,crooked
'ko,she
'kon,she
'kup,to pick up
'kák,leather
'kãp,give
'kä,earth
'kä'n,a k. of gourd
'kä-,porcupine
'käk,know
'käm,hold in mouth
'käng,know
'käp,"cover, basket"
'kè,a k. of edible root
'kèl,cheek
'kìm,house
'kùn,smell
'kùr,load
'o,deviate
'ol,deviate
'p-,child
'pa,bamboo
'pal,upper part of foot
'pi,come
'pi,fart
'pik,fart
'pin,come
'prót,gather
'pu,worm
'puk,turn over
'pát,tie
'pát-n,tie
'pä,patch
'pä-n,patch
'päk,pig
'pók,belly
'pù,bake
'pú-j,top
'púlu,ashes
'tan,long
'thu,anus
'thúk,spit
'thúks,spit
'tik-,one
'täk,weave
'tèn,solid
'tì,egg
'tò-la,musk-deer
'tùng,swallow
'um,hold in mouth
'à-,demonstrative pronoun
'ä,dumb
'äp,throw
'è,this
'è-s,dirt
'òng,I
-m,conceal
abo,who
ba,man
bak,child
bas,vomit
bek,end
ber,crop-damaging insect
ber-mä,crop-damaging insect
bh-lè,penis
bha,man
bha,vomit
bhali,four
bhlà,arrow
bhlí,four
bho,man
bhong-pe,good
bhrói,fragile
bhu,worm
bhu-pe,good
bhvng,tree
bhák,shoulder
bhãn,cloth
bhä,"vast, man"
bhä',spleen
bhä'k,bit
bhä'r,tumulus
bhän,touch
bhäp,vast
bhär'p-,scatter
bhèr,fly
bhén,leech
bhét,leech
bhó-ks,appear
bhúk,hole
bhúk-s,hole
bk,child
blì,arrow
blìng,full
bo,man
bra-m,rice
brang,taste
brangs,taste
brek,draw
brep-co,paw
bräk,rock
brän,speak
brät,speak
brói,fragile
bvng,tree
bá,kinship term
bã,kinship term
bä,kinship term
bä,man
bä'k,bit
bän,touch
bär,scatter
bì,give
bì,give
bìn,female
bó,appear
bù,white
bùk,white
cam,a large vessel
cam'c-,a large vessel
cang,new
cang'c-,new
cek,difficult
ch-,complete
chik,cold
cho,fat
chot,fat
chp,pick
chup,pick
chè-k,understanding
chè-n,understanding
chè-s,understanding
chò,hot
chò-s,hot
chù,far
ci,small
ck,difficult
cok,to make
cukikpa,flea
cup,gather
cups,gather
cv-ba,heart
cvp,conceal
cvp-ba,heart
cvt,play
cvt'c-,play
cwa'l,water
cãm,play
cãp,play
cä,bake
cèm,decay
cék,catch with claws
cìl,scold
cìr,pile up
cík,small bird
cíp,close
cù,"thorn, milk"
cùp,suck
cùr,sjin defect
cùting,thorn
cúk,plant
dek,light
dems,fill
dep,cover
dhems,fill
dhep,cover
dhiv,bottom
dhvng,dry
dhä',dig
dhä',head
dhä'ng,head
dhäiv,bottom
dhän,answer
dhém,level
dhì,water
dhúk,knock
dhúm,"drink, end"
dhúm,end
dhúms,end
dhúngs,knock
dv,much
dãp,fire-place
däk,good
däkng,good
dän,answer
dèl,convent
dók,good
dúk-ha,belly
dúm,drink
dúm,end
dúms,end
ek,"twist, come"
ghk,crooked
ghlm,deep
ghlùm,"deep, hatch"
ghng,crooked
ghrv,heat
ghrã,crab
ghu,mound
ghuk,crooked
ghung,crooked
ghup,to pick up
ghàl,sweat
ghàng,above
ghäm,to add
ghú,nine
gi,birth
gik,birth
ginã,thou
go,interior
go,put on
gol,fall
gon,put on
gong,interior
gràk-ma,ant
grãn,horn
gró,goat
grók,goat
gup,to pick up
gá,raven
gák,raven
gám,cold
gäm,cold
gät,rise
gòng,I
gù,bone
gùt,bone
ha,make
hang,womb
has,make
he,"what, dry"
her,dry
hi-lum,womb
hing,fresh
hring,fresh
hu,dog
huk,dog
huks,dog
hák,empty shell
háng,empty shell
hát,burn
häl,red
hì,blood
hóp,inhale
i-sä,barking deer
ik,cold
ip,sleep
ja,field
jak,shame
jak-ki,few
jang,"bee, light"
jang,light
jang,placenta
jhe-s,mountain
jhék,split
jhòr,pour
jhùng,frost
jhùr,sour
ji,cool
jil,cool
jo,eat
ju,descend
jv-n,all
jà,itch
jàk,itch
jàng,shift
jícu,a k. of small animal
jói,face
jóli,face
júcä,a k. of small animal
k,uncle
ka,speech
ka,tooth
kam,mouth
kang,fry
kang,tooth
keba,tiger
kham,"fruit with kernel, give"
kham,give
khams,give
khem,feel
khi,brush
khi-sä,barking deer
khit,brush
khlè,dog
khlók,turn over
khok,garlic
khong,through
khop,join
khrä'p,shell
khv,cough
khvk,cough
khvr,hand
khwat,to go
khàl,all
khák,phlegm
khä,bitter
khä-s,bitter
khäl,swing
khän-,leg
khät,rise
khìng,kidney
khíp,narrow
khòr,fence
khók,strip
khù,rob
khùs,rob
kl,cheek
ko,she
kok,garlic
kom,pillow
kon,she
kru,bark
krãt,rasp
krìm,prohibit
krùk,roar
ku,look after
ku,mound
kulung om-lö-pa,white
kum,bent
kup,to pick up
kwam,breast
kàkam,yawn
kàkamä,yawn
kám,shade
kãp,give
käp,basket
kèl,cheek
ké-,black
kòl,drive
kòr,scoop
kù,"uncle, water"
kùr,load
kúk,offend
l,season
la-,male
lak,arm
lam,way
le,powerful
lej,seed
li,"heavy, seed"
ling,to climb
lis,heavy
lo,season
lom,covet
long,pillow
lp,wing
lu,sing
lum,"pit, womb"
lum,womb
lung,wide
là,arrow
làt,to pull out
lá,to go
lák,lick
lám,armpit
láp,wing
lä,"leaf, give, moon, speak"
