English,Other
lakh,100.000 рупија
quarter,25 центи
sesquipedalian,5 стопу
monkey,500 фунти
toilet,wc шоља
and,а
but,а
whereas,а
let alone,а да и не спомињем
without,а да не
yet,а ипак
without,а не
aa,аа
aaa,ааа
aaron,аарон
ab,аб
abdication,абдикација
abdicate,абдицирати
abdomen,абдомен
aberrant,аберантан
aberration,аберација
aberdeen,абердин
abc,абецеда
alphabet,абецеда
abyssinia,абисинија
abnormal,абнормалан
abnormality,абнормаланост
abnormality,абнормалност
abolish,аболирати
subscriber,абонент
subscribers,абонент
subscribe,абонирати
subscription,абонман
subscriptions,абонман
ebony,абонос
abortive,абортиван
aborted,абортиран
abortion,абортус
abrasion,абразија
abraham,абрахам
abbreviation,абревијатура
abbreviation,абревијација
abrogation,аброгација
abrogate,аброгирати
abs,абс
abu,абу
av,ав
aw,ав
mortar,аван
advance guard,авангарда
advanced guard,авангарда
vanguard,авангарда
advance,аванзовати
advances,аванзовати
adventure,авантура
adventures,авантура
adventurer,авантуриста
adventure,авантуристички
picaresque,авантуристички
avatar,аватар
afghanistan,авганистан
august,август
avenue,авенија
antipathy,аверзија
averse,аверзија
aversion,аверзија
apparition,авет
bogey,авет
bogle,авет
ghost,авет
phantom,авет
specter,авет
spectre,авет
spook,авет
visitant,авет
avi,ави
notice,авиза
notices,авиза
inform,авизирати
airline,авиокампанија
airlines,авиокампанија
aeroplane,авион
aircraft,авион
airplane,авион
plane,авион
planes,авион
jets,авиони
aerial,авионски
aviation,авионски
standby,авионски путник
aviator,авијатичар
pilot,авијатичар
log,авијатичарски дневник
aviation,авијација
aviation,авијацијски
avon,авон
ag,аг
agent,агент
agents,агент
factor,агент
crimp,агент који врбује
agencies,агенција
agency,агенција
agile,агилан
energetic,агилан
agility,агилност
agitator,агитатор
canvasser,агитатор
agitation,агитација
agglomerate,агломерат
agglomeration,агломерација
agglutinative,аглутинативан
agglutinative,аглутинативни
agglutinate,аглутиниран
agony,агонија
death struggle,агонија
throe,агонија
torment,агонија
travail,агонија
agrarian,аграрни
land,аграрни
aggressive,агресиван
bumptious,агресиван
pushy,агресиван
two-fisted,агресиван
aggression,агресија
aggressor,агресор
agronomy,агрономија
ada,ада
island,ада
adam,адам
adams,адамс
adaptation,адаптација
adapter,адаптер
adapters,адаптер
adaptor,адаптер
adware,адваре
advocate,адвокат
attorney,адвокат
attorneys,адвокат
barrister,адвокат
lawyer,адвокат
lawyers,адвокат
bar,адвокатска комора
bars,адвокатска комора
attorney,адвокатски
advocacy,адвокатура
practice of law,адвокатура
adequate,адекватан
adelaide,аделаиде
adidas,адидас
addict,адикт
adipek,адипек
adipex,адипек
adipose,адипозан
additive,адитив
admin,админ
administrative,административни
administrator,администратор
administrators,администратор
executive,администратор
executives,администратор
administration,администрација
adolescent,адолесцент
address,адреса
addresses,адреса
mailing address,адреса
superscript,адреса
superscription,адреса
mailing address,адреса примаоца
address book,адресар
directories,адресар
directory,адресар
address,адресирати
addressed,адресирати
addresses,адресирати
addressing,адресирати
adrian,адриан
adsl,адсл
trump,адут
trump,адутирати
adhesive,адхезив
adhesion,адхезија
ae,ае
aerodrome,аеродром
airfield,аеродром
airport,аеродром
airports,аеродром
aeronautic,аеронаутички
aeronautical,аеронаутички
aerosol,аеросол
dragon,аждаја
accurate,ажуран
precise,ажуран
update,ажурирати
updated,ажурирати
updates,ажурирати
updating,ажурирати
update,ажурирање
updates,ажурирање
az,аз
asbestos,азбест
abc,азбука
alphabet,азбука
alphabetic,азбучни
alphabetical,азбучни
glossary,азбучни списак
azerbaijan,азербејџан
asylum,азил
azimuth,азимут
bearing,азимут
asia,азија
asiatic,азијат
asian,азијац
asian,азијски
asiatic,азијски
nitrogen,азот
nitric,азотни
nitrogen,азотни
nitrogenous,азотни
azure,азуран
cerulean,азуран
aids,аидс
airfare,аирфаре
ak,ак
aka,ака
yearling,академац другог разреда
academy,академија
academic,академски
academical,академски
scholarly,академски
aquarium,акваријум
collector,аквизитер
collectors,аквизитер
acquisition,аквизиција
acquisitions,аквизиција
if,ако
in case,ако
lf,ако
provided,ако
providing,ако
if it comes to the essential characteristics,ако дође до битних карактеристика
but for,ако не
or else,ако не
unless,ако не
if there is a significant feature,ако постоји значајна карактеристика
chord,акорд
accreditation,акредитација
accredited,акредитован
accredit,акредитовати
acrylic,акрил
acrylic,акрилик
acrylic,акрилна смола
acrobat,акробата
aerialist,акробата
stunt master,акробата
acrobatics,акробатика
acrobatics,акробатска вештина
acrobatics,акробација
stunt,акробација
axial,аксијалан
academy figure,акт
file,акт
files,акт
nude,акт
stakeholders,актери
acts,акти
assets,актива
active,активан
operating,активан
activate,активирати
activated,активирати
set off,активирати
spring,активирати
springs,активирати
trigger,активирати
trip,активирати
trips,активирати
activation,активирање
activist,активиста
activists,активиста
actively,активно
activities,активност
activity,активност
actualize,актуализовати
actual,актуелан
current,актуелан
going,актуелан
up-to-date,актуелан
actuality,актуелност
aqua,акуа
accumulative,акумулативан
cumulative,акумулативан
accumulator,акумулатор
batteries,акумулатор
battery,акумулатор
accumulation,акумулација
accumulate,акумулирати
exact,акуратан
regular,акуратан
acoustic,акустичан
acoustic,акустички
acute,акутан
accent,акценат
stress,акценат
accent,акцентовати
accentuate,акцентовати
emphasize,акцентовати
accidental,акциденција
corporate,акционарски
joint-stock,акционарски
corporation,акционарско друштво
corporations,акционарско друштво
joint-stock company,акционарско друштво
action,акциони
act,акција
action,акција
actions,акција
activities,акција
activity,акција
drive,акција
drives,акција
share,акција
shares,акција
work,акција
stock,акције
al,ал
dragon,ала
ala.,алабама
alabama,алабама
alabaster,алабастер
gluttonous,алав
voracious,алав
voraciousness,алавост
voracity,алавост
alan,алан
talebearer,алапача
alarm,аларм
alarum,аларм
siren,аларм
alarming,алармантан
alarming,алармантни
alarm,алармирати
arouse,алармирати
alarm,алармни
tools,алат
pick,алат са шиљком
picks,алат са шиљком
implement,алатка
tool,алатка
utensil,алатка
allah,алах
albani,албани
albany,албани
albania,албанија
albert,алберт
alberta,алберта
albion,албион
albuquerque,албукерки
album,албум
albums,албум
scrapbook,албум
algae,алге
seaweed,алге
algebra,алгебра
algorithm,алгоритам
algorithms,алгоритам
red,алев
alek,алек
alex,алек
alexander,александар
alexandria,александрија
allergy,алергија
arbored walk,алеја
mall,алеја
algeria,алжир
ali,али
but,али
but for,али за
leaven,али из потаје
rough-and-ready,али употребљив
alligator,алигатор
alligator,алигаторски
alimentation,алиментација
alimony,алиментација
alice,алице
alliance,алијанса
ring,алка
rings,алка
alkali,алкалије
alkalescent,алкални
alcohol,алкохол
alcoholic,алкохоличар
drunk,алкохоличар
drunkard,алкохоличар
alcoholic,алкохолни
boose,алкохолно пиће
booze,алкохолно пиће
hooch,алкохолно пиће
libation,алкохолно пиће
liquor,алкохолно пиће
spirit,алкохолно пиће
swizzle,алкохолно пиће
tipple,алкохолно пиће
allan,аллан
allen,аллен
almanac,алманах
yearbook,алманах
hello,ало!
hello!,ало!
dragnet,алов
net,алов
seine,алов
sweepnet,алов
alpine,алпски
alt,алт
alto,алт
alternative,алтернатива
alternatives,алтернатива
alternative,алтернативан
alternately,алтернативно
alternatively,алтернативно
altitude,алтитуда
unselfish,алтруистичан
alluvium,алувиј
alluvium,алувијум
allude,алудирати
allusive,алузиван
allusion,алузија
hint,алузија
hints,алузија
aluminium,алуминијум
aluminum,алуминијум
aluminium,алуминијумски
aluminum,алуминијумски
alpha,алфа
alfred,алфред
ringlet,алчица
but,ама
amazon,амазонка
amalgam,амалгам
amalgamation,амалгамација
bath,амам
amanda,аманда
amendment,амандман
amendments,амандман
testament,аманет
will,аманет
amateur,аматер
amateurish,аматерски
packaging,амбалажа
wrapping material,амбалажа
packing,амбалажирање
barn,амбар
garner,амбар
granary,амбар
embassy,амбасада
ambassador,амбасадор
ambivalent,амбивалентан
ambien,амбиен
abyss,амбис
environment,амбијент
environments,амбијент
milieu,амбијент
surroundings,амбијент
amber,амбра
ambergris,амбра
amd,амд
america,америка
american,американац
americans,американац
jonathan,американац
americas,америцас
american,амерички
yankee,амерички
manatee,амерички кит
sycamore,амерички платан
ami,ами
amy,ами
amino,амино
agree,аминовати
agrees,аминовати
here,амо
hither,амо
buffer,амортизер
shock absorber,амортизер
amp,ампер
ampere,ампер
