English,Other
aardvark,oryctérope
aardvarks,varech daard
aardwolf,loup de terre
aardwolves,loups loups
ab,un b
abacas,abaca
abaci,abaque
aback,surpris
abacus,abaque
abacuses,abaques
abaft,en arrière
abalone,ormeau
abalones,ormeau
abandon,abandonner
abandoned,abandonné
abandonee,abandonnataire
abandoner,abandonnant
abandoners,abandonnants
abandoning,abandonner
abandonment,abandon
abandonments,abandons
abandons,abandonne
abase,humilier
abased,abaissé
abasement,humiliation
abasements,humiliation
abases,abase
abash,rendre confus
abashed,confus
abashedly,abasquement
abashes,mensonges
abashing,abaissement
abashment,confusion
abashments,abaissements
abasing,abaissement
abatable,apte
abate,diminuer
abated,abattu
abatement,réduction
abatements,abattements
abates,diminue
abating,diminuer
abattoirs,abattoir
abbacies,dignité dabbé
abbacy,abbatiale
abbe,abbé
abbes,abbés
abbess,abbesse
abbesses,abbesse
abbey,une abbaye
abbeys,abbayes
abbot,abbé
abbots,abbés
abbotship,abbatiat
abbreviate,abréger
abbreviated,abrégé
abbreviates,abrége
abbreviating,abréviation
abbreviation,abréviation
abbreviations,abréviations
abbreviator,abréviateur
abbreviators,abréviateurs
abdicate,abdiquer
abdicated,abdiqué
abdicates,abdique
abdicating,abdiquer
abdications,abdication
abdicative,abdicatif
abdicator,abdicateur
abdomens,abdomen
abdominally,abdominalement
abdominals,les abdominaux
abdominoplasty,abdominoplastie
abduces,enlève
abducing,enlèvement
abduct,enlever
abducted,enlevé
abductee,abducté
abductees,enlevées
abducting,enlevant
abduction,enlèvement
abductions,enlèvements
abductor,ravisseur
abductors,abducteurs
abducts,enlève
abeam,un faisceau
abecedarian,débutant
abecedarians,abécédaires
abecedaries,abécédaires
abecedary,abécédaire
abed,un lit
abelian,abélien
abend,un virage
aberrances,synonyme daberration
aberrancies,aberrations
aberrancy,aberration
aberrantly,aberrant
aberrational,aberrant
aberrations,aberration
abet,une mise
abetment,incitation
abetments,compléments
abets,avertissements
abetted,encouragé
abetting,complicité
abettor,complice
abettors,complices
abeyance,situation en suspens
abeyances,suspensions
abeyant,abyant
abhenries,abondances
abhenry,abondance
abhor,abhorrer
abhorred,abhorré
abhorrence,horreur
abhorrent,odieux
abhorrently,abhorrement
abhorring,détestable
abhors,abhorre
abidance,respect
abide,demeurer
abided,demeuré
abiders,abides
abides,demeure
abiding,respectueux
abidingly,habilement
abidingness,respect
abilities,capacités
ability,capacité
abiogenesis,abiogenèse
abiogenetically,abiogénétiquement
abiogenist,abiogéniste
abiotic,abiotique
abjections,abjection
abjectly,abjectement
abjectness,abjection
abjuratory,abjuratoire
abjure,abjurer
abjured,abjuré
abjurers,abjurs
abjures,abjurer
abjuring,abjurer
ablactated,ablacté
ablactating,ablactant
ablate,ablater
ablated,ablaté
ablates,ablate
ablating,ablation
ablations,ablation
ablative,ablatif
ablatives,ablatifs
ablator,ablateur
ablaze,en feu
able,capable
ableism,capacitisme
abler,plus aisé
ablest,le plus
abloom,en fleurs
ablutionary,ablutionnaire
ablutions,ablution
ably,habilement
abnegate,renoncer à
abnegated,abstenu
abnegates,renoncer à
abnegating,abdiquer
abnegation,renoncement
abnegations,abnégation
abnegator,abnégation
abnormal,anormal
abnormalities,anomalies
abnormality,anomalie
abnormally,anormalement
abnormities,anomalies
abnormity,anormalité
aboard,un conseil
abode,demeure
aboded,abasourdi
abodes,demeures
abolish,abolir
abolishable,abolissable
abolished,aboli
abolisher,abolition
abolishers,abolissants
abolishes,abolit
abolishing,abolition
abolishment,abolition
abolitionary,abolitionniste
abolitionism,abolitionnisme
abolitionist,abolitionniste
abolitionists,abolitionnistes
abomasum,caillette
abominableness,abominable
abominably,abominablement
abominate,abominer
abominated,abominable
abominates,abomine
abominating,abominant
abominations,abomination
abominator,abominateur
abominators,abominateurs
aboriginal,aborigène
aboriginality,aboriginalité
aboriginally,primitivement
aboriginals,autochtones
aborigine,aborigène
aborigines,aborigènes
aborning,aboyant
abort,avorter
aborted,avorté
abortifacient,abortif
abortifacients,abortifs
aborting,abortant
abortion,avortement
abortionist,avorteur
abortionists,avorteurs
abortions,avortements
abortive,abortif
abortively,en vain
abortiveness,avortement
aborts,avorter
abought,supprimé
abound,abonder
abounded,abondé
abounding,abondant
abounds,abonde
about,sur
above,au dessus de
aboveboard,honnête
aboveground,au-dessus du sol
abovementioned,mentionné ci-dessus
abrade,éroder
abraded,abrasé
abrader,abrasif
abraders,abrasifs
abrades,abrasifs
abrading,abrasion
abrasions,abrasion
abrasive,abrasif
abrasively,abrasivement
abrasiveness,abrasivité
abrasives,abrasifs
abreact,je prends
abreacted,effacé
abreacting,en effaçant
abreaction,abréaction
abreactions,abréactions
abreacts,bref
abreast,en face
abridge,abréger
abridged,abrégé
abridgement,réduction
abridgements,abrégés
abridger,abrégé
abridgers,abrégé
abridges,abrégé
abridging,abréger
abridgment,abrégement
abridgments,abrégés
abroad,à létranger
abrogate,abroger
abrogated,abrogé
abrogates,abroge
abrogating,abrogeant
abrogative,abrogatif
abrupt,brusque
abruption,rupture
abruptly,brusquement
abruptness,brusquerie
abs,abdos
abscess,abcès
abscessed,abcédés
abscesses,abcès
abscessing,abcès
abscise,absent
abscised,absent
abscises,abscisses
abscising,abscence
abscissa,abscisse
abscissae,abscisses
abscissas,abscisses
abscissions,abscission
abscond,prendre la fuite
absconded,fugué
absconder,fugitif
absconders,fugitif
absconding,fuir
absconds,abscons
abseil,abstinence
abseiled,abaissé
abseiling,rappel
abseils,abstinents
absences,absence
absented,absent
absentee,absent
absenteeism,absentéisme
absentees,absents
absenters,absents
absentia,absentie
absenting,absent
absently,distraitement
absentminded,distrait
absentmindedly,distraitement
absentmindedness,distraction
absentness,absence
absents,être absent
absinth,absinthe
absinthes,absinthe
absinthian,absinthien
absinths,absinthes
absolute,absolu
absolutely,absolument
absoluteness,absolue
absolutes,absolus
absolutions,absolution
absolutism,absolutisme
absolutisms,absolutismes
absolutist,absolutiste
absolutistic,absolutiste
absolutists,absolutistes
absolutize,absolutiser
absolutized,absolutisée
absolutizes,absolutise
absolutizing,absolutiser
absolutory,absolus
absolvable,absolue
absolve,absoudre
absolved,absous
absolvent,absolue
absolves,absous
absolving,absoudre
absorb,absorber
absorbability,absorbabilité
absorbed,absorbé
absorbedly,absorbé
absorbedness,absorbance
absorbencies,absorbances
absorbency,absorbance
absorbent,absorbant
absorbents,absorbants
absorber,absorbeur
absorbers,absorbeurs
absorbing,absorbant
absorbingly,absorbant
absorbs,absorbe
absorptions,absorption
absorptive,absorbant
absorptiveness,capacité dabsorption
absorptivity,absorptivité
absquatulate,absquatulé
abstain,abstention
abstained,sest abstenu
abstainer,abstentionniste
abstainers,sabstenir
abstaining,sabstenir
abstains,sabstient
abstemious,sobre
abstemiously,abstinent
abstemiousness,abstinence
abstentions,abstention
abstentious,abstentifieux
abstinently,abstinent
abstract,abstrait
abstracted,distrait
abstractedly,distraitement
abstractedness,distraction
abstracter,abstracteur
abstracters,abstracteurs
abstracting,abstraction
abstractionism,abstractionisme
abstractionist,abstractionniste
abstractionists,abstractionnistes
abstractions,abstraction
abstractive,abstractif
abstractly,abstraitement
abstractness,abstraction
abstractor,extracteur
abstractors,abstrait
abstracts,résumés
abstruse,abstrus
abstrusely,abstrusément
abstruseness,abstrusité
absurd,absurde
absurdism,absurdisme
absurdist,absurde
absurdities,absurdités
absurdity,absurdité
absurdly,absurdement
absurdness,absurdité
absurdum,absurde
abuilding,un bâtiment
abundance,abondance
abundances,abondances
abundancy,abondance
abundant,abondant
abundantly,abondamment
abusage,abus
abuse,abuser de
abused,abusé
abuser,abuseur
abusers,abuseurs
abuses,les abus
abusing,abuser
abusive,injurieux
abusively,abusivement
abusiveness,abusivité
abut,aboutir
abutment,pilier
abutments,butées
abuts,saccroche
abutted,contourné
abutters,les riverains
abutting,contiguë
abuzz,aboutissement
abying,aboyant
abys,abysses
abysm,abîme
abysmal,épouvantable
abysmally,abyssalement
abysms,abysses
abyss,abîme
abysses,abîmes
abyssopelagic,abyssopélagique
acacias,acacia
academe,université
academes,académies
academia,université
academic,académique
academically,académiquement
academicals,académiques
academician,académicien
academicians,académiciens
academicism,académisme
academics,universitaires
academies,académies
academism,académisme
academy,académie
acanthi,acanthe
acanthocephalan,acanthocéphane
acanthodian,acanthodien
acanthus,acanthe
acanthuses,acanthes
acarian,acariens
acaridae,acaridés
acaridan,acaridane
acaridans,acariens
acarology,acarologie
acatalectic,acatalectique
accede,adhérer
acceded,accédé
accedes,accède
acceding,accédant
accelerando,accélérer
accelerant,accélérateur
accelerants,accélérateurs
accelerate,accélérer
accelerated,accéléré
accelerates,accélère
accelerating,accélérer
acceleration,accélération
accelerations,accélérations
accelerative,accéléré
accelerator,accélérateur
accelerators,accélérateurs
acceleratory,accélérateur
accelerometer,accéléromètre
accelerometers,accéléromètres
accented,accentué
accenting,accentuer
accentor,accentore
accentors,accordeurs
accents,accent
accentual,accentuel
accentually,accentuellement
accentuate,accentuer
accentuated,accentué
accentuates,accentue
accentuating,accentuant
accept,acceptez
acceptability,acceptabilité
acceptableness,acceptabilité
acceptably,acceptable
acceptance,acceptation
acceptances,acceptations
acceptancy,acceptation
acceptant,accepteur
acceptation,acception
acceptations,acceptions
accepted,accepté
accepter,accepteur
accepters,accepteurs
accepting,acceptant
acceptingly,accepter
acceptor,accepteur
acceptors,accepteurs
accepts,accepte
access,accès
accessary,complice
accessed,accédé
accesses,accès
accessibilities,accessibilités
accessibility,accessibilité
accessibly,accessibles
accessing,accéder
accessional,accessoire
accessioned,accessoire
accessioning,adhésion
accessions,adhésions
accessor,accesseur
accessorial,accessoire
accessories,accessoires
accessorily,accessoirement
accessoriness,accessibilité
accessorize,accessoiriser
accessorized,accessoire
accessorizes,accessoirise
accessorizing,accessoirisation
accessors,accesseurs
accessory,accessoire
accidence,accident
accidental,accidentel
accidentally,accidentellement
accidentalness,accidentelle
accidentals,accidentels
accidently,accidentellement
accidents,les accidents
acclaim,acclamer
acclaimed,acclamé
acclaimer,acclamateur
acclaimers,acclamateurs
acclaiming,acclamant
acclaims,acclamations
acclamations,acclamation
acclamatory,acclamatoire
acclimate,acclimater
acclimated,acclimaté
acclimates,acclimater
acclimating,acclimater
acclimation,acclimatation
acclimatization,acclimatation
acclimatize,acclimater
acclimatized,acclimaté
acclimatizer,acclimatateur
acclimatizes,acclimater
acclimatizing,acclimatation
acclivities,acclivités
acclivitous,acclive
acclivity,montée
accolades,accolade
accolated,accolé
accommodate,accommoder
accommodated,logé
accommodates,accueille
accommodating,accommodant
accommodatingly,accommodant
accommodation,hébergement
accommodational,accommodatoire
accommodations,hébergement
accommodative,accommodatif
accommodativeness,accommodement
accommodator,logement
