Other,English
omalone,abalone
abandone,abandon
abandon,abandonment
vant,abdomen
nan vant,abdominal
kidnape,abduct
anlèvman,abduction
respekte,abide
respekte,abiding
kapasite,ability
abjèktif,abject
dife,ablaze
kapab,able
nòmal,abnormal
anòmal,abnormality
rete,abode
aboli,abolish
abominab,abominable
abominasyon,abomination
avòt,abort
avòtman,abortion
abrakadabra,abracadabra
abrazif,abrasive
okouran,abreast
brid sou kou,abrupt
absè,abscess
absans,absence
absan,absent
Absantin,absinthe
absoli,absolute
absolisyon,absolution
absoud,absolve
absòbe,absorb
evite,abstain
Abstinans,abstinence
abstrè,abstract
absid,absurd
ridikil,absurdity
abondans,abundance
abondan,abundant
abi,abuse
abizè,abusive
épouvantabl,abysmal
gwo twou san fon,abyss
akademik,academic
akademi,academy
akselerant,accelerant
akselere,accelerate
akselere,accelerated
akselerasyon,acceleration
akseleratè,accelerator
aksan,accent
aksepte,accept
akseptab,acceptable
akseptasyon,acceptance
aksè,access
aksesib,accessible
akseswar,accessory
aksidan,accident
aksidan,accidental
repitasyon,acclaim
akomode,accommodate
aranjman,accommodation
akonpanye,accompany
konplis,accomplice
akonpli,accomplish
akonplisman,accomplishment
akò,accord
akòdeyon,accordion
kont,account
responsabilite,accountability
responsab,accountable
kontab,accountant
kontablite,accounting
akimile,accumulate
presizyon,accuracy
egzat,accurate
madichon,accursed
akizasyon,accusation
akize,accuse
doulè,ache
reyalize,achieve
siksè,achievement
asid,acid
rekonèt,acknowledge
rekonesans,acknowledgement
akne,acne
glan,acorn
zanmi,acquaintance
genyen,acquire
akizisyon,acquisition
akit,acquit
akitasyon,acquittal
sipèfisi,acreage
aji,act
aksyon,action
aktive,activate
aktivasyon,activation
aktif,active
aktivis,activist
aktivite,activity
aktè,actor
aktris,actress
aktyèl,actual
reyalite,actuality
akuponktur,acupuncture
egi,acute
anons,ad
provèb,adage
detèmine,adamant
adapte,adapt
adaptasyon,adaptation
ajoute,add
sèpan,adder
adikte,addict
dejwe,addicted
dejwe,addiction
depandans,addictive
adisyonèl,additional
adrès,address
abil,adept
ase,adequate
respekte,adhere
adezif,adhesive
adjasan,adjacent
adjektif,adjective
vwazin,adjoining
ajoune,adjourn
ajiste,adjust
