Other,English
bir,a
kənar,aback
sayğac,abacus
imtina,abandon
tərk,abandoned
tərk,abandoning
tərk,abandonment
imtina,abandons
əskiltmək,abase
rüsvay,abased
alçalma,abasement
həqarətə,abasements
alçaltdı,abases
bozmak,abash
azaltmaq,abate
güzəşt,abatement
azaldılması,abatements
azalmır,abating
abbatlıq,abbey
rahib,abbot
qısaltmaq,abbreviate
qısaldılmış,abbreviated
kısaltma,abbreviation
ixtisarlar,abbreviations
əl çəkmək,abdicate
öz dönmə,abdication
qarın,abdomen
qarınları,abdomens
qarın,abdominal
oğurlamaq,abduct
qaçırılan,abducted
qaçıraraq,abducting
oğurluq,abduction
qaçıranlar,abductors
aberrasiya,aberration
aberrasyonları,aberrations
vurulması toxum,abetment
yataqlıq,abetting
askıda,abeyance
nifrət,abhor
ləclik,abhorrence
mənfur,abhorrent
ikrah,abhorring
əməl olunmasını,abidance
əbədi,abide
əməl,abided
xəbərdar et,abides
əbədi,abiding
arası,abidingly
qabiliyyət,abilities
bacarıq,ability
zəlil,abject
alev alev,ablaze
qadir,able
dəstəmaz alma,ablution
dəstəmaz,ablutions
bacarıqla,ably
anormal,abnormal
anormallikler,abnormalities
anormallıq,abnormality
qeyri-təbii,abnormally
xaricdə,aboard
məskən,abode
otaqlar,abodes
aradan qaldırmaq,abolish
ləğv,abolished
ləğv,abolishes
ləğv,abolishing
ləğv,abolishment
ləğv,abolition
nifrətdoğuran,abominable
iyrənc,abominably
zəhləsi getmək,abominate
xəbislik,abomination
murdarlıqlar,abominations
yerli,aboriginal
aborigen,aborigine
uşaq salmaq,abort
ləğv,aborted
abort,abortion
abortlar,abortions
tutmadıqda,abortive
bol olmaq,abound
haqqında,about
yuxarıda,above
qanuni,aboveboard
yerüstü,aboveground
yuxarıda,abovementioned
eyilmə,abrasion
sıyrıqlar,abrasions
abraziv,abrasive
abraziv,abrasives
ayaq uydurarak,abreast
ixtisarlamaq,abridge
ixtisarlı,abridged
qısaltma,abridgement
ixtisarını,abridging
qısaltma,abridgment
xaricdə,abroad
ləğv etmək,abrogate
ləğv,abrogated
ləğv,abrogating
ləğv,abrogation
rabitəsiz,abrupt
kəskin,abruptly
rabitəsizlik,abruptness
fır,abscess
gizlənməsi,abscond
gizlənməsinin,absconding
olmaması,absence
məzuniyyətlər,absences
olmayan,absent
proqulçu,absentee
devamsızlık,absenteeism
gəlməyən,absentees
qiyabi,absentia
diqqətsiz,absently
"yoxdur,",absents
yovşan,absinth
mütləq,absolute
tamamilə,absolutely
absolyut,absolutes
halallıq,absolution
mütləqiyyət,absolutism
günah,absolve
azad,absolved
udmaq,absorb
udma qabiliyyəti,absorbability
udulmuş,absorbed
uduculuq,absorbency
uducu,absorbent
absorbentlər,absorbents
udma,absorbing
udur,absorbs
udma,absorption
absorbsiyalarda,absorptions
absorbsiya,absorptive
çəkinmək,abstain
bitərəf,abstained
içki içmeyen kimse,abstainer
bitərəf,abstaining
qaçdığı,abstains
bitərəf,abstention
bitərəf,abstentions
mücərrəd,abstract
abstrak,abstracted
abstraksiya,abstraction
abstraktsianizm,abstractionism
abstraksianistlərin,abstractionists
ayırmalarının,abstractions
mücərrədliyi,abstractness
özet,abstracts
cəfəng,absurd
mənasızlıq,absurdity
cəfəng,absurdly
bolluq,abundance
miqdar,abundances
bol,abundant
bol-bol,abundantly
sui-istifadə,abuse
sui-istifadə,abused
sui-istifadə,abuses
sui-istifadə,abusing
təhqiramiz,abusive
həqarətlə,abusively
söykənəcək,abutment
dibsiz,abysmal
uçurum,abyss
dibsiz,abysses
akasiya,acacia
akademiya,academia
akademik,academic
akademik,academically
akademik,academician
alimlər,academics
akademiya,academies
akademizminə,academism
akademiya,academy
akaju,acajou
ayıpəncəsi,acanthus
qoşula,accede
qoşulmuşdur,acceded
qoşulur,accedes
qoşulan,acceding
sürətləndirmək,accelerate
sürətləndirilməlidir,accelerated
sürətləndirir,accelerates
sürətləndirici,accelerating
təcil,acceleration
sürətləndirilməsi,accelerations
sürətləndirici,accelerative
sürətləndirici,accelerator
sürətləndiriciləri,accelerators
vurğu,accent
torağayları,accentor
vurğu,accents
vurğulamaq,accentuate
qovuşduğu,accentuated
vurğulanır,accentuates
qəbul,accept
qəbul,acceptability
məqbul,acceptable
məqbul,acceptableness
qəbul,acceptance
qəbulları,acceptances
qəbulu,acceptant
qəbulu,acceptation
qəbul,accepted
qəbul,accepting
akseptor,acceptor
akseptorlarının,acceptors
qəbul,accepts
keçid,access
əldə,accessed
giriş-çıxış,accesses
münasiblik,accessibility
əlçatan,accessible
daxil,accessing
daxil,accession
qoşulma,accessions
aksesuarlar,accessories
aksesuar,accessory
morfologiya,accidence
qəza,accident
təsadüfi,accidental
təsadüfən,accidentally
qəzalar,accidents
bəyənmə,acclaim
elan,acclaimed
alkışlama,acclamation
iqlimləşmə,acclimatisation
yerləşdirmək,accommodate
məskunlaşmış,accommodated
isteklerine,accommodates
uydurmuşdur,accommodating
yaşayış,accommodation
sığınacaqlardan,accommodations
yumşaq,accommodative
müşayiət,accompanied
müşayiətçi,accompanier
müşayiət,accompanies
müşayiət,accompaniment
akkompaniator,accompanist
akkompaniatorlara,accompanists
müşayiət,accompany
edilən,accompanying
ortaq,accomplice
köməkçiləri,accomplices
yerinə yetirmək,accomplish
həyata,accomplished
həyata,accomplishes
həyata,accomplishing
həyata,accomplishment
mərifət,accomplishments
akkord,accord
uyğunluq,accordance
uyğun,accorded
görə,according
müvafiq,accordingly
akkordeon,accordion
akkordeonçularından,accordionists
akkordeondan,accordions
ahəng,accords
hesab,account
məsuliyyətlər,accountabilities
hesabatlılıq,accountability
hesabatlı,accountable
məqsədyönlü,accountably
hesabdarlıq,accountancy
mühasib,accountant
mühasiblər,accountants
uçota,accounted
mühasibat,accounting
hesablamalara,accountings
hesabları,accounts
akkreditə,accredit
akkreditasiya,accreditation
akkreditasiyası,accreditations
akkreditə,accredited
qaynayıb-qarışmaq,accrete
qeydə alınmış,accreted
akkumlyasiya,accreting
nema,accretion
genişlənmə,accretions
hesablama,accrual
hesablama,accruals
çoxalmaq,accrue
hesablanmış,accrued
yaranması,accruement
hesablanırsa,accrues
alıyor,accruing
artıran,acculturating
toplamaq,accumulate
yığılmış,accumulated
toplayır,accumulates
yığılan,accumulating
akkumulyasiya,accumulation
yığışması,accumulations
yığım,accumulative
akkumulyator,accumulator
akkumulyatorlar,accumulators
dəqiqlik,accuracy
dəqiq,accurate
dəqiq,accurately
məlun,accursed
ittiham,accusation
ittihamlar,accusations
i̇smin,accusative
ittiham,accusatory
təqsirləndirmək,accuse
təqsirləndirilən,accused
ittihamçı,accuser
ittihamçılar,accusers
günahlandırır,accuses
ifşaedici,accusing
isinişdirmək,accustom
vərdiş,accustomed
tuz,ace
acılaştırmak,acerbate
büzüşdürücülük,acerbity
n-hexane,acetaldehyde
asetat,acetate
sirkə,acetic
ekşimek,acetify
aseton,acetone
sirkə,acetous
asetilkolin,acetylcholine
asetilen,acetylene
ağrı,ache
ağrıyırdı,ached
ağrıları,aches
müyəssər,achievable
nail olmaq,achieve
əldə,achieved
nailiyyət,achievement
nailiyyətləri,achievements
oxuyan,achievers
arxiv,achieves
nail olmaq,achieving
ağrıyan,aching
perdesi,achromatic
turşu,acid
paxırlaşdırıcı,acidifier
turşuluq,acidity
turşuları,acids
turşməzə,acidulous
etiraf etmək,acknowledge
qəbul edilmiş,acknowledgeable
etiraf,acknowledged
etiraf,acknowledgement
teşekkürler,acknowledgements
etiraf,acknowledges
etiraf,acknowledging
yüksək nailiyyət,acme
palıd qozası,acorn
akustik,acoustic
akustik,acoustical
akustik,acoustically
akustika,acoustics
tanış etmək,acquaint
tanışlıq,acquaintance
tanışlar,acquaintances
tanışlıq,acquaintanceship
tanış,acquainted
tanışlıq,acquainting
tanış,acquaints
razı,acquiesce
sakit razılıq,acquiescence
qazanmaq,acquire
qazanılmış,acquired
yiyələnməsini,acquirement
əldə edir,acquires
əldə,acquiring
əldə,acquisition
alışlar,acquisitions
qazandırmaq,acquit
bəraət,acquittal
bəraət,acquitted
bəraət,acquitting
akrhesabı,acreage
acre,acres
buruk,acrid
ətiacı,acrimonious
ətiacılıq,acrimony
akrobat,acrobat
akrobatik,acrobatic
akrobatika,acrobatics
akrobatlar,acrobats
akropol,acropolis
arasında,across
akril,acrylic
akt,act
çıxış,acted
fəaliyyət,acting
aktinik,actinic
aktinium,actinium
fəaliyyət,action
emal,actionable
tədbirlər,actions
aktivləşdirmək,activate
aktiv,activated
aktivləşdirən,activates
aktivləşdirmə,activating
aktivasiya,activation
aktivləşdirici,activator
aktivləşdirən,activators
aktiv,active
fəal,actively
fəallığı,activeness
müdafiəçisi,activist
fəalları,activists
fəaliyyət,activities
aktivlik,activity
aktyor,actor
aktyorlar,actors
aktrisa,actress
aktrisalar,actresses
aktları,acts
faktiki,actual
tasdiq,actualisation
actualize,actualise
aktualite,actualities
aktuallığı,actuality
həqiqətən,actually
aktuar,actuarial
aktuari,actuarially
aktuariləri,actuaries
hareket,actuated
hidrogücləndirici,actuator
aktuatörler,actuators
kəsər,acuity
qanacaq,acumen
iynəbatırma,acupuncture
kəskin,acute
kəskin,acutely
kəskinlik,acuteness
atsiklik,acyclic
reklam,ad
adajio,adagio
sert,adamant
qazıma qırması,adamantine
uyğunlaşdırmaq,adapt
adaptasiya,adaptability
tətbiq edilə bilən,adaptable
uyğunlaşma,adaptation
evlerde,adaptations
adaptasiya,adapted
adapterləri,adapters
uyğunlaşmaq,adapting
adaptiv,adaptive
adapter,adaptor
adapterləri,adaptors
uyğunlaşır,adapts
əlavə etmək,add
əlavə,added
əlavələr,addenda
əlavəsi,addendum
gürzə,adder
asılılığı,addicted
narkomaniya,addiction
bağımlılıklar,addictions
asılılıq,addictive
bağımlılarla,addicts
əlavə,adding
əlavə,addition
əlavə,additional
əlavə,additionally
əlavələr,additions
aşqar,additive
aşqarların,additives
lax,addle
ünvan,address
ünvanlılığının,addressability
müraciət,addressed
həmsöhbətinin,addressee
həmsöhbətlərinin,addressees
ünvanları,addresses
müraciət,addressing
əlavə,adds
barbera,adduce
təqdim,adduced
sadalayır,adduces
addukt,adduct
adduksiyada,adducted
adenin,adenine
genik əti,adenoid
adenozin,adenosine
usta,adept
çatışmamazlıqlar,adequacies
adekvatlığı,adequacy
adekvat,adequate
adekvat,adequately
riayət,adhere
əməl,adhered
qoşulma,adherence
tərəfdar,adherent
sədaqətlə,adherently
tərəfdaşlarına,adherents
davamçıları,adherers
əməl,adheres
sadiq,adhering
adgeziya,adhesion
yapışan,adhesive
yapıştırıcılar,adhesives
yağlı,adipose
yağlanma,adiposity
bitişiklik,adjacency
qonşu,adjacent
sıfat,adjectival
sifət,adjective
sifətlər,adjectives
bitişik,adjoining
təxirə salmaq,adjourn
təxirə saldı,adjourned
təxirə salınmasında,adjourning
çöküntüləri,adjournment
ləkəsiz,adjudges
qərara,adjudging
qərar,adjudicate
qərara,adjudicated
baxılmasındakı,adjudicating
tari,adjudication
qərarlar,adjudications
əlavə olunma,adjunct
qoşma,adjunction
ek,adjunctive
andiçmə,adjuration
nizamlamaq,adjust
tənzimlənən,adjustable
düzəliş,adjusted
quraşdırıcı,adjuster
düzəliş,adjusting
nizamlama,adjustment
düzəlişlər,adjustments
tənzimləyici,adjustors
ayarlar,adjusts
yavərlik,adjutancy
yavər,adjutant
idarə etmək,administer
idarəsindəki,administered
təyinatı,administering
idarə,administers
idarə,administrate
idarə,administrated
idarə edir,administrates
idarə,administrating
müdiriyyət,administration
inzibati,administrational
administrasiyaları,administrations
inzibati,administrative
inzibati qayda ilə,administratively
inzibatçı,administrator
idarəçilər,administrators
heyranedici,admirable
heyranedici,admirably
admiral,admirals
admirallıq,admiralty
heyranlıq,admiration
xoşlanmaq,admire
heyran,admired
pərəstişkar,admirer
pərəstişkarları,admirers
həvəskarları,admires
qəbul edilmə,admissibility
məqbul,admissible
buraxılış,admission
qəbul,admissions
etiraf etmək,admit
etiraf,admits
qəbul,admittance
qəbul,admitted
qəbul,admitting
aşqar,admixture
nəsihət vermək,admonish
nəsihət,admonished
nəsihətamiz,admonishing
nəsihətyana,admonishingly
nəsihət,admonishment
nəsihət,admonition
nəsihətamiz,admonitory
çiy kərpic,adobe
yeniyetməlik,adolescence
yeniyetmə,adolescent
yeniyetmələr,adolescents
mənimsəmək,adopt
adoptasiyası,adoptability
qəbul,adopted
tətbiq,adopter
qəbul,adopters
qəbul,adopting
qəbul,adoption
övladlığa götürmənin,adoptions
övladlığa,adoptive
qəbul,adopts
sitayişə layiq,adorable
sitayiş,adoration
pərəstiş etmək,adore
pərəstişkar,adorer
sevgi dolu,adoring
bəzəmək,adorn
bəzəkli,adorned
bəzəyən,adorning
bəzək,adornment
zinət əşyaları,adornments
adrenalin,adrenaline
adrenergik,adrenergic
halına,adrift
çevik,adroit
bacarıqla,adroitly
çeviklik,adroitness
reklam,ads
adsorbsiya etmək,adsorb
adsorbsiya,adsorbed
adsorbsiya,adsorption
adsorbsiya,adsorptive
qoltuqlamaq,adulate
yaltaqlıq,adulation
yaltaq,adulatory
saxtalaşdırmaq,adulterate
saxta,adulterated
təhrif etmirik,adulterating
saxtalaşdırma,adulteration
zinakar,adulterer
zinakar,adulterers
zinakar,adulteress
ey vəfasızlar,adulteresses
zinadan əmələ gələn,adulterine
zinakar,adulterous
zina,adultery
əkəlik,adulthood
böyüklər,adults
qabaqcıl,advanced
irəliləyiş,advancement
irəliləyişlər,advancements
irəli,advancing
fayda,advantage
əlverişli,advantaged
sərfəli,advantageous
faydalı,advantageously
faydalılıq,advantageousness
üstünlükləri,advantages
macəra,adventure
macəraçı,adventurer
sərgüzəştləri,adventures
macəraçı,adventuress
fırıldaqçılıqdan,adventurism
sərgi,adventurous
avantüristcəsinə,adventurously
zərf,adverb
zərf,adverbs
çəkişmə,adversarial
düşmənlərim,adversaries
rəqib,adversary
əks,adverse
mənfi,adversely
bərk-boş,adversities
fəlakət,adversity
reklam,advert
reklamçı,advertiser
reklam,advertising
reklam,adverts
məsləhət,advice
məqsədəuyğunluq,advisability
məqsədəuyğun,advisable
məqsədyönlü,advisably
məsləhət,advise
tövsiyə,advised
avizolanması,advisement
məsləhətçi,adviser
məsləhətçilər,advisers
məsləhət,advises
məsləhət,advising
məsləhətçisi,advisor
məsləhətçilər,advisors
məsləhət,advisory
vəkillik,advocacy
vəkil,advocate
müdafiə,advocated
müdafiə,advocates
müdafiə,advocating
kərki,adze
qazlamaq,aerate
qazlı,aerated
aerasiya,aeration
havalandırıcılar,aerators
hava,aerial
antenalar,aerials
yırtıcı quşun yuvası,aerie
akrobatika,aerobatic
aerob,aerobe
aerobik,aerobic
aerobik,aerobics
aerodrom,aerodrome
aerodinamik,aerodynamic
aerodinamik,aerodynamics
aerometr,aerometer
aeronavt,aeronaut
havacılık,aeronautic
aeronaviqasiya,aeronautical
aeronavtika,aeronautics
təyyarə,aeroplane
təyyarələr,aeroplanes
aerozol,aerosol
aerozol şklnd,aerosolised
aerozolların,aerosols
aerokosmik,aerospace
aerostansiya,aerostation
estet,aesthete
estetik,aesthetic
estetik,aesthetical
estetik,aesthetically
estetisyenlik,aesthetician
estetiklik,aestheticism
estetika,aesthetics
etiologiyası,aetiology
gendən,afar
xoşrəftarlıq,affability
nəvazişli,affable
nəvazişlə,affably
iş,affair
işlər,affaires
işlər,affairs
təsir,affect
əda,affectation
təsir,affected
ibarəli,affectedly
ədabazlıq,affectedness
təsir,affecting
ədalı,affectingly
sevgi,affection
mehriban,affectionate
sevgi,affectionless
təsiredici,affective
təsir,affects
beyanı,affidavit
iltizamnamələr,affidavits
bağlı,affiliated
filialları,affiliates
mənsubiyyəti,affiliation
mənsubiyyətindən,affiliations
qohumluq,affinity
təsdiqləmək,affirm
təsdiq,affirmation
müsbət,affirmative
müsbət,affirmatively
təsdiq,affirmed
təsdiq,affirming
təsdiq edir,affirms
şəkilçi,affix
şəkilçiləşmə,affixation
yapışdırılan,affixed
kabab etmək,afflict
alçaldanların,afflicting
bədbəxtlik,affliction
afiliativ,afflictive
aranızda,affluence
zəngin,affluent
ödəyə,afford
əlverişli,affordable
təmin,afforded
təmin,affording
verir,affords
meşələndirmək,afforest
yaraşmadığını,affront
əfqan,afghan
əfqanıstan,afghani
əfqanların,afghans
tutuşmuş,afire
suda,afloat
ayaq,afoot
yuxarıda,afore
yuxarıda qeyd olunan,aforementioned
məzkur,aforesaid
düşünülmüş,aforethought
qorxur,afraid
yenidən,afresh
sonra,after
ətənə,afterbirth
alısın,aftermath
en,aftermost
günortadan sonra,afternoon
gündüzlər,afternoons
artçı,aftershocks
sonra,afterward
sonra,afterwards
yenidən,again
qarşı,against
aqat,agate
əsr,age
yaşlı,aged
aging,ageing
agentlikləri,agencies
agentlik,agency
gündəliyi,agenda
ajandalarında,agendas
agentləri,agents
yaş,ages
aqlomerasiya edilmiş,agglomerated
aqlomerasiyası,agglomeration
aglütine,agglutinated
iltisaqi,agglutinating
iltisaqilik,agglutination
iltisaqi,agglutinative
aglutinin,agglutinin
aggrandizement,aggrandisement
gərginləşdirmək,aggravate
ağırlaşdırılmış,aggravated
çətinləşdirir,aggravates
ağırlaşdırıcı,aggravating
kəskinləşmə,aggravation
fəsadlaşmalar,aggravations
ümumi,aggregate
ümumi,aggregated
aqreqatlar,aggregates
ümumiləşdirmək,aggregating
aqreqat,aggregation
ümumiləşdirilmiş,aggregative
kənara,aggress
təcavüz,aggression
təcavüzlər,aggressions
aqressiv,aggressive
təcavüzkaranə,aggressively
təcavüzkarlıq,aggressiveness
təcavüzkar,aggressor
təcavüzkarları,aggressors
dilxor,aggrieved
çevik,agile
qıvraq,agilely
çeviklik,agility
həyəcanlandırmaq,agitate
həyəcanlı,agitated
təbliğ,agitates
təbliğ,agitating
təşviqat,agitation
təşviqatçı,agitator
pırıl pırıl,agleam
şeytandırnağı,agnail
qohum,agnate
aqnostik,agnostic
aqnostisizm,agnosticism
əvvəl,ago
arzulu,agog
agonized,agonised
iztirablı,agonising
iztirabla,agonisingly
agonistleri,agonists
iztirab,agony
agorafobi,agoraphobia
aqrar,agrarian
razılaşmaq,agree
ixtilafsızlıq,agreeability
uyğun,agreeable
razılaşdırılmış,agreed
razılaşdırılması,agreeing
müqavilə,agreement
müqavilələr,agreements
razılaşır,agrees
aqrobiznes,agribusiness
təsərrüfat,agricultural
kənd təsərrüfatı,agriculturally
kənd təsərrüfatı,agriculture
aqronom,agriculturist
torpaqşünaslıq,agrology
təsərrüfat,agronomic
aqronomik,agronomical
aqronomiya,agronomics
aqronom,agronomist
aqronomiya,agronomy
quruya,aground
qabaqda,ahead
yardım,aid
yavər,aide
kömək,aided
kömək,aiding
kefsizlik,ail
dizayn və imalatını,ailerons
illətli,ailing
xəstəlik,ailment
aliment,ailments
məqsəd,aim
məqsədi,aimed
məqsədi,aiming
məqsədsiz,aimless
qayəsizlik,aimlessness
məqsədləri,aims
hava,air
təhlükəsizlik balışları,airbags
təyyarə,aircraft
təyyarələri,aircrafts
aerodromun,airdrome
havadan,airdrop
havalandırdı,aired
aerodromlardır,airfields
hava,airflow
hava kargo,airfreight
hava atmağı sevən,airhead
ayaqseyri,airing
havasız,airless
havasızlıq,airlessness
hava,airline
təyyarəsi,airliner
havayolları,airlines
aviapoçt,airmail
təyyarəçi,airman
aeroport,airport
dirijabl,airship
hava,airspace
uçuş zolağı,airstrip
nəfəslik,airway
hava,airways
uçuşa yararlı,airworthy
koridorda,aisle
keçiddə,aisles
aralı,ajar
kirəc,alabaster
həyəcan,alarm
təşvişli,alarmed
narahat edən,alarming
küyçülük,alarmism
küyçü,alarmist
həyəcan siqnalları,alarms
əfsus,alas
albatros,albatross
olsa,albeit
albinizm,albinism
albinos,albino
albom,album
zülal,albumen
kimyagər,alchemist
kimyagərlik,alchemy
spirt,alcohol
spirtli,alcoholic
alkoqoliklər,alcoholics
alkoqolizm,alcoholism
spirtlərin,alcohols
qızılağac,alder
meyhane,alehouse
uyarıcı,alerter
aklımda,alerting
zirəklik,alertness
siqnallar,alerts
aleksandra,alexandrine
aleksandrit,alexandrite
yonca,alfalfa
açıq havada,alfresco
yosun,alga
yosunlar,algae
cəbr,algebra
cəbri,algebraic
cəbrlər,algebras
alqoritm,algorithm
alqoritmik,algorithmic
alqoritmlər,algorithms
ləqəb,alias
takma,aliases
yad,alien
yadlaşdırmaq,alienate
özgəninkiləşdirilə,alienated
özgəninkiləşdirən,alienating
yabançılıq,alienation
özgəninkiləşdirən,alienator
əcnəbilər,aliens
çıxmaq,alight
uyğunlaşdırılması,aligning
qruplaşma,alignment
oxşar,alike
ərzaq,aliments
aliment,alimony
qanadayaqlı,aliped
alifatik,aliphatic
diri-diri,alive
qələvi,alkali
qələvili,alkaline
qələvilik,alkalinity
qələvi,alkalis
alkaloidləri,alkaloids
alkid,alkyd
alkil,alkyl
bütün,all
sakitləşdirmək,allay
iddia,allegation
iddiaları,allegations
təsdiqləmək,allege
iddia,alleged
iddia,allegedly
iddia,alleges
sədaqət,allegiance
xəbərini,alleging
alleqorik,allegoric
alleqorik,allegorical
rəmz,allegory
alleqro,allegro
allel,allele
əlhəmdülillah,alleluia
alerjik,allergenic
allergik,allergic
alerji,allergies
allergiya,allergy
azaltmaq,alleviate
azaldır,alleviates
yüngülləşdirməyə,alleviating
xiyabanı,alley
xiyabanlar,alleys
ittifaq,alliance
ittifaqlar,alliances
müttəfiq,allied
müttəfiqləri,allies
paylanıla,allocable
ayrılması,allocate
ayrılan,allocated
ayırıb,allocates
ayrılması,allocating
vəsait,allocation
ayırmalar,allocations
hitabe,allocution
allafon,allophone
ayırmaq,allot
hissə,allotment
allotrop,allotropy
ayırıb,allots
ayrılmış,allotted
verilməsi,allotting
icazə vermək,allow
caiz,allowable
vəsait,allowance
müavinətlər,allowances
icazə,allowed
imkan,allowing
imkan verir,allows
ərinti,alloy
ərintiləri,alloys
kinayə etmək,allude
şirnikləşdirmək,allure
əsir,allured
cazibəlilik,allurement
ehtirasları,allures
cəzbedici,alluring
kinayə,allusion
kinayəli,allusive
eyhamla,allusively
allüvial,alluvial
müttəfiq,ally
müttəfiqlikdə,allying
illik,almanac
allahu,almighty
badam,almond
badam,almonds
