Other,English
- ovu,bad
- vwa,some
- zuri,good
-a potroni,on the left
-ambia,tell
-aniha,spread in the sun
-bala,close
-baya pumu,to suffocate
-baya umiyo,to strangle
-bua,open
-bubua,thresh rice
-dala,forget
-djibu,answer
-djihosa,"wash (oneself), wash oneself"
-dudua,ground
-dzisa,ask
-eledza,explain
-elewa,understand
-endra likoli,go to school
-endra mbio,to throb
-endza,having
-fa,to die
-fa maushe,to be frigid
-fahamu,pay attention
-fanya,do
-fitsiya,fill in
-fundriha,learn
-fungwa,be punished
-gaudza,change
-gudzusa ishitswa,to shake one's head
-guguma,to stammer
-hangiha,write
-heana,make love
-hedza mabega,to shrug
-hedza pumu,to breath
-helesedza,"reheat, warm again"
-hoa,bath
-hodza,"do the bed, to be sick"
-homa,be late
-humisa,dry
-hundza,sweep
-jua,know
-ka na mo,to be alive
-katra,cut
-kawa,to suffocate
-ketsi,sit down
-kia,listen
-kodza,to feel pain
-kohola,to cough
-kokotsa,weed
-la,eat
-lagua,speak
-lala,sleep
-lawa,"leave, go out"
-lawa hari,to sweat
-lima,cultivate
-lodza,soak
-mea ndrevu,shave
-medza,swallow
-menya,break
-ngalia,look at
-ngiya,come in
-nunua,buy
-nya kojo,"piss, to piss"
-nya madzi,"shit, to shit"
-oha,grill
-pasua kuni,cut firewood
-patsa,light
-penye,comb
-piha,cook
-pua,pick up
-regea,repeat
-rema,to beat
-rema soha,axe
-rengeledza,fix
-rongoa,say
-samuha,to choke
-shindra,win
-soma,learn
-somedza,teach
-somesa,teach
-sondza,to suck
-sondzeha,to get thin
-suka,plait
-tabu,plant
-tahari,to digest
-toa djifu,dust
-tra mare,to spittle
-tsamba,wash one's buttock
-tseha,to laugh
-tsimba,dig
-twali,learn by heart
-vaha,paint
-vangusa,dry
-vera imihono,to twiddle one's thumbs
-vinga,bring
-vulikia,listen
-vuna,harvest
-vundza dondro,to kneel
-zima,switch off
-zimba nyumba,thatch a house
Abadan,Ever
Adabu,respect
Adhabu,respect
Adhan,Call to the prayer
Adhibu,To bore
Adhuhuri,"South of France, second prayer"
Adjabu,Astonishing thing
Adjiri,To rent
Afadhawali,it is better
Ajuwao Mungu,only God knows it
Alakin,Even though
Alb'swiri,Please the afternoon
Alesha,"Please the night, 5th prayer"
Alhamdulillahi!,God thank you
Alifadjiri,Please the dawn
Alifu,One thousand
Alihaswili,in general
Allah,God
Almasi,Diamond
Amazed,Father
Amba waye kavo,That he is not there
Amuru,Decree to the world
Arab'u,Arabia
Arabu,Arab
Arubaini,Forty
Arufu,"Odor, perfume"
Arzu,Earth
Asubuhi,Morning
Ata,Until
Avrili,April
Azan,Call to the prayer
Bafuta,Shroud
Bahati,Luck
Baina,"Far in sea, between"
Baki,To remain
Bandari,Port
Bara,Country
Baridi,Cold
Bariki,To bless
Barua,Letter
Basi,"That is sufficient, therefore"
Basi mingles yavahara,And then the budding rice
Baãda,After
Biashara,Trade
Bikira,"Hymen, virginity"
Bila,Without
Birika,Reservoir
Buhuri,Censer
Bun,Coffee
Bunduki,Rifle
Burdaji,"Limit of the village, pregnant of the village"
Burudu,Freshness
Busu,To kiss
