Other,English
'to yahoo,'to yahoo
() சக்தி வாய்ந்த கட்டணம்,() powerful charge
() சக்தி வாய்ந்த பொறுப்பு,() powerful charge
(acceluttukkal வலது) வளைந்த ஆகிறது,(acceluttukkal right) is bent
"(harmoniyam முதலியன), ஒரு இசை கருவி","(harmoniyam etc.), a musical instrument"
(q) (onrininrum) முன்னேறியது,(q) (onrininrum) advanced
(q) ஆயிரம்,(q) thousand
(uk) லட்சம் கோடி,(uk) lakh crore
(varusantara) பட்ஜெட்,(varusantara) budget
(அ),(a)
(அ) ​​அதிக வரி செலுத்த,(a) pay higher taxes
(அ) ​​அறையில் உச்சவரம்பு,(a) the ceiling in room
(அ) ​​அவர்களை தவிர்க்க பிரிக்க வைக்க,(a) to keep them separate to avoid
(அ) ​​அவர்களை பிரிக்க வைத்து தவிர்க்க,(a) keep them separate to avoid
(அ) ​​ஆற்றல் சமமான மதிப்பு (அ) பொருள்,(a) the energy equivalent value (a) material
"(அ) ​​இணைக்கும் உட்பட செயல்முறை,","(a), including the process of connecting,"
(அ) ​​இயலாமை புரிந்துகொள்ள,(a) inability to understand
(அ) ​​இரண்டு காதல் வசதியாக அருகில் உள்ளது,(a) two love is conveniently close
(அ) ​​உச்சவரம்பு அறையில்,(a) the ceiling in the room
(அ) ​​ஒரு ஒற்றை,(a) a single
(அ) ​​ஒரு நினைவூட்டுவதாக உள்ளது,(a) is a reminiscent of
(அ) ​​கட்டளையை உள்ளிடவும்,(a) enter the command
(அ) ​​கால்குலேட்டர் அமைப்பு,(a) the calculator system
(அ) ​​கொள்பவர் நுழைய,(a) enter the command
(அ) ​​சந்திக்க மற்றும் பதிலளிக்க நேரம் செலவிட,(a) to meet and spend the time to answer
(அ) ​​சந்திக்க மற்றும் பதில் நேரம் செலவிட,(a) to meet and spend time in response
(அ) ​​செய்ய தொகுத்துரை,(a) to recapitulate
(அ) ​​செலவிட நேரம் பதிலளிக்க சந்தித்து,(a) to meet and spend time to respond
(அ) ​​செலுத்துபவர் செலுத்த மேலும்,(a) the payer to pay more
(அ) ​​செலுத்துவோர் மேலும் கொடுக்க,(a) to give taxpayers more
(அ) ​​தனி ஒரு,(a) a single
(அ) ​​தலைகீழ் ஒரு தலைகீழ் ஆகிறது,(a) the reverse is a reverse
(அ) ​​தொகுத்துரை செய்ய,(a) to recapitulate
(அ) ​​தொடக்க மீண்டும்,(a) start again
(அ) ​​நபரின் உறவினர்,(a) the person's relative
(அ) ​​நபரின் உறவினர் ஒருவர்,(a) the person's relative
(அ) ​​நாகரீகத்தின் சார்பில் பேசுவதாக,(a) to speak on behalf of civilization
(அ) ​​புரிந்து கொள்ள இயலாமை,(a) the inability to understand
(அ) ​​பேசு சார்பாக நாகரிகம் எழுத,(a) to speak on behalf of civilization
(அ) ​​பேச்சு பதில் nakappunta,(a) talk answer nakappunta
(அ) ​​பேச்சு விடை nakappunta,(a) talk answer nakappunta
(அ) ​​மாநாடு சூட்டிக்கொள்ளும்,(a) conference சூட்டிக்கொள்ளும்
(அ) ​​மீண்டும் தொடங்க,(a) start again
(அ) ​​மேலும் வரி செலுத்துவோர் கொடுக்க,(a) pay more tax payers
(அ) ​​மேலும் வரிப்பணம் செலுத்த,(a) pay more tax
(அ) ​​ரயில் பேருந்தில் பயணம்,(a) train ride on the bus
(அ) ​​வசதியாக இரண்டு அன்போடு நெருக்கமாக,(a) is conveniently close to both the love
(அ) ​​விலங்கு பிட்டம்,(a) animal buttock
(அ) ​​விலங்குகளின் பிட்டம்,(a) the animal's buttocks
(அ) ​​விலை கொடுக்க,(a) pay the price
"(அ), இணைக்கும் செயல்முறை உட்பட,","(a), including the process of connecting,"
(அச்செழுத்துக்கள் வலப்பக்கம்) சாய்ந்துள்ள,(acceluttukkal right) is bent
(அடிப்படையிலான இயந்திரம்) ரெவ்,(based machine) rev
(அடிப்படையில் குழாய் வழியாக தண்ணீர்) இயக்கப்படும் தண்ணீர்,(based on the water pipe) operated water
(அதிகார) ஒப்படைவு / வழங்கு,(power) dedicated / provided
(அநியாயமாகச் சேகரித்த) செல்வம்,(ill-gotten) wealth
(அறிவிப்பாக) சுற்றிவிடு / சுற்றனுப்பு,(notification) currivitu / circulate
(அறிவிப்பு) currivitu / பகுதி,(notice) currivitu / area
(அறிவிப்பு) currivitu / பரப்பு,(notice) currivitu / area
(அவசரச்) சட்டம்,ordinance
(ஆர்மோனியம் போன்ற) ஓர் இசைக் கருவி,"(like harmonium), a musical instrument"
(ஆள் வகையில்) எழுச்சி இன்றி ஒருநிலைப்பட்ட,(in person) without a semblance of fraternal rise
(இங்கிலாந்தில்) லட்சம் கோடி,(uk) lakh crore
(இசை வகையில்) ஆணின் உயர்நிலை இசைக் குரல்,(in music) a man's high musical voice
(இடையிலான பல விஷயங்கள்),(among many other things)
(இன) மாற்றம்,casting
(இயக்குநராக அப்பதவியில்) இடையேற்பு செயலமர் / இயங்கு செயலமர் பணிபுரி நடவடிக்கை,(director of the latter) itaiyerpu workshop / seminar and working mechanism of action
(இயந்திரப் பொறி வகையில்) இயக்கி வேகப்படுத்து,(in terms of engine) rev
(இயந்திரம் அடிப்படையில்) ரெவ்,(machine based) rev
(இரகசிய) வெளிப்படுத்த,(secret) reveal
(இரகசியம்) வெளிப்படுத்து,(secret) reveal
(இரண்டு துண்டுகளாக பெண்கள் குளிக்கும்) குளியல் ஆடை,(two pieces women bathing) bath clothing
(இரண்டு) மற்றும் இரண்டு,(two) and two
(இரு) மற்றும் இரண்டு,(two) and two
(இறுதியில்) cempon வண்ண,(end) cempon color
(இறைச்சி) கொத்து சிறு tuntankalakak,(meat) cluster of small tuntankalakak
(இறைச்சி) சிறிய tuntankalakak கொத்து,(meat) cluster of small tuntankalakak
(இறைச்சியை) சிறு சிறு துண்டங்களாகக் கொத்து,(meat) tuntankalakak bunch of minor
"(உடல் அடிப்படையில்), வீக்கம்","(in physical terms), swelling"
(உடல் வகையில்) வீங்கிய,"(in physical terms), swollen"
(உந்து) வண்டி,automobile
(உரிமையாளராக) மதிப்பளிக்கப்படுதல் / ஏற்றுக்கொள்ளல்,(owner) மதிப்பளிக்கப்படுதல் / accreditation
(உரிமையாளர்) மதிப்பளிக்கப்படுதல் / அங்கீகாரம்,(owner) மதிப்பளிக்கப்படுதல் / recognition
(உறுப்பு வகையில்) நீள்கிற,(element of) itself
(உறுப்பு) தன்னை,(element) itself
(எரிவாயு) aluttakkuraivu,(gas) aluttakkuraivu
(எழுதும்) மை,ink
(ஒரு கெட்ட வழியில்) valakkappatuttu,(in a bad way) valakkappatuttu
(ஒரு நாட்டின்) பண,(a country's) cash
(ஒரு நாட்டின்) பண்முறை சார்ந்த,(a country's) monetary
(ஒரு) ஒரு நினைவூட்டுவதாக உள்ளது,(a) is a reminiscent of
(ஒலி வகையில்) உச்சமட்டக் குரலுக்கு இடைப்பட்ட ஒலி உள்ள,(sound of) between the sound of the voice in uccamattak
