English,Other
the,die
these,hierdie
of,van
from,van
surname,van
and,en
to,na
to,tot
after,na
after,nadat
past,verlede
toward,na
a,n
in,in
into,in
for,vir
is,is
am,wees
be,wees
on,op
on,aan
upon,op
up,op
up,opwaarts
upwards,opwaarts
that,daardie
that,dit
that,sodat
those,daardie
those,sommige
it,dit
some,sommige
by,deur
by,met
by,teen
by,per
by,naby
by,past
through,deur
through,deur
through,deur middel van
per,deur
per,per
door,deur
throughout,deur
throughout,deurgaans
with,met
against,teen
at,teen
versus,teen
near,naby
this,hierdie
i,i
you,u
you,jou
you,julle
your,jou
your,julle
not,nie
or,of
whether,of
are,wees
as,as
as,soos
axle,as
ash,as
like,soos
like,hou van
all,alle
have,hê
new,nuut
more,meer
lake,meer
an,'n
was,wees
we,ons
us,ons
our,ons
will,testament
will,begeerte
testament,testament
desire,begeerte
lust,begeerte
lust,wellus
home,tuiste
can,blik
tin,blik
tin,tin
about,om
about,rondom
about,omheen
around,rondom
around,in die omtrek
if,as
page,bladsy
my,my
me,my
has,hê
search,soektog
quest,soektog
free,gratis
free,bevry
free,vry
liberate,bevry
but,maar
one,een
other,ander
do,doen
perform,doen
perform,optree
no,geen
none,geen
information,informasie
time,tyd
they,hulle
their,hulle
them,hulle
site,tuiste
he,hy
him,hy
may,mag
power,mag
what,wat
which,watter
which,watter
news,nuus
out,uit
out,buite
outside,buitekant
exterior,buitekant
exterior,uiterlik
external,uiterlik
external,buitekantste
use,gebruik
custom,gebruik
any,enige
there,daar
see,sien
witness,sien
witness,getuie
witness,getuig
testify,getuig
attest,getuig
attest,verklaar
declare,verklaar
only,slegs
only,net
only,enigste
only,enigste
net,net
just,regverdig
righteous,regverdig
so,so
his,sy
she,sy
side,sy
when,wanneer
when,wanneer
contact,kontak
contact,kontak
here,hier
business,sakeonderneming
who,wie
web,web
also,ook
too,ook
too,alte
now,nou
narrow,nou
help,hulp
aid,hulp
get,kry
take,kry
take,neem
take,inneem
take,neem saam
take,skryf
pm,pm
view,uitsig
online,aanlyn
c,c
e,e
first,eerste
been,wees
would,sou
how,hoe
were,wees
s,s
youth,s
youth,jeug
youth,jeugdige
services,diens
services,versiening
service,diens
service,versiening
click,klik
its,sy
x,x
than,as
find,vind
price,prys
rate,prys
date,datum
date,dadel
back,rug
back,agter
back,agterstallig
overdue,agterstallig
overdue,laat
rear,agter
behind,agterstewe
late,laat
late,laat
late,wyle
support,ondersteuning
support,steunstuk
promotion,ondersteuning
promotion,bevordering
while,wyle
promote,ondersteun
promote,bevorder
top,kruin
top,bopunt
summit,kruin
summit,toppunt
apex,toppunt
people,mense
folk,mense
had,hê
list,lys
list,lys
name,naam
over,oor
over,oor
across,oor
ear,oor
state,staat
state,toestand
condition,toestand
year,jaar
day,dag
email,e-pos
e-mail,e-pos
two,twee
health,gesondheid
n,n
world,wêreld
re,re
next,volgende
next,vervolgens
following,volgende
used,gebruik
go,loop
go,reis
travel,reis
journey,reis
voyage,reis
b,b
work,werk
job,werk
job,taak
task,taak
last,laaste
most,meeste
products,produk
product,produk
music,musiek
buy,koop
purchase,koop
data,data
make,maak
should,behoort
belong,behoort
system,sisteem
post,pos
post,paal
mail,pos
her,haar
hair,haar
city,stad
t,t
add,byvoeg
policy,gedragslyn
number,nommer
such,sodanig
please,plesier
pleasure,plesier
available,beskikbaar
copyright,kopiereg
message,boodskap
best,beste
software,sagteware
then,destyds
jan,januarie
january,januarie
good,goed
stuff,goed
video,video
well,goed
well,put
pit,put
d,d
where,waar
true,waar
true,ware
true,getrou
faithful,getrou
info,info
rights,regte
public,publiek
books,boek
book,boek
high,hoog
school,skool
m,m
each,elke
every,elke
links,skakel
dial,wyserplaat
review,resenseer
years,jaar
order,bestel
order,beveel
order,volgorde
order,bevel
order,bestelling
sequence,volgorde
command,bevel
tell,beveel
tell,vertel
relate,vertel
very,baie
many,baie
much,baie
privacy,privaatheid
items,item
item,item
company,maatskappy
company,kompanie
company,geselskap
companionship,geselskap
conversation,geselskap
r,r
read,lees
group,groep
party,groep
party,partytjie
sex,seks
need,behoefte
want,behoefte
want,gebrek
flaw,gebrek
default,gebrek
default,wanbetaling
deficiency,gebrek
deficiency,defek
lack,gebrek
fault,defek
fault,skuld
owe,skuld
guilt,skuld
user,gebruiker
said,sê
say,sê
de,de
does,doen
set,stel
set,dekor
under,onder
below,onder
below,onder
underneath,onder
underneath,onder
underneath,benede
beneath,benede
beneath,ondertoe
general,generaal
research,navorsing
research,navors
university,universiteit
full,vol
map,kaart
card,kaart
reviews,resenseer
program,program
life,lewe
live,lewe
live,lewendig
alive,lewendig
lively,lewendig
know,weet
games,wild
game,wild
way,pad
road,pad
days,dag
management,bestuur
manage,bestuur
drive,bestuur
drive,aanjaag
p,p
part,deel
part,verdeel
share,gedeelte
split,verdeel
divide,verdeel
section,gedeelte
section,afdeling
could,kon
great,groot
large,groot
united,verenig
unify,verenig
hotel,hotel
real,werklik
actual,werklik
f,f
international,internasionaal
center,middel
waist,middel
ebay,ebay
must,muf
store,winkel
store,pakhuis
shop,winkel
warehouse,pakhuis
comments,opmerk
remark,opmerk
comment,opmerk
made,gemaak
development,ontwikkeling
report,verslag
report,rapport
off,af
down,af
member,lid
details,besonderheid
detail,besonderheid
line,lyn
line,ry
line,reeks
ride,rit
range,reeks
range,verskeidenheid
range,omvang
row,ry
string,lyn
extent,omvang
terms,termyn
terms,kwartaal
terms,uitdrukking
terms,perk
expression,uitdrukking
expression,gesigsuitdrukking
term,termyn
term,kwartaal
term,uitdrukking
term,perk
before,voor
front,voorkant
front,front
hotels,hotel
did,doen
send,stuur
steering,stuur
steer,stuur
right,regs
right,korrek
correct,korrek
type,tipe
type,drukletter
kind,tipe
because,omdat
local,plaaslik
using,gebruik
results,resultaat
result,resultaat
office,kantoor
education,opvoeding
schooling,opvoeding
national,nasionaal
car,kar
cart,kar
design,ontwerp
posted,gepos
internet,internet
address,adres
address,toespraak
community,gemeenskap
within,binne
inside,binne
states,state
statements,verklaring
declaration,verklaring
area,area
phone,selfoon
mobile phone,selfoon
dvd,dvd
shipping,verskeep
ship,skip
reserved,voorbehou
subject,onderwerp
subject,vak
topic,onderwerp
submit,onderwerp
between,tussen
among,tussen
forum,forum
family,familie
l,l
long,lang
based,gebaseer
w,w
code,kode
show,wys
show,uitstal
wise,wys
display,uitstalling
exhibit,uitstal
exhibition,uitstalling
o,o
even,gelyk
level,gelyk
level,gelykmaak
grade,gelykmaak
grade,helling
slope,helling
black,swart
check,tjek
check,kontroleer
control,kontrole
special,spesiaal
prices,prys
website,webwerf
index,inhoudsopgawe
being,wees
women,vrou
female,vrou
wife,vrou
woman,vrou
professional,vrou
professional,beroepsman
neighbor,vrou
neighbor,buurman
sign,teken
draw,teken
signal,teken
file,leêr
file,vyl
link,skakel
open,publiek
today,vandag
technology,tegnologie
south,suid
case,saak
case,kis
casket,kis
concern,saak
concern,onderneming
undertaking,onderneming
project,projek
same,dieselfde
alike,dieselfde
similar,dieselfde
pages,bladsy
uk,verenigde koninkryk
version,weergawe
own,besit
possess,besit
found,vind
sports,sport
sport,sport
house,huis
related,vertel
security,sekuriteit
security,sekutiteit
both,beide
both,albei
either,albei
g,g
county,land
field,land
american,amerikaans
american,amerikaner
photo,foto
members,lid
care,sorg
network,netwerk
computer,rekenaar
systems,sisteem
three,drie
try,drie
try,probeerslag
attempt,poging
hearing,verhoor
hearing,gehoor
total,totaal
place,plek
point,plek
point,punt
point,tydstip
point,desimaalpunt
period,punt
period,tydperk
period,maandstonde
tip,punt
tip,fooi
fee,fooi
end,einde
download,aflaai
unload,aflaai
h,h
without,sonder
access,toegang
admission,toegang
admission,skulderkenning
admittance,toegang
think,dink
north,noord
resources,hulpbron
resource,hulpbron
current,huidig
present,huidig
present,geskenk
gift,geskenk
offer,aanbied
offer,aanbod
posts,pos
posts,paal
big,groot
media,media
law,wet
water,water
water,natlei
history,geskiedenis
pictures,prent
picture,prent
size,grootte
art,kuns
personal,persoonlik
since,sedert
since,vandat
since,van toe af
including,insluitende
guide,gids
directory,adresboek
board,direksie
board,plank
location,lokasie
change,verandering
change,verandering
change,kleingeld
change,kleingeld
alteration,verandering
switch,verandering
switch,skakelaar
switch,oorskakel
white,wit
text,teks
small,klein
little,klein
minute,klein
rating,gradering
government,regering
children,kind
child,kind
during,gedurende
usa,vsa
return,terugkom
return,terugstuur
return,wins
return,terugsending
profit,wins
gain,wins
students,student
student,student
v,v
shopping,shopping
account,rekening
bill,rekening
times,tyd
sites,webwerwe
digital,digitale
profile,profiel
previous,vorige
form,vorm
shape,vorm
events,gebeurtenis
event,gebeurtenis
love,liefhê
old,ou
john,john
main,vernaamste
principal,vernaamste
principal,skoolhoof
call,oproep
call,roep
cry,roep
hours,uur
hour,uur
image,beeld
department,departement
title,titel
description,beskrywing
non,nie
k,k
y,y
insurance,versekering
another,nog 'n
why,hoekom
