Other,English
Categories,Fundamental
marathi,english
अ-जीवनसत्त्व,Vitamin A
अँगोला,Angola
अँग्विला,Anguilla
अँटवर्प,Antwerp
अँटिगा आणि बार्बुडा,Antigua and Barbuda
अँटिमोनी,Antimony
अँडर्स सेल्सियस,Anders Celsius
अँडीझ पर्वतरांग,Andes
अँड्रु जॅक्सन,Andrew Jackson
अँड्रु जॉन्सन,Andrew Johnson
अँतोनियो विवाल्डी,Antonio Vivaldi
अँपियर,Ampere
अंकगणित,Arithmetic
अंकारा,Ankara
अंटार्क्टिका,Antarctica
अकिलिस,Achilles
अक्षर,Letter
अक्षांश,Latitude
अगाथा ख्रिस्ती,Agatha Christie
अझरबैजान,Azerbaijan
अझरबैजान,Azerbaijan
अटलांटा,Atlanta
अटलांटिक महासागर,Atlantic Ocean
अणुक्रमांक,Atomic number
अणुभार,Atomic mass
अणू,Atom
अतिसूक्ष्मतंत्रज्ञान,Nanotechnology
अतीनील किरणे,Ultraviolet
अथेना,Athena
अथेन्स,Athens
अदिस अबाबा,Addis Ababa
अनंत,Infinity
अनतोल फ्रांस,Anatole France
अननस,Pineapple
अन्न,Food
अन्नपूर्णा १,Annapurna
अपरिमेय संख्या,Irrational number
अपोलो मोहीम,Apollo program
अफगाणिस्तान,Afghanistan
अफगाणिस्तान,Afghanistan
अब्दल गमाल नासर,Gamal Abdel Nasser
अब्राहम लिंकन,Abraham Lincoln
अभिजात यामिक,Classical mechanics
अभियांत्रिकी,Engineering
अभ्रक,Mica
अमुन रा,Amun
अमेरिकन कॉँग्रेस,United States Congress
अमेरिकन गृहयुद्ध,American Civil War
अमेरिकन डॉलर,United States dollar
अमेरिकन फुटबॉल,American football
अमेरिकन सामोआ,American Samoa
अमेरिकेची संयुक्त संस्थाने,United States
अमेरिकेची संयुक्त संस्थाने,United States
अमेरिकेचे सर्वोच्च न्यायालय,Supreme Court of the United States
अम्मान,Amman
अरबी समुद्र,Arabian Sea
अर्थशास्त्र,Economics
अर्नेस्ट हेमिंग्वे,Ernest Hemingway
अलाबामा,Alabama
अलाबामा,Alabama
अलास्का,Alaska
अलास्का,Alaska
अलेक्झांडर ग्रॅहॅम बेल,Alexander Graham Bell
अलेक्झांडर द ग्रेट,Alexander the Great
अलेक्झांडर पुश्किन,Alexander Pushkin
अलेक्झांडर पोप,Alexander Pope
अलेक्सांद्र सोल्झेनित्झिन,Aleksandr Solzhenitsyn
अल्केमी,Alchemy
अल्जीयर्स,Algiers
अल्जीरिया,Algeria
अल्जीरिया,Algeria
अल्बर्ट आइनस्टाइन,Albert Einstein
अल्माटी,Almaty
असिरिया,Assyria
अस्ताना,Astana
अस्मारा,Asmara
आंतरराष्ट्रीय कालविभाग,Time zone
आंतरराष्ट्रीय गणना पद्धती,International System of Units
आंतोन चेखव,Anton Chekhov
