Other,English
Mekua let'e,this is his house
Tu Cho Mene,Frances Lake
Tu Lidlini,Ross River
adade kentah,he is playing
adade tu nakal,he is packing water
adade tu nehes,he is packing water
adade ye deh'ina?,what is he doing?
ah endi?,where are the snowshoes?
aht'ut let'e,this is a baby
ani,come here
bede,food
bede isket,i bought food
bes de',hand me the knife
bet,stomach
cha nedetl'it,it is raining
da',eye
dahba' let'e,this is a blueberry
daht'a?,how are you all?
dahyege ts'i' ayala?,where is he walking to?
dahyige guts'i' ayala?,where is he going?
de'une' egeli de'ezele,he smiled as packed his gun
de'une' etil,he carried his gun
de'une' kede'ih,he looked for his gun
de'une' tse' ka k'edanehtan,he leaned his gun on the rock
debe,sheep
debe ganhtanam?,do you see any sheep?
debe nestlon ganestan,i see lots of sheep
dechen tah guts'i' ayal,he's going into the woods
dechenh ta nesde,i live in the bush
dedi dene let'e,this is a man
dedi nahgani let'e,this is nahgani
dedi ye t'a?,what is this?
dedode' deseda',he is wearing his jacket
dege',go away
deget'a?,how are they?
dehbedam?,are you all hungry?
dehkadle let'e,this is a raspberry
dehyega nenda?,wher do you live?
dehyege ts'i' enyala?,where are you going walking?
denbedam?,are you hungry?
dene,man
dene dechen tah ts'i' dehya,a man goes out into the bush
dene ejedehya,the man is going hunting
dene ekedi koa ts'i' asyal,i'm walking to the store
dene ekedi koa ts'i' ayal,he is walking to the store
dene k'eh Nadzestile guye,his Kaska name is nadzestile
dene k'eh edents'eg-am?,do you understand native lang.
dene k'eh edests'ek,i understand native language
dene k'eh gudesde-i kesdi,i'm learning to speak kaska
dene k'eh mezi' duguya?,what is his Kaska name?
dene kedihi koa ts'i' asyal,i'm walking to the school
dene kedihi koa ts'i' ayal,he's walking to school
dene let'e,this is a man
dene sas kha ejedehya,he is going hunting bear
dene shenestin,the man has fallen asleep
dene tie chue gulin,merry christmas
dene ye deh'ina?,what is the man doing?
dene ye kah ejedehya?,what is the man going hunting?
denht'a?,how are you?
desbet,i am hungry
desk'ishe let'e,this is a grayling
dests'i dest'in,i have dry branches
dests'i leshedele,he's gathering dry branches
