English,Other
aªtre,ãªtre
aback,overrasket
abaft,agten
abalone,søøre
abandon,opgive
abandoned,forladte
abandoning,opgive
abandonment,opgivelse
abandonne,abandonné
abandons,opgiver
abase,fornedre
abased,fornedret
abasement,fornedrelse
abashed,forknyt
abate,aftage
abated,aftaget
abatement,nedskæring
abates,aftager
abating,aftage
abattoir,slagteri
abattoirs,slagterier
abbess,abbedisse
abbey,abbedi
abbeys,klostre
abbot,abbed
abbots,abbeder
abbreviate,forkorte
abbreviated,forkortet
abbreviates,forkortes
abbreviating,forkorte
abbreviation,forkortelse
abbreviations,forkortelser
abdicate,abdicere
abdicated,abdiceret
abdicates,abdicerer
abdicating,abdicere
abdication,abdikation
abdomen,underliv
abdomens,underliv
abduct,bortføre
abducted,bortført
abducting,bortførende
abduction,bortførelse
abductions,bortførelser
abductor,bortføreren
abductors,bortførere
abducts,bortfører
abed,en seng
abelard,abélard
aberrant,afvigende
aberrations,afvigelser
abetted,tilskyndet
abetting,tilskyndelse
abettors,håndlangere
abeyance,bero
abhor,afskyr
abhorred,afskyede
abhorrence,afsky
abhorrent,afskyelige
abhors,afskyr
abiathar,ebjatar
abide,overholde
abided,overholdt
abides,lever
abideth,blivende
abijah,abija
abilities,evner
ability,evne
abime,abimé
abimelech,abimelek
abject,ynkelig
abjectly,skammeligste
abjuration,afsværgelse
abjure,afsværge
abjured,afsvor
ablate,ablatere
ablates,ablaterer
ablating,ablation
ablative,ablativ
ablaze,brand
able,i stand
ablest,dygtigste
abloom,farvestrålede
ablution,afvaskningen
ablutions,afvaskninger
ably,dygtigt
abnormal,unormal
abnormalities,abnormiteter
abnormality,abnormitet
abnormally,unormalt
aboard,ombord
abode,bolig
abolish,afskaffe
abolished,afskaffet
abolishes,afskaffer
abolishing,afskaffe
abolition,afskaffelse
abolitionist,afskaffelse
abolitionists,abolitionister
abominable,afskyelige
abominably,vederstyggeligt
abominate,afsky
abominated,afskyede
abomination,vederstyggelighed
abominations,vederstyggeligheder
aboriginal,oprindelige
aborigines,aboriginals
abort,afbryde
aborted,afbrudt
aborting,afbryder
abortion,abort
abortionist,abortlæge
abortions,aborter
abortive,forfejlede
aborts,afbryder
abound,bugne
abounded,vrimlede
abounds,bugner
about,ca
above,ovenfor
abraded,slebet
abrasion,slid
abrasions,hudafskrabninger
abrasive,slibende
abrasiveness,slidende
abrasives,slibemidler
abreast,ajour
abridge,forkorte
abridged,forkortet
abridgement,forkortelse
abridgment,forkortelse
abroad,udlandet
abrogate,ophæver
abrogated,ophævet
abrogating,ophævelse
abrogation,ophævelse
abrupt,pludselige
abruptly,brat
abruptness,pludselige
absalom,absalon
abscess,byld
abscesses,bylder
abscissa,abscisse
abscissae,abscisse
abscissas,abscissen
abscond,forsvinde
absconded,rømmet
absconder,afhopper
absconding,forsvinder
absconds,forsvinder
abseiling,rapelling
absence,fravær
absences,fravær
absent,fraværende
absentee,fraværende
absenteeism,fravær
absentees,fraværende
absently,adspredt
absentminded,åndsfraværende
absentmindedly,åndsfraværende
absinthe,absint
absolute,absolutte
absolutely,absolut
absoluteness,absoluthed
absolutes,absolutter
absolution,syndsforladelse
absolutism,enevælde
absolutist,absolutistiske
absolve,fritager
absolved,frikendt
absolves,frikender
absolving,frikende
absorb,absorbere
absorbe,absorberer
absorbed,absorberet
absorbency,sugeevne
absorbent,absorberende
absorbers,absorbenter
absorbing,absorbere
absorbs,absorberer
absorptions,absorptioner
absorptive,absorberende
absorptivity,absorptiviteten
abstain,afstå
abstained,undlod at stemme
abstainer,afholdende
abstainers,sofavælgere
abstaining,undlod at stemme
abstains,undlader
abstemious,afholdende
abstention,afståelse
abstentions,hverken for eller imod
abstinence,afholdenhed
abstinent,afholdende
