Other,English
"""mjuka freoner""",partially halogenated chlorofluorohydrocarbon
A(H5N1),A(H5N1)
A(H5N1),H5N1
A(H5N1),Influenza A virus subtype H5N1
ADI-värde,acceptable daily intake
AOX-värde (absorberbar organisk halogen),AOX value
ASEAN,ASEAN
ASEAN,Association of Southeast Asian Nations
ASEAN-staterna,ASEAN
ASEAN-staterna,Association of Southeast Asian Nations
Abchazien,Abkhazia
Abidjan,Abidjan
Abraham Lincoln,Abraham Lincoln
Abuja,Abuja
Adelaide,Adelaide
Adriatiska havet,Adriatic Sea
Afghanistan,Afghanistan
Afghanistan,Transitional Islamic State of Afghanistan
Afrika,Africa
Albanien,Albania
Albanien,Republic of Albania
Algeriet,Algeria
Algeriet,People's Democratic Republic of Algeria
Alperna,Alps
Amerikanska Samoa,American Samoa
Amerikas förenta stater,America
Amerikas förenta stater,States
Amerikas förenta stater,U.S.
Amerikas förenta stater,U.S. of A.
Amerikas förenta stater,U.S.A.
Amerikas förenta stater,US
Amerikas förenta stater,United States
Amerikas förenta stater,United States of America
Ames test,Ames test
Amsterdam,Amsterdam
Andorra,Andorra
Andorra,Principality of Andorra
Angola,Angola
Angola,Republic of Angola
Anguilla,Anguilla
Antarktis,Antarctica
Antarktiska oceanen,Antarctic Ocean
Antarktiska oceanen,Southern Ocean
Antigua och Barbuda,Antigua and Barbuda
Argentina,Argentina
Argentina,Argentine Republic
Arizona,Arizona
Arktiska havet,Arctic Ocean
Armenien,Armenia
Articulata,Articulata
Aruba,Aruba
Asien,Asia
Aten,Athens
Atlanten,Atlantic Ocean
Atlantiska havet,Atlantic Ocean
Atlantiska oceanen,Atlantic Ocean
Australien,Australia
Australien,Commonwealth of Australia
Azerbajdzjan,Azerbaijan
Azerbajdzjan,Republic of Azerbaijan
Azorerna,Azores
Bahamas,Bahama Islands
Bahamas,Bahamas
Bahamas,Commonwealth of the Bahamas
Bahrain,Bahrain
Balearerna,Balearic Islands
Bangladesh,Bangladesh
Bangladesh,People's Republic of Bangladesh
Barbados,Barbados
Belgien,Belgium
Belgien,Kingdom of Belgium
Belgrad,Belgrade
Belize,Belize
Belmopan,Belmopan
Benin,Benin
Benin,Republic of Benin
Berlin,Berlin
Bermuda,Bermuda
Bern,Berne
Betlehem,Bethlehem
Bhutan,Bhutan
Bhutan,Kingdom of Bhutan
Bibeln,Bible
Birmingham,Birmingham
Björnvaktaren,Boötes
Bolivia,Bolivia
Bolivia,Republic of Bolivia
Bonn,Bonn
Borneo,Borneo
Borneo,Kalimantan
Bosnien och Hercegovina,Bosnia and Herzegovina
Bosnien och Hercegovina,Republic of Bosnia and Herzegovina
Botswana,Botswana
Botswana,Republic of Botswana
Bourgogne,Bourgogne
Bouvetön,Bouvet Island
Brasilien,Brazil
Bratislava,Bratislava
Brittiska territoriet i Indiska oceanen,BIOT
Brittiska territoriet i Indiska oceanen,British Indian Ocean Territory
Brunei,Brunei
Brunei,Negara Brunei Darussalam
Bryssel,Brussels
Bukarest,Bucharest
Bulgarien,Bulgaria
Bulgarien,Republic of Bulgaria
Burkina Faso,Burkina Faso
Burma,Myanmar
Burundi,Burundi
Burundi,Republic of Burundi
Cassiopeja,Cassiopeia
Caymanöarna,Cayman Islands
Centralafrika,Central Africa
Centralafrikanska republiken,Central African Republic
Centralamerika,Central America
Centralasien,Central Asia
Charente,Charente
Chelicerata (palpkäkar),chelicerate
Chihuahua,Chihuahua
Chile,Chile
Chile,Republic of Chile
Chiroptera-taxa (fladdermöss),chiropteran
"Chordata (ryggsträngsdjur, kordater)",chordate
Chrysophyta (guldalger),chrysophyta
Colombia,Colombia
Colombia,Republic of Colombia
Comorerna,Comoros
Comorerna,Union of the Comoros
Cooköarna,Cook Islands
Costa Rica,Costa Rica
Costa Rica,Republic of Costa Rica
Cypern,Cyprus
Cypern,Republic of Cyprus
DDT,DDT
DDT,dichloro-diphenyl-trichloroethane
DNA,DNA
DNA,deoxyribonucleic acid
Dagestan,Dagestan
Dakar,Dakar
Danmark,Denmark
Danmark,Kingdom of Denmark
Demokratiska republiken Kongo,Congo-Kinshasa
Demokratiska republiken Kongo,Democratic Republic of the Congo
Djakarta,DKI Jakarta
Djakarta,Djakarta
Djakarta,Jakarta
Djibouti,Djibouti
Djibouti,Republic of Djibouti
Dominica,Commonwealth of Dominica
Dominica,Dominica
Dominikanska republiken,Dominican Republic
Downs syndrom,Down syndrome
Downs syndrom,Down’s syndrome
Dublin,Dublin
EG-direktiv,EC directive
EG-direktiv om bekämpningsmedel,EC directive on biocides
EG-direktiv om deponering av avfall,EC directive on waste disposal
EG-direktiv om vattenskydd,EC directive on water protection
EG-domstol,Court of Justice of the European Communities
EG-fördrag,EC Treaty
EG-förordning,EC regulation
EG-förordning om existerande kemikalier,EC regulation on existing chemicals
EG-förordning om miljöstyrning,EC regulation on eco-management and audit
EG-miljömärke,EC ecolabel
EG-politik,EC policy
EG-rätten,Community law
EG:s ministerråd,EC Council of Ministers
EU-förordning,EC regulation
Echinodermata (tagghudingar),echinoderm
Ecuador,Ecuador
Ecuador,Republic of Ecuador
Egeiska havet,Aegean Sea
Egypten,Arab Republic of Egypt
Egypten,Egypt
Eiffeltornet,Eiffel Tower
