Other,English
கைவிட,abandon
கைவிட்டதை,abandonment
அபே,abbey
வயிறு,abdomen
வயிற்று,abdominal
கடத்திச்செல்ல,abduct
கடத்தல்,abduction
பிின்பற்று,abide
நிரந்தரமான,abiding
திறன்,ability
இழிவான,abject
தீ,ablaze
முடியும்,able
அசாதாரண,abnormal
அசாதாரணம்,abnormality
உறைவிடம்,abode
ஒழிக்கும்,abolish
வெறுக்கத்தக்க,abominable
அருவருப்பானது,abomination
கைவிடு,abort
கருக்கலைப்பு,abortion
சிராய்ப்பு,abrasive
இணையாக,abreast
திடீர்,abrupt
கட்டி,abscess
இல்லாத,absence
இல்லாமல்,absent
அப்சிந்தே,absinthe
அறுதி,absolute
குற்ற,absolution
என்றாகிவிடாது,absolve
உறிஞ்சி,absorb
விலகுங்கள்,abstain
தவிர்ப்பு,abstinence
சுருக்கம்,abstract
அபத்தமான,absurd
அபத்தத்தை,absurdity
மிகுதியாக,abundance
ஏராளமாக,abundant
தவறாக,abuse
தவறான,abusive
படு பாதாளமான,abysmal
பள்ளத்தை,abyss
கல்வி,academic
கலைக்கூடம்,academy
முடுக்கி,accelerate
துரிதப்படுத்தியது,accelerated
முடுக்கம்,acceleration
துரிதப்படுத்தி,accelerator
உச்சரிப்பு,accent
ஏற்க,accept
ஏற்கத்தக்க,acceptable
ஏற்பு,acceptance
அணுகல்,access
அணுக,accessible
துணை,accessory
விபத்து,accident
தற்செயலான,accidental
பாராட்டை,acclaim
இடமளிக்க,accommodate
விடுதி,accommodation
உடன்,accompany
மனைவியை,accomplice
சாதிக்க,accomplish
சாதனை,accomplishment
அக்கார்டு,accord
துருத்தி,accordion
கணக்கு,account
பொறுப்புடைமை,accountability
கணக்கு,accountable
கணக்காளர்,accountant
கணக்கியல்,accounting
குவிந்து,accumulate
துல்லியம்,accuracy
துல்லியமான,accurate
சபிக்கப்பட்ட,accursed
குற்றச்சாட்டு,accusation
குற்றம் சாட்ட,accuse
சீட்டு,ace
அசித்திலீன்,acetylene
வலி,ache
அடைய,achieve
சாதனை,achievement
அமிலம்,acid
ஏற்பதன்,acknowledge
ஒப்புகை,acknowledgement
முகப்பரு,acne
ஏகோர்ன்,acorn
ஒலி,acoustic
ஒலியியல்,acoustics
அறிமுகம்,acquaintance
அக்யூர்,acquire
கையகப்படுத்தல்,acquisition
விடுதலை,acquit
விடுதலையை,acquittal
ஏக்கர்,acre
சூழலா,acreage
கழைக்கூத்தாடி,acrobat
அக்ரிலிக்,acrylic
நாடகம்,act
நடவடிக்கை,action
செயல்படுத்த,activate
செயல்படுத்தும்,activation
செயலில்,active
ஆர்வலர்,activist
செயல்பாடு,activity
நடிகர்,actor
நடிகை,actress
உண்மையான,actual
உண்மையில்,actuality
குத்தூசி,acupuncture
கடுமையான,acute
விளம்பரம்,ad
பழமொழி,adage
பிடிவாதமாக,adamant
ஏற்ப,adapt
தழுவல்,adaptation
கூட்டு,add
பாம்பின்,adder
அடிமையாக,addict
அடிமையாகி,addicted
போதை,addiction
போதை,addictive
கூடுதல்,additional
முகவரி,address
திறமையானவை,adept
போதுமான,adequate
கவலையோடு,adhere
பிசின்,adhesive
அடுத்தடுத்த,adjacent
உரிச்சொல்,adjective
பக்கத்து,adjoining
ஒத்திவைப்பதாக,adjourn
சரி,adjust
சரிசெய்யும்,adjuster
சரிசெய்தல்,adjustment
நிர்வாகம்,admin
நிர்வாகி,administer
நிர்வாகம்,administration
நிர்வாக,administrative
நிர்வாகி,administrator
போற்றத்தக்க,admirable
அட்மிரல்,admiral
கடற்படை,admiralty
புகழையும்,admiration
ரசிக்கிறது,admire
பாராட்டப்படும்,admired
ஆர்வலராக,admirer
ஏற்றுக்கொள்ளக்கூடிய,admissible
சேர்க்கை,admission
ஒப்புக்கொள்ள,admit
உள்ளிடற்திறன்,admittance
சந்தடி,ado
அடோப்,adobe
இளமை,adolescence
பருவ,adolescent
தத்தெடுக்க,adopt
தத்தெடுப்பு,adoption
தத்தெடுக்கப்பட்ட,adoptive
ஆச்சர்யமான,adorable
அர்ப்பணிப்பிற்குத்,adoration
வணங்கு,adore
ஒருவகை,adrenalin
அட்ரினலின்,adrenaline
நிலைதடுமாறி,adrift
வயது,adult
விபசாரனுடைய,adulterer
விபச்சாரம்,adultery
வயதுவந்த,adulthood
முன்கூட்டியே,advance
மேம்படுத்தபட்ட,advanced
முன்னேற்றம்,advancement
நன்மை,advantage
சாதகமான,advantageous
சாகச,adventure
சாகசக்காரர்,adventurer
சாகசங்கள்,adventurous
விரோதி,adversary
பாதகமான,adverse
பாதகமான,adversity
விளம்பரம்,advertise
விளம்பரம்,advertisement
விளம்பர,advertising
ஆலோசனை,advice
அறிவுறுத்தப்படுகிறது,advisable
ஆலோசனை,advise
எடுத்துக் கொள்ளல்,advisement
ஆலோசகர்,adviser
ஆலோசகர்,advisor
ஆலோசனைக்,advisory
வழக்கறிஞர்,advocate
வான்வழி,aerial
ஏரோபிக்ஸ்,aerobics
ஏரோடைனமிக்,aerodynamic
விண்வெளி,aerospace
அழகியல்,aesthetic
விவகாரம்,affair
பாதிக்கும்,affect
பாசம்,affection
பாசமிகுந்த,affectionate
வாக்குமூலம்,affidavit
தொடர்பு,affiliation
இணக்கத்தை,affinity
உறுதிமொழி,affirmation
உடன்பாட்டு,affirmative
துன்பத்துடன்,affliction
வாங்க,afford
மலிவு,affordable
அவமரியாதையாக,affront
தீ,afire
கப்பலில்,afloat
மேற்கூறிய,aforementioned
பயம்,afraid
ஆப்பிரிக்க,african
உயிர் பிரிந்தபின்,afterlife
பின்னர்,aftermath
பிற்பகல்,afternoon
சவரம்,aftershave
வயது,age
நிறுவனம்,agency
நிகழ்ச்சி நிரல்,agenda
முகவர்,agent
தீவிரமடைய,aggravate
மோசமாக்குகிறது,aggravation
ஆக்கிரமிப்பு,aggression
முரட்டுத்தனமான,aggressive
தீவிரம்,aggressiveness
சண்டையை,aggressor
சுறுசுறுப்பான,agile
சுறுசுறுப்பு,agility
வயதான,aging
கிளர்ச்சியுறவும்,agitate
கிளர்ச்சி,agitation
ஒளிர்ந்தன,aglow
தாங்கொண்ணா,agonizing
வேதனையில்,agony
ஏற்கிறேன்,agree
ஏற்றுக்கொள்ளக்கூடியதாக,agreeable
ஒப்பந்தம்,agreement
விவசாய,agricultural
வேளாண்மை,agriculture
அஹோய்,ahoy
உதவி,aid
உதவியாளருக்கு,aide
சாதன,aids
நோய்வாய்ப்பட்ட,ailing
நோய்,ailment
நோக்கம்,aim
விமான,air
காற்றுப்பை,airbag
காற்றில் பரவும்,airborne
விமானம்,aircraft
விமான தளம்,airfield
விமான,airline
விமானம்,airliner
ஏர்லாக்,airlock
விமானம்,airplane
விமான நிலைய,airport
ஏர்ஷிப்பில்,airship
வான்வெளியில்,airspace
காற்று வேகம்,airspeed
