Other,English
a,and
a,yet
a jakże,surely
a jednak,yet
a mimo,yet
a więc,therefore
a zatem,thus
aa,aa
aaa,aaa
aaron,aaron
ab,ab
abak,abacus
abandon,abandonment
abażur,lampshade
abażur,shade
abc,abc
abc,alphabet
abc,rudiments
abdykacja,abdication
abdykacja,demission
abdykowanie,abdication
abdykować,abdicate
abecadło,abc
abecadło,abc-book
abecadło,alphabet
abecadłowy,alphabetic
abecadłowy,alphabetical
aberdeen,aberdeen
aberracja,aberration
abiturient,graduate
ablacja,ablation
ablegier,layer
ablegier,offshoot
ablegrować,layer
abnegacja,abnegation
abnegacja,self-denial
abolicja,abolishment
abolicja,abolition
abolicja,annulment
abolicja,invalidation
abominacja,abomination
abonament,bond
abonament,contract
abonament,fee
abonament,furl
abonament,subscription
abonamentowy,subscription
abonent,subscriber
abonować,subscribe
abordaż,boarding
aborygen,aboriginal
abraham,abraham
abrakadabra,abracadabra
abrakadabra,nonsense
abrazja,abrasion
abrewiatura,abbreviation
abrogacja,abrogation
abrogować,abrogate
abs,abs
absces,abscess
absencja,absence
absencja,absenteeism
absencja,truancy
absenteizm,absenteeism
absentować się,absent oneself
absolucja,absolution
absolut,absolute
absolutnie,absolutely
absolutnie,completely
absolutnie,perfectly
absolutnie,utterly
absolutnie żaden,mortal
absolutność,absoluteness
absolutny,absolute
absolutny,complete
absolutny,illimitable
absolutny,perfect
absolutny,unlimited
absolutny,utter
absolutorium,graduation
absolwent,alumnus
absolwent,graduate
absolwent,old boy
absolwent,undergraduate
absorbent,absorbent
absorber,absorber
absorbowanie,absorption
absorbowanie,imbibition
absorbowanie,implementation
absorbowanie,inception
absorbowanie,intromission
absorbować,absorb
absorbować,engross
absorbować,imbibe
absorbować kogoś,preoccupy
absorbujący,absorbing
absorbujący,engrossing
absorpcja,absorption
absorpcja,imbibition
absorpcja,implementation
absorpcja,inception
absorpcja,intromission
abstrahowanie,abstraction
abstrahować,abstract
abstrahować,distract
abstrahować,elide
abstrahować,pass over
abstrahując od,apart from
abstrahując od,taking no account of
abstrakcja,abstract
abstrakcja,abstractedness
abstrakcja,abstraction
abstrakcyjny,abstract
abstrakcyjny,discrete
