Word,Meaning
"पीछे की ओर, पीछे, चकित",Aback
गिनतारा,Abacus
"उन्मुक्त, उच्छृंकल",Abandoned
"खाली करना, उन्माद, उन्मुक्तता, बेफ़िक्री, बहिष्कार करना, रोक देना, छोड़ देना, परित्याग करना, सौंप देना, स्वच्छन्दता",Abandon
"त्याग, परित्याग",Abandonment
"अपमानित करना, नीचा दिखाना",Abase
"दुर्दशा, अधोगति, अपमान",Abasement
"लज्जित, शर्मिंदा",Abashed
कम होना,Abate
"मंदी, कमी, उपशमन, घटाव, कम होना",Abatement
मठ,Abbey
मठाध्यक्ष,Abbot
संक्षिप्त करना,Abbreviate
"संक्षिप्त रूप, संक्षेपण",Abbreviation
"छोड़ देना, गद्दी छोड़ देना",Abdicate
राजत्याग,Abdication
"उदर, उदर-गह्वर, पेट",Abdomen
"औदरिक, उदरीय",Abdominal
अपहरण करना,Abduct
अपहरण,Abduction
ऐबरडीन,Aberdeen
"पथभ्रष्ट, विपथगामी, विपथगामी",Aberrant
"बुद्धिभ्रंश, मतिभ्रंश, दृष्टि विपथन, असामान्यता, विपथता, पथांतरण, पथभ्रष्टता",Aberration
"उकसाना, बढ़ावा देना, सहयोग देना",Abet
"प्रसुप्तावस्था, रुकाव",Abeyance
घृणा करना,Abhor
"जुगुप्सा, घृणित वस्तु, नफ़रत, घृणा",Abhorrence
"घिनौना, का विरोधी, घृणित, घृणास्पद",Abhorrent
"पालन करना, मान लेना",Abide by
"सहन करना, निवास करना, बरदाश्त करना",Abide
स्थायी,Abiding
बहुत महत्वपूर्ण व्यक्ति,Big cheese
बड़ी हस्ती,Big fish
मशहूर व्यक्ति,Big name
"महत्वपूर्ण व्यक्ति, प्रभावशाली व्यक्ति",Big noise
मह्त्वपूर्ण व्यक्ति,Big shot
"प्रतिभा, क्षमता, योग्यता",Ability
"अधम, नीचतापूर्ण, दीन-हीन, नीच, भयानक, दयनीय",Abject
दीन-हीन ढंग से,Abjectly
"शपथपूर्वक त्याग, प्रत्याहार",Abjuration
"अस्वीकार करना, औपचारिक रूप से त्याग करना",Abjure
लपटों में,Ablaze
"समर्थांग, तगड़ा",Able bodied
"प्रतिभाशाली, प्रतिभासंपन्न, समर्थ, निपुण, योग्य, समर्थ",Able
"समर्थांग नाविक, कुशल नाविक",Able seaman
प्रक्षालन,Ablution
कुशलतापूर्वक,Ably
आत्मनिषेध,Abnegation
"असाधारण, अस्वाभाविक, असामान्य, विकृत, ख़राब",Abnormal
"अनियमितता, सनकीपन, न्यूनमनस्कता, अपसामान्यता, असामन्यता",Abnormality
"असाधारण रूप से, अस्वाभाविक ढंग से, असामान्य रूप से",Abnormally
"दल में, समूह में, के पास, सवार",Aboard
"डेरा, निवास-स्थान",Abode
"रद्द कर देना, मिटा देना, हटाना, उन्मूलन करना",Abolish
"समापनअ, उन्मूलन",Abolition
"दासता-विरोधी, उन्मूलनवादी",Abolitionist
"घटिया, भद्दा, नृशंस, ख़राब, घृणित",Abominable
हिममानव,Abominable Snowman
"बुरी तरह से, बेकार ढंग से",Abominably
बहुत नफ़रत करना,Abominate
"जुगुप्साजनक कार्य, घृणित व्यक्ति, जुगुप्सा, नफ़रत, घृणास्पाद बात, घृणा",Abomination
जिगरी दोस्त,Boon companion
"आदिकालीन, आदिम, ऑस्ट्रेलियाई आदिवासियों का, ऑस्ट्रेलियाई आदिवासी, आदिवासी",Aboriginal
"मूल निवासी, ऑस्ट्रेलियाई आदिवासी",Aborigine
"गर्भ गिराना, अवर्धित होना, समापन, रद्द करना, गर्भपात कराना, गर्भपात होना, बंद कर देना",Abort
गर्भपात,Abortion
गर्भपात करानेवाला,Abortionist
"अधूरा, निष्फल, असफल",Abortive
"अपरिहार्य कार्य, आवश्यक कर्तव्य",Bounden duty
"प्रचुर मात्रा में होना, फटा पड़ना, बहुत फैला होना, बहुतायत में होना, भारी मात्रा में होना",Abound
"यहाँ-वहाँ, जहाँ-तहाँ, फैला हुआ, चलता-फिरता, चारौं तरफ़, क्रमानुसार, आस-पास, पास, लगभग, पीछे, जहाँ-तहाँ, इधर-उधर",About
बहुत समय,About time
पूर्ण परिवर्तन,About turn
"सबसे पहले, ख़ास कर के",Above all
"उपर्युक्त, से ऊपर, ऊपर कहा हुआ, इससे ऊपर, के ऊपर, उपर्युक्त",Above
"भू-सतह का, भूमि के ऊपर का",Aboveground
"ऊपर उल्लिखित, उपर्युक्त",Above mentioned
बहुत ज्यादा विश्वास,Above yourself
औसत से अधिक,Above par
मालिक के रहने की जगह में,Above stairs
संदेह से परे,Above suspicion
छू मंतर काली कलंतर,Abracadabra
"घिसना, रगड़ कर साफ़ करना",Abrade
"घिसाई, अपघर्षण, खरोंच",Abrasion
"अपघर्षी, सख्त, कठोर, खुरदरा, कर्कश, अपघर्षक",Abrasive
कर्कशता से,Abrasively
"खुरदरापन, कर्कशता",Abrasiveness
"घटाना, संक्षिप्त करना",Abridge
संक्षेपण,Abridgement
संक्षेपण,Abridgment
"बाहरी, विदेशी, चारों ओर फैला हुआ, विदेश में, घर के बाहर",Abroad
"निरस्त करना, रद्द करना",Abrogate
"निरसन, रद्द करना",Abrogation
अविश्वसनीय व्यक्ति,Broken reed
"अशिष्ट, दुरारोह, खड़ा, असंगत, अप्रत्याशित, आकस्मिक, उखड़ा-उखड़ा, असम्बद्ध, रूखा, एकाएक",Abrupt
"अशिष्टता से, रूखेपन से, अचानक ही",Abruptly
"खड़ापन, हड़बड़ी, उतावलापन, दुरारोहता, रूखापन, रुखाई, आकस्मिकता",Abruptness
फोड़ा,Abscess
फ़रार,Abscond
"रज्जु-आरोहण, दोहरी रस्सी के सहारे उतरना",Abseil
"गैरहाजिरी, अभाव, अनुपस्थिति",Absence
"ग़ैरहाज़िर, नहीं, खोया-खोया, अनुपस्थित",Absent
अनुपस्थित,Absentee
"अनुपस्थिति, अनुपस्थितता",Absenteeism
दूरवासी जमींदार,Absentee landlord
अनमने भाव से,Absently
"अनमना, भुलक्कड़",Absent minded
"भुलक्कड़पन से, अनमनापन से",Absent mindedly
"अनमनापन, भुलक्कड़पन",Absent mindedness
"थुलथुल, कमज़ोर",Flabby
"परम तत्त्व, पूर्ण, पूर्ण, पूर्ण, असीम, निरपेक्ष, निरंकुश, सुनिश्चित",Absolute
"बिल्कुल, अबाध रूप से, पूरी तरह से, एकदम, पूर्णतया, बहुत ही, पूर्णतः",Absolutely
पूर्ण बहुमत,Absolute majority
परम शून्य,Absolute zero
"निर्मुक्ति, पापक्षमा",Absolution
निरंकुशता,Absolutism
"स्वेच्छाचारितावादी, निरंकुशतावादी, परम तत्ववादी, स्वेच्छाचारितावादी",Absolutist
"निरपराध ठहराना, दोषमुक्त करना, मुक्त्त करना",Absolve
"डूबा, तल्लीन",Absorbed
अवशोषकता,Absorbency
"अवशोषी, अवशोषक पदार्थ, अवशोषक",Absorbent
"अवशोषण करना, खींच लेना, खपाना, निगलना, अपनाना, सोखना, सोख लेना, कम करना, लेना, समाहित करना, ध्यानमग्न करना, तल्लीन करना, आत्मसात् करना",Absorb
दिलचस्प,Absorbing
"अन्यमनस्कता, अन्यचित्तता, अवशोषण, तल्लीनता",Absorption
"संन्यासी, परहेज़ी",Abstainer
"दूर रहना, परहेज़ करना, मतदान में भाग नहीं लेना",Abstain
संयमी,Abstemious
"तटस्थ, परहेज़",Abstention
परहेज़,Abstinence
"अव्यावहारिक, भाववाचक, सारांश लिखना, अमूर्त, सारांश, संक्षिप्त करना, निकाल देना, अमूर्त, अमूर्त, अमूर्त विचार, सामान्य, चुराना",Abstract
"अन्यमनस्क, निकाला गया",Abstracted
अनमने भाव से,Abstractedly
"निकालना, पृथक्करण, अमूर्तता, अमूर्तता",Abstraction
अनमने भाव से,Abstractly
भाववाचक संज्ञा,Abstract noun
गूढ़,Abstruse
"अस्पष्टता, गहनता",Abstruseness
"गहनता, गहराई",Abstrusity
"बेतुका, असंगत, हास्यास्पद, बेढंगा",Absurd
"अनर्थकता, बेतुकापन",Absurdity
बेतुके रूप से,Absurdly
बेतुकापन,Absurdness
बहुत ही भद्दे ढंग से,Absymally
प्रचुरता,Abundance
"बहुत, प्रचुर",Abundant
अधिक मात्रा में,Abundantly
"दुरुपयोग करना, बरबाद करना, गाली, दुरुपयोग करना, दुरुपयोग, दुर्व्यवहार, दुर्व्यवहार करना",Abuse
दुर्व्यवहारी,Abuser
"अपशब्दपूर्ण, अपमानजनक",Abusive
ग़लत तरीक़े से,Abusively
"लगा हुआ होना, सटा हुआ होना",Abut
