English,Other
( American (a piece of) sticking plaster with a dressing used to cover a wound etc,plaster luka
( American a dog that is trained to guide a blind person; guide dog,Anjing Pemandu
( British a cut piece of potato (fried); French friesAmerican,kentang goreng
( British a note equal to half a crotchet in length; eighth noteAmerican,kuaver
( British a pen with a small metal ball at its point that puts ink onto paper,biro
"( British a small, thick piece of glass fixed in the surface of a road to reflect light and guide drivers at night.",kaca yang bercahaya di permukaan jalan raya pada waktu malam
"( British the main street of a town etc, usually with shops etc.",jalan
( also teeny-weenytiːniˈwiːni) an informal or child’s word for tiny,kenit
"( anatomy an air-filled hollow in the bones of the skull, connected with the nose",sinus
( anatomy either half of the part of the body on which one sits,buntut
( anatomy one of the two glands in the male body in which sperm is produced.,testis
( anatomy the firm flesh in which the teeth grow,gusi
( anatomy the lower part of the food passage in man and animals,usus
( anatomy the part of the digestive system below the stomach; the intestines,usus
( computing a floppy disk.,disket
"( computing a type of radio technology that uses short-wave radio frequencies to connect computers, mobile phones/cell phones, and other electronic devices without the need for wires",bluetooth
"( informal any food (eg cake, ice-cream) which is particularly enjoyable to eat",kudap-kudapan
"( informal the jaws or mouth, especially of an animal",rahang
"( legal in law, a warning",memperingatkan
( legal to give a warning to,amaran
"( mathematics a flat shape that has four straight sides, none of which are parallel; trapeziumAmerican .",trapezoid
"( mathematics a flat shape that has four straight sides, none of which are parallel; trapezoidBritish .",trapezoid
"( mathematics a flat shape that has four straight sides, only two of which are parallel; trapeziumBritish .",trapezium
"( mathematics a flat shape that has four straight sides, only two of which are parallel; trapezoidAmerican .",trapezium
"( mathematics a fraction that is written as one number below a line and one above it, for example as in ¾; common fractionAmerican .",pecahan kasar
"( medical a person who takes the place of another (especially a doctor, dentist etc) for a time",lokum
( medical a sudden stiffening or jerking of the muscles of the body,menggigil-gigil
( medical relating to the medical care given to women who are expecting a baby; prenatal,antenatal
( medical short for premenstrual syndrome; the pain and unpleasant feeling that some women experience just before their period starts each month,Sindrom Prahaid
"( old-fashioned a polite title for a boy, in writing or in speaking",Tuan
"( singular a game for two people, played on a board (a draughtboard, American checkerboard) exactly like a chessboard, with twenty-four discs: checkersAmerican",permainan dam
( slang to work as a prostitute; to solicit clients.,melacur
"( sometimes in plural the whole organization which is concerned with the running of trains, the building of tracks etc; railroadAmerican",pengangkutan kereta api
( used by children a mother.,emak
( used by or to children grandmother,nenek
( written short for terabyte.,TB – terabait
((to or in) the place) to or in which,di mana
"(American also sport) designed, or suitable, for sport",sukan
"(American candy) a small piece of sweet food eg chocolate, toffee etc",gula-gula
(American in telling the time) past,lepas
"(American ladybug) a type of little round beetle, usually red with black spots.",kumbang kura-kura
(American sedan) a motor car with enclosed seating space for driver and at least three passengers,kereta salun
(American someplace) (in or to) some place not known or not named,suatu tempat
"(British and American usually program) a set of data, instructions etc put into a computer",program
(British) a taxi that you have to order by telephone and that cannot be stopped in the street.,mini teksi
(Holy) Communion,Penjamuan Suci
"(I, he etc) was in the habit of (doing something); (I, he etc) was (usually) in a particular position, state etc",dulu…biasa
(a Chinese tree bearing) a small round fruit with white juicy pulp.,laici
(a banknote worth) £5 or $5,not lima paun
(a block of) baked clay used for building,bata
"(a book containing) a written list, record etc",pendaftaran
"(a book containing) an ordered list of names, goods, books etc",katalog
"(a book etc giving) directions, eg about the use of a machine etc",cara pakai
(a booklet or paper giving the details of) the planned events in an entertainment etc,buku atur cara
(a building containing) a smooth floor for roller-skating.,kawasan kasut roda
"(a building or room containing) a collection of books, tapes, videos etc",perpustakaan
(a building or room equipped for) a Finnish form of steam bath,sauna
"(a building with) a large public room, used for concerts, meetings etc",dewan
(a bus etc) having only one deck or level,satu tingkat
(a cake made from) a crisp cooked mixture of sugar and white of eggs.,kek meringue
"(a call from an audience for) a repetition of a performance, or (for) a further performance",lagi
(a cap or hood like) a monk’s hood.,penutup kepala
(a card with) a list of dishes that may be ordered at a meal,menu
"(a case of) the existence of differences in size, value etc between two or more objects etc",ketidaksamaan
(a cause for) worry,risau
(a cause of) anxiety,kebimbangan
(a cause of) grief or misery,kedukaan
(a cause of) grief or misery,kesengsaraan
(a ceremony of) giving (the robes etc of) high rank or office to someone,menganugerahi
(a certificate) giving permission for something to be done,memberi kelulusan
(a cigarette with) a filter.,penapis
(a collection of) myths,mitos
(a company that owns) a regular air transport service,syarikat penerbangan
"(a condition of) loss, hardship etc",pelucutan
"(a container holding) a sum of money kept for a particular purpose, to which members of a group jointly contribute",tabung
(a copy made by) a type of camera for producing copies of documents etc.,salinan fotostat
(a country etc that has) government by a monarch,sistem beraja
(a country having) a form of government in which the people freely elect representatives to govern them,demokrasi
"(a country with) a form of government in which there is no king or queen, the power of government, law-making etc being given to one or more elected representatives (eg a president, members of a parliament etc)",republik
(a demand for) a payment of compensation etc,tuntut bayaran
"(a dish of) a sweet pudding made of sponge-cake, fruit, cream etc",trifel
(a dish of) mixed raw vegetables,salad
"(a dish of) rice cooked with onions, cheese etc",risoto
(a dish of) stewed meat etc,rebusan
(a dish or course of) sweet food near or at the end of a meal; (a) pudding or dessert,pencuci mulut
(a display of) fireworks.,seni membuat bunga api dan mercun
(a document setting out) an agreement with an insurance company.,polisi insurans
"(a drawing etc of) the area or surface made visible by cutting through something, eg an apple.",keratan rentas
(a drink made from) the ground beans of a shrub grown in eg Brazil,kopi
(a feeling of) fear or doubt,rasa ragu-ragu
(a feeling of) great sadness,seksaan jiwa
(a feeling of) hostility,keagresifan
(a feeling of) pain or misery,penderitaan
(a fit of) violent anger,berang
(a flowing out of) waste matter from a factory etc,bahan buangan
(a form of) physical or mental disability,kecacatan
"(a game played by two teams of 11 players wearing helmets and protective clothing who kick, throw, or carry an oval ball; footballAmerican .",bola sepak Amerika
