Other,English
the,the
از,of
از,by
از,from
از,in
از,greed
از,avarice
از,avidity
از,esurience
از,rapacity
از,ab-
از,abs-
از مبدا,of
از منشا,of
از طرف,of
از طرف,for
از طرف,on behalf of
از لحاظ,of
در جهت,of
در جهت,with
در سوی,of
بوسیله,of
بوسیله,with
بوسیله,via
بوسیله,by
بوسیله,per
ز,of
در باره,of
در باره,about
در باره,re
در باره,in re
در باره,on
در باره,concerning
در باره,toward
یغماگری,rapacity
یغماگری,spoliation
حرص,greed
حرص,avarice
حرص,avidity
حرص,esurience
پر خوری,avidity
پر خوری,esurience
پر خوری,gorge
پر خوری,gastronomy
پر خوری,edacity
پر خوری,glut
پر خوری,polyphagia
به,in
به,on
به,to
به,at
به,into
به,against
به,quince
به,quincunx
به,bah!
به,oh!
به,ac-
به,ad-
توی,in
توی,into
توی,within
توی,aboard
خست,avarice
خست,parsimony
خست,miserliness
خست,meanness
خست,vileness
خست,sordidness
اندر,in
اندر,into
ولع,esurience
ولع,voracity
توسط,via
توسط,by
توسط,per
در ظرف,in
در ظرف,into
در ظرف,through
در ظرف,within
دور از,ab-
دور از,abs-
دور از,away from
دور از,far
دور از,away
دور از,back
دور از,out
دور از,past
از پیش,from
از پیش,prior
در نتیجه,from
در نتیجه,at
در نتیجه,as
در نتیجه,thereupon
بدست,by
درنده خویی,rapacity
درنده خویی,ferocity
درنده خویی,fury
جوع,esurience
زیادهجویی,avarice
گرسنگی,esurience
گرسنگی,hunger
گرسنگی,starvation
غیر از,abs-
غیر از,besides
غیر از,except
ازمندی,avidity
اشتیاق,avidity
اشتیاق,hunger
اشتیاق,enthusiasm
اشتیاق,thirst
اشتیاق,longing
اشتیاق,appetite
اشتیاق,anxiety
اشتیاق,hankering
اشتیاق,appetence
اشتیاق,appetency
اشتیاق,heat
اشتیاق,solicitude
با,with
با,about
با,by
با,in
با,per
با,cum
با,against
با,mid
با,together with
با,co-
با,col-
با,com-
با,con-
جدایی,ab-
جدایی,separation
جدایی,divorce
جدایی,segregation
جدایی,breakaway
جدایی,divorcement
جدایی,seclusion
جدایی,abscission
جدایی,disjunction
جدایی,dissociation
جدایی,disunion
جدایی,gulf
جدایی,rupture
جدایی,schism
جدایی,schismatism
جدایی,sequestrum
جدایی,severance
طمع,greed
طمع,avarice
طمع,avidity
طمع,covetousness
طمع,cupidity
از روی,from
از روی,off
از روی,aboard
بواسطه,for
بواسطه,by
بواسطه,from
بواسطه,through
بواسطه,because of
بواسطه,out of
بواسطه,thru
غیر,ab-
غیر,unlike
غیر,besides
غیر,except
غیر,other
غیر,alien
غیر,another
غیر,different
غیر,a-
غیر,anti-
غیر,un-
برای,for
برای,on
برای,toward
برای,to
برای,in order that
برای,pro
برای,for the sake
بجهت,for
بخاطر,for
بخاطر,through
بخاطر,pro
مربوط به,for
مربوط به,as to
مربوط به,anent
مربوط به,as for
در ازاء,with
برخلاف,with
برخلاف,unlike
برخلاف,athwart
بعوض,with
بعوض,instead of
بعوض,instead
برای هر,per
در هر,per
بطرف,with
بطرف,in
بطرف,on
بطرف,toward
بطرف,to
بطرف,at
بطرف,into
بطرف,unto
از میان,per
از میان,through
از میان,through
از میان,thru
از میان,across
از طریق,via
از طریق,through
نسبت به,toward
نسبت به,into
نسبت به,than
در باب,about
در باب,concerning
با توجه به,re
با توجه به,as for
بر روی,on
بر روی,upon
بر روی,incrust
راجع به,about
راجع به,on
راجع به,as to
راجع به,regarding
بسوی,toward
بسوی,to
بسوی,at
بسوی,into
بسوی,unto
بسوی,against
بسوی,off
بسوی,in-
پیرامون,about
پیرامون,about
پیرامون,by
پیرامون,around
پیرامون,periphery
پیرامون,perimeter
پیرامون,environs
پیرامون,ambit
پیرامون,apis
پیرامون,circumference
پیرامون,outline
پیرامون,skirt
در حدود,about
در حدود,within
در حدود,circa
در حدود,well-nigh
نزدیک به,toward
روی,in
روی,on
روی,toward
روی,aboard
روی,over
روی,o'er
روی,up
روی,upon
روی,zinc
روی,tin
روی,hyper-
روی,supra-
عطف به,re
عطف به,as to
عطف به,as for
عطف به,regarding
در,about
در,to
در,at
در,unto
در,valvate
در,door
در,doorjamb
در,doorpost
در,pearl
در,plug
در,pylon
در,valve
در,wicket
بر,on
بر,at
بر,against
بر,upon
بر,bosom
بر,land
بر,mainland
پیش,with
پیش,to
پیش,before
پیش,unto
پیش,beside
پیش,near
پیش,forward
پیش,past
پیش,ago
پیش,ahead
پیش,in advance
پیش,along
پیش,beforehand
پیش,fore
پیش,fore
پیش,forth
پیش,foreside
پیش,front
پیش,presence
پیش,fore-
از راه,via
بجای,for
بجای,instead of
بجای,anti-
بجای,instead
بجای,in lieu of
بجای,quid pro quo
به بهای,for
در مدت,for
در مدت,during
در مدت,pending
در مدت,within
بقدر,for
در برابر,for
در برابر,to
در برابر,unto
در برابر,against
در برابر,versus
در مقابل,for
در مقابل,against
در مقابل,versus
در مقابل,vis-a-vis
برله,for
بطرفداری از,for
برای اینکه,for
برای اینکه,because
برای اینکه,in order that
بمنظور,for
زیرا که,for
زیرا که,because
چون که,insomuch
در شرف,about
نزد,about
نزد,to
نزد,near
در صدد,about
در صدد,after
قریب,about
قریب,nigh
قریب,near
نزدیک,about
نزدیک,about
نزدیک,by
نزدیک,in
نزدیک,at
نزدیک,nigh
نزدیک,nigh
نزدیک,hand-to-hand
نزدیک,hand-to-hand
نزدیک,close
نزدیک,close
نزدیک,beside
نزدیک,near
نزدیک,near
نزدیک,nearby
نزدیک,nearby
نزدیک,forthcoming
نزدیک,relative
نزدیک,relative
نزدیک,neighbor
نزدیک,adjacent
نزدیک,adjoining
نزدیک,accessible
نزدیک,vicinal
نزدیک,upcoming
نزدیک,proximate
نزدیک,neighbour
نزدیک,contiguous
نزدیک,hail-fellow
در اطراف,about
در اطراف,anent
در اطراف,circa
در اطراف,around
دور تا دور,about
تقریبا,about
تقریبا,nigh
تقریبا,almost
تقریبا,approximately
تقریبا,circa
تقریبا,nearly
تقریبا,near
تقریبا,some
تقریبا,well-nigh
تقریبا,all but
تقریبا,much
تقریبا,sort of
تقریبا,thereabout
گرداگرد,about
گرداگرد,around
بهر سو,about
بالاتر,about
بالاتر,above
بالاتر,above
بالاتر,superior
بالاتر,upper
بالاتر,senior
بتوسط,by
پهلوی,by
پهلوی,at
از پهلوی,by
از کنار,by
از کنار,off
کنار,by
کنار,besides
کنار,away
کنار,next
کنار,verge
کنار,apart
کنار,bank
کنار,abutment
کنار,brim
کنار,brink
کنار,edge
کنار,limit
کنار,lip
کنار,list
کنار,lotos
کنار,lotus
کنار,marge
کنار,margin
کنار,rand
کنار,recess
از نزدیک,by
از نزدیک,close-up
در کنار,by
در کنار,beside
در کنار,ashore
در کنار,alongside
در کنار,besides
در کنار,sidelong
از پهلو,by
از پهلو,sidewards
از پهلو,besides
از پهلو,sideward
از پهلو,sideling
از پهلو,sideview
از پهلو,sidearm
از پهلو,sideway
از پهلو,sidling
درجه دوم,by
درجه دوم,quadratic
درجه دوم,inferior
درجه دوم,second-class
فرعی,by
فرعی,secondary
فرعی,ancillary
فرعی,accessory
فرعی,subordinate
فرعی,subsidiary
فرعی,tributary
فرعی,subaltern
فرعی,sideway
فرعی,inferior
فرعی,accessorial
فرعی,additional
فرعی,adjunct
فرعی,petty
فرعی,extrinsic
فرعی,extraneous
فرعی,derivative
هنگام,in
هنگام,during
هنگام,time
هنگام,moment
هنگام,season
هنگام,term
هنگام,gamut
بالای,in
بالای,on
بالای,above
بالای,over
بالای,o'er
بالای,up
بالای,hyper-
در توی,intra-
نزدیک ساحل,in
نزدیک ساحل,in-shore
بر حسب,in
بر حسب,to
بر حسب,at
بر حسب,according to
از وسط,per
از وسط,through
از وسط,thru
از وسط,athwart
از وسط,across
از وسط,crossways
از وسط,crosswise
برطبق,per
وصل,on
در روی,on
در روی,atop
بعلت,on
بعلت,due to
بعلت,owing to
در بر,on
بخرج,on
بنا بر,on
بنا بر,at
بنا بر,because of
سر,on
سر,at
سر,during
سر,near
سر,plug
سر,extremity
سر,head
سر,end
سر,edge
سر,top
سر,nob
سر,apex
سر,acme
سر,lid
سر,lead-off
سر,incipience
سر,inchoation
سر,inception
سر,headpiece
سر,glide
سر,cover
سر,corona
سر,chief
سر,beginning
سر,flower
سر,vertex
سر,tip
سر,sliding
سر,slide
سر,secret
سر,mystery
سر,piece
سر,pate
سر,pash
سر,origin
سر,noggin
سر,noddle
سر,point
روشن,on
روشن,clear-cut
روشن,bright
روشن,vivid
روشن,light
روشن,explicit
روشن,express
روشن,sunny
روشن,alive
روشن,distinct
روشن,cloudless
روشن,lightsome
روشن,clean
روشن,legible
روشن,intelligible
روشن,fogless
روشن,clean-cut
روشن,elucidated
روشن,eidetic
روشن,diaphanous
روشن,definite
روشن,lucid
روشن,luculent
روشن,nitid
روشن,pellucid
روشن,perspicuous
روشن,serene
روشن,set
روشن,shrill
روشن,transparent
روشن,transpicuous
روشن,unequivocal
روشن,alight
روشن,limpid
برقرار,on
برقرار,indefeasible
برقرار,confirmed
باعتبار,on
در مسیر,on
در مسیر,en route
به پیش,on
به پیش,forwards
به پیش,forward
به پیش,onward
همواره,on
همواره,always
همواره,ever
تباه سازی,spoliation
تباه سازی,vitiation
دزدی,spoliation
دزدی,lift
دزدی,theft
دزدی,robbery
دزدی,burglary
دزدی,thievery
دزدی,stealing
دزدی,abstraction
دزدی,embezzlement
دزدی,filch
دزدی,larceny
دزدی,nip
دزدی,peculation
چپاول,spoliation
چپاول,raven
چپاول,foray
چپاول,loot
چپاول,ravin
چپاول,plunder
پری,glut
پری,full
پری,fairy
پری,fullness
پری,peri
پری,suffusion
پری,pixie
پری,day before yesterday
پری,elf
پری,fay
پری,pixy
پری,repletion
شکم پرستی,edacity
شکم پرستی,gluttony
گدار,gorge
گدار,col
گدار,ford
گلوگاه,gorge
گلوگاه,pharynx
اشتهای زیاد,polyphagia
زیادی خون,glut
اشباع,glut
اشباع,satiation
اشباع,suffusion
اشباع,impregnation
اشباع,imbibition
اشباع,saturation
سلیقه در غذا,gastronomy
علم اغذیه لذیذه,gastronomy
حلق,gorge
حلق,throat
حلق,fauces
حلق,pharynx
حلق,windpipe
عرضه بیش از تقاضا,glut
دره تنگ,gorge
دره تنگ,glen
دره تنگ,flume
گلو,gorge
گلو,lane
گلو,gullet
گلو,throat
گلو,fauces
گلو,pharynx
گلو,throttle
استعداد خوردن,edacity
ارایش پنج تایی گل یا برگ گیاه,quincunx
شکلی دارای پنج واحد یا نفش یکجور,quincunx
ها,oh!
ها,ha!
ها,ho!
ضد,against
ضد,anti-
ضد,counter-
ضد,adversary
ضد,adversary
ضد,antagonist
ضد,contrast
ضد,foe
ضد,hostile
ضد,hostile
ضد,opponent
ضد,opponent
ضد,opposite
ضد,opposite
ضد,antagonistic
ضد,contrary
در میان,intra-
اوه,oh!
اوه,tut!
اوه,pshaw!
اوه,well!
سوی,to
سوی,unto
طرف,to
طرف,towards
طرف,abutment
طرف,side
طرف,direction
طرف,opponent
طرف,hand
طرف,party
طرف,angle
طرف,area
طرف,belt
طرف,flank
طرف,half
طرف,opposite party
طرف,region
طرف,route
طرف,suburb
علامت تعجب حاکی ازاهانت و تحقیر,bah
علیه,against
علیه,anti-
علیه,eminent
علیه,high
وه,oh!
وه,hey!
درخت به,quince
درخت به,quincunx
خسیسی,parsimony
خسیسی,miserliness
خسیسی,meanness
خسیسی,vileness
خسیسی,sordidness
خاتوله,meanness
خاتوله,baseness
خاتوله,craftiness
خاتوله,rascality
خاتوله,ignobility
خاتوله,cunning
خاتوله,dirtiness
خاتوله,pettiness
خاتوله,infamy
خاتوله,turpitude
خاتوله,artfulness
خاتوله,villainy
امساک,parsimony
امساک,forbearance
امساک,modesty
کم خرجی,parsimony
کم خرجی,frugality
خبی,meanness
خبی,malice
خبی,baseness
خبی,craftiness
خبی,ignobility
خبی,cunning
صرفه جویی,parsimony
صرفه جویی,economy
صرفه جویی,thrift
صرفه جویی,providence
صرفه جویی,frugality
خشک دستی,meanness
خشک دستی,avariciousness
پستی,meanness
پستی,baseness
پستی,debasement
پستی,abjection
پستی,degradation
پستی,ignobility
پستی,dishonor
پستی,turpitude
پستی,villainy
پستی,postal
پستی,mail
پستی,humility
پستی,inferiority
پستی,lousiness
پستی,lowness
پستی,poverty
پستی,vulgarism
پستی,vulgarity
پرخوری و حرص,voracity
درندگی,voracity
در ماورای,past
زیاد,far
زیاد,many
زیاد,much
زیاد,high
زیاد,too
زیاد,very much
زیاد,very
زیاد,great
زیاد,numerous
زیاد,vast
زیاد,wide
زیاد,heavy
زیاد,extortionate
زیاد,fulsome
زیاد,generous
زیاد,immane
زیاد,immoderate
زیاد,intense
زیاد,copious
زیاد,manifold
زیاد,populous
زیاد,rife
زیاد,superabundant
زیاد,supererogatory
زیاد,thick
زیاد,liberal
زیاد,overmuch
زیاد,multi-
زیاد,o'er-
زیاد,over-
بسیار,far
بسیار,all
بسیار,many
بسیار,much
بسیار,lots
بسیار,lot
بسیار,very
بسیار,numerous
بسیار,manifold
بسیار,multi-
بسیار,so much
بسیار,galore
بسیار,plenty
بسیار,precious
بسیار,sorely
بسیار,abundant
بسیار,damn
بسیار,extra
بسیار,multifarious
بسیار,parlous
بسیار,sopping
بسیار,unco
بسیار,multiplicity
بسیار,poly-
بعلاوه,besides
بعلاوه,far
بعلاوه,plus
بعلاوه,plus
بعلاوه,again
بعلاوه,furthermore
بعلاوه,in addition
بعلاوه,further
بعلاوه,as well as
بعلاوه,also
بعلاوه,farther
بعلاوه,too
بعلاوه,moreover
بعلاوه,aside from
بعلاوه,likewise
بعلاوه,more
بعلاوه,supra
بعلاوه,thereto
بعلاوه,therewith
بعلاوه,withal
از عقب,back
خیلی,far
خیلی,many
خیلی,much
خیلی,extremely
خیلی,lot
خیلی,very
خیلی,extra
خیلی,highly
خیلی,considerably
خیلی,appreciably
خیلی,crazy
خیلی,damnably
خیلی,a great deal
خیلی,ghastly
خیلی,jolly
خیلی,much more
بیرون از,out of
بیرون از,away
بیرون از,out
بیرون از,forth
بیرون از,forth of
بیرون از,without
در سفر,away
عقب,after
عقب,back
عقب,back
عقب,behind
عقب,behind
عقب,heel
عقب,rear part
عقب,rear
پس,back
پس,forth
پس,then
پس,again
پس,so
پس,afterwards
پس,ergo
پس,thus
بیک طرف,away
بیک طرف,aside
پیش از,before
پیش از,past
به عقب,back
به عقب,backwards
به عقب,aback
در عقب,after
در عقب,back
دور,around
دور,off
دور,away
دور,yonder
دور,nowhere near
دور,aloof
دور,distant
دور,remote
دور,long-range
دور,outmost
دور,long-haul
دور,out-of-the-way
دور,cycle
دور,circle
دور,circuit
دور,meander
دور,orbit
دور,race
دور,revolution
دور,wheel
بیرون,away
بیرون,out
بیرون,external
بیرون,abroad
بیرون,without
بیرون,outdoors
بیرون,outside
بیرون,outdoor
بیرون,similitude
بیرون,surface
جلوی,forward
جلوی,prior
جلوی,fore
جلوی,frontward
جلوی,former
جلوی,anterior
پیشین,prior
پیشین,fore
پیشین,former
پیشین,antecedent
پیشین,previous
پیشین,a priori
پیشین,leading
پیشین,olden
پیشین,primeval
پیشین,primitive
پیشین,pristine
اولی,prior
اولی,pristine
قبلی,past
قبلی,prior
قبلی,fore
قبلی,former
قبلی,aforetime
قبلی,previous
قبلی,foregone
قبلی,quondam
مقدم,prior
مقدم,incipience
مقدم,precedent
مقدم,antecedent
مقدم,previous
مقدم,leading
مقدم,first
مقدم,preferred
مقدم,headmost
مقدم,pre-eminent
مقدم,arrival
مقدم,emergence
مقدم,nascence
بنابر این,thereupon
بنابر این,insomuch
بنابر این,so
بنابر این,ergo
بنابر این,thus
بنابر این,hence
بنابر این,therefore
بنابر این,accordingly
سپس,thereupon
سپس,next
سپس,then
سپس,afterwards
سپس,afterward
سپس,hereafter
سپس,henceforth
بی درنگ,away
بی درنگ,thereupon
بی درنگ,directly
بی درنگ,outright
بی درنگ,forthright
بی درنگ,apace
بی درنگ,forthwith
بی درنگ,therewith
بی درنگ,prompt
بی درنگ,immediate
پس از ان,away
پس از ان,thereupon
پس از ان,afterwards
پس از ان,afterward
پس از ان,thereafter
پس از ان,thence
غیظ,fury
غیظ,indignation
غیظ,rage
غیظ,dudgeon
غیظ,resentment
غیظ,wrath
غیظ,anger
غیظ,tantrum
خشم,fury
خشم,indignation
خشم,rage
