Other,English
die,these
hierdie,these
van,of
van,from
van,surname
en,and
na,after
na,past
na,toward
tot,to
verlede,past
nadat,after
n,a
in,in
in,into
vir,for
is,is
is,am
wees,be
op,on
op,upon
op,up
aan,on
opwaarts,up
opwaarts,upwards
daardie,that
daardie,those
dit,that
dit,it
sodat,that
sommige,those
sommige,some
deur,by
deur,through
deur,through
deur,per
deur,door
deur,throughout
met,by
met,with
teen,by
teen,against
teen,at
teen,versus
per,by
per,per
naby,by
naby,near
past,by
deur middel van,through
deurgaans,throughout
i,i
u,you
jou,you
jou,your
julle,you
julle,your
nie,not
of,or
of,whether
as,axle
as,ash
soos,as
soos,like
hou van,like
alle,all
hê,have
nuut,new
meer,more
meer,lake
'n,a
ons,we
ons,us
ons,our
testament,testament
begeerte,desire
begeerte,lust
vurig begeer,lust
wellus,lust
tuiste,home
blik,can
blik,tin
tin,tin
om,about
rondom,about
rondom,around
omheen,about
in die omtrek,around
bladsy,page
my,my
my,me
soektog,search
soektog,quest
gratis,free
bevry,free
bevry,liberate
vry,free
maar,but
een,one
ander,other
doen,do
doen,perform
optree,perform
geen,no
geen,none
informasie,information
tyd,time
hulle,they
hulle,their
hulle,them
hy,he
hy,him
mag,power
wat,what
watter,which
watter,which
nuus,news
uit,out
buite,out
buite,outside
buitekant,outside
buitekant,exterior
uiterlik,exterior
uiterlik,external
buitekantste,external
gebruik,use
gebruik,custom
enige,any
daar,there
sien,see
sien,witness
getuie,witness
getuig,witness
getuig,testify
getuig,attest
verklaar,attest
verklaar,declare
slegs,only
net,only
net,net
net,just
enigste,only
regverdig,righteous
so,so
sy,she
sy,side
wanneer,when
kontak,contact
kontak,contact
hier,here
sakeonderneming,business
wie,who
web,web
ook,also
ook,too
alte,too
nou,now
nou,narrow
hulp,help
hulp,aid
kry,get
kry,take
neem,take
inneem,take
neem saam,take
skryf,take
pm,pm
uitsig,view
aanlyn,online
c,c
e,e
eerste,first
sou,would
hoe,how
s,youth
jeug,youth
jeugdige,youth
diens,service
versiening,service
klik,click
x,x
vind,find
prys,price
prys,rate
datum,date
dadel,date
rug,back
agter,back
agter,rear
agter,behind
agterstallig,back
agterstallig,overdue
steun,back
steun,support
agterstewe,behind
laat,late
ondersteuning,support
ondersteuning,promotion
steunstuk,support
wyle,late
wyle,while
bevordering,promotion
ondersteun,support
ondersteun,promote
bevorder,promote
kruin,top
kruin,summit
bopunt,top
toppunt,apex
mense,folk
lys,list
naam,name
oor,over
oor,across
oor,ear
staat,state
toestand,state
toestand,condition
jaar,year
dag,day
e-pos,e-mail
twee,two
gesondheid,health
wêreld,world
re,re
volgende,next
volgende,following
vervolgens,next
loop,go
reis,go
reis,travel
reis,journey
reis,voyage
b,b
werk,work
werk,job
taak,job
taak,task
laaste,last
meeste,most
produk,product
musiek,music
koop,buy
koop,purchase
data,data
maak,make
behoort,belong
sisteem,system
pos,mail
paal,post
haar,her
haar,hair
stad,city
t,t
byvoeg,add
gedragslyn,policy
nommer,number
sodanig,such
plesier,please
plesier,pleasure
beskikbaar,available
kopiereg,copyright
boodskap,message
beste,best
sagteware,software
destyds,then
januarie,january
goed,good
goed,stuff
video,video
put,well
put,pit
d,d
waar,where
waar,true
ware,true
getrou,faithful
info,info
regte,rights
publiek,public
boek,book
hoog,high
skool,school
m,m
elke,each
elke,every
skakel,dial
wyserplaat,dial
resenseer,review
bestel,order
beveel,order
beveel,tell
volgorde,order
volgorde,sequence
bevel,order
bevel,command
bestelling,order
vertel,tell
vertel,relate
baie,very
baie,many
baie,much
privaatheid,privacy
item,item
maatskappy,company
kompanie,company
geselskap,company
geselskap,companionship
geselskap,conversation
r,r
lees,read
groep,group
groep,party
partytjie,party
seks,sex
behoefte,need
behoefte,want
benodig,need
gebrek,want
gebrek,flaw
gebrek,default
gebrek,deficiency
gebrek,lack
begeer,desire
gebrek ly,want
wanbetaling,default
defek,deficiency
defek,fault
skuld,fault
skuld,owe
gebruiker,user
gebruiker,user
sê,say
de,the
stel,state
stel,set
dekor,set
onder,under
onder,below
onder,below
onder,underneath
benede,underneath
benede,beneath
ondertoe,beneath
generaal,general
navorsing,research
navors,research
universiteit,university
vol,full
kaart,map
kaart,card
program,program
lewe,life
lewe,live
lewendig,live
lewendig,alive
lewendig,lively
weet,know
wild,game
pad,road
bestuur,management
bestuur,manage
bestuur,drive
aanjaag,drive
p,p
deel,part
deel,share
verdeel,part
verdeel,split
verdeel,divide
gedeelte,share
gedeelte,section
afdeling,section
kon,could
groot,large
verenig,united
verenig,unify
hotel,hotel
werklik,actual
f,f
internasionaal,international
middel,center
middel,waist
ebay,ebay
muf,must
winkel,store
winkel,shop
pakhuis,store
pakhuis,warehouse
opmerk,remark
opmerk,comment
opmerking,comment
gemaak,made
ontwikkeling,development
verslag,report
rapport,report
af,off
af,down
lid,member
besonderheid,detail
lyn,line
lyn,string
ry,ride
ry,row
reeks,range
rit,ride
verskeidenheid,range
omvang,extent
termyn,term
kwartaal,term
uitdrukking,expression
perk,term
gesigsuitdrukking,expression
voor,before
voor,front
voorkant,front
front,front
stuur,send
stuur,steering
stuur,steer
regs,right
korrek,right
korrek,correct
tipe,type
tipe,kind
drukletter,type
omdat,because
plaaslik,local
resultaat,result
kantoor,office
opvoeding,education
opvoeding,schooling
nasionaal,national
kar,car
kar,cart
ontwerp,design
gepos,posted
internet,internet
adres,address
toespraak,address
gemeenskap,community
binne,within
binne,inside
binne,inside
binnekant,inside
state,statements
verklaring,declaration
area,area
selfoon,mobile phone
dvd,dvd
verskeep,ship
skip,ship
voorbehou,reserved
onderwerp,subject
onderwerp,topic
onderwerp,submit
vak,subject
tussen,between
tussen,among
forum,forum
familie,family
l,l
lang,long
gebaseer,based
w,w
kode,code
wys,show
wys,wise
uitstal,show
uitstal,display
uitstal,exhibit
uitstalling,display
uitstalling,exhibition
o,o
gelyk,even
gelyk,level
gelykmaak,level
gelykmaak,grade
helling,grade
helling,slope
swart,black
tjek,check
kontroleer,check
kontroleer,control
kontrole,control
spesiaal,special
webwerf,website
inhoudsopgawe,index
vrou,female
vrou,wife
vrou,woman
vrou,professional
vrou,neighbor
professionele,professional
beroepsman,professional
buurman,neighbor
teken,sign
teken,draw
teken,signal
leêr,file
vyl,file
vandag,today
tegnologie,technology
suid,south
saak,concern
kis,casket
onderneming,concern
onderneming,undertaking
projek,project
dieselfde,same
dieselfde,alike
dieselfde,similar
verenigde koninkryk,uk
weergawe,version
besit,possess
sport,sport
huis,house
sekuriteit,security
sekutiteit,security
beide,both
albei,both
albei,either
g,g
land,field
amerikaans,american
amerikaner,american
foto,photo
sorg,care
netwerk,network
rekenaar,computer
drie,three
drie,try
probeer,try
probeer,attempt
verhoor,try
verhoor,hearing
probeerslag,try
poging,attempt
gehoor,hearing
totaal,total
plek,place
plek,point
punt,point
punt,point
punt,period
punt,tip
tydstip,point
desimaalpunt,point
fooi,fee
rig,point
tydperk,period
maandstonde,period
einde,end
aflaai,unload
h,h
sonder,without
toegang,admission
toegang,admittance
skulderkenning,admission
dink,think
noord,north
hulpbron,resource
huidig,current
huidig,present
geskenk,present
geskenk,gift
aanbied,present
aanbied,offer
aanbod,offer
media,media
wet,law
water,water
natlei,water
geskiedenis,history
prent,picture
grootte,size
kuns,art
persoonlik,personal
sedert,since
vandat,since
van toe af,since
insluitende,including
gids,guide
adresboek,directory
direksie,board
plank,board
lokasie,location
verandering,change
verandering,change
verandering,alteration
verandering,switch
kleingeld,change
skakelaar,switch
oorskakel,switch
wit,white
teks,text
klein,small
klein,little
klein,minute
minuut,minute
gradering,rating
regering,government
kind,child
gedurende,during
vsa,usa
terugkom,return
terugstuur,return
wins,return
wins,profit
wins,gain
terugsending,return
student,student
v,v
shopping,shopping
rekening,account
rekening,bill
webwerwe,sites
digitale,digital
profiel,profile
vorige,previous
vorm,shape
gebeurtenis,event
liefhê,love
ou,old
john,john
vernaamste,principal
skoolhoof,principal
oproep,call
roep,cry
uur,hour
beeld,image
departement,department
titel,title
beskrywing,description
k,k
y,y
versekering,insurance
nog 'n,another
hoekom,why
sal,shall
eiendom,property
klas,class
cd,cd
kalm,still
kalm,calm
geld,money
kwaliteit,quality
tevrede,content
nasie,country
nasie,nation
privaat,private
besoek,visit
besoek,visit
red,save
red,rescue
spaar,save
redding,rescue
redding,relief
verligting,relief
werktuig,tool
werktuig,utensil
laag,low
laag,layer
laag,coating
laag,film
jasstof,coating
rolprent,film
antwoord,reply
antwoord,reply
antwoord,answer
kliënt,client
desember,december
vergelyk,compare
film,movie
insluit,include
kollege,college
waarde,value
waarde,worth
waardeer,value
waardeer,appraise
skat,appraise
skat,assess
skat,treasure
artikel,article
lidwoord,article
york,york
man,man
man,husband
voorsien,provide
voorsien,furnish
j,j
voedsel,food
bron,source
outeur,author
verskillend,different
pers,press
uitverkoping,sale
afdruk,print
koers,course
kanada,canada
proses,process
prosesseer,process
tiener,teenager
kamer,room
kamer,chamber
spasie,room
voorraad,stock
voorraad,provisions
voorraad,supply
kapitaal,stock
kapitaal,capital
verskaf,supply
bevoorraad,stock
hoofstad,capital
lewering,supply
opleiding,training
oefening,training
oefening,exercise
krediet,credit
bymekaarvoeg,join
wetenskap,science
kategorie,category
gevorderd,advanced
weste,west
kyk,look
voorkoms,look
soek,search
soek,look
soek,seek
engels,english
links,left
span,team
boedel,estate
doos,box
uitkies,select
vensters,windows
's,s
gay,gay
draad,fence
gare,thread
week,week
week,soak
nota,note
noot,note
gallery,gallery
tafel,table
register,register
regsitreer,register
nietemin,however
junie,june
oktober,october
november,november
mark,market
biblioteek,library
waarlik,really
aksie,action
aksie,act
toneelspeel,act
begin,start
begin,beginning
begin,begin
aanskakel,start
beginpunt,start
model,model
kenmerk,feature
lug,sky
industrie,industry
plan,plan
menslik,human
tv,tv
ja,yes
vereis,require
tweede,second
sekonde,second
warm,hot
warm,warm
bybehore,accessories
koste,cost
koste,charge
koste bereken,cost
laai,charge
vra,charge
vra,ask
vra,question
stormloop,charge
aankla,charge
aanklag,charge
vraag,question
forums,forums
optog,march
la,la
september,september
beter,better
beter,superior
julie,july
yahoo,yahoo
medies,medical
toets,test
toets,trial
proefneming,test
vriend,friend
vriendin,friend
kom,basin
kom,gather
bymekaarmaak,gather
bediener,server
pc,pc
studeer,study
aansoek,application
toepassing,application
personeel,staff
san,san
terugvoer,feedback
weer,weather
toneelstuk,play
uitgawe,expense
uitgawe,issue
twispunt,controversy
uitreik,issue
april,april
nooit,never
afhandel,complete
straat,street
finansieël,financial
ding,thing
standaard,standard
standaard,gauge
belasting,tax
belasting,taxation
belasting,duty
plig,duty
persoon,person
