English,Other
aar,аар
ab,аб
aback,изненадена
abacus,абакус
abaft,правец на бродови
abajo,абахо
abandon,напушти
abandoned,напуштени
abandoning,напуштање
abandonment,напуштање
abandons,напушта
abased,понижени
abasement,непочитувањето
abated,укроти
abatement,намалување на
abates,ќе исчезнат
abating,смирува
abattoir,кланица
abattoirs,кланиците
abba,ава
abbas,абас
abbess,игуманијата
abbey,опатија
abbeys,катедрали
abbot,игуменот
abbots,игумени
abbott,абот
abbreviate,скратите
abbreviated,скратените
abbreviating,скратувањето
abbreviation,кратенката
abbreviations,кратенки
abc,абц
abdallah,абдала
abdicate,абдицира
abdicated,абдицирал
abdicates,абдицира
abdicating,одрекува
abdication,абдикација
abdomen,абдомен
abdomens,стомак
abdominal,абдоминална
abduct,киднапираат
abducted,киднапирани
abducting,киднапирање
abduction,киднапирање
abductions,киднапирањата
abductor,грабнувачот
abductors,киднаперите
abducts,киднапира
abdul,абдул
abdullah,абдула
abe,абе
abed,кревет
abel,авел
abelard,абелар
aber,абер
aberdeen,абердин
aberrant,девијантно
aberration,аберација
aberrations,аберации
abet,поттикнувала
abetted,поддржувал
abetting,поттикнување
abeyance,мирување
abhor,згрозуваат
abhorred,погнусих
abhorrence,одбојност
abhorrent,гнасен
abhors,гнаси
abi,аби
abiathar,авијатар
abide,се придржуваат
abided,почитуваат
abides,пребива
abideth,останува
abiding,придржување
abidjan,абиџан
abigail,абигејл
abijah,авија
abilities,способности
ability,способност
abimelech,авимелех
abject,бедна
abjure,опрелести
ablation,аблација
ablative,аблативни
ablaze,пламен
able,состојба
ablution,абдест
ablutions,пречистване
ably,поефикасна
abner,авенир
abnormal,абнормални
abnormalities,абнормалности
abnormality,абнормалност
abnormally,ненормално
aboard,бродот
abode,место на живеење
abodes,живеалишта
abolish,укинување
abolished,укинати
abolishes,укинува
abolishing,укинување
abolition,укинување
abolitionist,одстранување на смртната казна
abolitionists,аболиционистите
abominable,одвратна
abominably,одвратно
abomination,одвратно
abominations,одвратности
aboriginal,абориџините
aborigines,абориџини
abort,абортира
aborted,абортирани
aborting,прекинувам
abortion,абортус
abortions,абортуси
abortive,промашена
aborts,прекинува
abou,абу
abound,кружат
abounded,изобилуваше
abounding,богат
abounds,изобилува
about,за
above,над
abraham,авраам
abrahams,абрахамс
abram,абрам
abrasion,абразија
abrasions,гребнатинки
abrasive,абразивни
abrasives,абразиви
abreast,чекор
abridge,редуцираат
abridged,скратена
abridgement,намалено издание
abridging,лишува
abroad,во странство
abrogate,укинување
abrogated,укинато
abrogating,укинување
abrogation,укинување
abrupt,нагло
abruptly,нагло
absalom,авесалом
abscess,апсцес
abscesses,апсцеси
abscissa,апсцисата
abscond,сокрило
absconded,избега
absconding,бегство
abseil,рапел
absence,отсуство
absences,отсуства
absent,отсутен
absented,апстинираа
absentee,отсутни
absenteeism,отсуство од работа
absently,отсутно
absentminded,расејано
absentmindedly,отсутно
absinthe,абсинт
absolute,апсолутна
absolutely,апсолутно
absoluteness,апсолутноста
absolutes,апсолути
absolution,разрешувањето
absolutism,апсолутизам
absolutist,апсолутистички
absolve,ослободува
absolved,доаѓаш
absolving,апсолвирање
absorb,апсорбира
absorbed,апсорбира
absorbency,апсорпција
absorbent,абсорбента
absorber,апсорбер
absorbers,амортизери
absorbing,апсорбирање
absorbs,апсорбира
absorption,апсорпција
absorptions,апсорпција
absorptive,апсорптивната
abstain,апстинираат
abstained,воздржаа
abstainers,апстинентите
abstaining,воздржани
abstains,воздржува
abstention,воздржани
abstentions,воздржани
abstinence,апстиненција
abstinent,воздржувале
abstract,апстрактни
abstracted,апстрахирани
abstractedly,апстрактно
abstracting,црпење
abstraction,апстракција
abstractions,апстракции
abstractly,апстрактно
abstracts,апстракти
abstruse,разбирливите
absurd,апсурдот
absurdist,апсурдна
absurdities,апсурди
absurdity,апсурдноста
absurdly,апсурдно
abu,абу
abul,абул
abundance,изобилство
abundances,изобилува
abundant,изобилство
abundantly,изобилно
abuse,злоупотреба
abused,злоупотребувани
abuser,злоставувач
abusers,злоупотребувачи
abuses,злоупотреби
abusing,злоупотребува
abusive,навредлив
abusively,навредливо
abut,подпора
abutment,потпирање
abutting,која граничи
abydos,абидос
abysmal,бездна
abysmally,страшно
abyss,бездна
abyssal,длабински
abysses,бездни
abyssinia,абисинија
ac,милан
acacia,багрем
acacias,багреми
acad,акад
academe,академиците
academia,академијата
academic,академска
academical,академските
academically,академски
academician,академик
academicians,академиците
academics,академици
academie,академија
academies,академии
academy,академија
acadian,акадиан
acanthus,акантус
acapulco,акапулко
accede,пристапи
acceded,пристапила
acceding,пристапува
accelerate,забрза
accelerated,забрзана
accelerates,забрзува
accelerating,забрзување
acceleration,забрзување
accelerations,забрзувања
accelerator,педалот за гас
accelerators,акцелератори
accelerometer,акцелеметарски
accelerometers,акцелерометри
accent,акцент
accented,акцентиран
accenting,акцентирањето
accents,акценти
accentuate,истакнуваат
accentuated,акцентирани
accentuates,нагласува
accentuating,акцентирањето
