English,Other
aardwolf,wilk ziemny
aback,zaskoczony
abacus,liczydło
abaft,na rufie
abalone,uchowiec
abandon,porzucić
abandoned,opuszczony
abandoning,porzucając
abandonment,porzucenie
abandons,porzuca
abase,poniżać
abased,upokorzony
abasement,poniżenie
abash,onieśmielać
abashed,zawstydzony
abate,nacichnąć
abated,zmniejszyło
abatement,redukcji
abates,ustępuje
abating,maleje
abattoir,rzeźnia
abattoirs,rzeźnie
abbess,ksieni
abbey,opactwo
abbeys,opactw
abbot,opat
abbots,opaci
abbreviate,skracać
abbreviated,w skrócie
abbreviation,skrót
abbreviations,skróty
abdicate,abdykować
abdicated,abdykował
abdicates,abdykuje
abdication,abdykacja
abdomen,brzuch
abdomens,brzuchy
abdominal,brzucha
abduct,uprowadzać
abducted,uprowadzona
abducting,uprowadzenie
abduction,uprowadzenie
abductions,uprowadzenia
abductor,porywacz
abductors,porywacze
abducts,uprowadza
abeam,na trawersie
abed,łóżko
abenteuer,przygoda
aberrant,nieprawidłowa
aberration,aberracja
aberrations,aberracje
abet,pomagać w przestępstwie
abets,namawia
abetting,pomocnictwo
abeyance,nieznajomość
abhor,cierpieć
abhorred,brzydził
abhorrence,odraza
abhorrent,odrażający
abhors,brzydzi
abiathar,abiatar
abide,przestrzegać
abided,przestrzegały
abides,trwa
abideth,trwa
abiding,trwały
abidjan,abidżan
abies,picea
abijah,abijasz
abilities,zdolności
ability,zdolność
abimelech,abimelek
abject,nikczemny
abjectly,nikczemnie
abjure,odprzysięgać
ablate,ablacji
ablates,ablację
ablating,ablacji
ablation,ablacja
ablative,ablacji
ablaze,w ogniu
able,zdolny
ablest,najzdolniejszym
abloom,w kwiatach
ablution,ablucja
ablutions,ablucji
ably,sprawnie
abnegation,abnegacja
abnormal,nienormalny
abnormalities,nieprawidłowości
abnormality,nieprawidłowość
abnormally,nieprawidłowo
aboard,na pokład
abode,mieszkanie
abodes,siedzibami
abolish,znieść
abolished,zniesione
abolishes,znosi
abolishing,zniesienie
