Other,English
(अंगावर भडक रंगाची पिसे असणारे) एक प्रकारचे रानटी बदक,Sheldrake
(अमेरिकन शब्द) पक्कड,Vise
(अमेरिकेत वापर) चटकन निघून जाणे,Vamoose
(अमेरिकेत वापर) मूर्ख माणूस,Stupe
(अमेरिकेत वापर) शहरीच्या नागरी वस्तीच्या भागात,Uptown
(अमेरिकेतील) दारुबंदीच्या काळातील बेकायदा दारु विकणारा गुत्ता,Speakeasy
(अव) संपत्ती,Shekel
(अशिक्षित अडाणी लोकांची) पत्रे लिहून देणारा,Scrivener
(आयरिश शब्द) ओकवृक्षापासून बनवलेला सोटा (बडगा),Shillala
(आयरिश शब्द) ओकवृक्षापासून बनवलेला सोटा (बडगा),Shillelagh
(आवाज) फारच मोठा (खडा),Stentorian
"(उत्तर अमेरिकेच्या गवताळ प्रदेशामध्ये) गुरे हाकून एकत्र आणणे, गुरांना दावे बांधणे, रानटी घोडयावर स्वार होणे, इ ची शर्यत",Rodeo
(एक सोळाश) पौड,Ounce
(एखाद्या गोष्टीचे) खाजगीकरण करणे,Privatise
(एखाद्याचा) पोशाख,Rigout
(ऑस्टॅलियातील) अंडी टाकणारा सस्तन प्राणी,Platypus
(कर्तव्य किंवा बंधन व्यक्त करण्यासाठी ) पाहिजे,Ought
(काम) निष्काळजीपणे वरकरणी,Perfunctorily
(कायदा) हक्कांबद्दल सोडचिठ्ठी दिल्याचा लेख,Waiver
(काव्यात वापर) सूर्य (ग्रीक नाव),Sol
(कॅलिफोर्नियामध्ये आढळणारा) लालसर लाकडाचा वृक्ष,Redwood
"(कोळसा, इ) चाळून उरलेला गाळ",Screenings
(क्रिकेट) नेमका बॅटीखाली पडेल असा टाकलेला चेंडू,Tice
(खनिजाचे) फोडून तुकडे करणे,Spall
(खालचा जबडा) वरच्या जबड्यापेक्षा अधिक पुढे असलेला,Underhung
(गाण्यातील) कंपनयुक्त स्वर,Tremolo
"(गोगलगाई, कालव यांसारखे) मृदु शरीर व अंगावर कवच असणारे प्राणी",Mollusk
(ग्रीक पुराण) मृतात्म्यांच्या प्रदेशाला वेढणारी नदी,Styx
(ग्रीक पुराणतील) एक जलदेवता,Nereid
(घर उबदार ठेवण्यासाठी असलेले) जमिनीखालील,Underfloor
"(घर, जहाज इचे) सुटे भाग केलेले (व नंतर जागेवर नेउन एकामेंकास जुळवून बांधणी केलेले) पूर्वरचित",Prefabricated
(चाबकाचा) फटकारा,Whiplash
(चेंडू) जो खेळता येत नाही असा,Unpayable
(जहाजावरील) भोजनभाऊ (एकाच भोजनगुहात भोजन करणार्या खलाशांचा शब्द),Messmate
(जागा) एकांताची (निवांत),Sequestered
(जुनी) तोडयाची बंदूक,Matchlock
(जुन्या काळी) 'डेअर' चे भुतकाळी रूप,Durst
(झिरपणे) व्यापण्याची क्रिया,Perfusion
(टेनिस,Seeding
