English,Other
at,a
by,a
into,a
of,a
per,a
to,a
upon,a
muskier,a almizcle
muskiest,a almizcle
musky,a almizcle
descendable,a bajar
in aid of,a beneficio de
point-blank,a boca de jarro
aboard,a bordo
aboard a ship,a bordo
on shipboard,a bordo
aboard,a bordo de
hourly,a cada hora
minutely,a cada minuto
against,a cambio de
in exchange for,a cambio de
across lots,a campo traviesa
across the country,a campo traviesa
cross-country,a campo traviesa
crosscountry,a campo traviesa
heartily,a carcajadas
uproariously,a carcajadas
through and through,a carta cabal
home,a casa
because of,a causa de
for,a causa de
on account of,a causa de
jet,a chorro
a pig in a poke,a ciegas
blind,a ciegas
blindly,a ciegas
offshore,a cierta distancia
on condition that,a condición de que
provided that,a condición de que
providing that,a condición de que
hereunder,a continuación
short,a corto
in the short run,a corto plazo
short,a corto plazo
short-term,a corto plazo
shorter,a corto plazo
shortest,a corto plazo
shortterm,a corto plazo
checkered,a cuadros
chequered,a cuadros
anywhere,a cualquier sitio
hipped,a cuatro aguas
interim,a cuenta
o/a,a cuenta
on account,a cuenta
on back,a cuestas
piggyback,a cuestas
in fact,a decir verdad
in point of fact,a decir verdad
descendable,a descender
despite,a despecho de
in spite of,a despecho de
begrudgingly,a disgusto
aloof,a distancia
at the distance,a distancia
gabled,a dos aguas
her,a ella
by fits and starts,a empujones
nationwide,a escala nacional
around,a eso de
but for,a excepción de
except,a excepción de
excepting,a excepción de
excluding,a excepción de
failing,a falta de
in default of,a falta de
in the absence of,a falta de
pro,a favor
for,a favor de
in favor of,a favor de
for the purpose of,a fin de
in all,a fin de cuentas
when all is said and done,a fin de cuentas
in order that,a fin de que
in order to,a fin de que
so that,a fin de que
in the end,a finales
awash,a flor de agua
afloat,a flote
all out,a fondo
in depth,a fondo
in-depth,a fondo
indepth,a fondo
thoroughly,a fondo
high,a gran altura
at full pelt,a gran velocidad
by the score,a granel
in abundance,a granel
in bulk,a granel
loose,a granel
looser,a granel
loosest,a granel
volume,a granel
in keeping with,a guardar con
at ease,a gusto
