Other,English
the,the
e,of
e,past
e,and
të,of
të,you
të,thou
i,of
i,to him
i,to her
nga,of
nga,to
nga,off
nga,by
nga,from
nga,out of
nga,out
nga,through
nga,with
nga,at
nga,towards
nga,syne
prej,of
prej,off
prej,by
prej,since
prej,from
ndërmjet,of
ndërmjet,among
ndërmjet,between
ndërmjet,between
nga ana e,of
nga ana e,in return
dhe,and
dhe,earth
dhe,soil
dhe,dust
dhe,dirt
dhe,ground
dhe,land
dhe,mold
dhe,ground color
dhe,grit
dhe,glebe
dhe,muck
dhe,mould
përtej,past
përtej,up
përtej,over
përtej,over
përtej,across
përtej,athwart
përtej,beyond
përtej,beyond
përtej,below
përtej,above
përtej,trans
matanë,past
matanë,over
matanë,over
matanë,across
matanë,across
matanë,athwart
matanë,beyond
matanë,beyond
matanë,below
matanë,trans
matanë,in the opposite direction
pranë,by
pranë,by
pranë,past
pranë,nigh
pranë,over
pranë,thereby
pranë,alongside
pranë,next to
pranë,near
pranë,near
pranë,nearby
pranë,about
pranë,beside
pranë,hard by
pranë,near at hand
pranë,alongside of
pranë,next
përpara,past
përpara,along
përpara,before
përpara,before
përpara,before
përpara,in front of
përpara,previous to
përpara,forth
përpara,forward
përpara,ahead
përpara,in front
përpara,in advance
përpara,onward
përpara,fore
përpara,erstwhile
përpara,frontward
përpara,afore
përpara,foremost
përpara,frontwards
përpara,preliminarily
përpara,erst
përpara,of old
përpara,prior to
përpara,ere
përpara,or
kaluar,by
kaluar,past
kaluar,past
kaluar,astride
kaluar,horseback
kaluar,astraddle
kaluar,walker
ju,you
ju,ye
ju,you all
teje,you
teje,thou
teje,thee
teje,of you
njeriu,you
ti,you
ti,thou
ti,thee
ti,of you
nëpër,by
nëpër,out
nëpër,through
nëpër,via
nëpër,along
nëpër,across
nëpër,around
nëpër,down
në,to
në,at
në,into
në,in
në,per
në,on
në,under
në,against
në,upon
në,onto
tej,through
tej,far
tej,beyond
tek,to
tek,off
tek,at
tek,while
tek,unto
tek,odd
tek,uneven
tek,being an odd number
tek,making up an odd number
drejt,to
drejt,towards
drejt,toward
drejt,straight
drejt,right
drejt,directly
drejt,fair
drejt,rightly
drejt,direct
drejt,aright
drejt,erect
drejt,square
drejt,flat
drejt,smack
drejt,endlong
drejt,orderly
drejt,plump
në lidhje me,by
në lidhje me,with
në lidhje me,for
në lidhje me,after
në lidhje me,thereby
në lidhje me,concerning
në lidhje me,with regard to
në lidhje me,regarding
në lidhje me,in respect of
në lidhje me,in connection with
në lidhje me,with respect to
në lidhje me,with reference to
në lidhje me,re
me,by
me,with
me,at
me,in
me,per
me,on
me,under
me,about
me,cum
me,withal
ndaj,by
ndaj,at
ndaj,towards
ndaj,unto
ndaj,toward
ndaj,on
ndaj,separate
ndaj,share
ndaj,divide
ndaj,split
ndaj,sever
ndaj,apportion
ndaj,part
ndaj,fissure
ndaj,divorce
ndaj,allot
ndaj,distinguish
ndaj,hand out
ndaj,dismember
ndaj,divvy
ndaj,fractionate
ndaj,disembody
ndaj,distribute
ndaj,dissociate
ndaj,partition
ndaj,unjoint
ndaj,detach
ndaj,unlink
ndaj,come between
ndaj,cut
ndaj,joint
ndaj,dispart
ndaj,space
ndaj,grade
ndaj,disarticulate
ndaj,disunite
ndaj,dissever
ndaj,sunder
ndaj,segregate
ndaj,rope off
ndaj,winnow
ndaj,section
ndaj,unscramble
ndaj,sort out
ndaj,reconcile
ndaj,disjoin
ndaj,disjoint
ndaj,bar
për,by
për,at
për,towards
për,in
për,per
për,on
për,for
për,after
për,concerning
për,about
për,pro
për,in behalf of
nga shkaku i,from
deri,to
deri,till
deri,until
deri,as far as
në drejtim të,towards
në drejtim të,toward
që nga,since
që nga,out
që nga,whence
që nga,whence
që nga,ever after
gjatë,by
gjatë,through
gjatë,for
gjatë,over
gjatë,along
gjatë,throughout
gjatë,during
gjatë,down
gjatë,long
gjatë,a long time
gjatë,lengthwise
gjatë,in the course of
gjatë,pending
gjatë,in the midst of
gjatë,in the progress of
gjatë,alone
përmes,by
përmes,through
përmes,across
me anë të,by
me anë të,per
me anë të,by dint of
me anë të,by means of
sipas,by
sipas,from
sipas,with
sipas,per
sipas,after
sipas,under
sipas,according to
sipas,in accordance with
në anën e,with
në anën e,in favor of
në anën e,pro
që brenda,out of
qysh nga,since
midis,among
midis,between
midis,amongst
midis,amidst
midis,amid
në mes të,among
në mes të,amongst
në mes të,amidst
në mes të,amid
në mes të,in the middle
në mes të,in the midst
në mes,between
ndër,among
ndër,in
gjer,to
gjer,till
gjer,until
gjer,up
gjer,dormouse
larg,off
larg,distant
larg,afar
larg,far away
larg,far
larg,apart
larg,away
larg,away
larg,clear
larg,far off
larg,afield
larg,wide
hequr,off
i lirë,off
i lirë,free
i lirë,vacant
i lirë,inexpensive
i lirë,at ease
i lirë,cheap
i lirë,clear
i lirë,loose
i lirë,open
i lirë,empty
i lirë,available
i lirë,footloose
i lirë,unattached
i lirë,disengaged
i lirë,unbound
i lirë,unoccupied
i lirë,frugal
i lirë,uninhibited
i lirë,twopenny
i lirë,exempt
i lirë,disposable
i lirë,native
i lirë,brummagem
i lirë,scotfree
i lirë,uncostly
i lirë,off duty
i lirë,fetterless
i lirë,quit
i lirë,off-hour
i hequr,off
i largët,off
i largët,distant
i largët,remote
i largët,faraway
i largët,far
i largët,outer
i largët,odd
i largët,removed
i largët,vague
i largët,slight
i largët,far-off
i largët,long-run
i largët,way-out
i largët,out-of-the-way
i veçantë,off
i veçantë,specific
i veçantë,particular
i veçantë,distinct
i veçantë,separate
i veçantë,special
i veçantë,uncommon
