Other,English
abaikan,abandon
ditinggalkan,abandonment
biara,abbey
perut,abdominal
menculik,abduct
penculikan,abduction
bertahan,abide
bertahan,abiding
kebolehan,ability
hina,abject
terbakar,ablaze
mampu,able
tidak normal,abnormal
kelainan,abnormality
tempat tinggal,abode
menghapuskan,abolish
kekejian,abomination
pengguguran,abortion
kasar,abrasive
mengikuti,abreast
mendadak,abrupt
abses,abscess
ketiadaan,absence
tidak hadir,absent
mutlak,absolute
membebaskan,absolve
menyerap,absorb
pantang,abstinence
abstrak,abstract
tidak masuk akal,absurd
tidak masuk akal,absurdity
banyak,abundance
banyak,abundant
penyalahgunaan,abuse
kesat,abusive
kurang ajar,abysmal
akademik,academic
Akademi,academy
mempercepatkan,accelerate
dipercepatkan,accelerated
pecutan,acceleration
pemecut,accelerator
aksen,accent
terima,accept
boleh diterima,acceptable
penerimaan,acceptance
akses,access
boleh diakses,accessible
aksesori,accessory
kemalangan,accident
tidak sengaja,accidental
pujian,acclaim
menampung,accommodate
penginapan,accommodation
menemani,accompany
rakan sejenayah,accomplice
berjaya,accomplish
pencapaian,accomplishment
sesuai dengan,accord
akordion,accordion
akaun,account
akauntabiliti,accountability
bertanggungjawab,accountable
akauntan,accountant
perakaunan,accounting
berkumpul,accumulate
ketepatan,accuracy
tepat,accurate
terkutuk,accursed
tuduhan,accusation
menuduh,accuse
asetilena,acetylene
sakit,ache
mencapai,achieve
pencapaian,achievement
asid,acid
mengakui,acknowledge
pengiktirafan,acknowledgement
jerawat,acne
akustik,acoustic
akustik,acoustics
kenalan,acquaintance
memperoleh,acquire
pemerolehan,acquisition
membebaskan,acquit
pembebasan,acquittal
keluasan,acreage
akrobat,acrobat
akrilik,acrylic
bertindak,act
tindakan,action
aktifkan,activate
pengaktifan,activation
aktif,active
aktivis,activist
aktiviti,activity
pelakon,actor
pelakon,actress
sebenarnya,actual
sebenarnya,actuality
akupunktur,acupuncture
akut,acute
iklan,ad
pepatah,adage
bersungguh-sungguh,adamant
menyesuaikan diri,adapt
adaptasi,adaptation
Tambah,add
penambah,adder
penagih,addict
ketagihan,addicted
ketagihan,addiction
ketagihan,addictive
tambahan,additional
alamat,address
mahir,adept
mencukupi,adequate
mematuhi,adhere
pelekat,adhesive
bersebelahan,adjacent
kata sifat,adjective
bersebelahan,adjoining
menangguhkan,adjourn
melaraskan,adjust
pelarasan,adjustment
mentadbir,administer
pentadbiran,administration
pentadbiran,administrative
pentadbir,administrator
terpuji,admirable
kekaguman,admiration
kagumi,admire
dikagumi,admired
peminat,admirer
boleh diterima,admissible
kemasukan,admission
mengaku,admit
kemasukan,admittance
remaja,adolescence
remaja,adolescent
mengguna pakai,adopt
pengangkatan,adoption
mengadopsi,adoptive
comel,adorable
pemujaan,adoration
suka,adore
memuja,adoring
adrenalin,adrenaline
hanyut,adrift
dewasa,adult
perzinaan,adultery
dewasa,adulthood
terlebih dahulu,advance
maju,advanced
kemajuan,advancement
kelebihannya,advantage
