Other,English
abc,abc
alphabet,abc
abécédaire,abc book
sida,aids
abkhasie,abkhazia
abkhasien,abkhazian
abkhasien,abkhazian
abyssinie,abyssinia
ethiopie,abyssinia
abyssin,abyssinian
abyssin,abyssinian
achéron,acheron
achille,achilles
talon d'achille,achilles' heel
tendon d'achille,achilles' tendon
adam,adam
addis‐abeba,addis ababa
aden,aden
adonis,adonis
andrinople,adrianople
mer adriatique,adriatic
mer adriatique,adriatic sea
adjarie,adzharia
mer egée,aegean
mer egée,aegean sea
enée,aeneas
eole,aeolus
afghan,afghan
afghan,afghan
afghanistan,afghanistan
afghane,afghan woman
afrique,africa
africain,african
africain,african
d'afrikanders,afrikaans
afrikander,afrikaner
boer,afrikaner
afro‐asiatique,afro‐asian
rivière again,again river
agamemnon,agamemnon
agathe,agatha
aix‐la‐chapelle,aix‐la‐chapelle
ajax,ajax
albanie,albania
albanais,albanian
albanais,albanian
albert,albert
alberta,alberta
aurigny,alderney
alep,aleppo
alexandre,alexander
alexandrie,alexandria
algérie,algeria
algérien,algerian
algérien,algerian
alger,algiers
lac aux allumettes,allumette lake
toussaint,all hallows
toussaint,all saints' day
alost,alost
rhododendron,alpenrose
alpiniste,alpinist
alpes,alps
alsacien,alsatian
alsacien,alsatian
albe,alva
amazone,amazon
amboine,amboina
amérique,america
américain,american
américain,american
américaniser,americanize
indien,american indian
amsterdam,amsterdam
andalousie,andalusia
andalou,andalusian
andalou,andalusian
andalouse,andalusian woman
andorre,andorra
andorran,andorrian
anglican,anglican
anglicisme,anglicism
anglo‐saxon,anglo‐saxon
anglo‐saxon,anglo‐saxon
angolais,angolan
angolais,angolese
anne,ann
annonciation,annunciation
antarctique,antarctic
antarctique,antarctic
océan antarctique,antarctic ocean
antéchrist,antichrist
ile d'anticosti,anticosti island
antilles,antilles
antillais,antillian
antillais,antillian
antioche,antioch
antoine,antony
anvers,antwerp
anversois,antwerp
apennins,apennines
aphrodite,aphrodite
apocalypse,apocalypse
apollon,apollo
appalaches,appalachian mountains
avril,april
verseau,aquarius
aquitaine,aquitaine
guyenne,aquitaine
arabe,arab
arabie,arabia
arabe,arabian
arabique,arabian
arabe,arabian woman
arabe,arabic
arabique,arabic
arcadie,arcadia
archimède,archimedes
arctique,arctic
océan arctique,arctic ocean
océan glacial du nord,arctic ocean
ardennes,ardennes
argentine,argentina
argentin,argentine
argentin,argentine
argentin,argentinean
argus,argus
ariane,ariadne
aristote,aristotle
arménie,armenia
arménien,armenian
arménien,armenian
arménienne,armenian woman
armorique,armorica
ruisseau armstrong,armstrong creek
arras,arras
aryen,aryan
aryen,aryan
asie,asia
asiate,asian
asiatique,asian
asiate,asian woman
asiatique,asian woman
asie mineure,asia minor
assomption,assumption
assyrie,assyria
assyrien,assyrian
assyrien,assyrian
asturies,asturias
atabasca,athabasca
rivière atabasca,athabasca
athènes,athena
athènes,athene
athénien,athenian
athénien,athenian
athènes,athens
atlantique,atlantean
océan atlantique,atlantic
atlantique,atlantic
océan atlantique,atlantic ocean
atlas,atlas
attique,attica
augias,augeas
août,august
auguste,augustus
australie,australia
australien,australian
australien,australian
australienne,australian woman
autriche,austria
autrichien,austrian
autrichien,austrian
aztèque,aztec
babel,babel
babylone,babel
babel,babylon
babylone,babylon
babylonie,babylonia
babylonien,babylonian
bacchus,bacchus
baie de baffin,baffin bay
ile de baffin,baffin island
baléares,balearic islands
balinais,balinese
balinais,balinese
balkans,balkans
balte,baltic
mer baltique,baltic sea
bantou,bantu
bantou,bantu
barbade,barbados
barcelone,barcelona
barthélemy,bartolomew
basque,basque
basque,basque
batave,batavian
batave,batavian
bavière,bavaria
bavarois,bavarian
bavarois,bavarian
baie de fundy,bay of fundy
mer de beaufort,beaufort sea
bédouin,bedouin
belge,belgian
belge,belgian
belge,belgian woman
belgique,belgium
belgrade,belgrade
benoît,ben
benoît,benedict
ruisseau benedict,benedict brook
benelux,benelux
bengale,bengal
bengali,bengal
berlin,berlin
berlinois,berlin
berlinois,berliner
bermudes,bermudas
berne,berne
bernois,bernese
bernois,bernese
bessarabie,bessarabia
bethléem,bethlehem
bible,bible
ecriture sainte,bible
forêt‐noire,black forest
pont‐euxine,black sea
volta noire,black volta
barbe‐bleue,bluebeard
afrikander,boer
boer,boer
bohême,bohemia
bohémien,bohemian
bohémien,bohemian
bois‐le‐duc,bois‐le‐duc
bolivie,bolivia
bolivien,bolivian
bolivien,bolivian
bosnie,bosnia
bosniaque,bosnian
bosnien,bosnian
bosnien,bosnian
bosphore,bosporus
baie chez lepage,boundary bay
colline boundary,boundary hill
lacs de la frontière,boundary lakes
brabant,brabant
brabançon,brabantine
brabançon,brabantine
brésil,brazil
brésilien,brazilian
brésilien,brazilian
bretagne,bretagne
breton,breton
grande‐bretagne,britain
britannique,british
colombie‐britannique,british columbia
britannique,briton
bretagne,brittany
bruges,bruges
bruxelles,brussels
bruxellois,brussels
bouddha,buddha
bouddhisme,buddhism
bouddhiste,buddhist
rivière bujeault,bujeault river
bulgare,bulgar
bulgare,bulgarian
bulgare,bulgarian
birmanie,burma
birman,burmese
birman,burmese
birmane,burmese woman
ruisseau burwash,burwash creek
boschiman,bushman
byzantin,byzantine
byzance,byzantium
détroit de cabot,cabot strait
césar,caesar
caïn,cain
le caire,cairo
cap‐des‐caissie,caissie cape
calabre,calabria
californie,california
californien,californian
californien,californian
calvaire,calvary
calvin,calvin
cambodge,cambodia
cambodgien,cambodian
khmer,cambodian
cambodgien,cambodian
khmer,cambodian
cambodgienne,cambodian woman
cameroun,cameroon
camerounais,cameroon
chanaan,canaan
canada,canada
canadien,canadian
canadien,canadian
canadienne,canadian woman
îles canaries,canary islands
chandeleur,candlemas
ile du cap‐breton,cape breton island
capitole,capitol
capricorne,capricorn
carpates,carpathians
carpates,carpathian mountains
carthage,carthage
carthaginois,carthaginian
carthaginois,carthaginian
mer caspienne,caspian sea
cassandre,cassandra
castille,castile
castillan,castilian
castillan,castillian
catalogne,catalonia
catalan,catalonian
catalan,catalonian
caton,cato
caucase,caucasus
ruisseau cedar,cedar brook
celte,celt
celte,celtic
celtique,celtic
amérique centrale,central america
cerbère,cerberus
cérès,ceres
ceylan,ceylon
ceylanais,ceylonese
ceylanais,ceylonese
tchad,chad
chaldée,chaldea
chaldéen,chaldean
