Other,English
ADUN,assemblyman
Afrika,african
Alkitabiah,biblical
Anggar,fencing
Asup,score
Atoh pisan,delighted
Babasan,phrase
Bahaya,danger
Bajingan,bastard
Balanja,shipping
Bangsat,asshole
Bangsat,damn
Betot,pull
Beulah,split
Bibit,stem
Bizantium,byzantine
Blok,block
CV,resume
Catetan,note
Cicing,shut
Citarum,basin
Dajjal,antichrist
Danas,pineapple
Daptar pariksa,checklist
Daérah,area
Daérah,neighborhood
Dengdekkeun,tilt
Dipati,junkie
EMAIL sampah,spam
Ecological,niche
Empang,emerald
Fisika,physics
Gaib,invisibility
Gatotkaca,burger
Gerbang,gate
Goblok,fucker
Gusti,lord
Guteg,gut
Halah,ought
Hasil,yield
Henteu aya,unbutton
Hhh,sigh
Hipnotis,hypnotize
Ihtisar,overview
Indung,motherland
Injil,gospel
Inok,audit
Instrumén,instrument
Intoleransi,intolerance
Inuman sampanye,champagne
Jagong beledug,popcorn
Jalan tol,expressway
Jalan tol,freeway
Jalan tol,roadhouse
Kadutaan,embassy
Kaluar,exit
Kanjut,fuck
Kantong,handbag
Kec,district
Kemah Suci,tabernacle
Klaim,claim
Koper,baggage
Kuburan,cremation
Kutu,lice
Kuya,tortoise
Laundah,launder
Lega dayeuh,citywide
Liga,league
Likur,liquor
Lungsi,warp
Lémon,lemon
Lémon,lemonade
Létnan,lieutenant
Maha Kawasa,almighty
Maha Suci,glorified
Maha karya,masterpiece
Maksudna,meanie
Malar,bar
Manglé,angle
Maung Bandung,sparkle
Militér,military
Mélon,melon
Mélon konéng,cantaloupe
Nalukkeun,conquest
Ngadu,honey
Ngontrol,controlling
Nyegah,prevention
Nyetaeun,wiz
Pak,sir
Palayan,waiter
Pamulung,scavenger
Panawaran,bidding
Pangajaran sarta Palatihan Atikan,veterinary
Panggang,bake
Panjaga renang,lifeguard
Panto lebet,entrance
Panwaslu,electoral
Pareuman,shutdown
Pareuman,turnoff
Parumahan,residential
Patologi,pathology
Persib,perseverance
Piceun,discard
Play off,playoff
Propinsi,province
Psikologi,psychology
Ragam hias,ornament
Rancah,scaffold
Rorongkong,skeleton
SK,decree
SMP,junior
SPP,tuition
Samaun,veteran
Samentawis,meantime
Sebaran,distribution
Sekertaris,secretary
Silalatu,soot
Spesifikasina,spec
Srikandi,heroine
Srimanganti,chic
Suluh,gruel
TK,kindergarten
TPA,landfill
Teken,push
Tempat pitnes,gym
Tilu puluh,threesome
Tobat,penance
Tol,toll
Toong,peek
Tujuh,seven
Télévisi,televised
Uskup Agung,archbishop
Voltaseu,voltage
WS Rendra,mastery
Waktos na lami,longtime
Waktos na tuang siang,lunchtime
Waspada,beware
abad,century
abad pertengahan,medieval
abah,harness
abdi,bondsman
abdi,servant
abjad,alphabet
abok,roost
aborsi,abortion
abstrak,abstract
acak,random
acar,pickled
acara,event
aci,shaft
aci,starch
acuh,indifferent
acuh tak acuh,indifference
adaptasi,adapt
adaptasi,adaptation
adas,fennel
adat,custom
adat,customary
adegan,scene
adi,fluid
adi,sister
adidaya,superpower
adiktif,addictive
adil,fair
adil,fairness
administrasi,administration
administrasi,administrative
adonan,batter
adonan,dough
adonan,doughboy
adrenalin,adrenaline
adu,confront
adu,shootout
aduk,stir
adul:,facade
afidavit,affidavit
agam,mansion
agam,mansions
agama,religion
agama,religious
agresi,aggression
agrésif,aggressive
agul,razor
agén,agent
aheng,exotic
ahirna,eventual
ahli,expert
ahli,professional
ahli basa,linguist
ahli biografi,biographer
ahli biologi,anesthesiologist
ahli biologi,biologist
ahli nembak,marksman
ahli ngeunaan jaman baheula,archaeologist
ahli olahraga,sportsman
ahli onkologi,oncologist
ahli terapi,therapist
ahli waris,beneficiary
ahli waris,heir
ahli waris,heiress
aib,disgrace
aink,pink
aisan,sling
ajag,wolf
ajag,wolverine
ajak,encourage
ajeg,stead
ajeg,steady
ajen,esteem
ajenan,homage
akad,contract
akademi,academy
akademik,academic
akar,root
aki,battery
aki,grandfather
akibatna,consequence
akibatna,inconsequential
akomodasi,accommodation
akordionasi,accordion
akrilik,acrylic
aksi,action
aksén,accent
aksés,access
aksésori,accessory
akta,deed
aktip,active
aktipkeun,activate
aktivasi,activation
aktivis,activist
aktor,actor
akuarium,aquarium
akuatik,aquatic
akuisisi,acquisition
akuntan,accountant
akuntansi,accounting
akupungtur,acupuncture
akustik,acoustic
akustik,acoustics
alabron,alabaster
alahan,allergy
alam,nature
alam pawenangan,chamber
alam semesta,universe
alamat,address
alami,natural
alarem,alarm
alas,peddle
alas kenop,keypad
alat,tool
alat keur manggang roti,toaster
alat keur ngagolakkeun,boiler
alat keur nyieun sora ngahiung,buzzer
alat perang,armament
alat tulis,stationary
alat tulis,stationery
alatan,due
albeum,album
alesan,reason
alfa,alpha
alfabét,alphabetical
algojo,executioner
algoritma,algorithm
alihan,redirect
alihan,redo
alihan,transition
alim,pious
alinea,paragraph
aliran,brook
aliran,flow
aliran,stream
aliran getih,bloodstream
aljabar,algebra
alkohol,alcohol
aloi,alloy
alpuket,apricot
alpuket,avocado
alternatif,alternative
aluminium,aluminum
alun-alun,square
alungan,bet
alungan,throw
alur,groove
alur,grovel
alur,plot
alus,delirious
alus,grandiose
alus,nifty
alus,splendid
alus,virtuous
alus pisan,homey
alus teuing,excellent
aluseun,formidable
alérgi,allergic
amal,charitable
amal,charity
aman,insecure
aman,safe
aman,safekeeping
aman,secure
aman,unsafe
amanah,trust
amanah,trusty
amanan,mistrust
amanat,mandate
amanat,mandible
amandemen,amendment
amarah,anger
amarah,fury
amatir,amateur
ambar,amber
ambek,angry
ambek,indignation
ambek,outraged
ambek,resent
ambek pisan,furious
ambek-ambekan,resentful
ambek-ambekan,resentment
ambeu,smell
ambeu,smelly
ambien,ambient
ambigu,ambiguous
ambing,brink
ambisi,ambition
ambisius,ambitious
ambulan,ambulance
ambuna,aroma
ameng ski,skiing
amfibian,amphibian
amis,sweet
amis,sweeten
amis,sweetness
amonia,ammonia
amonium,ammonium
ampir,amphibious
amplop,envelope
amuk,rage
amukan,raging
amunisi,ammunition
anak,child
anak anjing,puppy
anak bulao,kidder
anak sapi,calf
anak ucing,kitten
anak uncal,fawn
anakna,subsidiary
analis,analyst
analisa,analysis
analisa,analyzer
analitis,analytical
analogi,analogy
anarki,anarchy
anarkis,anarchist
anatomi,anatomy
anca,gorgeous
ancaman,threat
anduk,towel
aneh,bizarre
aneh,freak
aneh,odd
aneh,peculiar
anekdot,anecdote
anestetik,anesthetic
angen,awe
angen-angen,wishful
anggan,perceptive
anggap,suppose
anggapan,presumption
anggaran,budget
angger,constant
anggota,member
anggota hukum,lawman
anggrek,orchid
anggun,graceful
anggun,willful
anggur,grape
anggur,grapefruit
anggur,grapevine
anggur,vine
angin,wind
angin ngahiliwir,breeze
angin pitu,whirl
angin ribut,hurricane
angin ribut,sandstorm
angka,numerical
angka,point
angkat,adoptive
angkat,lifer
angkat,lift
angkat,liftoff
angkatan laut,naval
angkatan laut,navy
angket,questionnaire
angkot,transportation
animasi,animated
animasi,animation
anis,saber
anit,icky
anjing,bitch
anjing,dog
anjing,doggy
anjing,hunch
anjing panas,hotdog
anjir,figment
anomali,anomaly
anonimitas,anonymity
anoreksik,anorexic
antagonis,antagonistic
antelop,antelope
antena,antenna
antibiotik,antibiotic
antibiotik,antibiotics
antik,antique
anting,earring
anting,earrings
anting-anting,earpiece
antiseptik,antiseptic
antisipasi,anticipation
antosan,standby
antropolog,anthropologist
antropologi,anthropology
antropologis,anthropological
anu bohong,deceitful
anu datang,forthcoming
anu datang,oncoming
anu maca,reader
anu mendakan,finder
anu ngagimbung,swarm
anu ngajual,seller
anu nyekel saham,stockholder
anu salajengna,subsequent
anu sanés,other
anu teu kawin,unmarried
anyar,new
anyar,novelty
anyar,recent
anyelir,carnation
anéh,strange
anéh,weird
anéh,weirdness
anémia,anemia
anémik,anemic
apan,locust
aparat,apparatus
apartemen,apartment
