Other,English
.ण,debt
.ण,loan
.ण दिनु,lend
.णी,indebted
3x,hushed
Boy,buoy
Kececap,kneecap
Nighttie,nightie
Scamer,screamer
Undeteected,undetected
antiairraft,antiaircraft
bankrol,bankroll
cockucker,cocksucker
contrapt,contraption
copyier,copier
dareay,daresay
dissosiative,dissociative
dournail,doornail
fagot,faggot
gaf,gaff
gender,gander
inges,ingest
jided,jaded
keepake,keepsake
laund,launder
loveick,lovesick
orrowण लिनु,borrow
overprotative,overprotective
owणी,owe
purgtory,purgatory
raakerteering,racketeering
rawide,rawhide
seeaw,seesaw
sleight,sleigh
sprit,sprite
stateide,stateside
storelifter,shoplifter
sunde,sundae
trans transite,transvestite
velor,velour
अpe्गुर,grape
अpe्गुर,grapevine
अँध्यारो,dark
अँध्यारो,darken
अँध्यारो,darkness
अँध्यारो भयो,darkened
अंक,digit
अंकगणित,arithmetic
अंकुर,sprout
अंकुश,curb
अंग,limb
अंग,limber
अंग,organ
अंगरक्षक,bodyguard
अंगालो,embrace
अंगालो,hug
अंगालो,hugger
अंगालो,mangle
अंगूर,grapefruit
अंगोरा,angora
अंडकोष,testicle
अंडरवर्ल्ड,underworld
अंडरवियर,underwear
अंडाकार,oval
अंडाशय,ovary
अंपायर,umpire
अकथनीय,unspeakable
अकल्पनीय,inconceivable
अकल्पनीय,inexplicable
अकल्पनीय,unimaginable
अकल्पनीय,unthinkable
अकवार,clasp
अकार्यक्षम,dysfunctional
अक्टोपस,octopus
अक्ष,axis
अक्षम,disabled
अक्षमता,incompetence
अक्षम्य,inexcusable
अक्षम्य,unforgivable
अक्षर,syllable
अक्षांश,latitude
अक्षुण्ण,intact
अक्साइड,oxide
अक्सिजन,oxygen
अखरोट,walnut
अखाडा,arena
अगाडि,forefront
अगाडि,headway
अगाडि बढ,goon
अगाडि बढ्छ,proceeds
अगाडि बढ्नु,undertow
अगाडि बढ्नुहोस्,proceed
अगाडी,fore
अगाध खाडल,abyss
अग्न्याशय,pancreas
अग्रगामी,pioneer
अग्रभूमि,foreground
अग्रिम,advance
अग्लो,aglow
अग्लो,tall
अघिल्लो,previous
अघोषित,unannounced
अचम्म,achy
अचम्म,amaze
अचम्म,amazement
अचम्म,amazing
अचम्म,astonish
अचम्म,astute
अचम्म,startle
अचम्म,stun
अचम्म,surprise
अचम्म,surprising
अचम्म,wonder
अचम्मलाग्दो,astonishing
अचम्मलाग्दो,picky
अचम्मलाग्दो,wondrous
अचम्मित,surprised
अचल,immobile
अचानक,abrupt
अचार,pickle
अचार,pickled
अचिह्नित,unmarked
अचूक,infallible
अचेतन,subliminal
अछुत,untouched
अजगर,python
अजन्मे,unborn
अजमोद,parsley
अजर,ajar
अजवाइन,celery
अजीब,whack
अजेय,invincible
अज्ञात,anonymous
अज्ञात,nameless
अज्ञात,undignified
अज्ञात,unidentified
अज्ञात,unknown
अज्ञात,unnamed
अज्ञानता,ignorance
अज्ञानी,ignorant
अटल,adamant
अटारी,attic
अटिस्टिक,autistic
अटुट,unbreakable
अटोग्राफ,autograph
अटोमोबाईल,automobile
अठार,eighteen
अड़चन,bottleneck
अडिग,hitch
अडिट,audit
अडिटर,auditor
अडियो,audio
अडिसन,audition
अणु,molecule
अण्डकोष,scrotum
अण्डा,egg
अतार्किक,illogical
अति उत्तम,awesome
अति उत्तम,exquisite
अतिथि सत्कार गर्ने,hospitable
अतिप्रवाह,overflow
अतिमानव,superhuman
अतिरिक्त,extra
अतिरिक्त,spare
अतिरिक्त पाठ,extracurricular
अतिशयोक्ति,exaggeration
अतिसंवेदनशील,susceptible
अतुलनीय,incomparable
अतुलनीय,insatiable
अतुलनीय,unremarkable
अत्तर,perfume
अत्तर,perfumed
अत्यधिक,excessive
अत्यधिक ईर्ष्यालु,overzealous
अत्यधिक तातो,overheated
अत्यधिक मूल्य,overpriced
अत्यन्त,utmost
अत्याचार,atrocity
अत्याचारी,atrocious
अत्याचारी,oppressor
अत्याचारी,overbearing
अत्याचारी,tyranny
अत्यावश्यक,imperative
अथक,effortless
अथक,relentless
अथक,tireless
अथक,unturned
अथाह,bottomless
अथाह,tremendous
अदालत,court
अदालत,courthouse
अदालत,courtroom
अदुवा,ginger
अदृश्य,invisibility
अदृश्य,invisible
अद्भुत,marvelous
अद्भुत,wonderful
अद्यावधिक गर्नुहोस्,update
अद्वितीय,unique
अधर्म,iniquity
अधर्म,lawlessness
अधिक,excess
अधिक,mores
अधिक,overdo
अधिक मात्रा,overdose
अधिकतम,maxim
अधिकतम,maximum
अधिकतम बनाउनुहोस्,maximize
अधिकार,authority
अधिकार,possess
अधिकार,possessive
अधिकार दिनुहोस्,authorize
अधिकारी,officer
अधिग्रहण,acquire
अधिग्रहण,acquisition
अधिराज्य,overlord
अधिवक्ता,advocate
अधिशेष,surplus
अधीक्षक,superintendent
अधीनता,submissive
अधीनता,subservient
अधीनस्थ,subordinate
अधीरता,impatience
अधूरा,unfinished
अधैर्य,impatient
अधोवस्त्र,lingerie
अध्यक्ष,chairman
अध्ययन,study
अध्या,chap
अध्यागमन,immigration
अध्यादेश,ordinance
अध्यापन,teacup
अध्याय,chapter
अध्यारो कोठा,darkroom
अनकटेल,untold
अनगिन्ती,countless
अनजान,unaware
अनजाने,unintentional
अनजिप,unzip
अनधिकृत,unauthorized
अनन्त,eternal
अनन्त,everlasting
अनन्त,infinite
अनन्तता,infinity
अनन्तसम्म,eternity
अनन्य,exclusive
अनपेक्षित,unexplored
अनप्याक गर्नुहोस्,unpack
अनप्याप गर्नुहोस्,unwrap
अनप्लग,unplugged
अनप्लग गर्नुहोस्,unplug
अनफिलि,unfeeling
अनफ्रिज गर्नुहोस्,unfreeze
अनबटन,unbutton
अनलक गर्नुहोस्,unlock
अनलोड गर्नुहोस्,unload
अनस्क्रुभ,unscrew
अनहान्ड,unhand
अनाचार,incest
अनाज्ञाकारिता,disobedience
अनाज्ञाकारिता,disobey
अनाथ,orphaned
अनाथालय,orphanage
अनादर,dishonor
अनादर,disrespect
अनादर,trespass
अनादरपूर्ण,disrespectful
अनानास,pineapple
अनावरण,unveil
अनावश्यक,needless
अनावश्यक,redundancy
अनावश्यक,superfluous
अनावश्यक,uncalled
अनावश्यक,uncharted
अनावश्यक,undue
अनावश्यक,unnecessary
अनावश्यक,unsavory
अनावश्यक,unsolicited
अनावश्यक,unwanted
अनावश्यक,unwed
अनावश्यक,unwelcome
अनिकाल,famine
अनिच्छुक,reluctance
अनिच्छुक,reluctant
अनिच्छुक,unwilling
अनिद्रा,insomnia
अनियन्त्रित,uncontrollable
अनियन्त्रित,unruly
अनियमित,erratic
अनियमित,irregular
अनियमित,random
अनियमितता,irregularity
अनिर्णय,indecision
अनिवार्य,compulsory
अनिवार्य,mandatory
अनिवार्य,mandible
अनिवार्य,obligatory
अनिश्चित,indefinite
अनिश्चित,precarious
अनिश्चित,uncertain
अनिश्चित,unsure
अनिश्चितता,uncertainty
अनुकरण गर्नुहोस्,emulate
अनुकरणीय,exemplary
अनुकूल,adapt
अनुकूल,conducive
अनुकूल,favorable
अनुकूलता,compatibility
अनुकूलन,adaptation
अनुकूलित,customized
अनुक्रम,sequence
अनुचित,improper
अनुचित,impropriety
अनुचित,unfair
अनुचित,unreasonable
अनुच्छेद,paragraph
अनुत्तरदायी,unresponsive
अनुत्तरित,unanswered
अनुनाद,resonance
अनुपम,unparalleled
अनुपयुक्त,inappropriate
अनुपयुक्त,unsuitable
अनुपलब्ध,unavailable
अनुपस्थित,absent
अनुपस्थिति,absence
अनुपात,proportion
अनुपात,ratio
अनुपालन,compliance
अनुप्रयोग,application
अनुबन्ध,contract
अनुभव,experience
अनुभवजन्य,empirical
अनुभवहीन,inexperienced
अनुभवी,seasoned
अनुभवी,veteran
अनुभूति,sensation
अनुमति,permission
अनुमति,permit
अनुमति छ,permissible
अनुमति दिनुहोस्,allow
अनुमान,conjecture
अनुमान,estimate
अनुमान,estimation
अनुमान,guess
अनुमान,guesswork
अनुमान,guise
अनुमान,presumption
अनुमान,speculation
अनुमान गर्नुहोस्,presume
अनुमान लगाउनुहोस्,speculate
अनुमानकर्ता,guesser
अनुमानित,approximate
अनुयायी,follower
अनुरक्षण,escort
अनुरूप,conform
अनुरूप,corresponding
अनुरोध,request
अनुरोध,requisition
अनुवाद,translate
अनुवाद,translation
अनुवादक,translator
अनुशासन,discipline
अनुशासनिक,disciplinary
अनुशासित,disciplined
अनुष्ठान,ritual
अनुसन्धान,investigate
अनुसन्धान,investigation
अनुसन्धान,investigative
अनुसन्धान,research
अनुसूचित,unscheduled
अनुस्मारक,reminder
अनुहार,bleak
अनुहार,facade
अनुहार,face
अनुहार,facial
अनुहार,gust
अनुहार,lug
अनुहार,uncouth
अनुहार भरी,hazy
अनुहार रहित,faceless
अनूक,unhook
अनैच्छिक,involuntary
अनैतिक,immaterial
अनैतिक,immoral
अनैतिक,unethical
अनैतिकता,immorality
अनौंठो,bizarre
अनौंठो,odd
अनौंठो,strange
अनौंठो,weird
अनौंठो,weirdness
अनौंठो,weirdo
अनौठो,odds
अनौपचारिक,informal
अनौपचारिक,unofficial
अन्जीर,fig
अन्डरडग,underdog
अन्डरप्यान्ट्स,underpants
अन्डररेट गरिएको,underrated
अन्डरले,underlay
अन्डरसिया,undersea
अन्डु,undo
अन्तरराज्यीय,interstate
अन्तराल,hiatus
अन्तराल,interval
अन्तरिक्ष यात्री,astronaut
अन्तरिक्ष यान,spacecraft
अन्तरिक्ष यान,spaceship
अन्तरिम,interim
अन्तर्क्रिया,interact
अन्तर्क्रिया,interaction
अन्तर्क्रियात्मक,interactive
अन्तर्गत,undergo
अन्तर्ज्ञान,intuition
अन्तर्दृष्टि,insight
अन्तर्दृष्टि,insightful
अन्तर्निहित,inherent
अन्तर्निहित,underbelly
अन्तर्निहित,underlying
अन्तर्बिन्ती,intercede
अन्तर्राष्ट्रिय,international
अन्तर्वार्ता,interlude
अन्तर्वार्ता,interview
अन्तर्वार्ताकार,interviewer
