English,Other
defaulted,-default
graphed,-graph
graphing,-graph
cloned,-kopya
credited,-kredito
overwritten,-o-overwrite
insightful,-pakinabang
ported,-port
profiling,-profile
programmed,-program
stationed,-puwesto
referenced,-reference
collaboratively,-samang
instructs,-tagubilin
terraced,-terrace
dealt,Aaksyunan
activism,Aktibismo
defendant,Akusado
unset,Alisin sa pagkakatakda
allergies,Allergy
hypertension,Alta-presyon
amphibians,Amphibian
amplifiers,Amplifier
mice,Ang Mice
deselecting,Ang hindi pagpili sa
authoring,Ang paggawa ng
plotting,Ang paglalagay sa
minifying,Ang pagpapaliit
segmenting,Ang pagse-segment
submitting,Ang pagsusumite
specifying,Ang pagtukoy sa
antichrist,Antikristo
classifieds,Anunsyo
afghan,Apgano
argentine,Arhentina
arctic,Artiko
astrologers,Astrologo
autobiographies,Autobiography
hates,Ayaw ng
pigs,Baboy
partially,Bahagya
cows,Baka
barbers,Barbero
veterans,Beterano
veterinarians,Beterinaryo
bibles,Biblia
alternatively,"Bilang kahalili,"
alters,Binabago
modifies,Binabago
modifying,Binabago
changed,Binago
disregarded,Binalewala
flipped,Binaligtad
retracted,Binawi
gives,Binibigyan
allows,Binibigyang-daan
comprises,Binubuo
erases,Binubura
blinded,Binulag
blinds,Blind
boilers,Boiler
pellets,Bolitas
additionally,Bukod pa rito
snowing,Bumabagsak ang snow dito
builds,Bumubuo ang
campgrounds,Campground
campsites,Campsite
cheats,Cheat
chiropractors,Chiropractor
compactors,Compactor
conditioners,Conditioner
contraceptives,Contraceptive
coolers,Cooler
copiers,Copier
creams,Cream
dams,Dam
undergarments,Damit na Panloob
numbered,De-numerong
dispensers,Dispenser
diets,Diyeta
endpoint,Dulo
java,Dyaba
jenny,Dyeni
jersey,Dyesi
evangelic,Ebandyeliko
evangel,Ebanghelyo
gospel,Ebanghelyo
fasteners,Fastener
flurries,Flurry
fords,Ford hanggang
frameworks,Framework
cookware,Gamit sa Pagluluto
guildhall,Gildhol
mimics,Ginagaya
replicated,Ginagaya
gypsy,Gipsi
guitars,Gitara
midpoint,Gitnang
filmmaker,Gumagawa ng Pelikula
gynaecologists,Gynecologist
hamsters,Hamster
batting,Hawla
hyperborean,Hayperboryan
helmets,Helmet
served,Hinahain
lets,Hinahayaan
disliked,Hindi ginusto
unavailable,Hindi magagamit
unclassified,Hindi na-classify
deactivating,Hindi pagsasa-aktibo
disables,Hindi pinapagana
dismissing,Hindi pinapansin
ignores,Hindi pinapansin
malfunctioning,Hindi umaandar nang tama
hospices,Hospisyo
requester,Humihiling
apologises,Humihingi ng paumanhin ang
filterable,I-filter na
rewind,I-rewind
diverted,INILIHIS
iris,IRI
subtracts,Ibinabawas
undeleted,Ibinalik
gave,Ibinigay
summarised,Ibinuod
appends,Ikinakabit
inventors,Imbentor
activating,Ina-activate
unlocks,Ina-unlock
notifies,Inaabisuhan
disconnecting,Inaalis sa pagkakakonekta
offered,Inaalok
welcomes,Inaanyayahan
expects,Inaasahan ng
interrupted,Inabala
notified,Inabisuhan
compares,Inihahambing
bothering,Iniistorbo
puts,Inilalagay
invited,Inimbitahan
recommends,Inirerekomenda ng
avoided,Iniwasan
optimises,Ino-optimize
prohibits,Ipinagbabawal
boasts,Ipinagmamalaki
assumes,Ipinagpapalagay
resumed,Ipinagpatuloy
showcases,Ipinapakita ng
soothes,Ipinapapalagay ang loob
enforces,Ipinapatupad
activates,Isinasaaktibo
considers,Isinasaalang-alang ng
wrote,Isinulat ni
scandals,Iskandalo
hides,Itinatago
jockeys,Jockey
stables,Kabalyerisa
cashiers,Kahero
maximisation,Kahigitan
horrifying,Kahindik
entrants,Kalahok
calypso,Kalipso
yuletide,Kapaskuhan
capitol,Kapitolyo
concurrently,Kasabay
includes,Kasama
moderately,Katamtamang
helpers,Katulong
pans,Kawali
proverbs,Kawikaan
sleeps,Kayang tumanggap
represents,Kinakatawan
rescinded,Kinansela ni
acknowledges,Kinikilala
identifies,Kinikilala ng
phonetically,Kino
configures,Kino-configure
converts,Kino-convert
replicating,Kinokopya
confirms,Kinukumpirma
capturing,Kinukunan
took,Kinunan
cologne,Kolon
comedies,Komedya
holdings,Kompanya
congregationalism,Kongregasyonalismo
constitutions,Konstitusyon
consulates,Konsulado
controversies,Kontrobersiya
grail,Kopita
cordilleras,Kordilyeras
lacks,Kulang
quaker,Kweiker
lanterns,Lantern
lasers,Laser
loaders,Loader
localised,Localized
lotions,Lotion
lubricants,Lubricant
exceeded,Lumagpas
exceeds,Lumagpas ang
soonest,Maaga
