Other,English
-ma-,not
-mi,interrogative particle
-ng,an ending of the 2d person
Garho,reed
Goch,ram
Gumurhäch,ant
Gurun,soot
"Guš, quš",sparrow
Gylïch,sword
"a:lt, alt",lower side
a:nd,oath
aha,respectful address
ahyz,mouth
ahïr,heavy
al-,to take
angla-,to understand
arpa,barley
"arqa, arxa, härt",back
arut-,to clean
aryh,clean
avun-,to enjoy oneself
avut-,to comfort
bah,bond
bajaq,recently
bala,child
baluq,fortress
barmaq,thumb
bat-laq,marsh
baš,head
bi,one
"bidik, büdük",big
bil-,to know
bilä,also
bilä-m,myself
bilä-miz,ourselves
bilä-si,himself
"birgäk, bök",cap
bit,louse
bit-,to be ended
biz,we
bo,this
bod,body
boda-,to paint
bodah,dye
"bohaz, bohuz, bohyz",throat
boš,empty
bul-,to find
bula:G,well
bulha-,stir up
bulyt,cloud
burq-,wind round
buryn,nose
bus-xo,lay an ambush
"buta, chalu",bush
byš-,ripe
bäqa,turtle
bïel,waist
bïel-,separate
bïeri,wolf
büt,thigh
büun,neck
chabuh,section on a woman's tunic
chal-,to knock down
chalang,steppe
chammal-tur-,to look nervous
chap-,to attack
chapiš,1-year-old kid
chaqmaq,fire steel
chaqyr,yellow
"chi, chyz-",to draw
chirt-,to click
chov,news
chyhyr,bad road
chyqyn,parcels in women's working
chäl-tik,unhusked rice
"chämän, chimän",meadow
chänä,jaw
chïn,part of shoulder
dovušhan,hare
däm,roof
eger,hunting dog
"ej, ilgär",East
elch-,to measure
"gift, pelek",gift
gägür-,to belch
"gälin, kälin",daughter-in-law
"hada:q, hadaq",foot
"hadru-, hadur-",to separate
hahach,tree
hajäz,frost
hala-bula,variegated
harq,excrement
"harqan, harqän",to be tired
has-,to hang
hat,horse
hat-,shoot
havul,good
haz,a little
"he.l-, hil-",to die
"heel, hêl",moist
hich-,to extinguish
hidïš,vessel
hiri-,to plait
"hirin, hürün",white
hirk-,to be afraid
hirkäk,man
"hisk, hissï",hot
"hiz-, hüs-gün-, qyr-, üzgün",to break
"ho'ttuz, hottuz",thirty
hoqu-,recite
hu_v-,rub
hur-,to beat
hyräq,distant
"hächuh, hächuq",acid
"häha, höha",in the back
häj,month
häj-,to say
häjir-,spin
häjlä-,to sift
häjläk,sieve
häk-,to sow
häll,forehead
häm,vulva
"hänl, hänly",front
"häpis-, häps-, häs-",blow
här-äk-,to rise
hära,space between
häry,bee
hätäk,edge of cloth
häv,house
häz-,to go astray
häšü-,to dig
"hëžäš-, hikkä",anger
hïn,lair
hït,hole
hüt,fire
ich,interior of something
ich-,to drink
ichgär,intestines
irdäk,duck
it,dog
išüt-,to hear
ja:q-,to burn
"ja:šyl, kïek",green
jah-,to rain
jahy,war
jalha-,to lick
jalhuz,lonely
japuš-,stick to
"jaqa, qyrah",edge
jara-,to be beneficial
jarmalaq,seesaw for children
jastuq,pillow
jat-,to sleep
jaz-,to write
"jejin, jinggil",light
jel,wind
"jengg-, ut-",to win
jer,land
jilu-,pluck
jim-,to close eyes
jip,thread
jirek,courage
jirek kien-,to suffer
jitti,sharp
jië-,to eat
