Other,English
"jedan, neki",a
aprioran,a priori
anno domini,a.d.
"natrag, nazad",aback
"napustiti, odreći se, okanuti se, ostaviti, raskalašnost, razuzdanost",abandon
"napušten, ostavljen, ozloglašen, raskalašan, raspušten",abandoned
"napuštanje, napuštenost, neusiljenost, odustajanje od",abandonment
"poniziti, uniziti",abase
zbuniti,abash
"jenjavati, opadati (voda), otupiti oštricu, smanjiti, sniziti, ukinuti, utišati",abate
"sniženje, ublaženje, ukidanje, umanjenje",abatement
klanica,abattoir
opatstvo,abbacy
"manastir, opatija",abbey
opat,abbot
skratiti,abbreviate
"abrevijatura, skraćenje",abbreviation
"abeceda, azbuka, osnova, temelji",abc
bukvar,abc-book
"abdicirati, dati ostavku, odreći se",abdicate
abdikacija,abdication
"trbušna duplja, zadak u kukaca",abdomen
trbušni,abdominal
"odvoditi, oteti, otimati silom",abduct
otmica,abduction
otimač,abductor
popreko (naut.),abeam
"početnik, rudimentarni",abecedarian
"nenormalnost, odstupanje",aberrance
"skretanje, zastranjivanje",aberration
"nagovoriti, podstaći",abet
"nagovaranje, podsticanje",abetment
"podstrekač, saučesnik",abettor
"privatno ukinuće, privremena neaktivnost",abeyance
"gaditi se, mrzeti",abhor
gađenje,abhorrence
"boraviti, čekati, ostati veran, prebivati, pridržavati se, trpeti, živeti",abide
"darovitost, moć, platežna sposbnost, pravna sposobnost",ability
"kukavan, očajan, ponizan, ponižen, prezren",abject
"odreći se, odustati",abjure
gram. ablativ,ablative
"u plamenu, u vatri, uzbuđen",ablaze
"obdaren, sposoban, vešt",able
snažan,able-bodied
"ispiranje, pranje ritualno",ablution
"spretno, vešto",ably
"nenormalan, nepravilan, patološki",abnormal
"celom dužinom, na brodu, na palubi, na palubu, uzduž",aboard
ukrcan,aboardal
"prebivalište, stan",abode
ukinuti,abolish
"obustava, poništenje, ukidanje",abolition
atomska bomba,a-bomb
"gnusan, odbijajući",abominable
odvratnost,abomination
"iskonski, prastari, prvobitni, prvobitni, starosedelac, urođenički",aboriginal
"abortirati, pobaciti",abort
