Other,English
(meidän,our
(sinä,yourself
-sta,from
-sta,from
Alas,down
Espanjan kuningaskunta,Spain
Espanjan kuningaskunta,Kingdom of Spain
Espanjan kuningaskunta,Espana
Gb,United Kingdom
Gb,UK
Gb,U.K.
Gb,Britain
Gb,United Kingdom of Great Britain and Northern Ireland
Gb,Great Britain
Heinäkuu,July
Helmikuu,February
Helmikuu,Feb
Huhtikuu,April
Huhtikuu,Apr
Intian tasavalta,India
Intian tasavalta,Republic of India
Intian tasavalta,Bharat
Italia,Italy
Italia,Italian Republic
Italia,Italia
Japani,Japan
Japani,Nippon
Japani,Nihon
Joulukuu,December
Joulukuu,Dec
Keltainen,yellow
Keltainen,yellowish
Keltainen,xanthous
Keskiviikko,Wednesday
Keskiviikko,Midweek
Keskiviikko,Wed
Kesäkuu,June
Kiina,China
Kiina,People's Republic of China
Kiina,mainland China
Kiina,Communist China
Kiina,Red China
Kiina,PRC
Kiina,Cathay
Lauantai,Saturday
Lauantai,Sabbatum
Lauantai,Sat
Lokakuu,October
Lokakuu,Oct
Maa,Earth
Maa,earth
Maa,world
Maa,globe
Maanantai,Monday
Maanantai,Mon
Marraskuu,November
Marraskuu,Nov
Perjantai,Friday
Perjantai,Fri
Ranskan tasavalta,France
Ranskan tasavalta,French Republic
Saksan liittotasavalta,Germany
Saksan liittotasavalta,Federal Republic of Germany
Saksan liittotasavalta,Deutschland
Saksan liittotasavalta,FRG
Sunnuntai,Sunday
Sunnuntai,Lord's Day
Sunnuntai,Dominicus
Sunnuntai,Sun
Syyskuu,September
Syyskuu,Sep
Syyskuu,Sept
Tammikuu,January
Tammikuu,Jan
Tiistai,Tuesday
Tiistai,Tues
Torstai,Thursday
Torstai,Th
Tšekin tasavalta,Czech Republic
Yhdysvallat,United States
Yhdysvallat,United States of America
Yhdysvallat,America
Yhdysvallat,the States
Yhdysvallat,US
Yhdysvallat,U.S.
Yhdysvallat,USA
Yhdysvallat,U.S.A.
aalto,wave
aalto,moving ridge
aamiainen,breakfast
aamu,morning
aamu,morn
aamu,morning time
aamu,forenoon
aava,open
aava,unfastened
aihe,subject
aihe,topic
aihe,theme
aika,period
aika,time period
aika,period of time
aika,time
aika,fourth dimension
aika,while
aika,piece
aika,spell
aika,patch
aikakauslehti,magazine
aikakauslehti,mag
aikoa,mean
aikoa,intend
aikoa,think
aina,always
aina,ever
aina,e'er
aine,matter
aito,sincere
aivot,brain
aivot,encephalon
ajaa,drive
ajan,during
ajankohta,moment
ajankohta,mo
ajankohta,minute
ajankohta,second
ajankohta,bit
ajatus,idea
ajatus,thought
alas,down
alas,downwards
alas,downward
alas,downwardly
alku,beginning
alku,commencement
alku,first
alku,outset
alku,get-go
alku,start
alku,kickoff
alku,starting time
alku,showtime
alku,offset
alkuaine,chemical element
alkuaine,element
alkuaine,component
alkuaine,constituent
alkuaine,element
alkuaine,factor
alkuaine,ingredient
alkuperäinen,original
alla,under
alla,nether
alue,region
alue,part
ammatillinen,professional
ammatti,occupation
ammatti,business
ammatti,job
ammatti,line of work
ammatti,line
ammattilainen,professional
ammattilainen,professional person
ampua,fire
ampua,open fire
ampuma-ase,gun
ananas,pineapple
ananas,ananas
antaa,give
antaa,let
antaa anteeksi,forgive
anteeksi,sorry
anteeksi,sorry
apina,monkey
appelsiini,orange
aprikoosi,apricot
apu,help
apu,aid
apu,assist
apu,assistance
armeija,army
armeija,regular army
armeija,ground forces
arvioida,estimate
arvioida,gauge
arvioida,approximate
arvioida,guess
arvioida,judge
arvo,value
arvosana,grade
arvosana,mark
arvosana,score
arvostaa,rate
arvostaa,rank
arvostaa,range
arvostaa,order
arvostaa,grade
arvostaa,place
asema,station
asenne,attitude
asenne,mental attitude
asia,business
asia,concern
asia,business concern
asia,business organization
asia,business organisation
asia,issue
asia,matter
asia,affair
asia,thing
asiakas,customer
asiakas,client
asiantuntija,expert
askel,step
askel,footstep
askel,pace
askel,stride
aste,degree
asti,until
astua sisään,enter
astua sisään,come in
astua sisään,get into
astua sisään,get in
astua sisään,go into
astua sisään,go in
astua sisään,move into
ateria,meal
ateria,repast
auktoriteetti,authority
auktoriteetti,authorization
auktoriteetti,authorisation
auktoriteetti,potency
auktoriteetti,dominance
auktoriteetti,say-so
aurinko,sun
aurinko,Sun
auto,car
auto,auto
auto,automobile
auto,machine
auto,motorcar
automaattinen,automatic
autotalli,garage
avain,key
avaruus,space
avaruus,infinite
avata,open
avata,open up
avioliitto,marriage
avioliitto,matrimony
avioliitto,union
avioliitto,spousal relationship
avioliitto,wedlock
aviomies,husband
aviomies,hubby
aviomies,married man
avustaa,help
avustaa,assist
avustaa,aid
avustus,support
banaani,banana
baseball,baseball
baseball,baseball game
biologia,biology
biologia,biological science
bussi,bus
bussi,autobus
bussi,coach
bussi,charabanc
bussi,double-decker
bussi,jitney
bussi,motorbus
bussi,motorcoach
bussi,omnibus
bussi,passenger vehicle
detalji,detail
detalji,particular
detalji,item
divisioona,part
divisioona,section
divisioona,division
edellinen,previous
edellinen,old
edespäin,forward
edespäin,forwards
edespäin,frontward
edespäin,frontwards
edespäin,forrad
edespäin,forrard
edustaa,represent
edustaa,stand for
edustaa,correspond
edustaja,representative
ehdottaa,suggest
ehdottaa,propose
ehdottaa,advise
ehkä,possibly
ehkä,perchance
ehkä,perhaps
ehkä,maybe
