Other,English
"...hos, Khaanuhos, Kripaya",please
"Aaraamai hunu huncha?, Malaai sancai cha",how are you (2)
"Ahaa, ahan, Chaina",no
Antim prasna ke ho?,What is the last question?
"Ashvin, Asoj, bhadau, bhadra",fifth month of the Nepali year
Auta,A
Basnu,To Sit
Basnu,to settle
Chithhi ma ke lekheko chha?,What is written in the letter?
Dauda,To run
Dhanyabaad,Thank you
Everest algo cha,Everest is high
Ghara,House
Hajur,Excuse me
Hidnu,To Walk
Hijo ko yatra kasto bhayo?,How was the journey yesterday?
Ho,Is
Ho,Yes
Ho; bhaieehalcha ne,Yes; of course
Jana lai kati duri chha?,How much distance to go?
Jeetana,To Win
Kalama,Pen
Kanah,Rice
Kati Ho?,How Much Is That?
Ke,What
Ke,what?
Ke timi ma sanga auchhau?,Will you come with me?
Ke timi malai maya garchau?,Do you love me?
Khannu,To Eat
Khannu,to dig
Kolna,To Open
Ma,I
Ma,among
"Ma jau, mon jaun",I go
Ma kaha jau?,Where should I go?
Ma kaslai samparka garu?,Whom should I contact?
Ma ke gharna sakchhu ta?,What can I do?
Ma sanchai chhu,I am fine
Ma timi sanga auchhu,I shall come with you
Maile bujhdain,I don't understand
Malai bistaarai bhoknuhos,Carry me; slowly
Mana,Mind
Mero nam...ho,my name is...
Mon lai pul daina dal bhat,I don't like Dal Bat
Naam,Name
"Namaskaar, Namasté",hello
Namasté,Goodbye
Namasté,Hello
Nepaalmaa kati barsa basne?,How many years will you stay?
Pani,Water
Pani,rain
"Pani, samatal, svayang",even
Pivnu,To drink
Prasna haru kata gaye?,What were the questions?
Prasna haru ke chhan ta?,What are the questions?
Raako acaar,tomato chutney
Shista,gentle
"Shubha prabhat, Shuva bihan",good morning
Swagatam!,welcome
"Taapainko naam ke ho?, Timro naam ke ho?",What is your name?
"Tapaai laai kasto chha?, Timilai kasto chhaa?",How are you?
"Tapaain(with respect), Timi(without respect)",You
"Tapaainko, Timro(without respect)",Your
Tapaainlaai kasto cha?,how are you? (1)
Tapai English bolnuhunchhe?,Do you speak English? (1)
Timi kaha bata ayako?,Where did you come from?
Timi kaha sutchhau?,Where did you sleep?
Timi kasari ayau?,How did you come?
Timi kina ayako?,Why did you come?
Timi kina suteko?,Why did you sleep?
Timi kun batoo auchhau?,Which way did you come?
Timile exam diyo sakchhau?,Can you write the exam?
Timile gadi kina chalayako?,Why do you drive the car?
Timile kasto lekhyo?,How did you write?
Timile kati ota linchhau?,How many did you take?
Timile khana khayo?,Did you have your food?
Timileyake ghareyaou?,What did you do?
Timro man parne rang kun ho?,Which is your favourite colour
Tini haru mosque gayen,They went to the mosque
Tiniharu tyaha kina baseko?,Why did they sit there?
Tyo,That
U janchha,He goes
"U(without respect), Uha (with respect), Uni (without respect)",He
Uha aoucha,He will come
Uha jancha,He will go
Uni hijo bus chadhera aayin,She came by bus yesterday
Uni raat bhari sutyo,He slept the whole night
Unle paisa kina tireko ?,Why did she pay the money?
Usle khayeko chha,He has eaten
Usle pariksha ramro lekhyo,He wrote well in the exame
Usle syau  khayo,He ate an apple
Usle syau khai raheki chhin,He is eating an apple
Usle syau khanchha,He eats an apple
Usle timilai kati tiryo?,How much did he pay you?
Uttar ke huncha?,What will be the answer?
Yo,This
Yo auta kitab ho?,Is it a book?
Yo chij kahaan baneko ho?,Where was this cheese made?
Yo ke ho?,What is this?
Yo kitab ho,It is a book
aDDaako mukkhe nyaayaadhis,chief justice of the court
"aDesa laagnu, aRes laagnu",to lean
aRaai barsako umer,the age of two and a half
aRaai sae rupiyãã,two hundred fifty
"aRaai, aRhaai",two and a half
aRkanu,get stuck
"aa, an, cha, Hajur, huncha, ju",yes
"aajur, aja",today
aba,from now on
abaddha,bound
abela,lateness
aber bhayo,it is late
"aber, ber, pachaute",late
abhas,glimpse
abhav,non-existence
abhaya,of fear
abhibhavak,guardian
abhilekh,inscription
abhinaya,mimicry
abhiprerit,motivated
abhipret,planned
abhiram,extremely beautiful
abhiruci,inclination
"abhivriddhi, vikas",development
abhiyan,expedition
abhiyog,accusation
abhiyukta,accused
abhrak,mica
"abhyas, tap",practice
abrak,talco
"acaanak, acanak, akasmat, aparjhat, ekkasi",suddenly
"acaano, acano, acanu",cutting board for meat
acaar,pickles
acamma,surprise
"acamma laagnu, acamma lagnu, acamma parnu",to be surprised
acamma paarnu,to surprise
"acammako, ashcaryalagdo",surprising
acar,behaviour
acar,hot and sour pickle
acaran,conduct
"accer, akshar",letter of the alphabet
accher,alphabet
"accher, akchyar",letter(s) of the alphabet
acel,these days
acel dherai garmi cha,these days it's very hot
"achut, dalit",untouchable
achutoddhar,reformation
ad,prop
adaalat,court
"adaalata, nyaalaalaya",meeting place
adalat,law court
adambar,conceit
adan-pradan,giving and taking of things
adarniya sadasya.,honorary member
"adarniya, mani",respectable
"adarsh, labh",value
adarvaci,polite
adaunu,to support
adda,court of law
adesh,order
adha,half
adhai baje,half past two
adhaini,the senior woman
adham,mean
"adhar, jaga",foundation
"adharat, madhyarat",midnight
adharbhut,basic
"adharit, adharit cha",based upon
adharma,sinfulness
adhi,almost a half
"adhikar, dahine, dayan",right
"adhikari, aphisar",officer
adhikrit,authorised
adhiraj,supreme ruler
"adhirajkumar, rajkumar, rajkumari",prince
adhirajya,sovereignty
adhiveshan,session
"adhogati, patan",fall
adhunik,modern
"adhyaksha, neta",chief
"adhyay, kand",chapter
"adhyayan, padhai",study
"adi, prarambha, shuru, sutrapat",beginning
adijati,tribe
adikal,primeval time
adikaran,first cause
adikavi,first poet
adikavya,first epic
"adinu, adnu",to stop
"adityavar, aitavar, ravivar",Sunday
adivasi,aborigine
adkalnu,to guess
adkanu,to get stuck
adkaunu,to cause to stick
"aduva, atuva",ginger
advittiya,unparalleled
"agaaDi baDhaaunu, agadi badhaunu",to lead forward
"agaaDi baDhnu, agadi badhnu, aghi sarnu, agi sarnu",to advance
agaaRi,toward the front
agadha,unfathomable
"agadi, aghadi, aghiltira, agiltira, pesh",in front of
agal-bagal,from left to right
agami,coming
"agati, avanati",decline
"age, aghi, pesh, samaksha",before
agena,hearth
ageno,fireplace
aghat,assault
aghaun,next year
aghaunu,to be satisfied with eating
"aghi laagnu, aghi lagnu, agi laagnu",to go first
"aghi, aghi, aghi nai, agi, agi",already
aghi-aghi,a long time ago
"aghi-pachi, agi-pachi",some other time
"aghillo, agillo, pahilo, pratham",first
aghiltira,facing
agi aaeko keTo,the boy who came before
agi laagnos; ma pachi laagchu,please lead; I'll follow
"agi-pachi garepani huncha, yo kaam a'ile nagara",don't do this work now
agillo haptaa,last week
aglo,bolt
