Other,English
'ie,he
'ie,him
'm,he
'm,him
'm,to him
'r,her
'r,she
'r,there
'r,to her
's avonds,in the evening
's morgens,in the morning
's ochtends,in the morning
't,it
't,the
... evenmin,neither ...
... à,of ... to
a.u.b.,please
aai,sloth
aai,stroke
aai,three‐toed sloth
aaien,stroke
aak,maple
aak,sycamore
aal,liquid manure
aal,muck‐water
aal,stale
aalbes,red currant
aalglad,slippery as an eel
aalmoezenier,padre
aalmoezeniershuis,workhouse
aalt,liquid manure
aalt,muck‐water
aalt,stale
aaltje,nematode
aalwaardig,morose
aalwaardig,peevish
aalwaardig,simple
aalwaardig,straightforward
aalwaardig,sullen
aalwarig,morose
aalwarig,peevish
aalwarig,simple
aalwarig,straightforward
aalwarig,sullen
aambei,haemorrhoid
aambei,hemorrhoid
aambei,pile
aambeien,haemorhoids
aambeienpoeder,pile powder
aambeienzalf,pile ointment
aamborstig,wheezy
aamborstigheid,shortness of breath
aamborstigheid,wheeziness
aan,in
aan,inside
aan,into
aan,near
aan,near to
aan,nearby
aan,next to
aan,on
aan,over
aan,per
aan,through
aan,to
aan,toward
aan,towards
aan,upon
aan,with
aan,within
aan 'm,him
aan 'm,to him
aan 'r,her
aan 'r,to her
aan alle kanten,on every side
aan boord,on board
aan d'r,her
aan d'r,to her
aan de,the
aan de,to the
aan de andere kant,on the other hand
aan de grond lopen,strand
aan de grond raken,sink
aan de hand zĳn,happen
aan de hand zĳn,occur
aan de overkant,opposite
aan de overkant van,on the other side of
aan de overkant van,opposite
aan de praat krĳgen,put on
aan de praat krĳgen,start
aan de praat krĳgen,switch on
aan de praat krĳgen,turn on
aan de rechterkant,on the right
aan de rechterzĳde,on the right
aan de schouder brengen,level
aan de slag,let's start
aan de wandel zĳn,stroll
aan elkaar vastmaken,join
aan flarden gescheurd,tattered
aan haar,her
aan haar,to her
aan hem,him
aan hem,to him
aan het,the
aan het,to the
aan het einde,in the rear
aan hun,them
aan hun,to them
aan je,thee
aan je,to thee
aan je,to you
aan je,you
aan jou,thee
aan jou,to thee
aan jou,to you
aan jou,you
aan jullie,to you
aan jullie,you
aan komen lopen,tackle
aan land gaan,land
aan me,me
aan me,to me
aan mĳ,me
aan mĳ,to me
aan ons,to us
aan ons,us
aan u,to you
aan u,you
aan wal komen,land
aan wie,whom
aan ze,them
aan ze,to them
aan zĳn,shine
aan één stuk door,on end
aanaarden,hill
aanaarden,hill up
aanbeeldbeentje,incus
aanbeeldbeitel,hardy
aanbeeldsbeentje,incus
aanbeeldvogel,small woodpecker
aanbelangen,relate
aanbellen,ring
aanbellen,ring the bell
aanbesteden,invite tenders for
aanbesteden,put out to tender
aanbesteding,public tender
aanbesteding,tender
aanbetaling,initial deposit
aanbetaling,instalment
aanbevelen,recommend
aanbevelenswaard,recommendable
aanbevelenswaardig,recommendable
aanbeveling,recommendation
aanbevelingsbrief,letter of introduction
aanbevelingsbrief,letter of recommendation
aanbevolen,recommended
aanbidden,worship
aanbidder,worshipper
aanbidding,worship
aanbidster,worshipper
aanbieden,introduce
aanbieden,make an offer of
aanbieden,offer
aanbieden,perform
aanbieden,present
aanbieden,present with
aanbieden,put on the stage
aanbieden,tender
aanbieding,offer
aanbieding,presentation
aanbieding,tender
aanbinden,moor
aanbinden,start
aanbinden,tie
aanbinden,tie on
aanblik,look
aanblik,sight
aanblik,view
aanblĳven,remain in office
aanblĳven,stay on
aanbod,offer
aanbod,tender
aanboren,sink
aanboren,strike
aanboren,tap
aanbranden,stick to the pan
aanbreken,start
aanbrengen,mount
aanbrengen,place
aanbrengen,put up
aanbrengen,recruit
aanbrengen,report
aandacht schenken aan,pay attention to
aandacht schenken aan,take account of
aandacht schenken aan,take into account
aandeel,share
aandeel aan toonder,share to bearer
aandeel op naam,registered share
aandeelhouder,shareholder
aandeelhouderschap,shareholdership
aandelenkapitaal,share‐capital
aandenken,keepsake
aandenken,memento
aandenken,memory
aandenken,recollection
aandenken,souvenir
aandikken,heighten
aandikken,thicken
aandoen,move
aandoen,put on
aandoen,switch
aandoen,turn on
aandoenlĳk,moving
aandoenlĳk,seized with emotion
aandoenlĳk,touching
aandraaien,switch
aandraaien,tighten
aandraaien,turn
aandraaien,turn on
aandrang,impetus
aandrang,impulse
aandrang,insistence
aandrang,pressure
aandrang,rush
aandrang,urgency
aandrift,impetus
aandrift,impulse
aandrift,instinct
aandringen,insist
aandrukken,press
aandrukken,press firmly
aandrĳven,impel
aandrĳven,shoo
aanduiden,indicate
aanduiden,point out
aanduiden,show
aanduiden,suggest
aanduiding,index
aanduiding,indication
aandurven,stand up to
aandurven,venture
aanduwen,push
aaneen,on end
aaneen,together
aaneennaaien,sew together
aaneenschakelen,link together
aaneenschakelen,link up
aaneenschakeling,order
aaneenvoegen,join
aaneenvoegen,unite
aanflitsen,strike
aanflitsen,take fire
aanfloepen,strike
aanfloepen,take fire
aanfluiting,mockery
aangaan,make a contract
aangaan,make a noise
aangaan,relate
aangaan,shape
aangaan,strike
aangaan,take fire
aangaande,about
aangaande,on
aangaande,upon
aangeboren,inborn
aangeboren,inbred
aangeboren,innate
aangeboren,native
aangedaan,seized with emotion
aangegrepen,seized with emotion
aangeleerd,learnt
aangelegenheid,interest
aangelegenheid,matter
aangenaam,lovely
aangenaam,nice
aangenaam,pleasant
aangenaam,pleasantly
aangenaamheid,pleasantness
aangenomen,job‐
aangenomen dat,supposing that
aangeschoten,tipsy
aangeschoten,winged
aangeschoten,wounded
aangestoken,unsound
aangestoken,worm‐eaten
aangetekend,registered
aangetekende brief,registered letter
aangetrouwd,related by marriage
aangeven,hand
aangeven,hand over
aangeven,indicate
aangeven,pass
aangeven,point out
aangeven,register
aangeven,show
aangeven,spend
aangeven,state
aangeven,suggest
aangezichtspĳn,tic douloureux
aangezien,since
aangifte,proclamation
aangifte,statement
aangiftebiljet,tax form
aangrenzend,nearby
aangrenzend,neighbouring
aangroei,growth
aangroei,increase
aangroeien,grow
aangroeien,increase
aangrĳpen,move
aangrĳpen,seize
aangrĳpen,stir
aangrĳpend,moving
aangrĳpend,touching
aanhaken,hitch on
aanhaken,hook on
aanhalen,quote
aanhalen,stroke
aanhaling,quotation
aanhaling,stroke
aanhalingsteken,inverted comma
aanhalingsteken,quotation mark
aanhalingsteken,quote
aanhalingstekens,inverted commas
aanhalingstekens,quotation marks
aanhalingstekens,quotes
aanhang,party
aanhang,party members
aanhang,supporters
aanhangen,stick
aanhanger,member
aanhanger,supporter
aanhanger van een rechtse partĳ,right‐hander
aanhangig,pending
aanhangig maken,lay before
aanhangig maken,take up
aanhangsel,side‐issue
aanhangwagen,trailer
aanhankelĳk,selfless
aanharken,rake
aanhebben,wear
aanhef,start
aanhoren,listen
aanhouden,halt
aanhouden,hold
aanhouden,keep ... burning
aanhouden,keep on
aanhouden,last
aanhouden,persevere
aanhouden,persist
aanhouden,postpone
aanhouden,pursue one's point
aanhouden,stop
aanhoudend,lasting
aanhoudend,sustained
aankaarten,serve
aanklacht,indictment
aankloppen,knock at the door
aankloppen,rap at the door
aanknopen,tie on
aanknopingspunt,starting point
aankomen,put on weight
aankomen,touch
aankomend,junior
aankomend,next
aankomend,young
aankondigen,inform
aankondigen,let know
aankondigen,notify
aankondiging,notice
aankondiging,notification
aankoop,purchase
aankopen,purchase
aankruisen,mark with a cross
aankruisen,put a cross against
aankruisen,tick off
aankweken,grow
aanlanden,land
aanleg,outline
aanleg,predisposition
aanleg,sketch
aanleg,talent
aanleg,tendency
aanleg,turn
aanleggen,install
aanleggen,level
aanleggen,take aim
aanleghaven,port of call
aanlegplaats,landing‐stage
aanlegplaats,pier
aanlegplaats,platform
aanlegplaats,quay
aanlegplaats,wharf
aanlegsteiger,landing‐stage
aanlegsteiger,pier
aanleiding,inducement
aanleiding,motive
aanleiding,occasion
aanlengen,weaken
aanleren,learn
aanleunen tegen,lean against
aanliggend,nearby
aanliggend,neighbouring
aanlokkelĳk,tempting
aanloop,run
aanloopkosten,initial cost
aanloopkosten,initial costs
aanloopkosten,start‐up cost
aanloopkosten,start‐up costs
aanloopperiode,initial stage
aanmaak,making
aanmaak,manifacture
aanmaak,manufacture
aanmaken,kindle
aanmaken,light
aanmaken,make
aanmaken,manufacture
aanmaken,perform
aanmaken,prepare
aanmanen,scold
aanmaning,warning
aanmatiging,high‐handedness
aanmatiging,overbearingness
aanmatiging,presumption
aanmatiging,pretence
aanmerkelĳk,sizable
aanmerking,observation
aanmerking,remark
aanmerking,reproof
aanmeten,take one's measure for
aanmunten,mark
aanmunten,stamp
aannaaien,sew
aannaaien,sew on
aannemelĳk,plausible
aannemen,guess
aannemen,hire
aannemen,presume
aannemen,receive
aannemen,suppose
aannemen,surmise
aannemen,take
aannemen,take in
aannemer,master builder
aanpakken,tackle
aanpappen,pick up
aanpappen,strike up an acquaintance
aanpassen,test
aanpassen,try
aanpassen,try on
aanpassen,tune
aanplakbiljet,notice
aanplakbiljet,placard
aanplakbiljet,poster
aanplakbord,notice‐board
aanplakken,paste
aanplakken,paste up
aanplakken,placard
aanplakken,post
aanplakken,post up
aanplant,plantation
aanplanten,plant
aanplanting,plantation
aanplanting,planting
aanporren,rouse
aanporren,stimulate
aanporren,stir up
aanpoten,work hard
aanpraten,palm off on
aanprĳzen,recommend
aanraken,touch
aanraking,touch
aanrakingspunt,point of contact
aanranden,violate
aanreiken,hand
aanreiken,hand over
aanreiken,pass
aanreiken,spend
aanrekenen,hold against
aanroepen,invoke
aanroeren,touch upon
aanrukken,march on
aanrĳden,run
aanrĳden,run into
aanschaf,purchase
aanschaffen,procure
aanschaffen,purchase
aanschieten,wing
aanschieten,wound
aanschikken,sit down to table
aanschroeven,screw home
aanschrĳven,instruct
aanschrĳven,notify
aanschrĳven,summon
aanschrĳving,warrant
aanschrĳving,writ
aanschuiven,push on
aanschuiven,shove on
aanschuiven,sit down to table
aanslaan,raise the alarm
aanslaan,rebound
aanslaan,root
aanslaan,salute
aanslaan,sound the alarm
aanslaan,strike
aanslaan,tax
aanslag,moisture
aanslag,scale
aanslag,touch
aanslibben,silt up
aansluiten,join
aansluiten,plug in
aansluiten,pool
aansluiten,tie
aansluiten,tie up
aansluiting,joining
aansluiting,junction
aansluitpoort,port
aansmeren,palm off on
aanspannen,put
aanspannen,yoke
aansporen,impel
aansporen,instigate
aansporen,rouse
aansporen,scold
aansporen,spur on
aansporen,stimulate
aansporen,stir up
aansporen,urge
aansporing,impetus
aansporing,incitement
aansporing,stimulus
aanspraak,presumption
aanspraak,pretence
aanspraak maken op,presume
aansprakelĳk,responsible
aansprakelĳk stellen,hold responsible
aansprakelĳkheidsverzekering,liability insurance
aanspreken,sue
aanspreker,undertaker's man
aanstaan,please
aanstaand,near
aanstaand,nearby
aanstaand,next
aanstaande week,next week
aanstampen,step on
aanstampen,trample on
aanstampen,tread
aanstaren,peer
aanstaren,stare
aanstekelĳk,infectious
aansteken,illuminate
aansteken,infect
aansteken,kindle
aansteken,light
aansteken,switch
aansteken,turn on
aansteker,lighter
aansteller,poseur
aanstellerĳ,pose
aansterken,grow stronger
aansterken,recuperate
aanstichter,instigator
aanstippen,touch lightly on
aanstippen,touch on
aanstoken,incite
aanstoken,provoke
aanstoken,rouse
aanstoken,stimulate
aanstoken,stir up
aanstoker,instigator
aanstonds,immediately
aanstonds,just
aanstonds,right away
aanstonds,right now
aanstoot,offence
aanstoot,scandal
aanstoot geven,shock
aanstoot nemen,resent
aanstoot nemen,take exception
aanstoot nemen,take offence
aanstoot nemen,take offense
aanstoot nemen aan,resent
aanstoot nemen aan,take exception to
aanstoot nemen aan,take offence at
aanstoten,jog
aanstoten,nudge
aanstrepen,tick off
aanstrĳken,plaster
aanstrĳken,rub
aansturen op,head for
aansturen op,make for
aantal,number
aantekenboekje,notebook
aantekenen,make a note
aantekenen,note
aantekenen,record
aantekenen,register
aantekenen,write down
aantekening,note
aantikken,tap at
aantonen,prove
aantonende wĳs,indicative
aantonende wĳs,indicative mood
aantreden,line up
aantreffen,meet
aantreffen,see
aantrekkelĳk,pleasing
aantrekken,put on
aantrekken,tighten
aantĳging,imputation
aanvaarden,receive
aanvaarden,take
aanvaarden,take in
aanvallend,offensive
aanvalligheid,sweetness
aanvalsoorlog,war of aggression
aanvang,start
aanvangen,start
aanvangssnelheid,initial velocity
aanvangs‐,initial
aanvankelĳk,in the beginning
aanvankelĳk,initial
aanvatten,lay hold of
aanvatten,pick up
aanvatten,take
aanvechtbaar,questionable
aanvechten,question
aanvechting,inclination
aanvechting,temptation
aanvechting,tendency
aanvegen,sweep
aanverwant,related
aanvoegende wĳs,subjunctive
aanvoegende wĳs,subjunctive mood
aanvoelen,sense
aanvoer,supply
aanvoerder,leader
aanvoerder,superior
aanvoeren,head up
aanvoeren,order
aanvoeren,restrain
aanvoeren,supply
aanvraag,order
aanvraag,request
aanvraagformulier,order‐form
aanvragen,order
aanvragen,request
aanvragen,reserve
aanvullend,one more
aanvullend,supplementary
aanvulling,replacement
aanvulling,replenishment
aanvulling,supplement
aanvuren,impel
aanvuren,inspire
aanvuren,instigate
aanvuren,rouse
aanvuren,spur on
aanvuren,stimulate
aanvuren,stir up
aanvuren,urge
aanvuren,urge on
aanwakkeren,impel
aanwakkeren,increase
aanwakkeren,inspire
aanwakkeren,instigate
aanwakkeren,rouse
aanwakkeren,spur on
aanwakkeren,stimulate
aanwakkeren,stir up
aanwakkeren,urge
aanwakkeren,urge on
aanwas,growth
aanwassen,grow
aanwenden,make use of
aanwenden,practice
aanwenden,use
aanwending,use
aanwensel,habit
aanwensel,trick
aanwerven,hire
aanwerven,recruit
aanwezig,present
aanwezig zĳn,witness
aanwezig zĳn bĳ,witness
aanwezige,occupant
aanwezige,present one
aanwezigheid,presence
aanwippen,pop in
aanwĳzen,indicate
aanwĳzen,suggest
aanwĳzing,index
aanwĳzing,indication
aanwĳzing,instruction
aanzetschakelaar,starter
aanzetten,inspire
aanzetten,put on
aanzetten,put onto
aanzetten,sew
aanzetten,sew on
aanzetten,sharpen
aanzetten,start
aanzetten,stimulate
aanzetten,stir up
aanzetten,switch on
aanzetten,swotch on
aanzetten,turn on
aanzetten,urge on
aanzetten tot,put on
aanzetten tot,start
aanzetten tot,swotch on
aanzetten tot,turn on
aanzien,look
aanzien,put up with
aanzien,regard
aanzien,respect
aanzien,sight
aanzien,tolerate
aanzien,view
aanzienlĳk,sizable
aanzitten,sit at table
aanzitten,touch upon
aanzoek,offer
aanzoek,offer of marriage
aanzoek,offer of parriage
aanzoek,proposal
aanzoek,request
aanzwellen,swell
aanzwellen,swell into a roar
aap,monkey
aapachtig,monkey‐like
aard,kind
aard,nature
aard,personality
aard,sort
aardappel,potato
aardappelmeel,potato flour
aardappelpuree,mashed potatoes
aardappelschilmesje,potato peeler
aardappelziekte,potato blight
aardappelziekte,potato disease
aardappelziekte,potato rot
aardbei,strawberry
aardbeiboom,strawberry tree
aardbol,worldglobe
aarde,land
aarde,soil
aarden,stone
aarden,terrestrial
aarden kruik,stone jar
aarden naar,take after
aardewerk,pottery
aardgas,natural gas
aardgordel,zone
aardig,kind
aardig,nice
aardig,pretty
aardig,rather
aardig,relatively
aardig,tidy
aardigheidje,joke
