Other,English
's الرسوم البيانية الكهربائية للقلب,'s electrical diagrams of the heart
'ق ل reimplemented,'s for reimplemented
'ق لل reimplemented,'s for reimplemented
[أسد],[lion]
[إرلدوم],earldom
[إيتل],itll
[الأسد],[lion]
[سكرومس],scrums
[شيرمستر],choirmaster
[مدريغلس],madrigals
[موتتس],motets
[هدنت],hadnt
[هملين],hemline
ajah واحد,ajah one
alaadadh دراسة معاني الأعداد,alaadadh study the meanings of numbers
alakecat المستخدم,alakecat user
albergrav علامة تشير إلى بداية الفقرة,albergrav sign refers to the beginning of the paragraph
albgatilh البلياردو مماثلة ل,albgatilh similar to billiards
albgatilh مماثلة لالبلياردو,albgatilh similar to billiards
aldeplomasen ممثلي السلطة,aldeplomasen authority representatives
aldeplomasen ممثلي السلطة,aldeplomasen representatives of power
aldepotr وحدة قياس قوة العدسة,aldepotr unit measuring the power of the lens
aldovn الابن البكر للملك الفرنسي,aldovn the eldest son of the french king
alentroglsrin النفط عديم اللون,alentroglsrin colorless oil
alerxh الألحان الموسيقية وللا rkstra,alerxh melodies and lalla rkstra
alerxh تتألف وللا rkstra,alerxh composed and lalla rkstra
alglma النساء النسوية شبق المرض,alglma feminist women rut disease
alheidrostateka العلوم توازن السوائل,alheidrostateka science fluid balance
alheidrostateka توازن السوائل العلوم,alheidrostateka fluid balance sciences
alhugunote البروتستانتية الفرنسية,alhugunote french protestantism
alianugen الغازات السامة القابلة للاشتعال,"alianugen toxic gases, flammable"
alkahrtis الكهربائي,alkahrtis electric
alkahrtis الكهربائية,alkahrtis electrical
allamaaodh أمراض القلب,allamaaodh heart disease
allamaaodh مرض القلب,allamaaodh heart disease
alldh لدت مع الآخرين في سنة واحدة,alldh born with others in one year
almistodon حيوانات منقرضة مثل الفيل,almistodon extinct animals such as the elephant
almmermadona لشعب تساليا,almmermadona people thessalia
almonukl نظارات زجاجية أحادية اللون,almonukl glasses glass monochrome
almshidh أداة يشد النسيج,almshidh tool tightens the fabric
althsasah الوجهة idiosyncraticaly النفس,althsasah destination idiosyncraticaly self
alvallos صورة الباركود أو له,alvallos barcode image or his
alvallos صورة الرمز الشريطي أو له,alvallos picture of the barcode or his
amartikih قصيدة خماسية فكاهية,amartikih humorous poem pentagonal
aolci تنسب إلى إله الرياح عولس,aolci attributed to the wind god aeolus
athbat خط الفرضية,athbat line hypothesis
athbat فرضية الخط,athbat hypothesis line
bmlhozat زيادتها,bmlhozat increase
buncdah بطريقة حرة التعبير,buncdah in a free expression
buncdah بطريقة خالية من التعبير,buncdah free manner of expression
buncdah في حرية التعبير,buncdah to freedom of expression
derate من,derate of
derate من اللترات,derate of liters
derate من ل,derate of for
derate من للتر,derate of a liter
derate من ليتر,derate of liters
derate من من ل,derate of the l
dersafa يحصل على درجة في الطب السريري,dersafa gets a degree in clinical medicine
entrainment الفكرة,entrainment idea
floret غاضب,the floret
frenah الخاص غالي التنظيم بلاد الغال,frenah private ghali organization gallic
frenah غالي الخاص منظمة بلاد الغال,frenah ghali private organization gallic
frenah غالي بلاد الغال تنظيم الخاص,frenah ghali gallic organize your
frenah غالي بلاد الغال تنظيم هاتفك,frenah ghali gallic organize your
heavyduty و,and heavyduty
iigar ثقب صغير في واحدة من الحيوانات,iigar a small hole in one of the animals
inkpad المحددة,inkpad specific
inkpad المحددة تحديدا محدد,inkpad defined specific
inkpad المحددة تحديدا محددة,inkpad defined specific
jibana؛,jibana;
kherrdja بائع السلع الصغيرة,kherrdja vendor of small commodities
lichee ل,lichee's
lofted من,lofted from
mottagda الحماس المفرط,mottagda excessive enthusiasm
naaourah ميل النزيف,naaourah bleeding tendency
naaourah نزيف ميل,naaourah bleeding tendency
prudishness في,prudishness in
prudishness في في,prudishness in the
rahighani نوع من الخوخ أو البرقوق,rahighani type of peach or plum
relighting ل,for relighting
sparetime الخاص,your sparetime
sparetime الخاص بك,your sparetime
supportability و,and supportability
tnspon لها صفات الكمال,tnspon her perfect recipes
uncancelled المكالمات,uncancelled calls
آب,august
آب,papa
آبق,fugitive
آبي,proud
آت,at
آت,coming
آت,future
آت قريبا,forthcoming
آت من وراء البحر,ultramarine
آثار,monuments
آثار,remnant
آثار,sequel
آثار أقدام,trace
آثار المؤلف,canon
آثار حادثة ما,aftermath
آثار حضارة أو شعب ما,archaeology
آثار حضارة أو شعب ما,archeology
آثار قديمة,antiquities
آثام,trespasses
آثر,prefer
آثم,offender
آثم,peccant
آثم,transgressor
آثم,trespasser
آثم,unholy
آثم,unrighteous
آثم,vicious
آثم,wrongdoer
آثمة,atrociousness
آثمة,debt
آثمة,delinquency
آثمة,error
آثمة,evil
آثمة,guilt
آثمة,guiltiness
آثمة,iniquity
آثمة,misdeed
آثمة,misdemeanor
آثمة,misdemeanour
آثمة,offence
آثمة,offense
آثمة,sin
آثمة,transgression
آثمة,viciousness
آثمة,wrongdoing
آجار,agar
آجر قاس جدا,clinker
آجرة,brick
آجرة,tile
آحادي الجانب,unilateral
آحادي الصوت,monotone
آحادي القرن حيوان خرافي,unicorn
آحادي النغم,monotone
آحادي بادئة,mono
آخذ بالعين,bewitching
آخذ في النقص,decrease
آخر,another
آخر,decline
آخر,different
آخر,else
آخر,last
آخر,latest
آخر,other
آخر,utmost
آخر حروف الأبجدية اليونانية,last greek alphabet
آخر ليلة,last night
آخر مرة,last time
آخرون,others
آداب,decency
آداب المجتمع,propriety
آداب المعاشرة,etiquette
آداب المهنة,ethics
آدم الانسان الأول,adam
آدمي,human
آذار,march
آذان الجدي,plantain
آذى,annoy
آذى,damage
آذى,disagree
آذى,harm
آذى,hurt
آذى,impair
آذى,injure
آذى,lacerate
آذى,make mischief
آذى,malign
آذى,offend
آذى,prejudice
آذى,prey on
آذى,reflect
آذى,smear
آذى,work mischief
آذى أذيا شديدا,smite
آراء,marbles
آراء,thinner
آراء المرء السياسية,politics
آرثر,arthur
آرغوس عملاق أسطوري,argus
آز,wheezy
آزر,friend
آزر,go for
آسر,captivating
آسر,catch
آسر,catching
آسر,catchy
آسر,enthalpy
آسر,enthralling
آسر,fascinating
آسريه,close up
آسريه,cover up
آسف,regretful
آسف,repentant
آسف,sorry
آسن,putrefactive
آسن,putrid
آسن,stagnancy
آسن,stagnant
آسن,stagnation
آسي,comfort
آسي,commiserate
آسي شاطره اساه,condole
آسيا,asia
آسيوي,asiatic
آشور,ashur
آغوطي,agouti
آفاق,outlook
آفة,lesion
آفة زراعية,blight
آفة مهلكة,cancer
آكال,corrosive
آكل,feed
آكل البراز,coprophagous
آكل اللوطس,lotus
آكل النمل,anteater
آكل لحم البشر,cannibal
آكلي لحم بشر,cannibalistic
آل,mirage
آل إلى,descend
آل إلى,devolve
آلات,rig
آلات القياس,tachographs
آلات النفخ,wind
آلات النفخ,wind instrument
آلات النقر,percussion
آلات وترية,strings
آلاتي,instrumentalist
آلاتي موسيقي,instrumental
آلام الظهر,back pain
آلام المخاض,throe
آلام المعدة,stomach ache
آلة,contrivance
آلة,instrument
آلة,machine
آلة,tool
آلة أوتوماتيكية,automatic
آلة أوتوماتيكية,automatical
آلة الحفر,dredge
آلة السدس,sextant
آلة بارعة,ingenuity
آلة تحزم,binder
آلة تحصد,binder
آلة تسجيل,recorder
آلة تصوير,camera
آلة تصوير,copier
آلة حاسبة,calculator
آلة حاسبة صغيرة,calculator
آلة خشبية للتعذيب,pillory
آلة ذات حركة ذاتية,automaton
آلة رافعة,windlass
آلة صغيرة,counter
آلة صغيرة,gadget
آلة طابعة,printer
آلة طابعة لوحة المفاتيح,typewriter keyboard
آلة قديمة,crock
آلة كاتبة,typewriter
آلة لإستئصال اللوزتين,guillotine
آلة لتسييح المعادن,brake
آلة من آلات النفخ الموسيقية,reed
آلة نثر البذور,sowing-machine
آلة نسخ الرسائل,mimeograph
آلهة البيت عند الرومان,penates
آلو!,hello!
آلي,mechanical
آلي,power-driven
آلي,powered
آلي,self-acting
آلي الحركة,automatic
آلي الحركة,automatical
آليات إصلاح حرفي,mechanisms of repair craftsman
آليات حرفي تصليح السيارات,mechanisms craftsman repair
آلية,machinery
آلية الشيء,mechanization
آمر,commandant
آمر,commander
آمر,commanding
آمر,warned
آمر السجن,warden
آمر جازم,authoritative
آمري,peremptory
آمن,safe
آمن,saffian
آمن مضجعا ل,berth
آمين,amen
آنا,i
آنا,me
آنا,myself
آنا,self
آنسة,damsel
آنسة,girl
آنسة,madam
آنسة,madame
آنسة,maid
آنسة,miss
آنسة,ms.
آنسة,sister
آنسة,young lady
آنف,former
آنفا,above
آني,current
آني,for the time being
آني,hitherto
آنية,glass
آنية المائدة الفضية,silverware
آنية خزفية,chinaware
آنية خزفية,crackle
آنية خزفية,earthenware
آنية زجاجية,glassware
آنية فخارية,crockery
آنية فخارية,pottery
آنية معدنية براقة,brass
آنية من الصين,china
آه,ah
آها,aha
آهل بالسكان,population
آية,prodigy
آية,verse
آية من الكتاب المقدس,text
آيل إلي الزوال,obsolescent
آيل إلي القدم,obsolescence
آيل إلي القدم,obsolescent
آيل الي الزوال,obsolescence
آيل للسقوط,ramshackle
آيل للسقوط,rickety
آيلة,hind
أئنك,oink
أب,dad
أب,father
أب أو أم بالمعمودية,godfather
أب أو أم بالمعمودية,godmother
أب بالعماد,godfather
أباد,annihilate
أباد,destroy
أباد,devour
أباد,eradicate
أباد,exterminate
أباد,extirpate
أباد,mow
أباد,polish off
أبتر,amputated
أبتر,tailless
أبتر لا أولاد له,childless
أبجدي,alphabetic
أبجدي,alphabetical
أبجديا وفقا للترتيب الأبجدي,alphabetically
أبجدية,alphanumeric
أبحث,cast aside
أبحث,discuss
أبحث,examine
أبحث,explore
أبحث,fumble
أبحث,hunt for
أبحث,inquire
أبحث,investigate
أبحث,look
أبحث,look for
أبحث,poke about
أبحث,probe
أبحث,pry
أبحث,pursue
أبحث,quest
أبحث,research
أبحث,retrieve
أبحث,scrounge
أبحث,scrutinize
أبحث,see
أبحث,see into
أبحث,seek
أبحث,sought
أبحث,spy
أبحث,study
أبحث,talk over
أبحث,think through
أبحث,try
أبحث,ventilate
أبحر,cruise
أبحر,ferry
أبحر,navigate
أبحر,point
أبحر,push off
أبحر,ride
أبحر,sail
أبحر,set sail
أبحر بيخت,yacht
أبحر في إتجاه معين,stand
أبحر في مهب الريح,weather
أبحلق,glance at
أبد,life
أبد,perpetuate
أبدا,allay
أبدا,always
أبدا,bit by bit
أبدا,eternally
أبدا,ever
أبدا,in all
أبدا,never
أبدا,no
أبدا,no way
أبدا,not in the least
أبدا,not on your life
أبدع,create
أبدع,originate
أبدى,bare
أبدى,exercise
أبدى,exhibit
أبدى,manifest
أبدى,mark
أبدى إستعداده,offer
أبدى بتباه,sport
أبدى رأيا,have a voice in
أبدى رأيا,pronounce
أبدى رأيا,remark
أبدى للعيان,disclose
أبدى للعيان,display
أبدى للعيان,unbosom
أبدى للعيان,unfurl
أبدى للعيان,visualize
أبدى مشاركة وجدانية,sympathize
أبدى ملاحظة,demonstrate
أبدى ملاحظة,observe
أبدى موافقته,o.k.
أبدى موافقته,ok
أبدى موافقته,okay
أبدى موافقته,okey
أبدي,endless
أبدي,eternal
أبدي,everlasting
أبدي,incessant
أبدي,indestructible
أبدي,perpetual
أبدي,timeless
أبدي,undying
أبدي,unending
أبدية,eternity
أبدية,perpetuity
أبر,pollinate
أبرئ,acquit
أبرئ,clear
أبرئ,exonerate
أبرئ شخصا ما,purge
أبرئه,benefit
أبردين,aberdeen
أبرز,supreme
أبرشي,diocesan
أبرشي,parishional
أبرشي,parochial
أبرشية,archdiocese
أبرشية,charge
أبرشية,congregation
أبرشية,diocese
أبرشية,eparchy
أبرشية,parish
أبرشية,province
أبرشية,see
أبريل,april
أبسيل,abseil
أبطأ,ease up
أبطأ,go slow
أبطأ,slacken
أبطأ,slow down
أبطأ السرعة,decelerate
أبطل,abolish
أبطل,abrogate
أبطل,annihilate
أبطل,annul
أبطل,avoid
أبطل,call off
أبطل,cancel
أبطل,circumvent
أبطل,counteract
أبطل,countermand
أبطل,defeat
أبطل,extinguish
أبطل,frustrate
أبطل,nullify
أبطل,override
أبطل,quash
أبطل,repeal
أبطل,rescind
أبطل,reverse
أبطل,revoke
أبطل,rule out
أبطل,stultify
أبطل,supersede
أبطل,undo
أبطل,upset
أبطل,vacate
أبطل,vitiate
أبطل,void
أبطل إحداهما مفعول الأخر,neutralize
أبطل الضغط,decompress
أبطل المركزية,decentralize
أبطل مفعولية,invalidate
أبعاد,distance
أبعاد,interval
أبعاد متساوية,dimensions equal
أبعاده,dimension
أبعاده,distance
أبعاده,measure
أبعاده,proportion
أبعاده,remoteness
أبعد,alien
أبعد,alienate
أبعد,bounce
أبعد,deport
أبعد,distance
أبعد,drive away
أبعد,drive out
أبعد,estrange
أبعد,exclude
أبعد,far
أبعد,farther
أبعد,hold off
أبعد,oust
أبعد,out of the way
أبعد,outmost
أبعد,preclude
أبعد,relegate
أبعد,send
أبعد,send packing
أبعد,stave off
أبعد,supplant
أبعد,take away
أبعد,throw out
أبعد,transport
أبعد,ulterior
أبعد,ultimate
أبعد,warn off
أبعد عن,excluding
أبعد عن التجنيد,unsolder
أبعد عن الوطن,banish
أبعد مؤقتا,rusticate
أبعد ما يكون,farthest
أبعد من البلاد,proscribe
أبعدته عن الملاعب,layoff
أبعده,out of the way
أبعده عن السباق,nobble
أبغض,detest
أبغض,hate
أبغض,loathe
أبقع,piebald
أبقع ملطخ ببقع,foxed
أبقع ملطخ ببقع سمراء مصفرة,foxy
أبقه طائفا,buoy
أبقى,brief
أبقى,hold
أبقى,leave over
أبكم,deaf-mute
أبكم,deafen
أبكم,dumb
أبكم,mute
أبكم,speechless
أبكم,voiceless
أبلغ,announce
أبلغ,communicate
أبلغ,convey
أبلغ,denounce
أبلغ,notify
أبلغ,report
أبلغ عن,inform
أبلغ عن كذبا,inform against
أبله,asinine
أبله,ass
أبله,brainless
أبله,coot
أبله,cuckoo
أبله,daw
أبله,dense
أبله,dim-witted
أبله,dullard
أبله,fatuous
أبله,feeble-minded
أبله,fool
أبله,gaga
أبله,gawky
أبله,goofy
أبله,half-witted
أبله,idiotic
أبله,imbecile
أبله,junkie
أبله,lemon
أبله,mad
أبله,patsy
أبله,pillock
أبله,screwed
أبله,sheepish
أبله,silly
أبله,sod
أبله,sodden
أبله,softy
أبله,soppy
أبله,stick-in-the-mud
أبله,stupid
أبله,vacant
أبله,vacuous
أبله,wood-headed
أبلى,frazzle
أبلى,molder
أبلى,moulder
أبلى,outwear
أبلى,scuff
أبلى,wear
أبلى,wear down
أبلى أساس كذا,undermine
أبلى الملابس,wear
أبلى بالحك,chafe
أبلى بالحك,fray
أبلى بالضرب,batter
أبلى بلاء حسن,distinguish
أبلى ثوبا,shred
أبلى حذاؤه,scuff
أبن,eulogize
أبن البلد,native
أبناء,people
أبناء الأبرشية,parish
أبناء الأرض,earthlings
أبناء الحي,quarter
أبناء العصور الوسطى,antiquity
أبناء المهنة الواحدة,brotherhood
أبنة الأخ أو الأخت,niece
أبنة ملك أسباني أو برتغالي,infanta
أبنوس,ebony
أبهة,pageantry
أبهة,panoply
أبهة,pomp
أبهة,pride
أبهة,splendor
أبهة,splendour
أبهة,state
أبهة فارغة,pageant
أبهة فارغة,pagehood
أبهى,pompous
أبهى,portentous
أبو أبريص,gecko
أبو الحن,robin
أبو الحناء طائر,redbreast
أبو الشص سمك بحري,angler
أبو الهول,sphinx
أبو خطاف,kite
أبو ذقن,mullet
أبو زريق طائر,jay
أبو سعن طائر من اللقالق,adjutant
أبو شوكة سمك شائك,stickleback
أبو طيط طائر مائي,lapwing
أبو كريفاوي,apocryphal
أبو كعب مرض,mumps
أبو منجل,ibis
أبواب,door
أبواب مغلقة,in camera
أبوة,parenthood
أبوة,paternity
أبولو,apollo
أبوي,fatherly
أبوي,parental
أبوي,pater
أبوي,paternal
أبوي,paternalist
أبوي,spearing
أبويا,paternally
أبوية,paternalism
أبى,refuse
أبى,reject
أبى المسير,jib
أبي,proud
أبيدجان,abidjan
أبيس,apis
أبيس العجل المقدس عند الفراعن,sacred bull apis when lafraan
أبيض,blank
أبيض,candid
أبيض,white
أبيض بدون اراقة دماء,bloodless
أبيض كالثلج,snow-white
أبيقوري,epicure
أبيقوري,epicurean
أتاح الفرصة,permit
أتباع,audience
أتخم,cloy
أتخم,cram
أترع,brim
أترع,choke
أترع,swamp
أتعاب,pains
أتعاب أدبية,royalty
أتقن الصنع,tool
أتقياء,godliness
أتلانتا,atlanta
أتلف,blend
أتلف,harmonize
أتم,accomplish
أتم,achieve
أتم,cap
أتم,compass
أتم,consummate
أتم,fulfil
أتم,fulfill
أتم,negotiate
أتم,perfect
أتم,realize
أتم,round off
أتم مدة خدمة معينة,serve
أتمت جعله أوتوماتيكيا,automate
أتمن,trust
أتمنه على أسراره,confide
أتمنى,entrust
أتهام مضاد,expostulation
أتوبيس,bus
أتوقراطي,autocratic
أتون,kiln
أتى,came
أتى,come
أتى,derive
أتى ب,fetch
أتى على,demolish
أتيلا,attila
أثاب,remunerate
أثاث,furniture
أثار,aggravate
أثار,arouse
أثار,awaken
أثار,bestir oneself
أثار,bias
أثار,burn
أثار,chafe
أثار,elicit
أثار,engage
أثار,evoke
أثار,exacerbate
أثار,exalt
أثار,excite
أثار,fan
أثار,ferment
أثار,flurry
أثار,foment
أثار,fray
أثار,frazzle
