Other,English
(1)achaanak (2) peechhee,aback
(1)jaltaa hua,ablaze
aabhaav,absence
aacharan,conduct(behavior)
aad,barrier
aadar,"respect, adoration"
aadar karnaa,to venerate
aadar karnaa,to respect
aadaraneeya,respectable
aadarsh,ideal
aadarsh vakkya,motto
aadaryukt aascharya,admiration
aadat daalna,to addict
aadat daalnaa,to accustom
aadha shatak,half century
aadhaa,semi
aadhaar,"support, base(of something), basis"
aadhaar bhoot,basic
aadhaarit karnaa,to base
aadheer,eager
aadhyaapan shaastra,pedagogy
aadhyaapan shaastra,pedagogics
aaeenaa,mirror
aag,fire
aage,forward
aagé,ahead
aagé badhnaa,to advance
aage badho,proceed
aaghaat,"impulse, percussion, accent, aggression"
aagman,"arrival, advent"
aagraha karnaa,to insist
aagyaakaari,loyal
aaj,today
aajoo baajoo,sideways
aakaar,shape / size
aakaash,sky
aakaashdeep,beacon
aakarrshit karnaa,to attract
aakarshak,attractive
aakarshan,affinity
aakasmik,"abrupt, accidental"
aakhatee desh,gulf countries
aakhree,ultimate
aakhree,last(adj)
aakraamak,provocative
aakraamak,offensive
aakramak,hostile
aakraman,"attack, aggression"
aakraman karné waala,aggressor
aakriti,figure
aaksmik,sudden
aalekh,graph
aalipt rehnaa,to abstain
Aaloo,potato
aalsee,lubber
Aam,mango
aamla,acid
aamné-saamné,against
aamné saamné honaa,to abut
aanaa,to come
aanand,mirth
aandolan,agitation
aangan,courtyard
aanirrneet,undecided
aanischit,indeterminate
Aankh,Eye
Aankhen,Eyes
aansoo,tear(n)
aantadeeyaan,intestines
aanth,8
Aanthva (n sounds from nose),Eighth
aantrik,internal
Aap,You (pol)
aap kahaan ke hai?,where are you from?
aap kahaan rehate hain?,where do you live?
aap kaisé/kaisee hai?,how are you(m/f)?
aap kidhar jaana chahte hai?,where do you want to go?
aap kya soch rahé hai?,what are you thinking?
aapattee,"calamity, adversity"
aapkaa,your(pol.)
aapke saath,with you(pol)
aaraam,rest
aaraam karnaa,"to rest, to repose"
aarakshan,reservation
aarakshit,reserved
aarambh,beginning
aardhangrogee,paralytic
aaroapee,convict
aarohan,accession
aarpaar,across
aarth,meaning
aarthik,financial
aasaan,easy
aasaar,"signs, symptoms"
aashaawaadee,optimist
aashay,abstract
aashirwaad,benediction
aashray,patronage
aashray lenaa,to resort
aashray sthaan,asylum
aasmaan,sky
aasmaani,aerial
aaspaas mein(D),about(Directions-Quantity)
aasraa,shelter
aatankwaad,terror
aatankwaadi,terrorist
aatein,intestines
aatma hatyaa,suicide
aatmaa,"spirit / soul, soul"
aatmakathaa,autibiography
aatmakathaa,autobiography
aavaran,coat
aavashyak,requisite
aavashyakataa,requirement
aavég,passion
aavésh,passion
aawaara,abandoned
aayoo,lifetime
aayu,age
aazaad,independent
aazaadi,freedom
abhay patra,passport
abhed,invincible
abhee!,now!
abheewadanparr,complimentary
abhilashi,wishful
abhimaan,pride
abhimaan,pride
abhinav,advanced
abhinay,acting
abhinay karnaa,to act(VI)
abhinetaa,actor
abhinetri,actress
abhiprai,moral(n)
abhisaran karnaa,to circulate
abhiyaan,campaign
abhiyaan chalaané waala,campaigner
abhiyog,action(legal)
abhiyogee,accuser
abhiyukta,accused
abhyaas,drill(exercise)
abhyast,"accustomed, acquainted"
abhyast karnaa,to accustom
acchha,good
achaanak,"sudden, abruptly, abrupt"
achaanak,abrupt
achaar,pickle
achal,motionless
achchha,capital
achchha saudaa,bargain
achet,unaware
achhoot,untouchable
achook,"accurate, unerring"
achooktaa,accuracy
adaakaree,acting
adala-badala,barter
adala-badali karnaa,to barter
adbhoot,miraculous
adbhut,weird
adeem,aboriginal
adhaatoo,non-metal
adheekrit,official(adj)
adheen,addict
adheentaa,captivity
adhik,"abundant, additional, more"
adhikaar,occupancy
adhikaar denaa,to accredit
adhikaar pattra,warrant
adhikaar rakhnaa,to occupy
adhikaari,occupant
adhikreet,official
adhiktaa,addition
