Other,English
/ажил хэрэг/явуулах,transaction
/архи,addict
/бичигт/засвар оруулах,interpolate
/гянданд/ хорих,immure
/зам,toll
/нүдний/ солонгон бүрхэвч,iris
/тогтворгүй жинтэй хумхи/,meson
/ургамлыг/ бордох,top dress
/хоолны түмпэн/,tureen
/хэнтий/ уул,touchwood
/хөлийн,instep
/шалгалт,tour
/шатар,move
/шүүхээс/ нөхөн олгох,adjudge
/эмэгтэй хүний/ малгайчин,milliner
/ял/ ногдуулах,inflict
/ярьдаг/ утас,telephone
1 сэдвээс нөгөө рүү шилжих,ramble
1 сэдвээс нөгөөрүү шилжих,ramble
1 хэсэг t-ны дараа давтах,cycle
1 хүний төлөө санал өгөх,plump
1 үзэл а/сонирхолтой байх,fellow feeling
1 үзэл ашиг сонирхолтой байх,fellow feeling
1-р зэргийн нисгэгч,ace
1/4 бушель=909 л,peck
1/4 бушель=909 л),peck
100-с дээш сорьцын алмааз,paragon
2 долоо хоногт нэг удаа,fortnightly
2-р дамжааны оюутан,sophomore
2-р зэргийн,subordinate
"2-р зэргийн, туслах",collateral
3 сард нэг гардаг журнал,quarterly
3-аар зэрэгт дэвшүүлэх,cube
4 дахин өсгөсөн хэмжээ,quadruple
40 литрийн торх,keg
5 см,inch
7 хоногт 1 гарах сэтгүүл,weekly
architect-г харах,architector
ardency-г харах,ardour
arise-г харах,"arisen,arose"
be г харах,been
be-г харах,"are,was,were"
bear-ийг харах,"bore,borne"
bind-ийг харах,bound
blow-ийг харах,blown
bounteous-ийг харах,bountiful
breed-ийг харах,bred
bring-ийг харах,brought
bronco-г харах,broncho
build-ийг харах,built
burn-ийг харах,burnt
buy-ийг харах,bought
can-г харах,could
catch-ийг харах,caught
chide-г харах,"chid,chidden"
choose-г харах,"chose,chosen"
cleave-г харах,cloven
clench-г харах,clinch
cling-г харах,clung
clothe-г харах,clad
colour-г харах,color
come-ийг харах,came
connection-г харах,connexion
creep-г харах,crept
dad-г харах,daddy
dare-г харах,durst
demon-г харах,daemon
dig-г харах,dug
do-г харах,done
draw-г харах,"drawn,drew"
dream-г харах,dreamt
drink-г харах,drank
drive-г харах,"driven,drove"
dwell-г харах,dwelt
eat-г харах,eaten
eerie-г харах,eery
fantasy-г харах,phantasy
fight-г харах,fought
flabby-г харах,flaccid
flee-г харах,fled
flier-г харах,flyer
fling-г харах,flung
fly-г харах,"fled,flew,flown"
forbear-г харах,"forbore,forborne"
forbid-г харах,"forbad forbade,fordidden"
forego-г харах,"forewent,forgo"
