Other,English
tuhnik,aardvark
tsiibethüään,aardwolf
arvelaud,abacus
jahmunud,aback
jahmunud,dismayed
jahmunud,startled
tagasi,aback
tagasi,backward
tagasi,backwards
tagasi,back
tagasi,round
tagasi,ago
tagasi,fro
tagurpidi,aback
tagurpidi,backward
tagurpidi,backwards
tagurpidi,back
tagurpidi,upside down
tagaspidi,aback
tagaspidi,back
tahapoole,backward
tahapoole,backwards
tahapoole,back
tahapoole,rearward
tagasisuunas,backward
tagasisuunas,backwards
mahajäänud,backward
mahajäänud,underdeveloped
mahajäänud,slow
mahajäänud,behind
vähearenenud,backward
vähearenenud,underdeveloped
vähearenenud,undeveloped
vähearenenud,primitive
arengupeetusega,backward
tagurpidine,backward
tagurpidine,retrograde
tagurpidine,reversal
pikaldane,backward
pikaldane,torpid
pikaldane,sluggish
pikaldane,tardy
pikaldane,slow
arenematu,backward
arenematu,abortive
arenematu,undeveloped
eemale,back
eemale,far
eemale,aloof
eemale,away
eemal,back
eemal,beyond
eemal,beyond
eemal,away
eemal,far from
eemal,beside
pahupool,back
vastu,back
vastu,in return
vastu,contrary
vastu,against
vastu,for
vastu,towards
vastu,versus
vastu,contra
vastu,in return for
toetama,back
toetama,subsidize
toetama,support
toetama,endorse
toetama,favor
toetama,indorse
toetama,aid
toetama,contribute
toetama,endow
toetama,affirm
toetama,relieve
toetama,second
toetama,maintain
toetama,sustain
toetama,favour
toetama,prop
toetama,uphold
toetama,push
toetama,advocate
toetama,back up
toetama,further
toetama,vindicate
toetama,underprop
toetama,stick by
toetama,base
toetama,lean
toetama,hold up
toetama,stay
taanduma,back
taanduma,get back
taanduma,retreat
taanduma,fall back
taanduma,recede
taanduma,withdraw
taanduma,retire
aitama,back
aitama,help
aitama,assist
aitama,suffice
aitama,aid
aitama,hand
aitama,be sufficient
taandama,back
taandama,reduce
taandama,remove
siirma,back
vekslikäendust andma,back
indosseerima,back
indosseerima,endorse
indosseerima,indorse
indosseerima,place an endorsement
garanteerima,back
garanteerima,underwrite
garanteerima,assure
garanteerima,ensure
garanteerima,safeguard
garanteerima,guarantee
garanteerima,insure
garanteerima,stand surety for
subsideerima,back
subsideerima,subsidize
subsideerima,bankroll
subsideerima,subventionize
avalistina olema,back
kihla vedama,back
kihla vedama,wager
kihla vedama,ante
kihla vedama,bet
kihla vedama,make a bet
tagama,back
tagama,assure
tagama,support
tagama,secure
tagama,ensure
tagama,safeguard
tagama,guarantee
tagama,certify
tagama,insure
tagama,warrant
tagama,go bail for
tagama,stand surety for
tagama,bail
tagama,vouch
tagama,furnish security
tagama,undertake
tagama,make provision
tagama,provide with
tagama,engage for
tagama,ration
finantseerima,back
finantseerima,provide finance
finantseerima,fund
finantseerima,financier
finantseerima,finance
finantseerima,commit
finantseerima,set a quota
finantseerima,put up capital
taga-,back
taga-,posterior
tasumata,back
tasumata,in default
tasumata,unpaid
tasumata,unsettled
tasumata,outstanding
tasumata,unrewarded
tasumata,delinquent
tasumata,unredeemed
tasumata,unrequited
tasumata,unfeed
tasumata,unliquidated
selja-,back
selja-,spinal
selja-,dorsal
selg,back
selg,rootlet
selg,spine
seljaosa,back
tagaosa,back
tagaosa,hind part
tagaosa,posterior
leen,back
seljatagune,back
seljatagune,rear
kaitsja,back
kaitsja,guardian
kaitsja,defender
kaitsja,counsel for the defense
kaitsja,pleader
kaitsja,protector
kori,back
kaardiselg,back
ümmargune,round
ümmargune,perfect
ümmargune,curved
ümar,round
ümar,plump
ligikaudne,round
ligikaudne,approximate
ligikaudne,rough
ringikujuline,round
täidlane,round
täidlane,plump
täidlane,corpulent
täidlane,full-bodied
poole,round
poole,towards
poole,to
poole,in
ümberulatuv,round
umbkaudne,round
umbkaudne,approximate
umbkaudne,rough
ehtne,round
ehtne,right
ehtne,authentic
ehtne,real
ehtne,genuine
ehtne,true
ehtne,good
ehtne,undoubted
ehtne,sterling
võltsimata,round
võltsimata,unadulterated
märkimisväärne,round
märkimisväärne,considerable
märkimisväärne,substantial
märkimisväärne,notable
märkimisväärne,noteworthy
märkimisväärne,remarkable
märkimisväärne,marked
märkimisväärne,signal
avameelne,round
avameelne,open
avameelne,candid
avameelne,straightforward
avameelne,ingenuous
avameelne,sincere
avameelne,forthcoming
avameelne,unreserved
avameelne,outright
ringi,round
ringi,about
ringi,around
ümberringi,round
ümberringi,about
ümberringi,around
kõikjal,round
kõikjal,anywhere
kõikjal,passim
kõikjal,anyplace
kõikjal,everywhere
ümardatult,round
ümardatult,in round figures
ümbermõõdult,round
üleni,round
üleni,all over
üleni,throughout
üleni,solid
üleni,completely
üleni,around
üleni,from top to bottom
raund,round
seeria,round
seeria,family
seeria,batch
seeria,series
seeria,set
seeria,run
seeria,portion
seeria,type
seeria,tally
padrun,round
padrun,cartridge
tsükkel,round
tsükkel,cycle
tsükkel,suite
laeng,round
laeng,load
laeng,charge
tuur,round
tuur,sturgeon
partii,round
partii,shipment
partii,consignment
partii,batch
partii,series
partii,set
partii,run
partii,parcel
partii,board lot
partii,trading unit
ümarus,round
ümarus,roundness
sõõr,round
sõõr,circle
ümmargune lõik,round
redelipulk,round
redelipulk,rung
redelipulk,spoke
võistlusring,round
kogupauk,round
kogupauk,salvo
kogupauk,volley
ringlaul,round
kaanon,round
määratud hulk,round
ümardama,round
ümardama,approximate
ümardama,round off
ringi minema,round
ümarduma,round
ümber pöörduma,round
ümber pöörduma,face about
sosistama,round
sosistama,whisper
eest,ago
eest,for
eest,in
eest,on behalf of
eest,instead of
äraspidi,upside down
segamini,upside down
segamini,disorderly
pahempidi,upside down
pahempidi,inside out
uppi,upside down
uppi,topsy-turvy
alaarenenud,underdeveloped
alaarenenud,retarded
oimetu,torpid
oimetu,dizzy
oimetu,groggy
oimetu,senseless
tuim,torpid
tuim,dull
tuim,numb
tuim,stolid
tuim,stuffy
tuim,listless
tuim,crass
tuim,insensitive
tuim,frigid
tuim,vapid
tuim,inanimate
tuim,soulless
tuim,impassive
loid,torpid
loid,sluggish
loid,slow
loid,dull
loid,tame
loid,slack
loid,stagnant
loid,listless
loid,inert
loid,idle
loid,inactive
loid,weak
loid,easy
loid,inanimate
loid,supine
loid,languid
loid,tepid
loid,soft
loid,indifferent
loid,half-hearted
torpiidne,torpid
aeglane,sluggish
aeglane,slow
aeglane,deliberate
aeglane,unhurried
pikatoimeline,sluggish
pikatoimeline,slow
inertne,sluggish
inertne,dull
inertne,inert
inertne,inactive
inertne,noble
laisk,sluggish
laisk,indolent
laisk,idle
laisk,lazy
äpardunud,abortive
äpardunud,hopeless
enneaegne,abortive
enneaegne,previous
enneaegne,untimely
enneaegne,premature
kängunud,abortive
kängunud,undersized
pikaline,tardy
pikaline,slow
pikaline,stolid
arenemata,undeveloped
väljaarenemata,undeveloped
