Other,English
guaskë,abalone
braktis,abandon
braktisje,abandonment
abaci,abbey
i barkut,abdominal
rrëmbëj,abduct
rrëmbim,abduction
Qëndroni,abide
bindet,abiding
aftësi,ability
i mjerë,abject
në flakë,ablaze
i aftë,able
jonormal,abnormal
anomali,abnormality
vendbanim,abode
shfuqizoj,abolish
i neveritshëm,abominable
neveri,abomination
Ndërprit,abort
abort,abortion
gjuhë pa kuptim,abracadabra
gërryes,abrasive
krah për krah,abreast
i papritur,abrupt
lungë,abscess
mungesë,absence
që mungon,absent
glikanxo,absinthe
absolut,absolute
falje,absolution
shfajësoj,absolve
thith,absorb
Hiqni dorë,abstain
maturi,abstinence
abstrakt,abstract
absurditet,absurdity
bollëk,abundance
bollshme,abundant
abuzim,abuse
fyes,abusive
për faqe të zezë,abysmal
humnerë,abyss
akademik,academic
akademi,academy
katalizator,accelerant
përshpejtuar,accelerate
përshpejtuar,accelerated
përshpejtim,acceleration
përshpejtues,accelerator
theks,accent
pranoj,accept
i pranueshëm,acceptable
pranim,acceptance
hyrje,access
i arritshëm,accessible
pajisje shtesë,accessory
aksident,accident
aksidental,accidental
brohorit,acclaim
akomoduar,accommodate
strehim,accommodation
shoqëroj,accompany
bashkëfajtor,accomplice
kryej,accomplish
arritje,accomplishment
akord,accord
fizarmonikë,accordion
llogari,account
përgjegjësi,accountability
përgjegjës,accountable
llogaritar,accountant
Kontabiliteti,accounting
grumbulluar,accumulate
saktësi,accuracy
i saktë,accurate
i mallkuar,accursed
akuzë,accusation
akuzim,accuse
as,ace
acetilen,acetylene
dhimbje,ache
arrij,achieve
arritje,achievement
pranojmë,acknowledge
njohje,acknowledgement
puçrra fytyre,acne
lis,acorn
akustik,acoustic
akustikë,acoustics
njohje,acquaintance
fitojnë,acquire
përvetësim,acquisition
shfajësim,acquittal
akër,acre
sipërfaqe në akra,acreage
akrobat,acrobat
akrilik,acrylic
të veprojë,act
veprim,action
Aktivizoni,activate
aktivizimi,activation
aktiv,active
aktivist,activist
aktivitet,activity
aktor,actor
aktore,actress
aktual,actual
realitet,actuality
akupunkturë,acupuncture
i mprehtë,acute
reklamë,ad
fjalë e urtë,adage
i paepur,adamant
përshtat,adapt
adaptim,adaptation
shtoj,add
nëpërkë,adder
i droguar,addict
varur,addicted
dhënie pas,addiction
plotësues,additional
adresë,address
i aftë,adept
i përshtatshëm,adequate
përmbahet,adhere
ngjitës,adhesive
i afërt,adjacent
mbiemër,adjective
fqinj,adjoining
shtyj,adjourn
përshtat,adjust
përshtatës,adjuster
rregullim,adjustment
Administron,administer
administratë,administration
administrativ,administrative
i admirueshëm,admirable
admiraliat,admiralty
admirim,admiration
admirojnë,admire
admiruar,admired
admirues,admirer
i pranueshëm,admissible
pranim,admission
pranoj,admit
pranim,admittance
zhurmë,ado
qerpiç,adobe
adoleshencë,adolescence
adoleshent,adolescent
miratoj,adopt
adoptim,adoption
adoptues,adoptive
i adhurueshëm,adorable
adhurim,adoration
adrenalin,adrenaline
në mëshirë të fatit,adrift
i rritur,adult
kurorëshkelës,adulterer
tradhti bashkëshortore,adultery
moshë madhore,adulthood
paraprakisht,advance
i përparuar,advanced
përparim,advancement
avantazh,advantage
i favorshëm,advantageous
aventurë,adventure
aventurier,adventurer
aventurier,adventurous
kundërshtar,adversary
i pafavorshëm,adverse
fatkeqësi,adversity
reklamuar,advertise
reklamë,advertisement
reklamat,advertising
këshillë,advice
i këshillueshëm,advisable
këshillë,advise
këshilllimit,advisement
këshilltar,adviser
këshilltar,advisor
këshillimor,advisory
avokat,advocate
ajror,aerial
gjimnastikë,aerobics
aerodinamik,aerodynamic
hapësirës ajrore,aerospace
estetik,aesthetic
çështje,affair
ndikoj,affect
dashuri,affection
i dashur,affectionate
dëshmi me betim,affidavit
përkatësia,affiliation
prirje,affinity
pohim,affirmation
pohues,affirmative
vuajtje,affliction
përballojë,afford
përballueshme,affordable
fyerje,affront
një zjarr,afire
në det,afloat
i lartpërmendur,aforementioned
i frikësuar,afraid
afrikan,african
jetë e përtejme,afterlife
pasojë,aftermath
pasdite,afternoon
solucion pas rrojes,aftershave
moshë,age
agjenci,agency
program,agenda
agjent,agent
rëndoj,aggravate
keqësim,aggravation
sulm,aggression
agresive,aggressive
agresion,aggressiveness
agresor,aggressor
i shkathët,agile
shkathtësi,agility
plakje,aging
shqetësoj,agitate
agjitacion,agitation
ndezur,aglow
pikëllues,agonizing
agoni,agony
bie dakord,agree
i këndshëm,agreeable
marrëveshje,agreement
bujqësor,agricultural
bujqësi,agriculture
ndihmë,aid
ndihmës,aide
SIDA,aids
sëmurë,ailing
sëmundje,ailment
qëllim,aim
ajror,air
në fluturim,airborne
avion,aircraft
fushë aeroplanësh,airfield
