English,Other
sleave,$ leave
gapping,-aktivitinya
fantasizes,-angan
responsorial,-balas
unloader,-beban
livelong,-harian
leniently,-lembut
crouched,-mayat
microprint,-mikro
cadged,-minta
functionaries,-pegawai
redoubtable,-penentang
potentates,-raja
masse,-ramai
alternations,-seli
landscaped,-taman
telltale,-tanda-tanda
medleys,: al
systemise,: sistematik
cru,aa
monty,ab
centuries,abad
century,abad
medievalism,abad pertengahan
deathless,abadi
immortal,abadi
immortals,abadi
sempiternal,abadi
timeless,abadi
undying,abadi
coeternal,abadi bersama
harness,abah-abah
harnesses,abah-abah
neglects,abai
departement,abatan
abdomens,abdomen
abelian,abelan
aberrancy,aberansi
panatella,abih
abiotic,abiotik
abyssal,abis
alphabet,abjad
alphabetic,abjad
alphabetical,abjad
alphabetically,abjad
alphabetized,abjad
alphanumeric,abjad angka
alphanumerics,abjad angka
ablation,ablasi
abrasives,abrasive
abscesses,abses
abscissa,absisa
abscissas,absisa
abstract,abstrak
abstracts,abstrak
abstraction,abstraksi
ash,abu
ashes,abu
event,acara
sterna,accipiter
aces,ace
anhydride,acetic
shaft,aci
shafts,aci
crankshafts,aci engkol
firewarden,acting bomba kebakaran
cast,acuan
casts,acuan
formwork,acuan
mold,acuan
molding,acuan
molds,acuan
mould,acuan
moulding,acuan
moulds,acuan
toolings,acuan peralatan
indifferent,acuh tak acuh
pococurante,acuh tak acuh
supine,acuh tak acuh
available,ada
no,ada
there,ada
wipes,ada menelefon
precapitalist,ada sebelum datangnya kapitalisme
chivalry,adab
manners,adab
proprieties,adab
am,adalah
are,adalah
is,adalah
was,adalah
were,adalah
sequent,adalah akibat
pertained,adalah berhubung
divined,adalah kudus
overbalance,adalah lebih berat dr
outbrave,adalah lebih gagah
pertains,adalah mengenai
rectorship,adalah pengarah
charlatanism,adalah penipuan
smokes,adalah perokok
adamantine,adamantin
adaption,adaptasi
adapters,adapter
adaptor,adapter
adaptors,adapter
adaptively,adaptif
fennel,adas
custom,adat
customary,adat
rusticity,adat dusun
mores,adat istiadat
khi,address
scenes,adegan
addendum,adendum
adenine,adenina
adenoid,adenoide
adenocarcinoma,adenokarsinoma
adiabatic,adiabatik
adiabatically,adiabatik
brother,adik
sirrah,adik
sibling,adik-beradik
siblings,adik-beradik
stepsisters,adik-beradik
addicting,adiktif
fair,adil
justest,adil
justly,adil
righteously,adil
adipose,adipos
coparceny,aditif bersama
parcenary,aditif bersama
nagari,adityawarman
toreutic,adjektif
adjutant,adjutan
skua,adjutant
admins,admin
admiralty,admiralti
adoptionist,adoptionis
adrenaline,adrenalin
