Other,English
'n,a
'n teken gee,sign
's,s
aa,aa
aaa,aaa
aaklig,awful
aaklig,horrible
aan,on
aanbeveling,recommendation
aanbid,adore
aanbid,worship
aanbidding,worship
aanbied,offer
aanbied,present
aanbieding,presentation
aanbiedinge,offers
aanbod,offer
aanbousel,extension
aand,evening
aandag,attention
aandeelhouer,shareholder
aandele,shares
aandete,dinner
aandui,indicate
aangebied,offered
aangedrewe,powered
aangegaan,incurred
aangeleenthede,matters
aangenaam,agreeable
aangeneem,adopted
aangesien,considering
aangetrokkenheid,attraction
aanhaal,quote
aanhaling,quotation
aanheg,attach
aanhegsels,attachments
aanhou,continue
aanhou,detain
aanhoudend,insistent
aanjaag,drive
aankla,charge
aanklag,charge
aankom,arrive
aankoms,arrival
aankondig,announce
aankondig,proclaim
aankondiging,announcement
aanlyn,online
aanmoedig,cheer
aanname,assumption
aanname,presumption
aanname maak,assume
aanneem,adopt
aanneming,adoption
aanneming,confirmation
aanpas,adapt
aanpasbaar,adaptable
aanpassing,adjustment
aanraak,touch
aanraking,touch
aanrand,assault
aanranding,assault
aansienlik,considerable
aansienlik,considerably
aansienlike,significant
aanskakel,start
aansluiting,connection
aansluitprop,adapter
aansoek,application
aansoek doen,apply
aansporing,incentive
aanspreeklik,liable
aanspreeklikheid,liability
aansteek,ignite
aansteek,infect
aansteeklik,contagious
aansteker,lighter
aanstel,appoint
aanstelling,appointment
aanteel,breed
aanteken,login
aanteling,breeding
aantrek,allure
aantrek,attract
aantrek,clothe
aantrek,dress
aantrekkingskrag,gravity
aantreklik,appealing
aantreklik,attractive
aantreklik,handsome
aanvaar,accept
aanvaarbaar,acceptable
aanvaarding,acceptance
aanvaarding,assumption
aanval,assault
aanval,attack
aanvanklik,initial
aanvanklik,initially
aanvlug,approach
aanvullende,additional
aanvulling,completion
aanwins,acquisition
aanwys,designate
aanwyser,indicator
aanwysers,indicators
aanwysing,indication
aanwysings,directions
aap,monkey
aardbewing,earthquake
aarde,earth
aaron,aaron
aartappel,potato
aas,ace
aas,bait
ab,ab
abc,abc
aberdeen,aberdeen
aboriginal,aboriginal
aborsie,abortion
abraham,abraham
abs,abs
absolute,absolute
absoluut,absolutely
abstrak,abstract
abstrakte,abstract
