Other,English
Abend,evening
Abend,eve
Abend,even
Abend,eventide
Abfall,waste
Abfall,waste material
Abfall,waste matter
Abfall,waste product
Abfrage,question
Abfrage,inquiry
Abfrage,enquiry
Abfrage,query
Abfrage,interrogation
Erkundigung,question
Erkundigung,inquiry
Erkundigung,enquiry
Erkundigung,query
Erkundigung,interrogation
Frage,question
Frage,inquiry
Frage,enquiry
Frage,query
Frage,interrogation
Abkommen,agreement
Abkommen,understanding
Vertrag,agreement
Vertrag,understanding
Abstand,distance
Distanz,distance
Entfernung,distance
Abteilung,department
Abteilung,section
Abteilung,part
Abteilung,section
Abteilung,division
Abteilung,section
Abteilung,subdivision
Sektion,section
Sektion,subdivision
Abwechslung,change
Abwechslung,alteration
Abwechslung,modification
Abänderung,change
Abänderung,alteration
Abänderung,modification
Veränderung,change
Veränderung,alteration
Veränderung,modification
Wandel,change
Wandel,alteration
Wandel,modification
Wechsel,change
Wechsel,alteration
Wechsel,modification
Addition,addition
Addition,summation
Addition,plus
Adresse,address
Affe,monkey
Affäre,matter
Affäre,affair
Affäre,thing
Geschäft,matter
Geschäft,affair
Geschäft,thing
Sache,matter
Sache,affair
Sache,thing
Akt,action
Tat,action
Akteur,actor
Akteur,histrion
Akteur,player
Akteur,thespian
Akteur,role player
Schauspieler,actor
Schauspieler,histrion
Schauspieler,player
Schauspieler,thespian
Schauspieler,role player
Aktie,share
Aktivität,activity
Aktivität,action
Aktivität,activeness
Alter,age
Alternative,option
Alternative,alternative
Alternative,choice
Mehrfachmöglichkeit,option
Mehrfachmöglichkeit,alternative
Mehrfachmöglichkeit,choice
Ameise,ant
Ameise,emmet
Ameise,pismire
Ananas,pineapple
Ananas,ananas
Andenken,memory
Erinnerung,memory
Anfang,beginning
Anfang,commencement
Anfang,first
Anfang,outset
Anfang,get-go
Anfang,start
Anfang,kickoff
Anfang,starting time
Anfang,showtime
Anfang,offset
Beginn,beginning
Beginn,commencement
Beginn,first
Beginn,outset
Beginn,get-go
Beginn,start
Beginn,kickoff
Beginn,starting time
Beginn,showtime
Beginn,offset
Anforderung,request
Anforderung,asking
Bitte,request
Bitte,asking
Angaben,data
Angaben,information
Angebot,offer
Angebot,offering
Antrag,offer
Antrag,offering
Angriff,attack
Angriff,onslaught
Angriff,onset
Angriff,onrush
Anfall,attack
Anfall,onslaught
Anfall,onset
Anfall,onrush
Attacke,attack
Attacke,onslaught
Attacke,onset
Attacke,onrush
Angst,fear
Angst,fearfulness
Angst,fright
Furcht,fear
Furcht,fearfulness
Furcht,fright
Anklage,complaint
Anklage,charge
Beanstandung,complaint
Beanstandung,charge
Beschwerde,complaint
Beschwerde,charge
Klage,complaint
Klage,charge
Ankündigung,announcement
Ankündigung,proclamation
Ankündigung,annunciation
Ankündigung,declaration
Bekanntmachung,announcement
Bekanntmachung,proclamation
Bekanntmachung,annunciation
Bekanntmachung,declaration
Proklamation,announcement
Proklamation,proclamation
Proklamation,annunciation
Proklamation,declaration
Anmerkung,note
Anmerkung,annotation
Anmerkung,notation
Note,note
Note,annotation
Note,notation
Notiz,note
Notiz,annotation
Notiz,notation
Anschlussstück,connection
Anschlussstück,connexion
Anschlussstück,connector
Anschlussstück,connecter
Anschlussstück,connective
Stecker,connection
Stecker,connexion
Stecker,connector
Stecker,connecter
Stecker,connective
Anstrengung,attempt
Anstrengung,effort
Anstrengung,endeavor
Anstrengung,endeavour
Anstrengung,try
Bemühung,attempt
Bemühung,effort
Bemühung,endeavor
Bemühung,endeavour
Bemühung,try
Mühe,attempt
Mühe,effort
Mühe,endeavor
Mühe,endeavour
Mühe,try
Versuch,attempt
Versuch,effort
Versuch,endeavor
Versuch,endeavour
Versuch,try
Anteil,part
Anteil,portion
Anteil,component part
Anteil,component
Anteil,constituent
Teil,part
Teil,portion
Teil,component part
Teil,component
Teil,constituent
Einzelteil,part
Einzelteil,portion
Einzelteil,component part
Einzelteil,component
Einzelteil,constituent
Antwort,answer
Antwort,reply
Antwort,response
Anwendung,use
Anwendung,usage
Anwendung,utilization
Anwendung,utilisation
Anwendung,employment
Anwendung,exercise
Nutzung,use
Nutzung,usage
Nutzung,utilization
Nutzung,utilisation
Nutzung,employment
Nutzung,exercise
Verwendung,use
Verwendung,usage
Verwendung,utilization
Verwendung,utilisation
Verwendung,employment
Verwendung,exercise
Apfel,apple
Appartement,flat
Appartement,apartment
Wohnung,flat
Wohnung,apartment
Aprikose,apricot
Marille,apricot
April,April
April,Apr
Arbeit,work
