Other,English
*bank??,bank
*bank??,depository financial institution
*bank??,banking concern
*bank??,banking company
*orkestra??,orchestra
April,April
April,Apr
Awwissu,August
Awwissu,Aug
Diċembru,December
Diċembru,Dec
Franza,France
Franza,French Republic
Frar,February
Frar,Feb
Indja,India
Indja,Republic of India
Indja,Bharat
Italja,Italy
Italja,Italian Republic
Italja,Italia
Jannar,January
Jannar,Jan
Lulju,July
Mejju,May
Novembru,November
Novembru,Nov
Ottubru,October
Ottubru,Oct
Qamar,Moon
Qamar,moon
qamar,Moon
qamar,moon
Renju Unit,United Kingdom
Renju Unit,UK
Renju Unit,U.K.
Renju Unit,Britain
Renju Unit,United Kingdom of Great Britain and Northern Ireland
Renju Unit,Great Britain
Repubblika Ċeka,Czech Republic
Settembru,September
Settembru,Sep
Settembru,Sept
Spanja,Spain
Spanja,Kingdom of Spain
Spanja,Espana
Stati Uniti,United States
Stati Uniti,United States of America
Stati Uniti,America
Stati Uniti,the States
Stati Uniti,US
Stati Uniti,U.S.
Stati Uniti,USA
Stati Uniti,U.S.A.
abjad,white
agixxa,act
agixxa,move
ajruplan,plane
ajruplan,airplane
ajruplan,aeroplane
ajruport,airport
ajruport,airdrome
ajruport,aerodrome
ajruport,drome
akkwista,get
akkwista,acquire
ambjent,environment
amministrazzjoni,management
amministrazzjoni,direction
management,management
management,direction
ammont,amount
kwantità,amount
ananas,pineapple
ananas,ananas
anki,even
annimal,animal
annimal,animate being
annimal,beast
annimal,brute
annimal,creature
annimal,fauna
bhima,animal
bhima,animate being
bhima,beast
bhima,brute
bhima,creature
bhima,fauna
kreatura,animal
kreatura,animate being
kreatura,beast
kreatura,brute
kreatura,creature
kreatura,fauna
anġlu,angle
appartament,flat
appartament,apartment
flatt,flat
flatt,apartment
apposta,conscious
apposta,witting
koxjenti,conscious
koxjenti,witting
appoġġ,support
manteniment,support
appoġġa,support
appoġġa,back up
argument,argument
argument,statement
argumenta,argue
argumenta,contend
argumenta,debate
argumenta,fence
irraġuna,argue
irraġuna,contend
irraġuna,debate
irraġuna,fence
arja,air
arloġġ,clock
arloġġ,watch
arloġġ,ticker
armarju,cupboard
armarju,closet
armata,army
armata,regular army
armata,ground forces
arrotonda,round off
arrotonda,round down
arrotonda,round out
arrotonda,round
art,earth
art,ground
art,floor
art,flooring
art,land
art,dry land
art,earth
art,ground
art,solid ground
art,terra firma
arti,art
arti,fine art
asserzjoni,statement
assigurazzjoni,insurance
astuż,sharp
astuż,astute
astuż,shrewd
makakk,sharp
makakk,astute
makakk,shrewd
għaqli,sharp
għaqli,astute
għaqli,shrewd
atmosfera,atmosphere
atmosfera,air
attakk,attack
attakk,onslaught
attakk,onset
attakk,onrush
attakka,attack
attakka,assail
attakka,assault
attakka,set on
attenzjoni,attention
attenzjoni,attending
attivita sesswali,sex
attivita sesswali,sexual activity
attivita sesswali,sexual practice
attivita sesswali,sex activity
attività sesswali,sex
attività sesswali,sexual activity
attività sesswali,sexual practice
attività sesswali,sex activity
attriċi,actress
attur,actor
attur,histrion
attur,player
attur,thespian
attur,role player
awtomatku,automatic
awtorità,authority
awtorità,authorization
awtorità,authorisation
awtorità,potency
awtorità,dominance
awtorità,say-so
azzar,steel
aċituż,acid
aċtu,acid
aħbarijiet,news
aħbarijiet,intelligence
aħbarijiet,tidings
aħbarijiet,word
aħdar,green
aħdar,greenish
aħdar,light-green
aħdar,dark-green
aħmar,red
aħmar,reddish
aħmar,ruddy
aħmar,blood-red
aħmar,carmine
aħmar,cerise
aħmar,cherry
aħmar,cherry-red
aħmar,crimson
aħmar,ruby
aħmar,ruby-red
aħmar,scarlet
aħrax,rough
aħrax,unsmooth
mħatteb,rough
mħatteb,unsmooth
bagoll,suitcase
bagoll,bag
bagoll,traveling bag
bagoll,travelling bag
bagoll,grip
bagalja,suitcase
bagalja,bag
bagalja,traveling bag
bagalja,travelling bag
bagalja,grip
bagħad,hate
bagħad,detest
bajda,egg
ballun,ball
banana,banana
banda taż-żfin,band
banda taż-żfin,dance band
banda taż-żfin,dance orchestra
bandiera,flag
baqra,cow
baqra,moo-cow
barka,approval
barka,blessing
barka,approving
approvazzjoni,approval
approvazzjoni,blessing
approvazzjoni,approving
baseball,baseball
baseball,baseball game
basla,onion
basla,onion plant
basla,Allium cepa
baxx,low
baħar,sea
baħri,sailor
baħri,crewman
bażi,base
bażi,base of operations
beda,begin
beda,start
beda,get down
beda,get
beda,start out
beda,set about
beda,set out
beda,commence
bejn,between
bejn,betwixt
bejħ,sale
beka',cry
beka',weep
belt,town
belt,city
belt,metropolis
belt,urban center
metropoli,city
metropoli,metropolis
metropoli,urban center
belt kapitali,capital
berqa,lightning
berquqa,apricot
bewsa,kiss
bewsa,buss
bewsa,osculation
bibljoteka,library
biddel,change
biddel,alter
biddel,modify
bidu,beginning
bidu,commencement
bidu,first
bidu,outset
bidu,get-go
bidu,start
bidu,kickoff
bidu,starting time
bidu,showtime
bidu,offset
bieb,door
bies,kiss
bies,snog
bies,buss
bies,osculate
bijoloġija,biology
bijoloġija,biological science
bikri,early
kmieni,early
ta' kmieni,early
bil-mod,slowly
bil-mod,slow
bil-mod,easy
bil-mod,tardily
bil-moħbi,secret
bil-moħbi,clandestine
bil-moħbi,cloak-and-dagger
bil-moħbi,hole-and-corner
bil-moħbi,hugger-mugger
bil-moħbi,hush-hush
bil-moħbi,surreptitious
bil-moħbi,undercover
bil-moħbi,underground
klandestin,secret
klandestin,clandestine
klandestin,cloak-and-dagger
klandestin,hole-and-corner
klandestin,hugger-mugger
klandestin,hush-hush
klandestin,surreptitious
klandestin,undercover
klandestin,underground
minn taħt,secret
minn taħt,clandestine
minn taħt,cloak-and-dagger
minn taħt,hole-and-corner
minn taħt,hugger-mugger
minn taħt,hush-hush
minn taħt,surreptitious
minn taħt,undercover
minn taħt,underground
bil-ponta,sharp
bil-ponta,acuate
bil-ponta,acute
bil-ponta,needlelike
bilanċ,balance
biljett,ticket
bini,building
bini,edifice
bint,daughter
bint,girl
bir,well
ġibja,well
birra,beer
biss,simply
biss,merely
biss,just
biss,only
biss,but
biċċa,piece
biċċa,bit
biċċa,chip
