Word,Meaning
တစ်ဦးက,A
အာရုန်သည်,Aaron
အာရုန်သည်,Aaronic
အာရုန်သည်,Aaronical
အာရုန်အမျိုးတွင်,Aaronite
အာရုန်အမျိုးတွင်,Aaronitic
အံ့သြတုန်လှုပ်စိတ်လှုပ်ရှား,Aback
ဗဒ္ဒုန်နိုင်ငံကို,Abaddon
စွန့်ပစ်,Abandon
စွန့်ပစ်,Abandonable
စွန့်လွှတ်,Abandoned
စွန့်ပစ်မွေးကင်းစကလေး,Abandoned Infant
စွန့်ပစ်သောသင်္ဘောကို,Abandoned Ship
စွန့်ပစ်,Abandoner
စွန့်ခွာ,Abandoning
စွန့်ပစ်,Abandonment
စွန့်ပစ်,Abandons
အံ့,Abased
အံ့,Abasedness
အရှက်ကွဲ,Abash
အရှက်ကွဲ,Abashed
အရှက်ကွဲ,Abashes
အရှက်ကွဲ,Abashment
ယုတ်လျော့,Abated
အဗ္ဗ,Abba
ဘတ်စ်,Abbas
ဆရာတော်,Abbot
အတိုကောက်,Abbreviated
အတိုကောက်,Abbreviately
အတိုကောက်,Abbreviates
အတိုကောက်,Abbreviation
အတိုကောက်,Abbreviator
နန်းစွန့်,Abdicable
နန်းစွန့်,Abdicant
နန်းစွန့်,Abdicate
နန်းစွန့်,Abdicates
နန်းစွန့်,Abdication
နန်းစွန့်,Abdicative
နန်းစွန့်,Abdicator
ဝမ်း,Abdomen
ဝမ်းဗိုက်,Abdominal
ဝမ်းဗိုက်အခေါင်း,Abdominal Cavity
ဝမ်းဗိုက်ပေးအပ်ခြင်း,Abdominal Delivery
ဝမ်းဗိုက်ကြွက်သားတွေ,Abdominal Muscle
ဝမ်းဗိုက်ကိုယ်ဝန်,Abdominal Pregnancy
ဝမ်းဗိုက်,Abdominally
ဝမ်းဗိုက်,Abdominous
ဝမ်းဗိုက်,Abdominousness
ပြန်ပေးဆွဲ,Abduct
အဓမ္မဖမ်းဆီးခံရ,Abducted
ပြန်ပေးဆွဲ,Abducting
ပြန်ပေးဆွဲ,Abduction
ရှင်ဇိုအာဘေး,Abe
အာဗေလ,Abel
အာဗေလ,Abele
အားပေးအားမြှောက်လုပ်ခဲ့ပါတယ်,Abetted
စက်ဆုပ်ရွံရှာ,Abhor
စက်ဆုပ်ရွံရှာတော်,Abhorred
ရွံရှာဘွယ်,Abhorrence
စက်ဆုတ်ရွံ့ရှာ,Abhorrency
စက်ဆုတ်ရွံ့ရှာ,Abhorrent
စက်ဆုတ်ရွံ့ရှာ,Abhorrently
စက်ဆုတ်ရွံ့ရှာ,Abhorrer
စက်ဆုတ်ရွံ့ရှာ,Abhorrible
အလွန်မုန်းတီးသူ,Abhorring
စက်ဆုပ်ရွံရှာ,Abhors
မှီခိုရာ,Abidal
မှီခိုရာ,Abidance
နေရစ်ပါ,Abide
လိုက်နာ,Abide By
မှီခိုရာ,Abider
မှီခိုရာ,Abiding
လိုက်နာ,Abidingness
"အဗျေဇာ,",Abiezer
အဘိဂဲလသည်,Abigail
စွမ်းအား,Ability
ငွေပေးဆောင်နိုင်မှု,Ability To Pay
သာမန်,Abject
ရိုက်ပုတ်,Abjection
ရိုက်ပုတ်,Abjective
ရိုက်ပုတ်,Abjectness
မီးရှို့,Ablaze
နိုင်,Able
တတ်နိုင်ခန္ဓာကိုယ်,Able Bodied
တတ်နိုင်သင်္ဘောသား,Able Seaman
အာဗနာကို,Abner
ပုံမှန်မဟုတ်သော,Abnormal
ပုံမှန်မဟုတ်သောအခြေအနေ,Abnormal Condition
ပုံမှန်မဟုတ်သောစိတ်ပညာ,Abnormal Psychology
ပုံမှန်မဟုတ်သော,Abnormalism
ပုံမှန်မဟုတ်သော,Abnormality
ပုံမှန်မဟုတ်သော,Abnormalize
ပုံမှန်မဟုတ်သော,Abnormally
ပုံမှန်မဟုတ်သော,Abnormalness
ပုံမှန်မဟုတ်သော,Abnormity
ပုံမှန်မဟုတ်သော,Abnormous
သင်္ဘောကြီးပေါ်,Aboard
နေထိုင်ခြင်း,Abode
နေထိုင်ခြင်း,Abodement
ဖျက်ပယ်,Abolish
ဖျက်ပယ်,Abolishable
ဖျက်သိမ်း,Abolished
ဖျက်ပယ်,Abolisher
ဖျက်ပယ်,Abolishes
ဖျက်သိမ်း,Abolishing
ဖျက်ပယ်,Abolishment
ဖျက်သိမ်းမှု,Abolition
စက်ဆုပ်ရွံရှာဘွယ်သော,Abominable
စက်ဆုပ်ရွံရှာဘွယ်သော,Abominableness
စက်ဆုပ်ရွံရှာဘွယ်သော,Abominably
စက်ဆုပ်ရွံရှာဘွယ်သော,Abominate
စက်ဆုပ်ရွံရှာဘွယ်,Abomination
စက်ဆုပ်ရွံရှာဘွယ်သော,Abominator
စက်ဆုပ်ရွံရှာဘွယ်သော,Abomine
ဘောရီးဂျင်း,Aboriginal
ဘောရီးဂျင်း,Aboriginality
ဘောရီးဂျင်း,Aboriginally
ဘောရီးဂျင်း,Aborigine
ဘောရီးဂျင်း,Aborigines
ကိုယ်ဝန်ဖျက်ချ,Abort
မိန်းကလေး,Aborted
ကိုယ်ဝန်ဖျက်ချ,Abortion
ကိုယ်ဝန်ဖျက်ချဆေး,Abortion Pill
ကိုယ်ဝန်ဖျက်ချ,Abortional
မအောင်မြင်သော,Abortive
ကိုယ်ဝန်ဖျက်ချ,Abortively
ကိုယ်ဝန်ဖျက်ချ,Abortiveness
ကြွယ်ဝပြည့်စုံ,Abound
တွင်ကြွယ်ဝပြည့်စုံ,Abound In
တိုးပွါးစေ,Abounded
ကြွယ်ဝပြည့်စုံ,Abounder
ကြွယ်ဝသော,Abounding
နှင်ပြည့်စုံ,Abounds
ကြွယ်ဝ-နှင့်အတူ,Abound-With
အကွောငျး,About
မျက်နှာအကြောင်း,About Face
အချိန်အကြောင်း,About Time
အကြောင်း,About To
အလှည့်အကြောင်း,About Turn
အကြောင်း-မျက်နှာ,About-Face
အကြောင်း-အလှည့်,About-Turn
အထက်,Above
ရှိသမျှတို့အပေါ်မှာ,Above All
ဘုတ်အဖွဲ့အထက်,Above Board
ဖော်ပြခဲ့တဲ့အထက်,Above Mentioned
အမည်ဖြင့်မှည့အထက်,Above Named
တန်းတူအထက်,Above Par
လှေကားအထက်,Above Stairs
သံသယအထက်,Above Suspicion
လိုင်းမြှင့်တင်ရေးအထက်,Above The Line Promotion
ကိုယ့်ကိုယ်ကိုအထက်,Above Yourself
အထက်တွင်ဘုတ်အဖွဲ့,Above-Board
အာဗြဟံသည်,Abraham
အာဗြဟံသည်လင်ကွန်း,Abraham Lincoln
အာဗြဟံနဲ့,Abrahamic
အာဗြံသည်,Abram
ပွန်းစားခြင်း,Abrase
ပွန်းစားခြင်း,Abrasion
ပွန်းစားခြင်း,Abrasive
ပွန်းစားပစ္စည်း,Abrasive Material
ပွန်းစားခြင်း,Abrasively
