English,Other
of,od
for,kvůli
for,jako
for,neboť
for,protože
under,dolů
under,méně
under,níže
under,dole
under,nedostatečně
under,spodní
under,nižší
about,kolem
about,asi
about,přibližně
about,okolo
about,téměř
about,skoro
from,od
from,ze
from,podle
since,od
since,od té doby
since,poněvadž
since,ježto
in,dovnitř
in,uvnitř
in,palec
in,coul
over,proti
over,nad
over,nad
over,při
over,přes
over,během
over,příliš
over,víc než
over,opětně
over,přílišný
over,vnější
per,ze
per,podle
per,pomocí
off,od
off,ze
off,pryč
off,vedlejší
off,postranní
off,úplně
off,do konce
off,odtud
off,volno
off,vzdálený
off,zrušený
off,nešťastný
off,náruční
upon,nad
upon,při
against,proti
against,oproti
within,kromě
within,během
within,uvnitř
within,zevnitř
within,doma
behind,vzadu
behind,pozadu
behind,zadek
after,podle
after,navzdory
after,vzadu
after,později
after,potom
after,následující
beyond,nad
beyond,přes
beyond,kromě
beyond,dále než
beyond,mimo
beyond,na druhou stranu
beyond,na druhé straně
beyond,věčnost
instead of,místo
instead of,namísto
across,přes
across,napříč
across,napříč
across,na druhé straně
across,vodorovně
pending,během
pending,až do
pending,nevyřízený
pending,nerozhodnutý
pending,neskončený
pending,blížící se
each,každý
each,každý
away,pryč
because of,kvůli
as,protože
as,když
as,jak
as,jelikož
as,což
as,aby
as,jakkoli
as,ačkoli
for the sake of,kvůli
towards,směrem na
towards,vůči
like,jako
like,podobný
like,stejný
like,mít rád
like,líbit se
like,přát si
because,protože
because,poněvadž
because,ježto
on behalf of,jménem
insomuch as,protože
insomuch as,poněvadž
insomuch as,jelikož
owing to,kvůli
owing to,díky čemu
owing to,vzhledem k
toward,směrem na
toward,vůči
due to,kvůli
due to,vzhledem k
due to,způsobený
on account of,kvůli
lower,spodní
lower,snížit se
minor,nižší
minor,vedlejší
minor,menší
minor,malý
minor,nezletilý
minor,drobný
minor,nepatrný
minor,druhořadý
minor,bezvýznamný
minor,nedůležitý
minor,sekundární
minor,vzácný
inferior,nižší
inferior,horší
inferior,podřadný
inferior,podřízený
inferior,špatný
hereafter,níže
hereafter,později
hereafter,v budoucnu
hereafter,napříště
hereafter,na onom světě
below,níže
below,níže
below,dole
below,pod nulou
downward,dolů
downward,sestupný
underlying,spodní
underlying,základní
underlying,zásadní
underlying,podložní
underlying,skrytý
underlying,vlastní
underlying,podporování
less,méně
less,menší
underneath,dolů
underneath,dole
underneath,vespod
underneath,dospod
underneath,spodek
underneath,spodní strana
beneath,vespod
hereinafter,níže
downstairs,dole
downstairs,spodní
downstairs,přízemí
downstairs,dolů po schodech
downstairs,dolejší
bottom,spodní
bottom,zadek
bottom,spodek
bottom,dolní
bottom,nejhorší
bottom,první
bottom,nejnižší možný
bottom,poslední
bottom,dno
bottom,lem
bottom,konec
bottom,pata
bottom,sedadlo
bottom,opatřit dnem
downwards,dolů
down,dolů
down,dole
down,na zemi
down,prachové peří
nether,spodní
nether,dolní
or so,přibližně
all but,téměř
all but,skoro
nearly,téměř
nearly,skoro
nearly,blízko
nearly,velmi
hardly,skoro
hardly,sotva
hardly,stěží
hardly,tvrdě
hardly,jen taktak
hardly,sotva kdo
round,kolem
round,kolem
round,kolo
round,kruh
round,okruh
round,runda
round,kolečko
round,řada
round,koule
round,kroužek
round,salva
round,objížďka
round,kulatý
round,oblý
round,okrouhlý
