Other,English
API,monkey
Afmælisdagur,birthday
Aftureldingu,backfire
Afturhluti,posterior
Aldur,age
Annáll,chronicle
BS,bachelor
Bajonet,bayonet
Berg,rock
Bogi,bow
Brynja,armor
Bygg,barley
Bæta,enhance
Bæta við,add
Corporpsman,corpsman
Coupé,coupe
Dimmt herbergi,darkroom
Dingó,dingo
Drasl,mess
Dreki,dragon
Drykkur,drink
Efnaskipti,metabolism
Eftirseta,detention
Eigur,belongings
Elda,cooking
Faraó,pharaoh
Farið í röð,lineup
Festið,fasten
Fjallakofi,chalet
Flugeldar,fireworks
Fló,flea
Flótti,jailbreak
Frosting,defrost
Fylla,fill
Fyrirboði,premonition
Gefa,giveaway
Gullstengur,bullion
Gættu þín,lookout
Gíneu,guinea
Göturæsi,gutter
Hafragrautur,porridge
Halli,inclination
Haltu áfram,goon
Handlaginn,handy
Handsama,capture
Heftari,stapler
Heilbrigðisþjónusta,healthcare
Hengiskraut,pendant
Hlaupabóla,chickenpox
Hlé,timeout
Hreindýr,reindeer
Hurðarhúnn,doorknob
Hvirfilbylur,cyclone
Hádegismatur,lunchtime
Hárþurrka,hairdryer
Háskóli,academy
Hásæti,throne
Jökull,glacier
Karta,toad
Komdu aftur,comeback
Krakkar,kids
Köln,cologne
Leitarljós,searchlight
Marglytta,jellyfish
Meirihluti,majority
Miðbær,center
Myrkur,dark
Málið,case
Mælt með,recommend
Míla,mile
Mótorhjól,motorcycle
Mótárás,counterattack
Neisti,spark
Niðurstaða,conclusion
Norður,northern
Næturklúbbur,nightclub
Ofbeldisfull,abusive
Orka,energy
Partí,party
Prenta út,printout
Rakara stofa,barbershop
Rauður,crimson
Raða,employ
Ráðstefna,convention
Réttarsalur,courtroom
Samanburður,comparison
Samstarf,partnership
Samvinna,collaborate
Sendiráð,embassy
Sigurvegari,winner
Siðleysingi,sociopath
Sjávarbakki,waterfront
Sjúkraflutningamaður,paramedic
Skilorð,probation
Skrifstofa,bureau
Skrá,directory
Skófla,scoop
Slökkva á,turnoff
Slökkva á kertum,blowout
Smásala,retail
Snjáldra,shrew
Snyrtivörur,cosmetic
Spenna,voltage
Spil,card
Sporbraut,orbit
Sprengjuvarpa,grenade
Stafsetning,spelling
Stattu upp,getup
Stattu upp,standup
Stimpill,stamp
Stjörnumerkið,zodiac
Stolt,pride
Stríðni,banter
Stórfylki,brigade
Stórveldi,empire
Summa,sum
Sími,telephone
Takmarkanir,restriction
Taktu yfir,takeover
Teikning,blueprint
Tenging,connection
Tilgangur,purpose
Twerpen,twerp
Tímabil,era
Túnfiskur,tuna
Umdæmi,district
Umsjónarmaður,supervisor
Undirstúka,hypothalamus
Uppþvottavél,dishwasher
Vagga,cradle
Valentínus,valentine
Varanleg,permanent
Varðturninn,watchtower
Varúlfur,werewolf
Varúð,caution
Veifa,weave
Verkalýðsfélag,union
Verktaki,contractor
Verð,prize
Vinnsluminni,ram
absint,absinthe
adrenalín,adrenalin
adrenalín,adrenaline
afborgun,installment
afbrigði,abysmal
afbrot,debauchery
afbrot,transgression
afdráttarlaust,definite
afferma,unload
afgangi,surplus
afgangs,leftover
afgangurinn,remainder
afgerandi,decisive
afgreiða,unhook
afgreiðslumaður,checker
afgreiðslumaður,checkers
afgreiðslumaður,dispatcher
afhenda,deliver
afhendingu,delivery
afhendingu,handout
afhjúpa,divulge
afhjúpa,expose
afhjúpa,reveal
afhjúpa,uncover
afhjúpa,unveil
afhýða,peel
afi,granddad
afi,granddaddy
afi,grandfather
afi,grandpa
afkastamikill,productive
afklædd,undressed
afklæðast,undress
